time,Oklahoma City,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Cousins (B. McLemore gains possession),,,,Jump ball: S. Adams vs. D. Cousins (B. McLemore gains possession)
11:39.0,,,0-0,,Q. Acy misses 2-pt shot from 2 ft
11:38.0,Defensive rebound by S. Ibaka,,0-0,,
11:25.0,Turnover by K. Durant (bad pass; steal by D. Cousins),,0-0,,
11:19.0,,,0-0,,D. Cousins misses 2-pt shot from 6 ft
11:19.0,,,0-0,,Offensive rebound by D. Cousins
11:16.0,,,0-2,2,D. Cousins makes 2-pt shot from 2 ft
11:03.0,S. Ibaka misses 2-pt shot from 18 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by J. Anderson
10:49.0,,,0-2,,B. McLemore misses 2-pt shot from 3 ft
10:48.0,Defensive rebound by S. Ibaka,,0-2,,
10:42.0,A. Roberson misses 2-pt shot from 1 ft,,0-2,,
10:41.0,,,0-2,,Defensive rebound by R. Rondo
10:35.0,,,0-4,2,R. Rondo makes 2-pt shot from 2 ft
10:20.0,S. Ibaka makes 2-pt shot from 20 ft (assist by R. Westbrook),2,2-4,,
10:06.0,,,2-6,2,B. McLemore makes 2-pt shot from 18 ft (assist by R. Rondo)
9:52.0,A. Roberson misses 3-pt shot from 23 ft,,2-6,,
9:52.0,,,2-6,,Defensive rebound by J. Anderson
9:40.0,,,2-6,,J. Anderson misses 2-pt shot from 3 ft
9:38.0,Defensive rebound by R. Westbrook,,2-6,,
9:35.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,4-6,,
9:24.0,,,4-6,,D. Cousins misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by S. Ibaka,,4-6,,
9:16.0,Turnover by R. Westbrook (bad pass; steal by Q. Acy),,4-6,,
9:10.0,,,4-6,,B. McLemore misses 2-pt shot at rim (block by K. Durant)
9:10.0,,,4-6,,Offensive rebound by Team
9:07.0,,,4-8,2,B. McLemore makes 2-pt shot from 19 ft (assist by R. Rondo)
8:50.0,S. Ibaka misses 2-pt shot from 19 ft,,4-8,,
8:49.0,,,4-8,,Defensive rebound by J. Anderson
8:36.0,,,4-10,2,D. Cousins makes 2-pt shot at rim
8:26.0,,,4-10,,Personal foul by R. Rondo (drawn by R. Westbrook)
8:14.0,S. Adams misses 2-pt shot from 12 ft,,4-10,,
8:13.0,Offensive rebound by Team,,4-10,,
8:11.0,Turnover by R. Westbrook (bad pass; steal by D. Cousins),,4-10,,
8:06.0,,,4-10,,J. Anderson misses 2-pt shot from 3 ft
8:03.0,Defensive rebound by S. Ibaka,,4-10,,
8:02.0,,,4-10,,Personal foul by D. Cousins (drawn by S. Adams)
7:52.0,S. Ibaka misses 2-pt shot from 19 ft,,4-10,,
