time,Toronto,pts.away,score,pts.home,Memphis
1:50.0,,,91-88,,C. Andersen enters the game for J. Green
1:32.0,K. Lowry makes 2-pt shot from 7 ft,2,93-88,,
1:16.0,,,93-88,,J. Farmar misses 2-pt shot from 4 ft (block by P. Patterson)
1:16.0,,,93-88,,Offensive rebound by Team
1:16.0,,,93-88,,Memphis full timeout
1:16.0,,,93-88,,J. Green enters the game for C. Andersen
1:09.0,,,93-91,3,J. Farmar makes 3-pt shot from 25 ft
0:50.0,Turnover by K. Lowry (lost ball; steal by Z. Randolph),,93-91,,
0:47.0,,,93-91,,V. Carter enters the game for T. Allen
0:37.0,,,93-91,,Z. Randolph misses 2-pt shot from 3 ft
0:36.0,,,93-91,,Offensive rebound by Z. Randolph
0:27.0,,,93-91,,V. Carter misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by J. Valanciunas,,93-91,,
0:25.0,,,93-91,,Loose ball foul by Z. Randolph
0:25.0,J. Valanciunas makes free throw 1 of 2,1,94-91,,
0:25.0,J. Valanciunas makes free throw 2 of 2,1,95-91,,
0:25.0,,,95-91,,Memphis full timeout
0:25.0,N. Powell enters the game for T. Ross,,95-91,,
0:20.0,,,95-93,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Barnes)
0:19.0,,,95-93,,Personal take foul by V. Carter
0:19.0,D. DeRozan makes free throw 1 of 2,1,96-93,,
0:19.0,D. DeRozan makes free throw 2 of 2,1,97-93,,
0:12.0,Personal foul by K. Lowry,,97-93,,
0:12.0,,,97-94,1,J. Farmar makes free throw 1 of 2
0:12.0,,,97-95,1,J. Farmar makes free throw 2 of 2
0:12.0,Toronto full timeout,,97-95,,
0:12.0,,,97-95,,T. Allen enters the game for V. Carter
0:10.0,,,97-95,,Personal take foul by T. Allen
0:10.0,J. Valanciunas makes free throw 1 of 2,1,98-95,,
0:10.0,,,98-95,,V. Carter enters the game for T. Allen
0:10.0,J. Valanciunas makes free throw 2 of 2,1,99-95,,
0:10.0,,,99-95,,Memphis full timeout
0:07.0,,,99-95,,Z. Randolph misses 3-pt shot from 26 ft
0:04.0,Defensive rebound by N. Powell,,99-95,,
0:04.0,Turnover by N. Powell (step out of bounds),,99-95,,
0:02.0,,,99-95,,J. Farmar misses 3-pt shot from 28 ft
0:01.0,,,99-95,,Offensive rebound by V. Carter
0:00.0,End of 4th quarter,,,,End of 4th quarter
