time,Toronto,pts.away,score,pts.home,Memphis
6:25.0,Loose ball foul by J. Thompson,,10-11,,
6:13.0,,,10-11,,M. Barnes misses 2-pt shot from 21 ft
6:12.0,Defensive rebound by K. Lowry,,10-11,,
6:02.0,J. Valanciunas misses 2-pt shot from 14 ft,,10-11,,
6:01.0,,,10-11,,Defensive rebound by J. Farmar
5:52.0,,,10-11,,M. Barnes misses 2-pt shot from 3 ft
5:49.0,,,10-11,,Offensive rebound by C. Andersen
5:49.0,,,10-11,,C. Andersen misses 2-pt shot from 2 ft
5:48.0,Defensive rebound by J. Thompson,,10-11,,
5:45.0,,,10-11,,Memphis full timeout
5:37.0,N. Powell makes 3-pt shot from 24 ft (assist by K. Lowry),3,13-11,,
5:24.0,,,13-11,,Shooting foul by D. DeRozan (drawn by Z. Randolph)
5:24.0,,,13-12,1,Z. Randolph makes free throw 1 of 2
5:24.0,,,13-13,1,Z. Randolph makes free throw 2 of 2
5:09.0,Shooting foul by T. Allen (drawn by D. DeRozan),,13-13,,
5:09.0,D. DeRozan makes free throw 1 of 2,1,14-13,,
5:09.0,,,14-13,,L. Stephenson enters the game for T. Allen
5:09.0,D. DeRozan makes free throw 2 of 2,1,15-13,,
4:52.0,,,15-15,2,Z. Randolph makes 2-pt shot from 6 ft
4:45.0,Turnover by D. DeRozan (lost ball; steal by J. Farmar),,15-15,,
4:41.0,,,15-17,2,J. Farmar makes 2-pt shot from 1 ft
4:18.0,D. DeRozan misses 3-pt shot from 24 ft,,15-17,,
4:18.0,Offensive rebound by J. Valanciunas,,15-17,,
4:06.0,K. Lowry misses 2-pt shot from 16 ft,,15-17,,
4:04.0,Offensive rebound by J. Thompson,,15-17,,
3:57.0,J. Valanciunas misses 2-pt shot from 13 ft,,15-17,,
3:54.0,,,15-17,,Defensive rebound by Z. Randolph
3:34.0,,,15-19,2,Z. Randolph makes 2-pt shot from 5 ft
3:16.0,J. Thompson makes 2-pt shot from 8 ft (assist by D. DeRozan),2,17-19,,
3:04.0,,,17-19,,Z. Randolph misses 2-pt shot from 14 ft
3:03.0,Defensive rebound by N. Powell,,17-19,,
2:55.0,K. Lowry makes 3-pt shot from 26 ft (assist by N. Powell),3,20-19,,
2:38.0,,,20-19,,J. Farmar misses 2-pt shot from 13 ft
2:36.0,Defensive rebound by J. Valanciunas,,20-19,,
2:25.0,,,20-19,,Personal foul by C. Andersen
2:25.0,Toronto full timeout,,20-19,,
2:25.0,C. Joseph enters the game for J. Thompson,,20-19,,
2:25.0,B. Biyombo enters the game for J. Valanciunas,,20-19,,
2:25.0,P. Patterson enters the game for K. Lowry,,20-19,,
2:25.0,,,20-19,,J. Green enters the game for C. Andersen
2:25.0,,,20-19,,X. Munford enters the game for J. Farmar
2:25.0,,,20-19,,Violation by Team (delay of game)
2:16.0,P. Patterson misses 2-pt shot from 1 ft,,20-19,,
2:15.0,Offensive rebound by P. Patterson,,20-19,,
2:15.0,P. Patterson misses 2-pt shot from 1 ft,,20-19,,
2:13.0,Offensive rebound by P. Patterson,,20-19,,
