time,Phoenix,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. T. Thompson (A. Len gains possession),,,,Jump ball: T. Chandler vs. T. Thompson (A. Len gains possession)
11:40.0,A. Goodwin misses 2-pt shot from 13 ft (block by K. Love),,0-0,,
11:40.0,Offensive rebound by Team,,0-0,,
11:32.0,P. Tucker misses 2-pt shot from 6 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by L. James
11:24.0,,,0-0,,J. Smith misses 3-pt shot from 23 ft
11:24.0,Defensive rebound by P. Tucker,,0-0,,
11:16.0,D. Booker misses 3-pt shot from 28 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by K. Irving
11:07.0,,,0-2,2,K. Irving makes 2-pt shot from 15 ft
10:57.0,Shooting foul by K. Love (drawn by D. Booker),,0-2,,
10:57.0,D. Booker makes free throw 1 of 2,1,1-2,,
10:57.0,D. Booker makes free throw 2 of 2,1,2-2,,
10:42.0,,,2-4,2,K. Irving makes 2-pt shot from 16 ft (assist by L. James)
10:28.0,P. Tucker makes 3-pt shot from 25 ft (assist by D. Booker),3,5-4,,
10:19.0,Personal foul by P. Tucker (drawn by J. Smith),,5-4,,
10:12.0,,,5-4,,Turnover by T. Thompson (lost ball; steal by A. Goodwin)
9:58.0,A. Len misses 2-pt shot from 10 ft,,5-4,,
9:56.0,,,5-4,,Defensive rebound by K. Love
9:47.0,,,5-6,2,J. Smith makes 2-pt shot from 7 ft (assist by K. Love)
9:32.0,Turnover by T. Chandler (bad pass),,5-6,,
9:20.0,,,5-6,,K. Love misses 3-pt shot from 22 ft
9:19.0,Defensive rebound by A. Len,,5-6,,
9:02.0,A. Goodwin misses 2-pt shot from 19 ft,,5-6,,
9:02.0,,,5-6,,Defensive rebound by T. Thompson
8:54.0,,,5-6,,Turnover by K. Love (traveling)
8:38.0,A. Len makes 2-pt shot from 5 ft,2,7-6,,
8:27.0,,,7-9,3,K. Love makes 3-pt shot from 26 ft (assist by K. Irving)
8:06.0,Offensive foul by A. Len,,7-9,,
8:06.0,Turnover by A. Len (offensive foul),,7-9,,
7:52.0,Personal foul by P. Tucker (drawn by K. Love),,7-9,,
7:46.0,,,7-9,,Turnover by J. Smith (traveling)
7:26.0,P. Tucker makes 3-pt shot from 24 ft (assist by T. Chandler),3,10-9,,
7:09.0,,,10-9,,K. Irving misses 3-pt shot from 22 ft
7:08.0,Defensive rebound by Team,,10-9,,
6:57.0,,,10-9,,Personal foul by J. Smith (drawn by D. Booker)
6:50.0,T. Chandler misses 2-pt shot from 5 ft (block by K. Love),,10-9,,
6:49.0,,,10-9,,Defensive rebound by T. Thompson
6:48.0,,,10-9,,Shooting foul by D. Booker (drawn by L. James)
6:48.0,,,10-10,1,L. James makes free throw 1 of 2
6:48.0,,,10-11,1,L. James makes free throw 2 of 2
6:31.0,Shooting foul by K. Love (drawn by A. Goodwin),,10-11,,
6:31.0,A. Goodwin makes free throw 1 of 2,1,11-11,,
6:31.0,,,11-11,,T. Mozgov enters the game for K. Love
6:31.0,A. Goodwin misses free throw 2 of 2,,11-11,,
6:30.0,,,11-11,,Defensive rebound by J. Smith
6:08.0,,,11-11,,J. Smith misses 2-pt shot from 12 ft
6:07.0,,,11-11,,Offensive rebound by K. Irving
6:06.0,,,11-11,,Turnover by Team (shot clock)
5:42.0,Turnover by Team (shot clock),,11-11,,
5:42.0,,,11-11,,Cleveland full timeout
5:31.0,,,11-13,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
5:07.0,D. Booker makes 2-pt shot from 1 ft (assist by A. Len),2,13-13,,
4:55.0,,,13-15,2,T. Thompson makes 2-pt shot from 4 ft (assist by K. Irving)
4:42.0,P. Tucker makes 3-pt shot from 22 ft (assist by T. Chandler),3,16-15,,
4:25.0,,,16-15,,L. James misses 3-pt shot from 25 ft
4:25.0,Defensive rebound by D. Booker,,16-15,,
4:16.0,A. Goodwin misses 3-pt shot from 25 ft,,16-15,,
4:16.0,Offensive rebound by P. Tucker,,16-15,,
4:07.0,T. Chandler makes 2-pt shot at rim (assist by A. Len),2,18-15,,
3:42.0,,,18-17,2,T. Mozgov makes 2-pt shot from 17 ft (assist by L. James)
3:20.0,Turnover by T. Chandler (bad pass; steal by K. Irving),,18-17,,
3:03.0,,,18-19,2,T. Mozgov makes 2-pt shot at rim (assist by J. Smith)
2:56.0,Phoenix full timeout,,18-19,,
2:56.0,,,18-19,,I. Shumpert enters the game for J. Smith
2:56.0,,,18-19,,M. Dellavedova enters the game for K. Irving
2:56.0,M. Morris enters the game for T. Chandler,,18-19,,
2:40.0,A. Len misses 2-pt shot from 20 ft,,18-19,,
2:40.0,Offensive rebound by D. Booker,,18-19,,
2:29.0,Shooting foul by T. Mozgov (drawn by A. Goodwin),,18-19,,
2:29.0,A. Goodwin makes free throw 1 of 2,1,19-19,,
2:29.0,S. Weems enters the game for D. Booker,,19-19,,
2:29.0,A. Goodwin makes free throw 2 of 2,1,20-19,,
2:12.0,,,20-21,2,L. James makes 2-pt shot from 5 ft
1:54.0,,,20-21,,Personal foul by L. James (drawn by A. Goodwin)
1:54.0,A. Goodwin makes free throw 1 of 2,1,21-21,,
1:54.0,A. Goodwin makes free throw 2 of 2,1,22-21,,
1:41.0,,,22-21,,T. Mozgov misses 2-pt shot from 17 ft
1:40.0,,,22-21,,Offensive rebound by M. Dellavedova
1:23.0,,,22-23,2,L. James makes 2-pt shot from 20 ft
1:07.0,M. Morris makes 2-pt shot from 16 ft (assist by A. Goodwin),2,24-23,,
0:59.0,,,24-23,,Turnover by M. Dellavedova (bad pass; steal by P. Tucker)
0:55.0,A. Goodwin makes 2-pt shot at rim (assist by P. Tucker),2,26-23,,
0:28.0,,,26-23,,T. Thompson misses 2-pt shot from 11 ft
0:27.0,Defensive rebound by A. Goodwin,,26-23,,
0:08.0,A. Goodwin misses 3-pt shot from 26 ft,,26-23,,
0:07.0,,,26-23,,Defensive rebound by T. Mozgov
0:01.0,,,26-23,,M. Dellavedova misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by A. Len,,26-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,26-23,,K. Irving misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by S. Weems,,26-23,,
11:26.0,Jump ball: K. Love vs. M. Morris (T. Mozgov gains possession),,,,Jump ball: K. Love vs. M. Morris (T. Mozgov gains possession)
11:26.0,Turnover by M. Morris (lost ball; steal by K. Love),,26-23,,
11:11.0,,,26-23,,I. Shumpert misses 2-pt shot from 19 ft
11:10.0,Defensive rebound by M. Morris,,26-23,,
