time,Detroit,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. C. Frye (S. Blake gains possession),,,,Jump ball: A. Baynes vs. C. Frye (S. Blake gains possession)
11:56.0,,,0-0,,Personal foul by T. Thompson
11:56.0,,,0-0,,T. Mozgov enters the game for T. Thompson
11:46.0,Shooting foul by R. Jefferson (drawn by A. Baynes),,0-0,,
11:46.0,A. Baynes makes free throw 1 of 2,1,1-0,,
11:46.0,A. Baynes makes free throw 2 of 2,1,2-0,,
11:31.0,,,2-2,2,M. Dellavedova makes 2-pt shot from 5 ft (assist by T. Mozgov)
11:17.0,D. Hilliard misses 2-pt shot from 7 ft,,2-2,,
11:15.0,,,2-2,,Defensive rebound by J. McRae
11:06.0,,,2-2,,R. Jefferson misses 2-pt shot from 12 ft
11:06.0,Defensive rebound by A. Baynes,,2-2,,
10:57.0,A. Tolliver misses 3-pt shot from 25 ft,,2-2,,
10:56.0,,,2-2,,Defensive rebound by M. Dellavedova
10:46.0,,,2-4,2,C. Frye makes 2-pt shot from 14 ft (assist by M. Dellavedova)
10:29.0,D. Hilliard makes 2-pt shot from 17 ft (assist by A. Baynes),2,4-4,,
10:15.0,,,4-4,,Turnover by T. Mozgov (lost ball; steal by S. Johnson)
10:01.0,Turnover by A. Baynes (3 sec),,4-4,,
9:45.0,,,4-4,,T. Mozgov misses 2-pt shot from 13 ft
9:43.0,Defensive rebound by S. Johnson,,4-4,,
9:29.0,S. Blake misses 2-pt shot at rim,,4-4,,
9:27.0,,,4-4,,Defensive rebound by M. Dellavedova
9:21.0,,,4-7,3,J. McRae makes 3-pt shot from 25 ft (assist by M. Dellavedova)
9:00.0,S. Blake misses 3-pt shot from 22 ft,,4-7,,
8:59.0,,,4-7,,Defensive rebound by T. Mozgov
8:51.0,,,4-7,,M. Dellavedova misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by S. Johnson,,4-7,,
8:42.0,S. Johnson misses 2-pt shot at rim,,4-7,,
8:40.0,Offensive rebound by S. Johnson,,4-7,,
8:34.0,A. Tolliver makes 3-pt shot from 23 ft (assist by S. Johnson),3,7-7,,
8:22.0,,,7-7,,J. McRae misses 2-pt shot from 4 ft (block by D. Hilliard)
8:20.0,,,7-7,,Offensive rebound by J. McRae
8:18.0,,,7-9,2,J. McRae makes 2-pt shot from 11 ft
8:02.0,A. Tolliver makes 3-pt shot from 24 ft (assist by D. Hilliard),3,10-9,,
7:39.0,,,10-9,,J. McRae misses 2-pt shot from 2 ft (block by S. Blake)
7:39.0,,,10-9,,Offensive rebound by Team
7:33.0,,,10-11,2,M. Dellavedova makes 2-pt shot from 21 ft
7:16.0,S. Johnson misses 2-pt shot from 14 ft,,10-11,,
7:15.0,,,10-11,,Defensive rebound by M. Dellavedova
7:09.0,,,10-13,2,M. Dellavedova makes 2-pt shot from 3 ft
6:52.0,D. Hilliard misses 2-pt shot from 6 ft,,10-13,,
6:51.0,,,10-13,,Defensive rebound by C. Frye
6:45.0,,,10-15,2,J. McRae makes 2-pt shot at rim
6:39.0,Detroit full timeout,,10-15,,
6:29.0,A. Baynes misses 2-pt shot from 9 ft,,10-15,,
6:27.0,,,10-15,,Defensive rebound by R. Jefferson
6:15.0,,,10-15,,J. McRae misses 2-pt shot from 16 ft
6:14.0,Defensive rebound by S. Johnson,,10-15,,
6:06.0,S. Johnson makes 3-pt shot from 23 ft,3,13-15,,
5:52.0,,,13-15,,M. Dellavedova misses 2-pt shot from 8 ft
5:51.0,,,13-15,,Offensive rebound by M. Dellavedova
5:51.0,,,13-15,,Shooting foul by S. Johnson (drawn by R. Jefferson)
5:51.0,,,13-16,1,R. Jefferson makes free throw 1 of 2
5:51.0,,,13-16,,D. Jones enters the game for M. Dellavedova
5:51.0,R. Bullock enters the game for S. Johnson,,13-16,,
5:51.0,,,13-16,,R. Jefferson misses free throw 2 of 2
5:48.0,Defensive rebound by R. Bullock,,13-16,,
5:35.0,Jump ball: T. Mozgov vs. A. Tolliver (D. Hilliard gains possession),,,,Jump ball: T. Mozgov vs. A. Tolliver (D. Hilliard gains possession)
5:25.0,S. Blake makes 3-pt shot from 25 ft,3,16-16,,
