time,Atlanta,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Noel (J. Okafor gains possession),,,,Jump ball: A. Horford vs. N. Noel (J. Okafor gains possession)
11:54.0,,,0-0,,Offensive charge foul by J. Okafor
11:54.0,,,0-0,,Turnover by J. Okafor (offensive foul)
11:38.0,,,0-0,,Personal foul by R. Covington (drawn by A. Horford)
11:30.0,A. Horford makes 2-pt shot from 16 ft (assist by K. Korver),2,2-0,,
11:09.0,,,2-0,,J. Okafor misses 2-pt shot from 1 ft
11:08.0,Defensive rebound by J. Teague,,2-0,,
10:57.0,J. Teague misses 3-pt shot from 23 ft,,2-0,,
10:56.0,,,2-0,,Defensive rebound by N. Stauskas
10:40.0,,,2-0,,Turnover by N. Noel (bad pass)
10:23.0,K. Korver makes 2-pt shot from 16 ft (assist by P. Millsap),2,4-0,,
10:11.0,Def 3 sec tech foul by A. Horford,,4-0,,
10:11.0,,,4-0,,R. Covington misses technical free throw
10:11.0,,,4-0,,Offensive rebound by Team
10:08.0,,,4-2,2,I. Smith makes 2-pt shot from 12 ft (assist by J. Okafor)
9:50.0,J. Teague misses 2-pt shot from 1 ft,,4-2,,
9:45.0,,,4-2,,Defensive rebound by N. Noel
9:38.0,,,4-2,,R. Covington misses 3-pt shot from 25 ft
9:35.0,,,4-2,,Offensive rebound by J. Okafor
9:27.0,,,4-2,,N. Stauskas misses 3-pt shot from 26 ft
9:26.0,Defensive rebound by P. Millsap,,4-2,,
9:13.0,K. Bazemore makes 3-pt shot from 25 ft (assist by K. Korver),3,7-2,,
8:59.0,,,7-2,,Turnover by J. Okafor (bad pass; steal by A. Horford)
8:54.0,K. Bazemore misses 3-pt shot from 25 ft,,7-2,,
8:51.0,,,7-2,,Defensive rebound by N. Stauskas
8:46.0,,,7-2,,R. Covington misses 2-pt shot from 2 ft (block by A. Horford)
8:44.0,Defensive rebound by P. Millsap,,7-2,,
