time,Phoenix,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. A. Len (K. Lowry gains possession),,,,Jump ball: B. Biyombo vs. A. Len (K. Lowry gains possession)
11:37.0,,,0-0,,D. DeRozan misses 2-pt shot from 15 ft
11:36.0,Defensive rebound by B. Knight,,0-0,,
11:20.0,P. Tucker misses 2-pt shot from 9 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by D. Carroll
11:06.0,,,0-0,,Shooting foul by P. Tucker (drawn by D. Carroll)
11:06.0,,,0-1,1,D. Carroll makes free throw 1 of 2
11:06.0,,,0-1,,D. Carroll misses free throw 2 of 2
11:05.0,Defensive rebound by B. Knight,,0-1,,
10:46.0,M. Morris misses 2-pt shot from 19 ft,,0-1,,
10:45.0,,,0-1,,Defensive rebound by B. Biyombo
10:34.0,,,0-1,,L. Scola misses 2-pt shot from 7 ft
10:33.0,Defensive rebound by A. Len,,0-1,,
10:27.0,E. Bledsoe misses 3-pt shot from 24 ft,,0-1,,
10:26.0,,,0-1,,Defensive rebound by L. Scola
10:12.0,,,0-1,,D. DeRozan misses 2-pt shot from 15 ft
10:11.0,Defensive rebound by M. Morris,,0-1,,
10:02.0,B. Knight makes 2-pt shot from 17 ft,2,2-1,,
9:53.0,,,2-1,,Shooting foul by E. Bledsoe (drawn by D. DeRozan)
9:53.0,,,2-2,1,D. DeRozan makes free throw 1 of 2
9:53.0,,,2-3,1,D. DeRozan makes free throw 2 of 2
9:30.0,A. Len makes 2-pt shot from 6 ft (assist by E. Bledsoe),2,4-3,,
9:11.0,,,4-3,,K. Lowry misses 3-pt shot from 24 ft
9:10.0,Defensive rebound by A. Len,,4-3,,
8:55.0,A. Len makes 2-pt shot from 1 ft,2,6-3,,
8:41.0,,,6-3,,L. Scola misses 2-pt shot from 8 ft
8:40.0,Defensive rebound by A. Len,,6-3,,
8:32.0,E. Bledsoe makes 3-pt shot from 24 ft,3,9-3,,
8:18.0,,,9-3,,Shooting foul by P. Tucker (drawn by D. DeRozan)
8:18.0,,,9-4,1,D. DeRozan makes free throw 1 of 2
8:18.0,T. Warren enters the game for P. Tucker,,9-4,,
8:18.0,,,9-5,1,D. DeRozan makes free throw 2 of 2
7:59.0,T. Warren makes 2-pt shot from 7 ft (assist by M. Morris),2,11-5,,
7:39.0,,,11-8,3,D. Carroll makes 3-pt shot from 24 ft (assist by D. DeRozan)
7:26.0,B. Knight misses 2-pt shot from 8 ft,,11-8,,
7:25.0,Offensive rebound by B. Knight,,11-8,,
7:16.0,M. Morris misses 3-pt shot from 24 ft,,11-8,,
7:16.0,,,11-8,,Defensive rebound by D. Carroll
7:09.0,,,11-11,3,K. Lowry makes 3-pt shot from 24 ft (assist by D. Carroll)
6:45.0,M. Morris misses 2-pt shot from 17 ft,,11-11,,
6:45.0,,,11-11,,Defensive rebound by K. Lowry
6:32.0,,,11-11,,D. Carroll misses 2-pt shot from 1 ft (block by B. Knight)
6:32.0,Defensive rebound by Team,,11-11,,
6:17.0,E. Bledsoe misses 2-pt shot from 3 ft,,11-11,,
6:16.0,Offensive rebound by M. Morris,,11-11,,
6:14.0,M. Morris makes 2-pt shot at rim,2,13-11,,
6:09.0,,,13-11,,Toronto full timeout
5:58.0,,,13-11,,K. Lowry misses 3-pt shot from 25 ft (block by E. Bledsoe)
5:57.0,Defensive rebound by M. Morris,,13-11,,
5:53.0,E. Bledsoe misses 2-pt shot from 3 ft (block by B. Biyombo),,13-11,,
5:51.0,Offensive rebound by T. Warren,,13-11,,
