time,Indiana,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. I. Mahinmi (D. Russell gains possession),,,,Jump ball: R. Hibbert vs. I. Mahinmi (D. Russell gains possession)
11:39.0,,,0-0,,D. Russell misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by P. George,,0-0,,
11:28.0,C. Miles misses 3-pt shot from 24 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by D. Russell
11:20.0,,,0-0,,Shooting foul by I. Mahinmi (drawn by J. Randle)
11:20.0,,,0-1,1,J. Randle makes free throw 1 of 2
11:20.0,,,0-2,1,J. Randle makes free throw 2 of 2
10:58.0,M. Ellis makes 2-pt shot at rim,2,2-2,,
10:36.0,,,2-2,,J. Randle misses 2-pt shot from 5 ft
10:34.0,Defensive rebound by G. Hill,,2-2,,
10:31.0,Turnover by G. Hill (lost ball),,2-2,,
10:13.0,,,2-2,,Turnover by D. Russell (bad pass; steal by G. Hill)
10:04.0,M. Ellis misses 3-pt shot from 23 ft,,2-2,,
10:04.0,,,2-2,,Defensive rebound by J. Randle
10:00.0,,,2-2,,Turnover by D. Russell (bad pass)
9:49.0,C. Miles misses 2-pt shot from 2 ft (block by J. Randle),,2-2,,
9:49.0,Offensive rebound by Team,,2-2,,
9:34.0,P. George misses 3-pt shot from 24 ft,,2-2,,
9:34.0,,,2-2,,Defensive rebound by D. Russell
9:09.0,,,2-2,,K. Bryant misses 3-pt shot from 29 ft
9:08.0,Defensive rebound by Team,,2-2,,
8:54.0,P. George misses 2-pt shot from 18 ft,,2-2,,
8:53.0,,,2-2,,Defensive rebound by R. Hibbert
8:46.0,,,2-2,,K. Bryant misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by G. Hill,,2-2,,
8:33.0,G. Hill misses 3-pt shot from 25 ft,,2-2,,
8:33.0,,,2-2,,Defensive rebound by R. Hibbert
8:26.0,,,2-2,,J. Clarkson misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by I. Mahinmi,,2-2,,
8:18.0,P. George makes 3-pt shot from 24 ft (assist by M. Ellis),3,5-2,,
8:01.0,,,5-2,,R. Hibbert misses 2-pt shot from 18 ft
8:01.0,,,5-2,,Offensive rebound by K. Bryant
7:56.0,,,5-2,,K. Bryant misses 2-pt shot from 13 ft
7:55.0,Defensive rebound by G. Hill,,5-2,,
7:49.0,P. George misses 2-pt shot from 13 ft,,5-2,,
7:49.0,,,5-2,,Defensive rebound by J. Clarkson
7:46.0,Shooting block foul by M. Ellis (drawn by J. Clarkson),,5-2,,
7:46.0,,,5-3,1,J. Clarkson makes free throw 1 of 2
7:46.0,,,5-4,1,J. Clarkson makes free throw 2 of 2
7:32.0,G. Hill makes 2-pt shot from 6 ft,2,7-4,,
7:18.0,,,7-4,,K. Bryant misses 2-pt shot from 3 ft
7:16.0,Defensive rebound by M. Ellis,,7-4,,
7:10.0,M. Ellis makes 3-pt shot from 26 ft,3,10-4,,
6:54.0,,,10-4,,D. Russell misses 3-pt shot from 25 ft
6:53.0,,,10-4,,Offensive rebound by J. Clarkson
6:44.0,,,10-4,,Shooting foul by C. Miles (drawn by R. Hibbert)
6:44.0,,,10-5,1,R. Hibbert makes free throw 1 of 2
6:44.0,,,10-6,1,R. Hibbert makes free throw 2 of 2
6:24.0,G. Hill makes 3-pt shot from 25 ft (assist by C. Miles),3,13-6,,
6:09.0,,,13-6,,K. Bryant misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by Team,,13-6,,
5:59.0,P. George misses 2-pt shot from 1 ft (block by R. Hibbert),,13-6,,
5:58.0,,,13-6,,Defensive rebound by J. Randle
5:52.0,,,13-6,,Turnover by J. Randle (lost ball)
5:52.0,,,13-6,,LA Lakers full timeout
5:52.0,,,13-6,,M. World Peace enters the game for D. Russell
5:52.0,,,13-6,,N. Young enters the game for J. Randle
5:37.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis),2,15-6,,
5:19.0,,,15-9,3,J. Clarkson makes 3-pt shot from 24 ft (assist by K. Bryant)
5:06.0,C. Miles misses 3-pt shot from 27 ft,,15-9,,
5:05.0,Offensive rebound by I. Mahinmi,,15-9,,
4:57.0,Turnover by P. George (lost ball; steal by M. World Peace),,15-9,,
4:49.0,Personal foul by P. George (drawn by K. Bryant),,15-9,,
4:49.0,J. Hill enters the game for G. Hill,,15-9,,
4:49.0,R. Stuckey enters the game for I. Mahinmi,,15-9,,
4:40.0,,,15-9,,K. Bryant misses 2-pt shot from 11 ft
4:38.0,Defensive rebound by J. Hill,,15-9,,
4:29.0,C. Miles makes 2-pt shot from 1 ft (assist by M. Ellis),2,17-9,,
