time,Boston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Johnson (K. Oubre gains possession),,,,Jump ball: M. Gortat vs. A. Johnson (K. Oubre gains possession)
11:46.0,,,0-0,,Turnover by J. Dudley (bad pass; steal by A. Johnson)
11:30.0,A. Bradley misses 2-pt shot from 22 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by Team
11:14.0,,,0-0,,Offensive foul by M. Gortat
11:14.0,,,0-0,,Turnover by M. Gortat (offensive foul)
10:57.0,,,0-0,,Personal foul by K. Oubre (drawn by I. Thomas)
10:50.0,I. Thomas makes 3-pt shot from 24 ft,3,3-0,,
10:34.0,,,3-0,,J. Dudley misses 2-pt shot from 18 ft
10:33.0,Defensive rebound by J. Sullinger,,3-0,,
10:21.0,J. Sullinger makes 2-pt shot from 13 ft (assist by J. Crowder),2,5-0,,
10:17.0,Personal foul by A. Johnson (drawn by J. Wall),,5-0,,
9:55.0,,,5-2,2,M. Gortat makes 2-pt shot from 19 ft (assist by J. Wall)
9:41.0,Turnover by I. Thomas (bad pass; steal by J. Dudley),,5-2,,
9:35.0,,,5-2,,J. Wall misses 2-pt shot at rim
9:34.0,,,5-2,,Offensive rebound by K. Oubre
9:33.0,,,5-4,2,K. Oubre makes 2-pt shot from 1 ft
9:23.0,,,5-4,,Personal foul by J. Wall (drawn by I. Thomas)
9:16.0,I. Thomas makes 3-pt shot from 22 ft,3,8-4,,
9:00.0,,,8-4,,K. Oubre misses 3-pt shot from 24 ft
8:59.0,,,8-4,,Offensive rebound by Team
8:53.0,,,8-7,3,G. Temple makes 3-pt shot from 23 ft (assist by J. Wall)
8:35.0,J. Sullinger makes 2-pt shot at rim,2,10-7,,
8:29.0,,,10-9,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
8:11.0,J. Crowder makes 3-pt shot from 25 ft (assist by A. Bradley),3,13-9,,
8:07.0,Shooting block foul by A. Bradley (drawn by G. Temple),,13-9,,
8:07.0,,,13-10,1,G. Temple makes free throw 1 of 2
8:07.0,,,13-11,1,G. Temple makes free throw 2 of 2
7:56.0,Shooting foul by G. Temple (drawn by J. Crowder),,13-11,,
7:56.0,J. Crowder misses free throw 1 of 3,,13-11,,
7:56.0,Offensive rebound by Team,,13-11,,
7:56.0,J. Crowder makes free throw 2 of 3,1,14-11,,
7:56.0,J. Crowder makes free throw 3 of 3,1,15-11,,
7:44.0,,,15-11,,Turnover by J. Wall (bad pass)
7:24.0,I. Thomas misses 2-pt shot from 15 ft,,15-11,,
7:23.0,,,15-11,,Defensive rebound by J. Wall
7:18.0,,,15-14,3,J. Wall makes 3-pt shot from 27 ft
7:17.0,Boston full timeout,,15-14,,
7:04.0,A. Johnson misses 2-pt shot from 5 ft,,15-14,,
7:03.0,,,15-14,,Defensive rebound by M. Gortat
6:49.0,,,15-16,2,J. Dudley makes 2-pt shot from 18 ft (assist by J. Wall)
6:33.0,A. Bradley misses 3-pt shot from 24 ft,,15-16,,
6:32.0,Offensive rebound by A. Johnson,,15-16,,
6:28.0,I. Thomas misses 3-pt shot from 29 ft,,15-16,,
6:27.0,,,15-16,,Defensive rebound by M. Gortat
6:13.0,,,15-16,,J. Wall misses 2-pt shot from 19 ft
6:12.0,Defensive rebound by J. Sullinger,,15-16,,
6:02.0,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas),2,17-16,,
5:48.0,,,17-16,,G. Temple misses 2-pt shot from 8 ft
5:47.0,,,17-16,,Offensive rebound by M. Gortat
5:45.0,,,17-16,,M. Gortat misses 2-pt shot from 3 ft
5:44.0,,,17-16,,Offensive rebound by K. Oubre
5:38.0,,,17-16,,J. Dudley misses 3-pt shot from 28 ft
5:37.0,Defensive rebound by J. Sullinger,,17-16,,
5:32.0,Turnover by I. Thomas (lost ball; steal by J. Wall),,17-16,,
5:25.0,,,17-18,2,K. Oubre makes 2-pt shot at rim (assist by J. Wall)
5:25.0,,,17-18,,Shooting foul by J. Sullinger (drawn by K. Oubre)
5:25.0,M. Smart enters the game for A. Bradley,,17-18,,
5:25.0,E. Turner enters the game for J. Sullinger,,17-18,,
5:25.0,,,17-19,1,K. Oubre makes free throw 1 of 1
5:16.0,Turnover by I. Thomas (lost ball),,17-19,,
5:00.0,,,17-19,,K. Oubre misses 2-pt shot from 1 ft (block by A. Johnson)
4:58.0,,,17-19,,Offensive rebound by K. Oubre
4:51.0,,,17-19,,G. Temple misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by A. Johnson,,17-19,,
4:41.0,J. Crowder makes 2-pt shot from 18 ft (assist by I. Thomas),2,19-19,,
4:29.0,,,19-21,2,J. Wall makes 2-pt shot from 22 ft
4:20.0,J. Crowder misses 2-pt shot from 8 ft,,19-21,,
4:18.0,,,19-21,,Defensive rebound by M. Gortat
4:14.0,,,19-21,,J. Wall misses 2-pt shot from 20 ft
4:11.0,,,19-21,,Offensive rebound by J. Dudley
4:09.0,,,19-23,2,J. Dudley makes 2-pt shot at rim
3:57.0,Turnover by I. Thomas (bad pass; steal by K. Oubre),,19-23,,
3:47.0,,,19-25,2,M. Gortat makes 2-pt shot from 7 ft (assist by J. Dudley)
3:31.0,,,19-25,,Personal foul by K. Oubre (drawn by E. Turner)
3:31.0,,,19-25,,N. Hilario enters the game for M. Gortat
3:31.0,,,19-25,,R. Sessions enters the game for K. Oubre
3:31.0,,,19-25,,G. Neal enters the game for J. Dudley
3:31.0,K. Olynyk enters the game for J. Crowder,,19-25,,
3:19.0,M. Smart misses 3-pt shot from 24 ft,,19-25,,
3:18.0,,,19-25,,Defensive rebound by Team
3:03.0,,,19-25,,G. Neal misses 3-pt shot from 26 ft
3:02.0,Defensive rebound by A. Johnson,,19-25,,
2:54.0,Turnover by E. Turner (bad pass),,19-25,,
2:54.0,,,19-25,,Washington full timeout
2:38.0,,,19-25,,Shooting foul by M. Smart (drawn by J. Wall)
2:38.0,,,19-26,1,J. Wall makes free throw 1 of 2
2:38.0,,,19-27,1,J. Wall makes free throw 2 of 2
2:22.0,Turnover by I. Thomas (bad pass; steal by J. Wall),,19-27,,
2:22.0,Personal foul by A. Johnson (drawn by J. Wall),,19-27,,
2:22.0,,,19-27,,J. Wall misses free throw 1 of 2
2:22.0,,,19-27,,Offensive rebound by Team
2:22.0,T. Zeller enters the game for A. Johnson,,19-27,,
2:22.0,,,19-28,1,J. Wall makes free throw 2 of 2
2:13.0,I. Thomas misses 2-pt shot from 3 ft (block by N. Hilario),,19-28,,
2:11.0,,,19-28,,Defensive rebound by G. Neal
2:05.0,,,19-28,,G. Temple misses 3-pt shot from 23 ft
2:03.0,Defensive rebound by M. Smart,,19-28,,
1:59.0,Shooting foul by R. Sessions (drawn by I. Thomas),,19-28,,
1:59.0,I. Thomas makes free throw 1 of 2,1,20-28,,
1:59.0,,,20-28,,J. Dudley enters the game for J. Wall
1:59.0,I. Thomas misses free throw 2 of 2,,20-28,,
1:57.0,,,20-28,,Defensive rebound by N. Hilario
1:41.0,,,20-28,,N. Hilario misses 2-pt shot from 20 ft
1:40.0,Defensive rebound by E. Turner,,20-28,,
1:36.0,Turnover by E. Turner (bad pass; steal by N. Hilario),,20-28,,
1:29.0,,,20-28,,R. Sessions misses 2-pt shot from 5 ft
1:28.0,Defensive rebound by K. Olynyk,,20-28,,
1:24.0,Shooting foul by N. Hilario (drawn by I. Thomas),,20-28,,
1:24.0,I. Thomas makes free throw 1 of 2,1,21-28,,
1:24.0,I. Thomas makes free throw 2 of 2,1,22-28,,
1:04.0,,,22-28,,N. Hilario misses 2-pt shot from 1 ft (block by K. Olynyk)
1:02.0,Defensive rebound by T. Zeller,,22-28,,
