time,Milwaukee,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. T. Mozgov (J. Parker gains possession),,,,Jump ball: G. Monroe vs. T. Mozgov (J. Parker gains possession)
11:34.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,2-0,,
11:18.0,,,2-0,,K. Love misses 2-pt shot from 10 ft
11:17.0,Defensive rebound by J. Parker,,2-0,,
11:09.0,Turnover by K. Middleton (offensive foul),,2-0,,
11:09.0,Offensive charge foul by K. Middleton,,2-0,,
10:45.0,,,2-3,3,K. Love makes 3-pt shot from 24 ft (assist by M. Dellavedova)
10:25.0,J. Parker misses 2-pt shot from 16 ft,,2-3,,
10:24.0,,,2-3,,Defensive rebound by L. James
10:15.0,,,2-3,,M. Dellavedova misses 3-pt shot from 23 ft
10:14.0,,,2-3,,Offensive rebound by L. James
10:09.0,,,2-5,2,L. James makes 2-pt shot at rim
9:47.0,Shooting foul by K. Love (drawn by G. Antetokounmpo),,2-5,,
9:47.0,G. Antetokounmpo makes free throw 1 of 2,1,3-5,,
9:47.0,G. Antetokounmpo makes free throw 2 of 2,1,4-5,,
9:33.0,,,4-7,2,K. Love makes 2-pt shot at rim (assist by M. Dellavedova)
9:08.0,G. Monroe makes 2-pt shot at rim,2,6-7,,
8:57.0,,,6-7,,Turnover by T. Mozgov (lost ball; steal by G. Monroe)
8:36.0,G. Monroe makes 2-pt shot from 14 ft (assist by M. Carter-Williams),2,8-7,,
8:19.0,,,8-7,,Turnover by M. Dellavedova (bad pass; steal by K. Middleton)
8:13.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,10-7,,
7:57.0,,,10-10,3,J. Smith makes 3-pt shot from 27 ft (assist by M. Dellavedova)
7:38.0,G. Monroe misses 2-pt shot from 15 ft,,10-10,,
7:37.0,Offensive rebound by J. Parker,,10-10,,
7:34.0,J. Parker makes 2-pt shot from 1 ft,2,12-10,,
7:24.0,,,12-13,3,J. Smith makes 3-pt shot from 24 ft (assist by M. Dellavedova)
7:08.0,M. Carter-Williams misses 2-pt shot from 18 ft,,12-13,,
7:07.0,,,12-13,,Defensive rebound by J. Smith
6:57.0,,,12-13,,Offensive charge foul by K. Love
6:57.0,,,12-13,,Turnover by K. Love (offensive foul)
6:57.0,,,12-13,,J. Cunningham enters the game for M. Dellavedova
6:57.0,,,12-13,,J. Jones enters the game for K. Love
6:40.0,J. Parker misses 2-pt shot from 16 ft,,12-13,,
6:39.0,,,12-13,,Defensive rebound by L. James
6:31.0,,,12-15,2,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James)
6:06.0,G. Monroe misses 2-pt shot from 17 ft,,12-15,,
6:06.0,,,12-15,,Defensive rebound by J. Cunningham
6:02.0,,,12-15,,Shooting foul by M. Carter-Williams (drawn by J. Cunningham)
6:02.0,,,12-16,1,J. Cunningham makes free throw 1 of 2
6:02.0,,,12-16,,T. Thompson enters the game for T. Mozgov
6:02.0,,,12-17,1,J. Cunningham makes free throw 2 of 2
5:56.0,Milwaukee full timeout,,12-17,,
5:56.0,J. Bayless enters the game for J. Parker,,12-17,,
5:50.0,K. Middleton makes 2-pt shot from 10 ft (assist by G. Antetokounmpo),2,14-17,,
5:50.0,Shooting foul by J. Smith (drawn by K. Middleton),,14-17,,
5:50.0,K. Middleton makes free throw 1 of 1,1,15-17,,
5:29.0,,,15-17,,J. Smith misses 2-pt shot from 14 ft
5:29.0,Defensive rebound by Team,,15-17,,
5:03.0,K. Middleton misses 2-pt shot from 13 ft,,15-17,,
5:03.0,,,15-17,,Defensive rebound by T. Thompson
4:56.0,,,15-17,,Shooting foul by J. Bayless (drawn by J. Cunningham)
4:56.0,,,15-17,,J. Cunningham misses free throw 1 of 2
4:56.0,,,15-17,,Offensive rebound by Team
4:56.0,,,15-18,1,J. Cunningham makes free throw 2 of 2
4:43.0,Turnover by M. Carter-Williams (traveling),,15-18,,
4:30.0,,,15-18,,Turnover by J. Cunningham (lost ball; steal by G. Monroe)
4:23.0,M. Carter-Williams misses 2-pt shot from 1 ft,,15-18,,
4:22.0,Offensive rebound by M. Carter-Williams,,15-18,,
4:12.0,J. Bayless makes 2-pt shot from 22 ft (assist by M. Carter-Williams),2,17-18,,
3:54.0,,,17-20,2,L. James makes 2-pt shot from 1 ft
3:43.0,Turnover by K. Middleton (turnover),,17-20,,
3:30.0,,,17-20,,L. James misses 2-pt shot from 7 ft
3:28.0,,,17-20,,Offensive rebound by T. Thompson
3:28.0,,,17-20,,T. Thompson misses 2-pt shot from 1 ft
3:24.0,Defensive rebound by G. Monroe,,17-20,,
3:14.0,G. Antetokounmpo makes 2-pt shot at rim,2,19-20,,
2:56.0,,,19-23,3,J. Jones makes 3-pt shot from 25 ft (assist by L. James)
2:36.0,G. Monroe misses 2-pt shot from 11 ft,,19-23,,
2:34.0,,,19-23,,Defensive rebound by L. James
2:26.0,,,19-23,,J. Jones misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by G. Antetokounmpo,,19-23,,
2:08.0,G. Antetokounmpo makes 2-pt shot from 14 ft (assist by K. Middleton),2,21-23,,
2:07.0,,,21-23,,Cleveland full timeout
2:07.0,,,21-23,,M. Dellavedova enters the game for L. James
2:07.0,,,21-23,,R. Jefferson enters the game for J. Smith
2:07.0,J. Henson enters the game for G. Monroe,,21-23,,
2:07.0,O. Mayo enters the game for K. Middleton,,21-23,,
2:07.0,G. Vasquez enters the game for M. Carter-Williams,,21-23,,
1:55.0,Personal foul by O. Mayo (drawn by M. Dellavedova),,21-23,,
1:43.0,,,21-25,2,J. Jones makes 2-pt shot from 10 ft (assist by M. Dellavedova)
1:28.0,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Vasquez),2,23-25,,
