time,Minnesota,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. K. Towns (S. Curry gains possession),,,,Jump ball: K. Koufos vs. K. Towns (S. Curry gains possession)
11:43.0,,,0-0,,Shooting foul by K. Towns (drawn by R. Gay)
11:43.0,,,0-1,1,R. Gay makes free throw 1 of 2
11:43.0,,,0-2,1,R. Gay makes free throw 2 of 2
11:25.0,A. Wiggins makes 3-pt shot from 24 ft,3,3-2,,
11:13.0,,,3-4,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
10:52.0,K. Towns misses 2-pt shot from 4 ft,,3-4,,
10:51.0,,,3-4,,Defensive rebound by K. Koufos
10:42.0,,,3-4,,K. Koufos misses 2-pt shot from 3 ft (block by G. Dieng)
10:38.0,,,3-4,,Offensive rebound by W. Cauley-Stein
10:36.0,,,3-6,2,W. Cauley-Stein makes 2-pt shot from 5 ft
10:26.0,A. Wiggins misses 2-pt shot from 3 ft,,3-6,,
10:25.0,,,3-6,,Defensive rebound by R. Gay
10:15.0,,,3-8,2,S. Curry makes 2-pt shot from 18 ft (assist by R. Gay)
10:02.0,,,3-8,,Personal block foul by K. Koufos
9:52.0,G. Dieng makes 2-pt shot from 19 ft (assist by R. Rubio),2,5-8,,
9:42.0,,,5-8,,Turnover by W. Cauley-Stein (traveling)
9:30.0,K. Towns misses 2-pt shot from 21 ft,,5-8,,
9:29.0,,,5-8,,Defensive rebound by K. Koufos
9:16.0,,,5-8,,K. Koufos misses 2-pt shot from 8 ft
9:16.0,Defensive rebound by G. Dieng,,5-8,,
9:06.0,Z. LaVine makes 3-pt shot from 25 ft (assist by R. Rubio),3,8-8,,
8:52.0,,,8-8,,R. Gay misses 2-pt shot from 13 ft
8:51.0,Defensive rebound by G. Dieng,,8-8,,
8:47.0,Shooting foul by K. Koufos (drawn by K. Towns),,8-8,,
8:47.0,K. Towns makes free throw 1 of 2,1,9-8,,
8:47.0,,,9-8,,Q. Acy enters the game for K. Koufos
8:47.0,K. Towns makes free throw 2 of 2,1,10-8,,
8:28.0,,,10-8,,Turnover by D. Collison (lost ball; steal by Z. LaVine)
8:23.0,Z. LaVine makes 2-pt shot at rim,2,12-8,,
8:13.0,,,12-8,,S. Curry misses 2-pt shot from 3 ft
8:13.0,Defensive rebound by G. Dieng,,12-8,,
8:05.0,Z. LaVine misses 3-pt shot from 25 ft,,12-8,,
8:04.0,,,12-8,,Defensive rebound by D. Collison
8:02.0,,,12-8,,Shooting foul by R. Rubio (drawn by D. Collison)
8:02.0,,,12-9,1,D. Collison makes free throw 1 of 2
8:02.0,,,12-10,1,D. Collison makes free throw 2 of 2
7:48.0,G. Dieng misses 2-pt shot from 13 ft,,12-10,,
7:47.0,,,12-10,,Defensive rebound by W. Cauley-Stein
7:41.0,,,12-10,,Q. Acy misses 2-pt shot from 2 ft
7:41.0,Defensive rebound by R. Rubio,,12-10,,
7:36.0,Turnover by R. Rubio (lost ball; steal by W. Cauley-Stein),,12-10,,
7:31.0,,,12-10,,D. Collison misses 3-pt shot from 25 ft
7:30.0,,,12-10,,Offensive rebound by Q. Acy
7:18.0,,,12-10,,S. Curry misses 3-pt shot from 26 ft
7:17.0,,,12-10,,Offensive rebound by R. Gay
