time,Denver,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. D. Jordan (P. Pierce gains possession),,,,Jump ball: N. Jokic vs. D. Jordan (P. Pierce gains possession)
11:40.0,,,0-0,,J. Redick misses 2-pt shot from 22 ft
11:39.0,Defensive rebound by K. Faried,,0-0,,
11:21.0,E. Mudiay misses 2-pt shot from 16 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by P. Pierce
11:08.0,,,0-3,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
10:45.0,K. Faried misses 2-pt shot from 14 ft,,0-3,,
10:44.0,,,0-3,,Defensive rebound by L. Mbah a Moute
10:36.0,,,0-3,,P. Pierce misses 3-pt shot from 23 ft
10:34.0,Defensive rebound by K. Faried,,0-3,,
10:17.0,K. Faried makes 2-pt shot from 3 ft (assist by N. Jokic),2,2-3,,
10:01.0,,,2-6,3,C. Paul makes 3-pt shot from 25 ft (assist by P. Pierce)
9:49.0,Turnover by G. Harris (lost ball; steal by C. Paul),,2-6,,
9:36.0,,,2-6,,P. Pierce misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by Team,,2-6,,
9:19.0,Turnover by N. Jokic (lost ball; steal by P. Pierce),,2-6,,
9:12.0,,,2-9,3,J. Redick makes 3-pt shot from 24 ft (assist by D. Jordan)
9:11.0,Denver full timeout,,2-9,,
8:50.0,E. Mudiay misses 2-pt shot from 1 ft,,2-9,,
8:50.0,,,2-9,,Defensive rebound by C. Paul
8:38.0,,,2-11,2,C. Paul makes 2-pt shot from 20 ft
8:20.0,D. Gallinari makes 2-pt shot at rim (assist by E. Mudiay),2,4-11,,
8:00.0,,,4-11,,J. Redick misses 3-pt shot from 23 ft
7:58.0,Defensive rebound by N. Jokic,,4-11,,
7:52.0,G. Harris misses 2-pt shot from 1 ft,,4-11,,
7:50.0,Offensive rebound by K. Faried,,4-11,,
7:45.0,D. Gallinari misses 3-pt shot from 25 ft,,4-11,,
7:45.0,Offensive rebound by K. Faried,,4-11,,
7:41.0,K. Faried makes 2-pt shot from 16 ft,2,6-11,,
7:25.0,,,6-14,3,C. Paul makes 3-pt shot from 24 ft (assist by P. Pierce)
7:12.0,G. Harris makes 2-pt shot from 18 ft (assist by K. Faried),2,8-14,,
6:57.0,,,8-14,,C. Paul misses 3-pt shot from 23 ft
6:56.0,Defensive rebound by D. Gallinari,,8-14,,
6:46.0,K. Faried makes 2-pt shot from 7 ft (assist by D. Gallinari),2,10-14,,
6:17.0,,,10-14,,Turnover by L. Mbah a Moute (lost ball; steal by K. Faried)
6:04.0,E. Mudiay misses 3-pt shot from 23 ft,,10-14,,
6:04.0,,,10-14,,Defensive rebound by D. Jordan
5:55.0,,,10-14,,L. Mbah a Moute misses 3-pt shot from 23 ft
5:55.0,Defensive rebound by N. Jokic,,10-14,,
5:46.0,N. Jokic makes 3-pt shot from 24 ft (assist by E. Mudiay),3,13-14,,
5:31.0,,,13-14,,Turnover by D. Jordan (lost ball; steal by G. Harris)
5:25.0,G. Harris makes 2-pt shot at rim (assist by D. Gallinari),2,15-14,,
5:24.0,,,15-14,,LA Clippers full timeout
5:24.0,,,15-14,,W. Johnson enters the game for P. Pierce
5:04.0,,,15-14,,C. Paul misses 3-pt shot from 26 ft
5:03.0,Defensive rebound by D. Gallinari,,15-14,,
4:40.0,E. Mudiay misses 2-pt shot from 12 ft,,15-14,,
4:38.0,Offensive rebound by Team,,15-14,,
4:38.0,,,15-14,,J. Crawford enters the game for L. Mbah a Moute
4:25.0,N. Jokic makes 2-pt shot from 2 ft,2,17-14,,
4:01.0,,,17-14,,J. Redick misses 2-pt shot from 4 ft
3:59.0,Defensive rebound by N. Jokic,,17-14,,
3:55.0,G. Harris makes 2-pt shot at rim,2,19-14,,
3:39.0,,,19-14,,W. Johnson misses 2-pt shot from 21 ft
3:39.0,Defensive rebound by N. Jokic,,19-14,,
3:30.0,Turnover by D. Gallinari (lost ball; steal by J. Redick),,19-14,,
3:22.0,,,19-17,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
3:01.0,D. Gallinari misses 2-pt shot from 1 ft,,19-17,,
