time,Boston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. T. Mozgov (K. Love gains possession),,,,Jump ball: A. Johnson vs. T. Mozgov (K. Love gains possession)
11:37.0,,,0-2,2,T. Mozgov makes 2-pt shot from 14 ft (assist by K. Irving)
11:24.0,A. Bradley makes 3-pt shot from 24 ft (assist by I. Thomas),3,3-2,,
10:58.0,,,3-2,,J. Smith misses 3-pt shot from 23 ft
10:57.0,Defensive rebound by A. Bradley,,3-2,,
10:50.0,A. Johnson makes 2-pt shot at rim (assist by A. Bradley),2,5-2,,
10:35.0,,,5-4,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
10:12.0,J. Sullinger misses 2-pt shot from 4 ft,,5-4,,
10:10.0,Offensive rebound by J. Sullinger,,5-4,,
10:05.0,J. Sullinger makes 2-pt shot from 12 ft,2,7-4,,
9:40.0,,,7-4,,L. James misses 3-pt shot from 24 ft
9:40.0,,,7-4,,Offensive rebound by K. Love
9:37.0,Jump ball: K. Love vs. J. Sullinger (L. James gains possession),,,,Jump ball: K. Love vs. J. Sullinger (L. James gains possession)
9:28.0,,,7-6,2,T. Mozgov makes 2-pt shot from 6 ft (assist by L. James)
9:13.0,J. Crowder makes 3-pt shot from 25 ft (assist by A. Johnson),3,10-6,,
8:59.0,,,10-6,,J. Smith misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by A. Bradley,,10-6,,
8:46.0,A. Johnson makes 2-pt shot from 1 ft (assist by A. Bradley),2,12-6,,
8:46.0,Shooting foul by T. Mozgov (drawn by A. Johnson),,12-6,,
8:46.0,A. Johnson misses free throw 1 of 1,,12-6,,
8:46.0,,,12-6,,Defensive rebound by Team
8:46.0,Loose ball foul by J. Sullinger (drawn by K. Love),,12-6,,
8:36.0,,,12-9,3,K. Irving makes 3-pt shot from 24 ft
8:29.0,I. Thomas makes 3-pt shot from 24 ft,3,15-9,,
8:14.0,,,15-11,2,K. Irving makes 2-pt shot from 8 ft
8:02.0,J. Sullinger misses 3-pt shot from 24 ft,,15-11,,
8:01.0,,,15-11,,Defensive rebound by L. James
7:49.0,,,15-11,,K. Love misses 2-pt shot from 9 ft
7:47.0,Defensive rebound by I. Thomas,,15-11,,
7:44.0,J. Crowder misses 2-pt shot from 3 ft (block by K. Irving),,15-11,,
7:43.0,Offensive rebound by Team,,15-11,,
7:41.0,A. Bradley misses 2-pt shot from 15 ft,,15-11,,
7:40.0,,,15-11,,Defensive rebound by T. Mozgov
7:32.0,,,15-11,,Turnover by L. James (bad pass; steal by J. Crowder)
7:25.0,J. Crowder misses 2-pt shot from 1 ft (block by L. James),,15-11,,
7:24.0,Offensive rebound by I. Thomas,,15-11,,
7:16.0,J. Crowder misses 2-pt shot from 13 ft,,15-11,,
7:15.0,,,15-11,,Defensive rebound by K. Love
7:10.0,,,15-13,2,L. James makes 2-pt shot at rim
6:55.0,I. Thomas makes 2-pt shot at rim,2,17-13,,
6:43.0,,,17-13,,Turnover by K. Irving (lost ball; steal by J. Crowder)
6:40.0,,,17-13,,Personal foul by J. Smith (drawn by I. Thomas)
6:35.0,,,17-13,,Violation by T. Mozgov (def goaltending)
6:35.0,I. Thomas makes 2-pt shot at rim,2,19-13,,
6:22.0,,,19-13,,Turnover by K. Love (bad pass; steal by J. Sullinger)
6:13.0,J. Sullinger misses 2-pt shot from 5 ft,,19-13,,
6:13.0,Offensive rebound by J. Sullinger,,19-13,,
6:13.0,J. Sullinger makes 2-pt shot from 5 ft,2,21-13,,
6:13.0,,,21-13,,Cleveland full timeout
6:13.0,,,21-13,,T. Thompson enters the game for T. Mozgov
6:01.0,,,21-13,,J. Smith misses 3-pt shot from 26 ft
6:00.0,Defensive rebound by A. Johnson,,21-13,,
5:45.0,J. Sullinger misses 2-pt shot from 6 ft,,21-13,,
5:43.0,,,21-13,,Defensive rebound by T. Thompson
5:35.0,,,21-13,,K. Love misses 3-pt shot from 24 ft
5:35.0,Defensive rebound by J. Crowder,,21-13,,
5:20.0,A. Bradley makes 2-pt shot from 17 ft,2,23-13,,
5:06.0,,,23-13,,T. Thompson misses 2-pt shot at rim
5:05.0,,,23-13,,Offensive rebound by Team
5:05.0,,,23-13,,I. Shumpert enters the game for K. Love
5:05.0,E. Turner enters the game for A. Bradley,,23-13,,
5:05.0,M. Smart enters the game for A. Johnson,,23-13,,
4:52.0,,,23-15,2,K. Irving makes 2-pt shot from 19 ft (assist by J. Smith)
4:37.0,I. Thomas makes 3-pt shot from 28 ft,3,26-15,,
4:16.0,,,26-15,,J. Smith misses 2-pt shot from 7 ft
4:15.0,Defensive rebound by E. Turner,,26-15,,
4:04.0,E. Turner makes 2-pt shot from 7 ft,2,28-15,,
3:46.0,,,28-15,,I. Shumpert misses 2-pt shot from 12 ft
3:44.0,Defensive rebound by J. Sullinger,,28-15,,
3:32.0,E. Turner makes 2-pt shot from 13 ft,2,30-15,,
3:12.0,,,30-15,,K. Irving misses 2-pt shot at rim
3:11.0,Defensive rebound by J. Sullinger,,30-15,,
3:06.0,I. Thomas misses 3-pt shot from 25 ft,,30-15,,
3:05.0,,,30-15,,Defensive rebound by I. Shumpert
2:55.0,,,30-17,2,L. James makes 2-pt shot from 1 ft
2:55.0,Boston full timeout,,30-17,,
2:55.0,,,30-17,,M. Dellavedova enters the game for K. Irving
2:35.0,M. Smart makes 3-pt shot from 25 ft,3,33-17,,
2:16.0,Personal foul by M. Smart (drawn by L. James),,33-17,,
2:16.0,J. Jerebko enters the game for I. Thomas,,33-17,,
2:03.0,,,33-17,,M. Dellavedova misses 3-pt shot from 26 ft
2:03.0,Defensive rebound by E. Turner,,33-17,,
1:57.0,Turnover by J. Crowder (3 sec),,33-17,,
1:40.0,,,33-17,,J. Smith misses 3-pt shot from 24 ft
1:39.0,Defensive rebound by J. Sullinger,,33-17,,
1:22.0,E. Turner makes 2-pt shot from 12 ft (assist by J. Sullinger),2,35-17,,
0:57.0,,,35-17,,I. Shumpert misses 3-pt shot from 24 ft
0:57.0,,,35-17,,Offensive rebound by T. Thompson
0:56.0,,,35-19,2,T. Thompson makes 2-pt shot at rim
0:39.0,Turnover by J. Crowder (bad pass; steal by I. Shumpert),,35-19,,
0:32.0,,,35-19,,M. Dellavedova misses 3-pt shot from 24 ft
0:30.0,,,35-19,,Offensive rebound by I. Shumpert
0:27.0,,,35-22,3,J. Smith makes 3-pt shot from 25 ft (assist by I. Shumpert)
0:06.0,E. Turner misses 2-pt shot from 15 ft,,35-22,,
0:03.0,,,35-22,,Defensive rebound by J. Smith
0:00.0,,,35-22,,J. Smith misses 2-pt shot from 9 ft
0:00.0,,,35-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,T. Zeller makes 2-pt shot from 7 ft (assist by A. Bradley),2,37-22,,
11:23.0,,,37-22,,Shooting foul by J. Jerebko (drawn by K. Love)
11:23.0,,,37-23,1,K. Love makes free throw 1 of 2
11:23.0,,,37-23,,K. Love misses free throw 2 of 2
11:21.0,Defensive rebound by T. Zeller,,37-23,,
11:07.0,Turnover by J. Jerebko (lost ball; steal by M. Dellavedova),,37-23,,
10:59.0,,,37-26,3,K. Irving makes 3-pt shot from 26 ft
10:39.0,M. Smart misses 3-pt shot from 23 ft,,37-26,,
10:39.0,,,37-26,,Defensive rebound by K. Irving
10:23.0,,,37-28,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
10:08.0,,,37-28,,Violation by I. Shumpert (kicked ball)
9:56.0,T. Zeller makes 2-pt shot from 11 ft (assist by A. Bradley),2,39-28,,
9:43.0,,,39-28,,Shooting foul by J. Jerebko (drawn by T. Thompson)
9:43.0,,,39-28,,T. Thompson misses free throw 1 of 2
9:43.0,,,39-28,,Offensive rebound by Team
9:43.0,,,39-29,1,T. Thompson makes free throw 2 of 2
9:28.0,J. Jerebko makes 3-pt shot from 24 ft (assist by E. Turner),3,42-29,,
9:12.0,,,42-31,2,M. Dellavedova makes 2-pt shot from 22 ft (assist by K. Love)
8:56.0,A. Bradley makes 3-pt shot from 24 ft (assist by J. Jerebko),3,45-31,,
8:44.0,,,45-31,,K. Love misses 3-pt shot from 24 ft
8:43.0,,,45-31,,Offensive rebound by I. Shumpert
8:26.0,Personal foul by J. Jerebko (drawn by K. Love),,45-31,,
8:26.0,Official timeout,,45-31,,
8:23.0,,,45-31,,Offensive foul by I. Shumpert
8:23.0,,,45-31,,Turnover by I. Shumpert (offensive foul)
8:06.0,Turnover by T. Zeller (traveling),,45-31,,
7:51.0,,,45-31,,K. Love misses 2-pt shot from 4 ft
7:50.0,,,45-31,,Offensive rebound by T. Thompson
7:50.0,,,45-31,,Shooting foul by T. Zeller (drawn by T. Thompson)
7:50.0,,,45-33,2,T. Thompson makes 2-pt shot at rim
7:50.0,,,45-34,1,T. Thompson makes free throw 1 of 1
7:35.0,J. Jerebko misses 3-pt shot from 25 ft,,45-34,,
7:35.0,,,45-34,,Defensive rebound by I. Shumpert
7:26.0,,,45-34,,I. Shumpert misses 3-pt shot from 24 ft
7:26.0,Defensive rebound by M. Smart,,45-34,,
7:21.0,,,45-34,,Personal foul by K. Irving (drawn by M. Smart)
7:14.0,Turnover by M. Smart (bad pass; steal by T. Thompson),,45-34,,
