time,LA Lakers,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Ajinca vs. R. Hibbert (T. Douglas gains possession),,,,Jump ball: A. Ajinca vs. R. Hibbert (T. Douglas gains possession)
11:44.0,,,0-2,2,A. Ajinca makes 2-pt shot from 18 ft (assist by D. Cunningham)
11:32.0,K. Bryant makes 3-pt shot from 25 ft (assist by J. Randle),3,3-2,,
11:18.0,,,3-2,,O. Asik misses 2-pt shot from 1 ft
11:17.0,,,3-2,,Offensive rebound by A. Ajinca
11:16.0,,,3-2,,A. Ajinca misses 2-pt shot from 1 ft
11:15.0,,,3-2,,Offensive rebound by O. Asik
11:15.0,Personal foul by D. Russell,,3-2,,
11:01.0,,,3-2,,T. Douglas misses 3-pt shot from 23 ft
11:00.0,,,3-2,,Offensive rebound by O. Asik
10:57.0,,,3-2,,J. Ennis misses 3-pt shot from 25 ft
10:56.0,Defensive rebound by K. Bryant,,3-2,,
10:47.0,K. Bryant misses 3-pt shot from 26 ft,,3-2,,
10:46.0,,,3-2,,Defensive rebound by T. Douglas
10:37.0,,,3-2,,D. Cunningham misses 3-pt shot from 23 ft
10:34.0,Defensive rebound by R. Hibbert,,3-2,,
10:25.0,J. Randle misses 2-pt shot from 18 ft,,3-2,,
10:24.0,,,3-2,,Defensive rebound by J. Ennis
10:09.0,,,3-4,2,A. Ajinca makes 2-pt shot from 19 ft (assist by O. Asik)
9:51.0,J. Clarkson makes 3-pt shot from 24 ft (assist by K. Bryant),3,6-4,,
9:34.0,,,6-4,,Shooting foul by R. Hibbert (drawn by O. Asik)
9:34.0,,,6-5,1,O. Asik makes free throw 1 of 2
9:34.0,,,6-5,,O. Asik misses free throw 2 of 2
9:33.0,,,6-5,,Offensive rebound by A. Ajinca
9:26.0,,,6-7,2,J. Ennis makes 2-pt shot at rim
9:03.0,J. Clarkson misses 3-pt shot from 25 ft,,6-7,,
9:02.0,,,6-7,,Defensive rebound by A. Ajinca
8:49.0,,,6-7,,T. Douglas misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by K. Bryant,,6-7,,
8:36.0,D. Russell misses 2-pt shot from 15 ft,,6-7,,
8:35.0,,,6-7,,Defensive rebound by A. Ajinca
8:33.0,,,6-7,,Turnover by A. Ajinca (bad pass)
8:22.0,K. Bryant misses 2-pt shot from 3 ft,,6-7,,
8:21.0,,,6-7,,Defensive rebound by O. Asik
8:19.0,Shooting block foul by D. Russell (drawn by T. Douglas),,6-7,,
8:19.0,,,6-7,,T. Douglas misses free throw 1 of 2
8:19.0,,,6-7,,Offensive rebound by Team
8:19.0,,,6-8,1,T. Douglas makes free throw 2 of 2
8:10.0,Turnover by J. Clarkson (lost ball; steal by J. Ennis),,6-8,,
8:09.0,Loose ball foul by J. Clarkson,,6-8,,
7:57.0,,,6-8,,A. Ajinca misses 2-pt shot from 7 ft
7:56.0,Defensive rebound by R. Hibbert,,6-8,,
7:42.0,J. Clarkson misses 3-pt shot from 24 ft,,6-8,,
7:41.0,,,6-8,,Defensive rebound by A. Ajinca
