time,Denver,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Hickson (J. Holiday gains possession),,,,Jump ball: A. Davis vs. J. Hickson (J. Holiday gains possession)
11:41.0,,,0-0,,J. Holiday misses 3-pt shot from 26 ft (block by E. Mudiay)
11:39.0,,,0-0,,Offensive rebound by D. Cunningham
11:26.0,,,0-0,,D. Cunningham misses 2-pt shot from 2 ft
11:25.0,Defensive rebound by K. Faried,,0-0,,
11:06.0,G. Harris makes 3-pt shot from 24 ft (assist by E. Mudiay),3,3-0,,
10:54.0,,,3-0,,A. Davis misses 2-pt shot from 17 ft
10:53.0,Defensive rebound by K. Faried,,3-0,,
10:41.0,K. Faried misses 2-pt shot from 3 ft,,3-0,,
10:40.0,,,3-0,,Defensive rebound by A. Davis
10:32.0,,,3-2,2,D. Cunningham makes 2-pt shot from 21 ft (assist by J. Holiday)
10:22.0,E. Mudiay misses 2-pt shot from 2 ft (block by E. Gordon),,3-2,,
10:22.0,,,3-2,,Defensive rebound by Team
10:22.0,Loose ball foul by K. Faried (drawn by A. Davis),,3-2,,
10:00.0,,,3-4,2,J. Holiday makes 2-pt shot from 4 ft (assist by A. Davis)
9:50.0,K. Faried makes 2-pt shot from 3 ft (assist by G. Harris),2,5-4,,
9:30.0,,,5-4,,A. Davis misses 2-pt shot from 4 ft
9:30.0,Defensive rebound by D. Gallinari,,5-4,,
9:24.0,Turnover by D. Gallinari (turnover),,5-4,,
9:11.0,,,5-6,2,J. Holiday makes 2-pt shot from 2 ft
8:55.0,J. Hickson misses 2-pt shot from 2 ft,,5-6,,
8:54.0,,,5-6,,Defensive rebound by A. Davis
8:44.0,,,5-6,,D. Cunningham misses 3-pt shot from 23 ft
8:42.0,Defensive rebound by D. Gallinari,,5-6,,
8:36.0,D. Gallinari makes 3-pt shot from 24 ft,3,8-6,,
8:24.0,,,8-6,,A. Davis misses 2-pt shot from 14 ft
8:23.0,Defensive rebound by Team,,8-6,,
7:57.0,D. Gallinari misses 3-pt shot from 25 ft,,8-6,,
7:56.0,,,8-6,,Defensive rebound by J. Holiday
7:50.0,,,8-8,2,D. Cunningham makes 2-pt shot from 1 ft (assist by E. Gordon)
7:45.0,Turnover by E. Mudiay (lost ball),,8-8,,
7:30.0,,,8-8,,J. Holiday misses 2-pt shot from 14 ft
7:29.0,Defensive rebound by J. Hickson,,8-8,,
7:14.0,E. Mudiay misses 2-pt shot from 20 ft,,8-8,,
7:13.0,Offensive rebound by G. Harris,,8-8,,
6:54.0,D. Gallinari misses 3-pt shot from 27 ft,,8-8,,
6:54.0,,,8-8,,Defensive rebound by E. Gordon
6:36.0,,,8-10,2,J. Holiday makes 2-pt shot from 2 ft
6:24.0,D. Gallinari misses 2-pt shot from 1 ft (block by D. Cunningham),,8-10,,
6:22.0,Offensive rebound by J. Hickson,,8-10,,
6:18.0,J. Hickson makes 2-pt shot from 1 ft,2,10-10,,
6:16.0,,,10-10,,A. Gee misses 2-pt shot from 2 ft (block by E. Mudiay)
6:13.0,Defensive rebound by E. Mudiay,,10-10,,
6:09.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,12-10,,
5:55.0,,,12-12,2,D. Cunningham makes 2-pt shot from 22 ft (assist by J. Holiday)
5:45.0,K. Faried makes 2-pt shot from 3 ft (assist by E. Mudiay),2,14-12,,
5:39.0,,,14-12,,New Orleans full timeout
5:39.0,,,14-12,,I. Smith enters the game for A. Davis
5:39.0,,,14-12,,R. Anderson enters the game for J. Holiday
5:39.0,R. Foye enters the game for J. Hickson,,14-12,,
5:22.0,,,14-12,,R. Anderson misses 2-pt shot from 14 ft
5:21.0,Defensive rebound by K. Faried,,14-12,,
5:09.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,16-12,,
5:09.0,Shooting foul by A. Gee (drawn by K. Faried),,16-12,,
5:09.0,K. Faried makes free throw 1 of 1,1,17-12,,
4:52.0,,,17-15,3,R. Anderson makes 3-pt shot from 25 ft (assist by E. Gordon)
4:36.0,G. Harris makes 2-pt shot from 2 ft (assist by D. Gallinari),2,19-15,,
4:30.0,,,19-15,,E. Gordon misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by R. Foye,,19-15,,
4:15.0,D. Gallinari makes 2-pt shot from 3 ft,2,21-15,,
4:08.0,,,21-17,2,I. Smith makes 2-pt shot from 1 ft
3:55.0,G. Harris misses 2-pt shot from 11 ft,,21-17,,
3:54.0,,,21-17,,Defensive rebound by A. Gee
3:45.0,,,21-17,,I. Smith misses 2-pt shot from 1 ft
3:44.0,Defensive rebound by K. Faried,,21-17,,
3:35.0,Turnover by D. Gallinari (lost ball; steal by I. Smith),,21-17,,
3:30.0,,,21-17,,Turnover by I. Smith (bad pass; steal by G. Harris)
3:17.0,G. Harris makes 3-pt shot from 25 ft (assist by D. Gallinari),3,24-17,,
3:05.0,,,24-17,,E. Gordon misses 2-pt shot from 1 ft
3:03.0,,,24-17,,Offensive rebound by D. Cunningham
3:03.0,,,24-19,2,D. Cunningham makes 2-pt shot from 2 ft
2:41.0,D. Gallinari misses 2-pt shot from 13 ft,,24-19,,
2:40.0,,,24-19,,Defensive rebound by I. Smith
2:39.0,,,24-19,,Turnover by I. Smith (lost ball; steal by E. Mudiay)
2:38.0,,,24-19,,Personal foul by D. Cunningham (drawn by E. Mudiay)
2:38.0,Denver full timeout,,24-19,,
2:38.0,W. Barton enters the game for K. Faried,,24-19,,
