time,Chicago,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. P. Gasol (N. Mirotic gains possession),,,,Jump ball: T. Chandler vs. P. Gasol (N. Mirotic gains possession)
11:40.0,P. Gasol makes 2-pt shot from 10 ft,2,2-0,,
11:17.0,,,2-0,,Turnover by M. Morris (lost ball; steal by N. Mirotic)
11:04.0,T. Snell misses 3-pt shot from 25 ft,,2-0,,
11:03.0,,,2-0,,Defensive rebound by E. Bledsoe
10:57.0,,,2-2,2,P. Tucker makes 2-pt shot at rim (assist by E. Bledsoe)
10:44.0,J. Butler makes 2-pt shot at rim (assist by N. Mirotic),2,4-2,,
10:20.0,,,4-5,3,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe)
10:04.0,P. Gasol makes 2-pt shot from 19 ft (assist by K. Hinrich),2,6-5,,
9:55.0,,,6-5,,B. Knight misses 2-pt shot from 4 ft
9:52.0,,,6-5,,Offensive rebound by M. Morris
9:52.0,,,6-5,,M. Morris misses 2-pt shot from 1 ft
9:51.0,Defensive rebound by N. Mirotic,,6-5,,
9:48.0,P. Gasol makes 2-pt shot at rim (assist by N. Mirotic),2,8-5,,
9:37.0,,,8-5,,E. Bledsoe misses 3-pt shot from 24 ft
9:37.0,Defensive rebound by Team,,8-5,,
9:37.0,,,8-5,,Loose ball foul by M. Morris (drawn by N. Mirotic)
9:27.0,Turnover by N. Mirotic (traveling),,8-5,,
9:07.0,,,8-5,,P. Tucker misses 3-pt shot from 23 ft
9:06.0,,,8-5,,Offensive rebound by T. Chandler
8:59.0,,,8-7,2,T. Chandler makes 2-pt shot at rim
8:39.0,N. Mirotic makes 3-pt shot from 27 ft (assist by J. Butler),3,11-7,,
8:21.0,,,11-7,,M. Morris misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by K. Hinrich,,11-7,,
8:01.0,Turnover by J. Butler (bad pass; steal by M. Morris),,11-7,,
7:47.0,,,11-7,,Turnover by B. Knight (bad pass; steal by P. Gasol)
7:40.0,Turnover by T. Snell (traveling),,11-7,,
7:28.0,,,11-7,,Turnover by E. Bledsoe (lost ball; steal by K. Hinrich)
7:22.0,J. Butler makes 3-pt shot from 24 ft (assist by K. Hinrich),3,14-7,,
7:03.0,,,14-9,2,B. Knight makes 2-pt shot from 9 ft
6:52.0,N. Mirotic misses 3-pt shot from 24 ft,,14-9,,
6:52.0,,,14-9,,Defensive rebound by P. Tucker
6:46.0,,,14-9,,E. Bledsoe misses 2-pt shot from 18 ft
6:42.0,Defensive rebound by N. Mirotic,,14-9,,
6:31.0,P. Gasol makes 2-pt shot from 20 ft (assist by T. Snell),2,16-9,,
6:31.0,,,16-9,,Phoenix full timeout
6:09.0,,,16-9,,E. Bledsoe misses 2-pt shot from 11 ft
6:09.0,Defensive rebound by P. Gasol,,16-9,,
5:50.0,N. Mirotic misses 2-pt shot from 19 ft,,16-9,,
5:50.0,,,16-9,,Defensive rebound by E. Bledsoe
5:42.0,,,16-12,3,B. Knight makes 3-pt shot from 24 ft
5:21.0,,,16-12,,Violation by M. Morris (def goaltending)
5:21.0,K. Hinrich makes 2-pt shot from 1 ft (assist by P. Gasol),2,18-12,,
5:08.0,,,18-12,,B. Knight misses 2-pt shot from 20 ft
5:08.0,Defensive rebound by T. Snell,,18-12,,
4:58.0,J. Butler makes 2-pt shot from 10 ft (assist by K. Hinrich),2,20-12,,
4:46.0,Def 3 sec tech foul by T. Snell,,20-12,,
4:46.0,,,20-12,,E. Bledsoe misses technical free throw
4:46.0,,,20-12,,Offensive rebound by Team
4:46.0,,,20-12,,A. Len enters the game for T. Chandler
4:46.0,,,20-12,,A. Goodwin enters the game for B. Knight
4:46.0,D. McDermott enters the game for T. Snell,,20-12,,
4:46.0,J. Noah enters the game for P. Gasol,,20-12,,
4:46.0,A. Brooks enters the game for K. Hinrich,,20-12,,
4:44.0,Personal foul by A. Brooks (drawn by E. Bledsoe),,20-12,,
4:41.0,Personal foul by J. Butler (drawn by E. Bledsoe),,20-12,,
4:27.0,,,20-14,2,P. Tucker makes 2-pt shot from 3 ft
4:17.0,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Noah),3,23-14,,
3:50.0,,,23-14,,P. Tucker misses 3-pt shot from 23 ft
3:49.0,Defensive rebound by J. Noah,,23-14,,
3:43.0,Turnover by J. Noah (bad pass; steal by A. Len),,23-14,,
3:37.0,,,23-14,,E. Bledsoe misses 2-pt shot from 17 ft
3:33.0,Defensive rebound by N. Mirotic,,23-14,,
3:15.0,J. Butler misses 3-pt shot from 25 ft,,23-14,,
3:15.0,,,23-14,,Defensive rebound by A. Len
3:05.0,,,23-16,2,E. Bledsoe makes 2-pt shot from 2 ft
3:00.0,,,23-16,,Personal foul by M. Morris (drawn by N. Mirotic)
3:00.0,Chicago full timeout,,23-16,,
3:00.0,,,23-16,,J. Leuer enters the game for M. Morris
3:00.0,T. Gibson enters the game for N. Mirotic,,23-16,,
2:46.0,D. McDermott makes 2-pt shot from 19 ft,2,25-16,,
2:33.0,,,25-16,,Shooting foul by A. Brooks (drawn by A. Goodwin)
2:33.0,,,25-16,,A. Goodwin misses free throw 1 of 2
2:33.0,,,25-16,,Offensive rebound by Team
2:33.0,,,25-16,,A. Goodwin misses free throw 2 of 2
2:32.0,Defensive rebound by J. Noah,,25-16,,
2:12.0,Shooting foul by A. Len (drawn by J. Butler),,25-16,,
2:12.0,J. Butler misses free throw 1 of 2,,25-16,,
2:12.0,Offensive rebound by Team,,25-16,,
2:12.0,J. Butler makes free throw 2 of 2,1,26-16,,
2:01.0,,,26-18,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
1:44.0,A. Brooks makes 3-pt shot from 25 ft (assist by D. McDermott),3,29-18,,
1:23.0,,,29-18,,E. Bledsoe misses 2-pt shot from 8 ft
