time,Detroit,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. P. Gasol (D. Rose gains possession),,,,Jump ball: A. Drummond vs. P. Gasol (D. Rose gains possession)
11:46.0,,,0-0,,Turnover by D. Rose (bad pass; steal by K. Caldwell-Pope)
11:29.0,,,0-0,,Personal foul by T. Snell (drawn by M. Morris)
11:19.0,M. Morris misses 2-pt shot from 18 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by J. Butler
11:11.0,,,0-0,,D. Rose misses 2-pt shot from 1 ft
11:08.0,Defensive rebound by A. Drummond,,0-0,,
10:57.0,A. Drummond makes 2-pt shot from 4 ft,2,2-0,,
10:38.0,,,2-0,,D. Rose misses 2-pt shot from 2 ft
10:37.0,Defensive rebound by A. Drummond,,2-0,,
10:29.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson),2,4-0,,
10:17.0,,,4-2,2,T. Gibson makes 2-pt shot from 14 ft (assist by J. Butler)
10:06.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson),2,6-2,,
9:51.0,,,6-4,2,P. Gasol makes 2-pt shot from 9 ft
9:32.0,Shooting foul by T. Snell (drawn by K. Caldwell-Pope),,6-4,,
9:32.0,K. Caldwell-Pope misses free throw 1 of 2,,6-4,,
9:32.0,Offensive rebound by Team,,6-4,,
9:32.0,,,6-4,,D. McDermott enters the game for T. Snell
9:32.0,K. Caldwell-Pope makes free throw 2 of 2,1,7-4,,
9:15.0,,,7-4,,P. Gasol misses 2-pt shot from 19 ft
9:14.0,Defensive rebound by K. Caldwell-Pope,,7-4,,
9:05.0,A. Drummond makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope),2,9-4,,
8:56.0,Personal foul by E. Ilyasova (drawn by T. Gibson),,9-4,,
8:41.0,,,9-4,,P. Gasol misses 2-pt shot from 2 ft
8:40.0,Defensive rebound by E. Ilyasova,,9-4,,
8:29.0,A. Drummond misses 2-pt shot from 1 ft (block by P. Gasol),,9-4,,
8:27.0,,,9-4,,Defensive rebound by D. McDermott
8:24.0,Personal foul by R. Jackson (drawn by P. Gasol),,9-4,,
8:17.0,,,9-6,2,P. Gasol makes 2-pt shot from 14 ft (assist by D. Rose)
7:54.0,E. Ilyasova makes 2-pt shot from 18 ft (assist by R. Jackson),2,11-6,,
7:40.0,,,11-6,,Turnover by T. Gibson (bad pass; steal by A. Drummond)
7:35.0,R. Jackson misses 2-pt shot from 19 ft,,11-6,,
7:34.0,Offensive rebound by M. Morris,,11-6,,
7:29.0,E. Ilyasova misses 3-pt shot from 25 ft,,11-6,,
7:28.0,Offensive rebound by A. Drummond,,11-6,,
7:14.0,A. Drummond misses 2-pt shot from 12 ft,,11-6,,
7:13.0,,,11-6,,Defensive rebound by T. Gibson
7:09.0,,,11-6,,Shooting foul by R. Jackson (drawn by D. Rose)
7:09.0,,,11-7,1,D. Rose makes free throw 1 of 2
7:09.0,S. Blake enters the game for R. Jackson,,11-7,,
7:09.0,,,11-7,,J. Noah enters the game for T. Gibson
7:09.0,,,11-8,1,D. Rose makes free throw 2 of 2
6:56.0,K. Caldwell-Pope makes 2-pt shot from 14 ft,2,13-8,,
6:51.0,,,13-8,,Shooting foul by K. Caldwell-Pope (drawn by J. Butler)
6:51.0,,,13-9,1,J. Butler makes free throw 1 of 2
6:51.0,,,13-10,1,J. Butler makes free throw 2 of 2
