time,Houston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Howard (J. Dudley gains possession),,,,Jump ball: M. Gortat vs. D. Howard (J. Dudley gains possession)
11:45.0,,,0-0,,B. Beal misses 2-pt shot from 20 ft
11:44.0,,,0-0,,Offensive rebound by M. Gortat
11:42.0,,,0-2,2,M. Gortat makes 2-pt shot from 4 ft
11:18.0,C. Brewer makes 3-pt shot from 23 ft (assist by C. Capela),3,3-2,,
11:03.0,,,3-4,2,J. Dudley makes 2-pt shot from 17 ft (assist by J. Wall)
10:45.0,P. Beverley misses 3-pt shot from 26 ft,,3-4,,
10:45.0,,,3-4,,Defensive rebound by M. Gortat
10:32.0,,,3-4,,B. Beal misses 2-pt shot at rim
10:30.0,,,3-4,,Offensive rebound by B. Beal
10:18.0,,,3-4,,J. Dudley misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by P. Beverley,,3-4,,
10:14.0,,,3-4,,Violation by J. Wall (def goaltending)
10:14.0,C. Brewer makes 2-pt shot at rim (assist by P. Beverley),2,5-4,,
10:07.0,,,5-4,,Turnover by B. Beal (bad pass; steal by D. Howard)
9:55.0,C. Capela makes 2-pt shot at rim (assist by P. Beverley),2,7-4,,
9:43.0,,,7-4,,J. Wall misses 2-pt shot at rim
9:42.0,Defensive rebound by D. Howard,,7-4,,
9:35.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,9-4,,
9:28.0,,,9-4,,Washington full timeout
9:08.0,,,9-4,,B. Beal misses 2-pt shot from 13 ft (block by D. Howard)
9:08.0,Defensive rebound by Team,,9-4,,
8:57.0,,,9-4,,Personal foul by M. Gortat (drawn by D. Howard)
8:55.0,Turnover by P. Beverley (lost ball; steal by J. Wall),,9-4,,
8:52.0,,,9-6,2,J. Wall makes 2-pt shot from 2 ft
8:41.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,11-6,,
8:31.0,,,11-6,,B. Beal misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by D. Howard,,11-6,,
8:20.0,D. Howard makes 2-pt shot from 2 ft (assist by J. Harden),2,13-6,,
8:11.0,Personal foul by P. Beverley (drawn by J. Wall),,13-6,,
8:11.0,T. Jones enters the game for D. Howard,,13-6,,
8:05.0,,,13-6,,Shooting foul by C. Brewer (drawn by M. Gortat)
8:05.0,,,13-7,1,M. Gortat makes free throw 1 of 2
8:05.0,,,13-8,1,M. Gortat makes free throw 2 of 2
7:50.0,T. Jones misses 2-pt shot from 5 ft,,13-8,,
7:49.0,,,13-8,,Defensive rebound by M. Gortat
7:40.0,,,13-8,,B. Beal misses 3-pt shot from 26 ft
7:39.0,Defensive rebound by T. Jones,,13-8,,
7:16.0,C. Brewer misses 2-pt shot from 15 ft,,13-8,,
7:16.0,,,13-8,,Defensive rebound by M. Gortat
7:07.0,,,13-8,,J. Wall misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by C. Brewer,,13-8,,
7:02.0,T. Jones makes 2-pt shot at rim (assist by C. Brewer),2,15-8,,
6:42.0,,,15-11,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
6:34.0,,,15-11,,Personal foul by O. Porter (drawn by J. Harden)
6:26.0,Turnover by J. Harden (bad pass),,15-11,,
6:18.0,,,15-11,,O. Porter misses 2-pt shot at rim
6:17.0,Defensive rebound by C. Brewer,,15-11,,
5:52.0,P. Beverley misses 3-pt shot from 25 ft,,15-11,,
5:50.0,Offensive rebound by C. Capela,,15-11,,
5:41.0,Turnover by J. Harden (bad pass; steal by J. Wall),,15-11,,
5:35.0,,,15-11,,O. Porter misses 2-pt shot from 3 ft
5:30.0,Defensive rebound by J. Harden,,15-11,,
5:16.0,J. Harden makes 3-pt shot from 28 ft,3,18-11,,
5:04.0,,,18-11,,J. Wall misses 2-pt shot from 20 ft
5:03.0,,,18-11,,Offensive rebound by O. Porter
5:00.0,,,18-11,,O. Porter misses 2-pt shot at rim
4:59.0,Defensive rebound by P. Beverley,,18-11,,
4:45.0,J. Harden misses 2-pt shot from 4 ft,,18-11,,
4:44.0,Offensive rebound by J. Harden,,18-11,,
4:42.0,J. Harden makes 2-pt shot from 2 ft,2,20-11,,
4:37.0,,,20-13,2,J. Wall makes 2-pt shot from 1 ft
4:26.0,Houston full timeout,,20-13,,
4:26.0,,,20-13,,G. Neal enters the game for O. Porter
4:26.0,D. Howard enters the game for C. Brewer,,20-13,,
4:26.0,T. Lawson enters the game for C. Capela,,20-13,,
4:26.0,M. Thornton enters the game for P. Beverley,,20-13,,
4:12.0,J. Harden makes 2-pt shot from 18 ft,2,22-13,,
3:52.0,,,22-13,,Turnover by M. Gortat (bad pass)
3:36.0,,,22-13,,G. Temple enters the game for B. Beal
3:29.0,T. Jones misses 2-pt shot from 16 ft,,22-13,,
3:28.0,,,22-13,,Defensive rebound by J. Dudley
3:24.0,,,22-13,,J. Wall misses 2-pt shot at rim
3:24.0,,,22-13,,Offensive rebound by Team
3:24.0,Loose ball foul by J. Harden (drawn by G. Temple),,22-13,,
3:09.0,,,22-15,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
2:51.0,M. Thornton makes 2-pt shot from 5 ft (assist by D. Howard),2,24-15,,
2:33.0,,,24-15,,M. Gortat misses 2-pt shot from 11 ft
2:32.0,Defensive rebound by J. Harden,,24-15,,
2:23.0,J. Harden makes 3-pt shot from 26 ft,3,27-15,,
2:04.0,,,27-15,,J. Wall misses 2-pt shot from 1 ft
2:03.0,,,27-15,,Offensive rebound by M. Gortat
2:02.0,,,27-17,2,M. Gortat makes 2-pt shot from 1 ft
1:53.0,M. Thornton misses 2-pt shot from 17 ft,,27-17,,
1:52.0,,,27-17,,Defensive rebound by J. Wall
1:46.0,,,27-17,,G. Temple misses 2-pt shot from 1 ft
1:44.0,Defensive rebound by M. Thornton,,27-17,,
1:42.0,,,27-17,,Personal foul by J. Dudley (drawn by J. Harden)
1:42.0,P. Beverley enters the game for J. Harden,,27-17,,
1:28.0,Shooting foul by G. Temple (drawn by D. Howard),,27-17,,
1:28.0,D. Howard makes free throw 1 of 2,1,28-17,,
1:28.0,,,28-17,,O. Porter enters the game for J. Dudley
1:28.0,D. Howard misses free throw 2 of 2,,28-17,,
1:27.0,,,28-17,,Defensive rebound by M. Gortat
1:05.0,,,28-17,,G. Temple misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by D. Howard,,28-17,,
0:57.0,T. Jones misses 2-pt shot from 19 ft,,28-17,,
0:54.0,,,28-17,,Defensive rebound by J. Wall
0:52.0,,,28-17,,Offensive foul by J. Wall
0:52.0,,,28-17,,Turnover by J. Wall (offensive foul)
0:52.0,,,28-17,,R. Sessions enters the game for J. Wall
0:35.0,Shooting foul by O. Porter (drawn by T. Jones),,28-17,,
0:35.0,T. Jones makes free throw 1 of 2,1,29-17,,
0:35.0,T. Jones makes free throw 2 of 2,1,30-17,,
0:25.0,,,30-17,,G. Neal misses 2-pt shot from 20 ft
0:24.0,Defensive rebound by T. Jones,,30-17,,
0:05.0,T. Lawson misses 2-pt shot from 1 ft (block by M. Gortat),,30-17,,
0:03.0,,,30-17,,Defensive rebound by R. Sessions
0:02.0,,,30-17,,Turnover by R. Sessions (bad pass; steal by T. Lawson)
0:00.0,T. Lawson misses 3-pt shot from 36 ft,,30-17,,
0:00.0,Offensive rebound by Team,,30-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Shooting foul by M. Gortat (drawn by C. Capela),,30-17,,
11:50.0,C. Capela misses free throw 1 of 2,,30-17,,
11:50.0,Offensive rebound by Team,,30-17,,
11:50.0,C. Capela misses free throw 2 of 2,,30-17,,
11:50.0,,,30-17,,Defensive rebound by Team
11:50.0,Loose ball foul by D. Motiejunas (drawn by M. Gortat),,30-17,,
11:50.0,,,30-17,,D. Blair enters the game for M. Gortat
11:31.0,,,30-17,,Turnover by G. Neal (lost ball)
11:10.0,D. Motiejunas misses 2-pt shot from 10 ft,,30-17,,
11:09.0,,,30-17,,Defensive rebound by D. Blair
11:02.0,,,30-17,,R. Sessions misses 2-pt shot at rim
11:00.0,Defensive rebound by T. Lawson,,30-17,,
10:55.0,P. Beverley misses 3-pt shot from 27 ft,,30-17,,
10:54.0,Offensive rebound by Team,,30-17,,
10:50.0,M. Thornton misses 2-pt shot from 3 ft,,30-17,,
10:50.0,,,30-17,,Defensive rebound by B. Beal
10:43.0,,,30-17,,O. Porter misses 2-pt shot from 3 ft
10:42.0,Defensive rebound by C. Capela,,30-17,,
10:34.0,C. Capela misses 2-pt shot from 1 ft,,30-17,,
10:34.0,Offensive rebound by C. Capela,,30-17,,
10:32.0,C. Capela makes 2-pt shot from 1 ft,2,32-17,,
10:19.0,,,32-19,2,B. Beal makes 2-pt shot from 19 ft
10:05.0,T. Lawson misses 2-pt shot at rim (block by B. Beal),,32-19,,
10:04.0,,,32-19,,Defensive rebound by B. Beal
9:59.0,,,32-21,2,R. Sessions makes 2-pt shot at rim (assist by B. Beal)
9:41.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by C. Capela),2,34-21,,
9:34.0,Personal block foul by D. Motiejunas (drawn by R. Sessions),,34-21,,
9:24.0,,,34-21,,D. Blair misses 2-pt shot from 1 ft
9:24.0,,,34-21,,Offensive rebound by O. Porter
9:22.0,,,34-23,2,O. Porter makes 2-pt shot from 2 ft
9:12.0,Offensive foul by D. Motiejunas,,34-23,,
9:12.0,Turnover by D. Motiejunas (offensive foul),,34-23,,
9:12.0,T. Jones enters the game for D. Motiejunas,,34-23,,
8:56.0,,,34-23,,B. Beal misses 2-pt shot from 14 ft
8:55.0,,,34-23,,Offensive rebound by O. Porter
