time,Miami,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. H. Whiteside (A. Roberson gains possession),,,,Jump ball: S. Adams vs. H. Whiteside (A. Roberson gains possession)
11:51.0,Jump ball: L. Deng vs. A. Roberson,,,,Jump ball: L. Deng vs. A. Roberson
11:42.0,,,0-0,,A. Roberson misses 2-pt shot from 1 ft (block by H. Whiteside)
11:41.0,Defensive rebound by D. Wade,,0-0,,
11:20.0,C. Bosh misses 2-pt shot from 10 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by R. Westbrook
11:14.0,,,0-0,,Turnover by R. Westbrook (lost ball; steal by L. Deng)
11:00.0,H. Whiteside misses 2-pt shot from 15 ft,,0-0,,
10:59.0,,,0-0,,Defensive rebound by K. Durant
10:42.0,,,0-0,,Turnover by R. Westbrook (bad pass; steal by H. Whiteside)
10:29.0,Shooting foul by S. Ibaka (drawn by C. Bosh),,0-0,,
10:29.0,C. Bosh makes free throw 1 of 2,1,1-0,,
10:29.0,C. Bosh makes free throw 2 of 2,1,2-0,,
10:18.0,,,2-0,,K. Durant misses 2-pt shot from 9 ft
10:18.0,Defensive rebound by H. Whiteside,,2-0,,
10:03.0,D. Wade makes 2-pt shot from 15 ft (assist by T. Johnson),2,4-0,,
9:44.0,,,4-0,,Shooting foul by T. Johnson (drawn by R. Westbrook)
9:44.0,,,4-1,1,R. Westbrook makes free throw 1 of 2
9:44.0,,,4-2,1,R. Westbrook makes free throw 2 of 2
9:34.0,T. Johnson makes 2-pt shot from 10 ft,2,6-2,,
9:21.0,,,6-2,,Turnover by K. Durant (lost ball; steal by L. Deng)
9:16.0,D. Wade makes 2-pt shot from 4 ft,2,8-2,,
9:03.0,,,8-4,2,R. Westbrook makes 2-pt shot from 1 ft
8:39.0,D. Wade misses 2-pt shot from 11 ft,,8-4,,
8:38.0,,,8-4,,Defensive rebound by S. Adams
8:35.0,,,8-6,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:35.0,,,8-6,,Shooting foul by L. Deng (drawn by K. Durant)
8:35.0,,,8-7,1,K. Durant makes free throw 1 of 1
8:22.0,T. Johnson makes 2-pt shot at rim (assist by C. Bosh),2,10-7,,
8:11.0,,,10-9,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
7:51.0,T. Johnson misses 2-pt shot from 17 ft,,10-9,,
7:50.0,,,10-9,,Defensive rebound by K. Durant
7:44.0,,,10-9,,K. Durant misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by Team,,10-9,,
7:28.0,D. Wade makes 2-pt shot from 4 ft,2,12-9,,
7:10.0,,,12-11,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
6:45.0,Turnover by D. Wade (bad pass; steal by K. Durant),,12-11,,
6:44.0,,,12-11,,Shooting foul by C. Bosh (drawn by K. Durant)
6:44.0,,,12-12,1,K. Durant makes free throw 1 of 2
6:44.0,J. Richardson enters the game for T. Johnson,,12-12,,
6:44.0,G. Green enters the game for C. Bosh,,12-12,,
6:44.0,,,12-13,1,K. Durant makes free throw 2 of 2
6:25.0,D. Wade misses 3-pt shot from 24 ft,,12-13,,
6:24.0,,,12-13,,Defensive rebound by A. Roberson
6:05.0,,,12-15,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:57.0,Miami full timeout,,12-15,,
