time,Washington,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. K. Towns (G. Dieng gains possession),,,,Jump ball: M. Gortat vs. K. Towns (G. Dieng gains possession)
11:40.0,,,0-0,,A. Wiggins misses 2-pt shot from 15 ft
11:39.0,Defensive rebound by G. Temple,,0-0,,
11:26.0,Turnover by M. Morris (offensive foul),,0-0,,
11:26.0,Offensive foul by M. Morris,,0-0,,
11:14.0,,,0-0,,K. Towns misses 2-pt shot from 2 ft
11:12.0,Defensive rebound by M. Morris,,0-0,,
11:07.0,Turnover by O. Porter (bad pass; steal by A. Wiggins),,0-0,,
11:01.0,,,0-2,2,A. Wiggins makes 2-pt shot from 1 ft
10:46.0,G. Temple misses 3-pt shot from 23 ft,,0-2,,
10:45.0,,,0-2,,Defensive rebound by K. Towns
10:34.0,,,0-2,,R. Rubio misses 2-pt shot from 20 ft
10:32.0,Defensive rebound by M. Morris,,0-2,,
10:14.0,Turnover by O. Porter (bad pass; steal by R. Rubio),,0-2,,
10:10.0,,,0-2,,R. Rubio misses 2-pt shot at rim
10:09.0,Defensive rebound by O. Porter,,0-2,,
10:03.0,Turnover by G. Temple (bad pass; steal by K. Towns),,0-2,,
9:57.0,,,0-4,2,R. Rubio makes 2-pt shot from 16 ft (assist by K. Towns)
9:46.0,M. Morris makes 3-pt shot from 25 ft (assist by G. Temple),3,3-4,,
9:25.0,,,3-6,2,R. Rubio makes 2-pt shot from 21 ft
9:18.0,,,3-6,,Violation by G. Dieng (def goaltending)
9:18.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,5-6,,
9:00.0,,,5-8,2,A. Wiggins makes 2-pt shot from 20 ft (assist by G. Dieng)
8:46.0,M. Gortat misses 2-pt shot from 13 ft,,5-8,,
8:45.0,,,5-8,,Defensive rebound by K. Towns
8:39.0,,,5-10,2,R. Rubio makes 2-pt shot from 17 ft
8:14.0,G. Temple misses 2-pt shot from 21 ft,,5-10,,
