time,Portland,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Plumlee (O. Asik gains possession),,,,Jump ball: A. Davis vs. M. Plumlee (O. Asik gains possession)
11:39.0,,,0-0,,Turnover by A. Gee (bad pass; steal by N. Vonleh)
11:33.0,Turnover by C. McCollum (bad pass),,0-0,,
11:17.0,,,0-0,,O. Asik misses 2-pt shot from 2 ft
11:16.0,,,0-0,,Offensive rebound by A. Gee
11:16.0,,,0-2,2,A. Gee makes 2-pt shot from 1 ft
10:53.0,M. Plumlee misses 2-pt shot from 7 ft (block by A. Davis),,0-2,,
10:52.0,Offensive rebound by M. Plumlee,,0-2,,
10:50.0,M. Plumlee makes 2-pt shot from 2 ft,2,2-2,,
10:20.0,,,2-2,,T. Evans misses 3-pt shot from 23 ft
10:20.0,Defensive rebound by N. Vonleh,,2-2,,
10:09.0,A. Crabbe misses 2-pt shot from 22 ft,,2-2,,
10:09.0,,,2-2,,Defensive rebound by E. Gordon
10:01.0,,,2-5,3,E. Gordon makes 3-pt shot from 24 ft
9:44.0,A. Aminu misses 3-pt shot from 24 ft,,2-5,,
9:44.0,,,2-5,,Defensive rebound by E. Gordon
9:40.0,Personal foul by N. Vonleh (drawn by A. Davis),,2-5,,
9:27.0,,,2-5,,A. Davis misses 2-pt shot at rim (block by M. Plumlee)
9:25.0,Defensive rebound by C. McCollum,,2-5,,
9:14.0,N. Vonleh makes 2-pt shot from 1 ft (assist by M. Plumlee),2,4-5,,
9:00.0,,,4-7,2,A. Davis makes 2-pt shot from 11 ft (assist by E. Gordon)
8:48.0,C. McCollum makes 2-pt shot from 13 ft,2,6-7,,
8:37.0,,,6-7,,T. Evans misses 3-pt shot from 24 ft
8:36.0,,,6-7,,Offensive rebound by A. Davis
8:23.0,,,6-7,,A. Davis misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by A. Aminu,,6-7,,
8:17.0,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu),2,8-7,,
7:59.0,,,8-7,,E. Gordon misses 3-pt shot from 27 ft
7:58.0,Defensive rebound by A. Aminu,,8-7,,
7:45.0,A. Crabbe makes 2-pt shot from 14 ft (assist by C. McCollum),2,10-7,,
7:24.0,,,10-7,,T. Evans misses 2-pt shot from 1 ft
7:23.0,,,10-7,,Offensive rebound by T. Evans
7:23.0,,,10-9,2,T. Evans makes 2-pt shot from 1 ft
7:12.0,C. McCollum misses 2-pt shot from 23 ft,,10-9,,
7:11.0,,,10-9,,Defensive rebound by A. Davis
6:58.0,,,10-11,2,O. Asik makes 2-pt shot from 2 ft (assist by T. Evans)
6:40.0,A. Aminu makes 2-pt shot from 13 ft,2,12-11,,
6:21.0,,,12-11,,Turnover by T. Evans (traveling)
6:05.0,Turnover by A. Aminu (lost ball; steal by E. Gordon),,12-11,,
6:02.0,,,12-11,,Shooting foul by A. Crabbe (drawn by E. Gordon)
6:02.0,,,12-12,1,E. Gordon makes free throw 1 of 2
6:02.0,,,12-13,1,E. Gordon makes free throw 2 of 2
5:51.0,C. McCollum misses 2-pt shot from 17 ft,,12-13,,
5:48.0,,,12-13,,Defensive rebound by E. Gordon
5:38.0,,,12-16,3,E. Gordon makes 3-pt shot from 25 ft (assist by O. Asik)
5:36.0,Portland full timeout,,12-16,,
5:36.0,,,12-16,,R. Anderson enters the game for O. Asik
5:36.0,,,12-16,,J. Holiday enters the game for A. Gee
5:36.0,M. Leonard enters the game for N. Vonleh,,12-16,,
5:20.0,Turnover by A. Aminu (bad pass; steal by A. Davis),,12-16,,
5:13.0,,,12-16,,Shooting foul by M. Plumlee (drawn by A. Davis)
5:13.0,,,12-17,1,A. Davis makes free throw 1 of 2
5:13.0,,,12-18,1,A. Davis makes free throw 2 of 2
