time,Sacramento,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. T. Thompson (R. Gay gains possession),,,,Jump ball: W. Cauley-Stein vs. T. Thompson (R. Gay gains possession)
11:44.0,R. Rondo misses 2-pt shot from 1 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by K. Love
11:36.0,,,0-0,,J. Smith misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by R. Rondo,,0-0,,
11:20.0,D. Cousins makes 2-pt shot from 7 ft (assist by R. Rondo),2,2-0,,
10:59.0,Personal foul by W. Cauley-Stein (drawn by T. Thompson),,2-0,,
10:51.0,,,2-0,,K. Love misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by R. Gay,,2-0,,
10:35.0,M. Belinelli misses 2-pt shot at rim (block by L. James),,2-0,,
10:34.0,,,2-0,,Defensive rebound by T. Thompson
10:25.0,,,2-3,3,K. Irving makes 3-pt shot from 24 ft
10:05.0,M. Belinelli makes 3-pt shot from 24 ft (assist by R. Rondo),3,5-3,,
9:38.0,,,5-3,,J. Smith misses 2-pt shot from 16 ft
9:38.0,,,5-3,,Offensive rebound by J. Smith
9:34.0,,,5-6,3,K. Irving makes 3-pt shot from 23 ft (assist by L. James)
9:16.0,R. Gay makes 2-pt shot from 20 ft,2,7-6,,
9:05.0,,,7-8,2,L. James makes 2-pt shot at rim (assist by K. Irving)
8:56.0,Turnover by R. Rondo (bad pass),,7-8,,
8:43.0,,,7-10,2,K. Irving makes 2-pt shot at rim (assist by L. James)
8:31.0,Shooting foul by K. Irving (drawn by R. Rondo),,7-10,,
8:31.0,R. Rondo misses free throw 1 of 2,,7-10,,
8:31.0,Offensive rebound by Team,,7-10,,
8:31.0,R. Rondo misses free throw 2 of 2,,7-10,,
8:30.0,,,7-10,,Defensive rebound by L. James
8:17.0,,,7-10,,Personal foul by T. Thompson (drawn by D. Cousins)
8:17.0,Personal foul by D. Cousins,,7-10,,
8:17.0,,,7-10,,Shooting foul by R. Gay (drawn by K. Love)
8:17.0,,,7-11,1,K. Love makes free throw 1 of 2
8:17.0,,,7-12,1,K. Love makes free throw 2 of 2
7:55.0,W. Cauley-Stein misses 2-pt shot from 4 ft (block by T. Thompson),,7-12,,
7:54.0,,,7-12,,Defensive rebound by L. James
7:53.0,Personal foul by R. Gay (drawn by L. James),,7-12,,
7:53.0,J. Anderson enters the game for R. Gay,,7-12,,
7:39.0,,,7-12,,L. James misses 2-pt shot from 12 ft
7:36.0,Defensive rebound by J. Anderson,,7-12,,
7:33.0,M. Belinelli misses 2-pt shot from 1 ft,,7-12,,
7:32.0,Offensive rebound by W. Cauley-Stein,,7-12,,
7:32.0,W. Cauley-Stein misses 2-pt shot at rim,,7-12,,
7:31.0,,,7-12,,Defensive rebound by T. Thompson
7:20.0,,,7-12,,K. Love misses 2-pt shot from 17 ft
7:18.0,Defensive rebound by R. Rondo,,7-12,,
7:17.0,Turnover by R. Rondo (step out of bounds),,7-12,,
7:04.0,,,7-12,,Turnover by K. Irving (lost ball)
6:55.0,M. Belinelli makes 2-pt shot from 21 ft (assist by R. Rondo),2,9-12,,
6:39.0,,,9-12,,K. Love misses 3-pt shot from 23 ft
6:39.0,,,9-12,,Offensive rebound by Team
6:39.0,Personal foul by M. Belinelli (drawn by T. Thompson),,9-12,,
6:35.0,Personal foul by D. Cousins (drawn by L. James),,9-12,,
6:35.0,,,9-13,1,L. James makes free throw 1 of 2
6:35.0,K. Koufos enters the game for D. Cousins,,9-13,,
6:35.0,,,9-14,1,L. James makes free throw 2 of 2
6:23.0,M. Belinelli makes 2-pt shot from 18 ft (assist by R. Rondo),2,11-14,,
6:23.0,Shooting foul by J. Smith (drawn by M. Belinelli),,11-14,,
6:23.0,M. Belinelli makes free throw 1 of 1,1,12-14,,
6:10.0,,,12-14,,L. James misses 2-pt shot from 2 ft (block by J. Anderson)
6:08.0,Defensive rebound by J. Anderson,,12-14,,
6:04.0,Offensive foul by J. Anderson,,12-14,,
6:04.0,Turnover by J. Anderson (offensive foul),,12-14,,
5:53.0,,,12-17,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving)
5:42.0,M. Belinelli misses 3-pt shot from 24 ft,,12-17,,
5:42.0,,,12-17,,Defensive rebound by T. Thompson
5:33.0,,,12-17,,K. Irving misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by R. Rondo,,12-17,,
5:16.0,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by J. Anderson),2,14-17,,
5:13.0,,,14-17,,Cleveland full timeout
4:57.0,,,14-19,2,L. James makes 2-pt shot from 4 ft
4:57.0,,,14-19,,Shooting foul by J. Anderson (drawn by L. James)
4:57.0,,,14-20,1,L. James makes free throw 1 of 1
4:42.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo),2,16-20,,
4:23.0,,,16-20,,Turnover by L. James (bad pass; steal by K. Koufos)
4:07.0,R. Rondo misses 2-pt shot at rim,,16-20,,
4:06.0,,,16-20,,Defensive rebound by T. Thompson
3:59.0,,,16-20,,J. Smith misses 3-pt shot from 24 ft
3:58.0,,,16-20,,Offensive rebound by K. Love
3:55.0,,,16-20,,Turnover by K. Love (bad pass; steal by R. Rondo)
3:55.0,Shooting foul by L. James (drawn by W. Cauley-Stein),,16-20,,
3:55.0,W. Cauley-Stein misses free throw 1 of 2,,16-20,,
3:55.0,Offensive rebound by Team,,16-20,,
3:55.0,,,16-20,,T. Mozgov enters the game for T. Thompson
3:55.0,W. Cauley-Stein makes free throw 2 of 2,1,17-20,,
3:37.0,,,17-22,2,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James)
3:20.0,M. Belinelli misses 2-pt shot from 17 ft,,17-22,,
3:19.0,,,17-22,,Defensive rebound by K. Love
3:13.0,,,17-24,2,J. Smith makes 2-pt shot at rim (assist by K. Love)
3:04.0,Turnover by R. Rondo (bad pass),,17-24,,
3:04.0,,,17-24,,I. Shumpert enters the game for K. Love
3:00.0,O. Casspi enters the game for W. Cauley-Stein,,17-24,,
3:00.0,D. Collison enters the game for M. Belinelli,,17-24,,
2:46.0,,,17-24,,J. Smith misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by J. Anderson,,17-24,,
2:39.0,K. Koufos makes 2-pt shot from 9 ft (assist by D. Collison),2,19-24,,
2:25.0,,,19-24,,K. Irving misses 2-pt shot from 8 ft
2:20.0,Defensive rebound by R. Rondo,,19-24,,
2:04.0,J. Anderson makes 2-pt shot from 8 ft,2,21-24,,
1:58.0,,,21-26,2,I. Shumpert makes 2-pt shot from 6 ft (assist by K. Irving)
1:58.0,,,21-26,,Shooting foul by D. Collison (drawn by I. Shumpert)
1:58.0,Sacramento full timeout,,21-26,,
1:58.0,,,21-26,,M. Williams enters the game for K. Irving
1:58.0,,,21-26,,I. Shumpert misses free throw 1 of 1
1:57.0,Defensive rebound by O. Casspi,,21-26,,
1:42.0,O. Casspi misses 2-pt shot from 2 ft,,21-26,,
1:41.0,,,21-26,,Defensive rebound by L. James
1:38.0,,,21-26,,Turnover by L. James (bad pass; steal by J. Anderson)
1:33.0,O. Casspi misses 2-pt shot from 2 ft,,21-26,,
1:31.0,,,21-26,,Defensive rebound by L. James
1:25.0,,,21-26,,J. Smith misses 2-pt shot from 7 ft (block by J. Anderson)
1:23.0,,,21-26,,Offensive rebound by L. James
1:16.0,,,21-26,,M. Williams misses 2-pt shot from 17 ft
1:15.0,Defensive rebound by R. Rondo,,21-26,,
1:03.0,O. Casspi misses 2-pt shot from 4 ft,,21-26,,
1:02.0,,,21-26,,Defensive rebound by I. Shumpert
0:47.0,Violation by O. Casspi (kicked ball),,21-26,,
0:46.0,,,21-28,2,J. Smith makes 2-pt shot at rim (assist by L. James)
0:36.0,R. Rondo misses 3-pt shot from 23 ft,,21-28,,
0:36.0,,,21-28,,Defensive rebound by I. Shumpert
0:29.0,,,21-31,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
0:05.0,K. Koufos makes 2-pt shot from 8 ft (assist by R. Rondo),2,23-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,23-33,2,K. Irving makes 2-pt shot at rim
11:21.0,R. Gay makes 3-pt shot from 24 ft (assist by K. Koufos),3,26-33,,
11:11.0,,,26-35,2,M. Williams makes 2-pt shot from 18 ft
10:54.0,D. Collison misses 2-pt shot from 7 ft,,26-35,,
10:53.0,Offensive rebound by K. Koufos,,26-35,,
10:53.0,K. Koufos makes 2-pt shot at rim,2,28-35,,
10:53.0,Shooting foul by T. Mozgov (drawn by K. Koufos),,28-35,,
10:53.0,K. Koufos misses free throw 1 of 1,,28-35,,
10:52.0,,,28-35,,Defensive rebound by I. Shumpert
10:31.0,,,28-35,,M. Williams misses 2-pt shot from 5 ft (block by K. Koufos)
10:29.0,Defensive rebound by R. Gay,,28-35,,
10:14.0,K. Koufos misses 2-pt shot from 6 ft,,28-35,,
10:13.0,,,28-35,,Defensive rebound by R. Jefferson
10:05.0,,,28-35,,K. Irving misses 2-pt shot from 16 ft
10:04.0,Defensive rebound by K. Koufos,,28-35,,
9:52.0,D. Collison misses 2-pt shot from 9 ft,,28-35,,
9:52.0,,,28-35,,Defensive rebound by K. Irving
9:50.0,Personal foul by D. Collison (drawn by K. Irving),,28-35,,
9:50.0,D. Cousins enters the game for K. Koufos,,28-35,,
9:50.0,M. Belinelli enters the game for J. Anderson,,28-35,,
9:32.0,,,28-37,2,R. Jefferson makes 2-pt shot at rim (assist by K. Irving)
9:17.0,R. Gay misses 2-pt shot from 6 ft,,28-37,,
9:12.0,,,28-37,,Defensive rebound by I. Shumpert
8:58.0,,,28-39,2,M. Williams makes 2-pt shot from 19 ft
8:48.0,D. Cousins makes 2-pt shot from 19 ft,2,30-39,,
8:31.0,,,30-39,,T. Mozgov misses 2-pt shot at rim
8:27.0,,,30-39,,Offensive rebound by R. Jefferson
8:22.0,,,30-39,,R. Jefferson misses 3-pt shot from 22 ft
8:22.0,,,30-39,,Offensive rebound by I. Shumpert
8:22.0,,,30-41,2,I. Shumpert makes 2-pt shot from 1 ft
8:07.0,D. Cousins misses 2-pt shot from 6 ft (block by T. Mozgov),,30-41,,
8:04.0,,,30-41,,Defensive rebound by T. Mozgov
8:01.0,,,30-43,2,K. Irving makes 2-pt shot from 1 ft
8:01.0,Sacramento full timeout,,30-43,,
7:54.0,,,30-43,,Personal foul by T. Mozgov (drawn by D. Cousins)
7:43.0,D. Cousins misses 2-pt shot from 16 ft,,30-43,,
7:42.0,,,30-43,,Defensive rebound by I. Shumpert
7:37.0,,,30-43,,Turnover by R. Jefferson (lost ball)
7:25.0,M. Belinelli misses 3-pt shot from 23 ft,,30-43,,
7:25.0,,,30-43,,Defensive rebound by I. Shumpert
7:17.0,,,30-43,,I. Shumpert misses 2-pt shot from 14 ft
7:14.0,Defensive rebound by D. Cousins,,30-43,,
7:08.0,O. Casspi misses 3-pt shot from 26 ft,,30-43,,
7:07.0,,,30-43,,Defensive rebound by I. Shumpert
6:54.0,,,30-43,,Offensive foul by I. Shumpert
6:54.0,,,30-43,,Turnover by I. Shumpert (offensive foul)
6:54.0,,,30-43,,J. Smith enters the game for I. Shumpert
6:54.0,,,30-43,,L. James enters the game for R. Jefferson
6:43.0,D. Cousins misses 2-pt shot from 17 ft,,30-43,,
6:42.0,,,30-43,,Defensive rebound by L. James
6:36.0,,,30-45,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
6:21.0,R. Gay makes 3-pt shot from 23 ft (assist by D. Collison),3,33-45,,
5:49.0,,,33-45,,L. James misses 2-pt shot at rim
5:48.0,Defensive rebound by R. Gay,,33-45,,
5:48.0,,,33-45,,Personal foul by M. Williams (drawn by R. Gay)
5:48.0,Official timeout,,33-45,,
5:48.0,R. Rondo enters the game for O. Casspi,,33-45,,
5:48.0,,,33-45,,T. Thompson enters the game for T. Mozgov
5:48.0,,,33-45,,K. Love enters the game for M. Williams
5:48.0,W. Cauley-Stein enters the game for D. Collison,,33-45,,
5:28.0,Shooting foul by K. Love (drawn by D. Cousins),,33-45,,
5:28.0,D. Cousins misses free throw 1 of 2,,33-45,,
5:28.0,Offensive rebound by Team,,33-45,,
5:28.0,D. Cousins makes free throw 2 of 2,1,34-45,,
5:09.0,,,34-45,,K. Love misses 2-pt shot from 5 ft
5:09.0,Defensive rebound by D. Cousins,,34-45,,
5:03.0,R. Rondo misses 2-pt shot from 1 ft,,34-45,,
5:01.0,,,34-45,,Defensive rebound by L. James
4:44.0,,,34-45,,L. James misses 2-pt shot from 17 ft
4:44.0,Defensive rebound by D. Cousins,,34-45,,
4:34.0,D. Cousins makes 2-pt shot from 17 ft (assist by R. Rondo),2,36-45,,
4:21.0,,,36-47,2,K. Irving makes 2-pt shot from 5 ft
4:11.0,Turnover by W. Cauley-Stein (lost ball; steal by T. Thompson),,36-47,,
4:05.0,,,36-49,2,K. Irving makes 2-pt shot from 1 ft
3:45.0,W. Cauley-Stein makes 2-pt shot from 13 ft (assist by R. Rondo),2,38-49,,
3:22.0,,,38-49,,J. Smith misses 3-pt shot from 23 ft
3:22.0,Defensive rebound by R. Gay,,38-49,,
3:10.0,Turnover by R. Gay (traveling),,38-49,,
2:53.0,,,38-49,,Shooting foul by R. Gay (drawn by K. Love)
2:53.0,,,38-49,,Cleveland full timeout
2:53.0,,,38-49,,I. Shumpert enters the game for K. Irving
2:53.0,J. Anderson enters the game for R. Gay,,38-49,,
2:53.0,,,38-50,1,K. Love makes free throw 1 of 2
2:53.0,,,38-51,1,K. Love makes free throw 2 of 2
2:39.0,,,38-51,,Personal foul by T. Thompson (drawn by D. Cousins)
2:39.0,D. Cousins makes free throw 1 of 2,1,39-51,,
2:39.0,,,39-51,,A. Varejao enters the game for T. Thompson
2:39.0,D. Cousins makes free throw 2 of 2,1,40-51,,
2:27.0,,,40-51,,Shooting foul by J. Anderson (drawn by K. Love)
2:27.0,,,40-52,1,K. Love makes free throw 1 of 2
2:27.0,O. Casspi enters the game for J. Anderson,,40-52,,
2:27.0,,,40-52,,K. Love misses free throw 2 of 2
2:25.0,,,40-52,,Offensive rebound by A. Varejao
2:18.0,,,40-55,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
2:08.0,D. Cousins misses 2-pt shot from 18 ft,,40-55,,
2:08.0,,,40-55,,Defensive rebound by J. Smith
1:59.0,,,40-55,,Turnover by L. James (bad pass; steal by O. Casspi)
1:52.0,Turnover by R. Rondo (bad pass; steal by A. Varejao),,40-55,,
1:48.0,,,40-55,,Shooting foul by D. Cousins (drawn by L. James)
1:48.0,,,40-55,,L. James misses free throw 1 of 2
1:48.0,,,40-55,,Offensive rebound by Team
1:48.0,K. Koufos enters the game for D. Cousins,,40-55,,
1:48.0,,,40-56,1,L. James makes free throw 2 of 2
1:32.0,Turnover by R. Rondo (bad pass; steal by L. James),,40-56,,
1:26.0,,,40-58,2,L. James makes 2-pt shot at rim
1:02.0,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by R. Rondo),2,42-58,,
0:56.0,,,42-58,,J. Smith misses 3-pt shot from 24 ft
0:55.0,Defensive rebound by O. Casspi,,42-58,,
0:42.0,O. Casspi misses 3-pt shot from 29 ft,,42-58,,
0:42.0,Offensive rebound by K. Koufos,,42-58,,
0:34.0,R. Rondo makes 3-pt shot from 24 ft (assist by M. Belinelli),3,45-58,,
0:09.0,,,45-61,3,J. Smith makes 3-pt shot from 22 ft (assist by L. James)
0:01.0,R. Rondo misses 3-pt shot from 24 ft,,45-61,,
0:00.0,,,45-61,,Defensive rebound by K. Love
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,45-63,2,L. James makes 2-pt shot from 16 ft (assist by K. Irving)
11:36.0,,,45-63,,Personal foul by K. Irving (drawn by M. Belinelli)
11:24.0,D. Cousins makes 2-pt shot from 6 ft (assist by R. Rondo),2,47-63,,
11:08.0,,,47-63,,K. Irving misses 3-pt shot from 25 ft
11:07.0,,,47-63,,Offensive rebound by T. Thompson
10:59.0,,,47-63,,L. James misses 2-pt shot from 2 ft (block by D. Cousins)
10:56.0,Defensive rebound by R. Gay,,47-63,,
10:53.0,R. Gay makes 3-pt shot from 25 ft (assist by R. Rondo),3,50-63,,
10:53.0,,,50-63,,Cleveland full timeout
10:39.0,,,50-63,,K. Irving misses 2-pt shot from 15 ft
10:38.0,Defensive rebound by W. Cauley-Stein,,50-63,,
10:36.0,Turnover by W. Cauley-Stein (bad pass; steal by L. James),,50-63,,
10:29.0,,,50-63,,J. Smith misses 2-pt shot from 17 ft
10:28.0,,,50-63,,Offensive rebound by K. Irving
10:19.0,,,50-66,3,L. James makes 3-pt shot from 23 ft (assist by K. Love)
9:59.0,D. Cousins misses 2-pt shot from 16 ft,,50-66,,
9:59.0,,,50-66,,Defensive rebound by L. James
9:49.0,,,50-68,2,L. James makes 2-pt shot from 16 ft
9:35.0,,,50-68,,Personal foul by T. Thompson (drawn by D. Cousins)
9:22.0,R. Gay misses 2-pt shot from 15 ft,,50-68,,
9:22.0,,,50-68,,Defensive rebound by K. Love
9:14.0,,,50-70,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
8:56.0,R. Gay misses 2-pt shot from 1 ft (block by K. Irving),,50-70,,
8:55.0,Offensive rebound by R. Gay,,50-70,,
8:54.0,R. Gay misses 2-pt shot from 3 ft,,50-70,,
8:52.0,,,50-70,,Defensive rebound by T. Thompson
8:50.0,,,50-70,,Turnover by T. Thompson (bad pass; steal by R. Rondo)
8:46.0,Offensive foul by D. Cousins,,50-70,,
8:46.0,Turnover by D. Cousins (offensive foul),,50-70,,
8:27.0,,,50-70,,K. Love misses 2-pt shot from 6 ft
8:23.0,Defensive rebound by D. Cousins,,50-70,,
8:17.0,D. Cousins misses 2-pt shot from 8 ft,,50-70,,
8:15.0,,,50-70,,Defensive rebound by T. Thompson
8:04.0,,,50-70,,L. James misses 2-pt shot from 18 ft
8:01.0,Defensive rebound by R. Rondo,,50-70,,
7:57.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo),2,52-70,,
7:28.0,,,52-73,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
7:08.0,R. Gay makes 2-pt shot from 6 ft (assist by D. Cousins),2,54-73,,
6:58.0,Personal foul by R. Gay (drawn by L. James),,54-73,,
6:45.0,,,54-73,,K. Love misses 2-pt shot from 6 ft
6:43.0,Defensive rebound by D. Cousins,,54-73,,
6:35.0,R. Gay makes 3-pt shot from 26 ft (assist by R. Rondo),3,57-73,,
6:21.0,,,57-75,2,K. Irving makes 2-pt shot from 17 ft
6:13.0,Turnover by R. Gay (bad pass; steal by J. Smith),,57-75,,
6:07.0,,,57-75,,J. Smith misses 3-pt shot from 25 ft
6:06.0,,,57-75,,Offensive rebound by K. Irving
6:00.0,,,57-78,3,K. Irving makes 3-pt shot from 22 ft
5:52.0,R. Rondo misses 2-pt shot at rim,,57-78,,
5:50.0,,,57-78,,Defensive rebound by T. Thompson
5:43.0,,,57-78,,K. Love misses 3-pt shot from 24 ft
5:42.0,,,57-78,,Offensive rebound by T. Thompson
5:38.0,,,57-78,,T. Thompson misses 2-pt shot from 9 ft
5:38.0,Defensive rebound by D. Cousins,,57-78,,
5:31.0,,,57-78,,Violation by J. Smith (kicked ball)
5:31.0,O. Casspi enters the game for R. Gay,,57-78,,
5:31.0,K. Koufos enters the game for W. Cauley-Stein,,57-78,,
5:21.0,Turnover by D. Cousins (traveling),,57-78,,
5:21.0,Violation by Team (delay of game),,57-78,,
5:05.0,,,57-78,,Turnover by L. James (bad pass; steal by O. Casspi)
4:50.0,O. Casspi makes 3-pt shot from 25 ft (assist by D. Cousins),3,60-78,,
4:40.0,,,60-78,,K. Irving misses 3-pt shot from 24 ft
4:40.0,,,60-78,,Offensive rebound by T. Thompson
4:40.0,Personal foul by K. Koufos (drawn by T. Thompson),,60-78,,
4:40.0,D. Collison enters the game for M. Belinelli,,60-78,,
4:40.0,,,60-78,,A. Varejao enters the game for K. Love
4:23.0,,,60-78,,A. Varejao misses 2-pt shot from 10 ft
4:22.0,Defensive rebound by D. Cousins,,60-78,,
4:19.0,Shooting foul by K. Irving (drawn by R. Rondo),,60-78,,
