time,Atlanta,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. A. Horford (J. Teague gains possession),,,,Jump ball: R. Hibbert vs. A. Horford (J. Teague gains possession)
11:43.0,J. Teague makes 2-pt shot from 1 ft (assist by A. Horford),2,2-0,,
11:37.0,Personal foul by J. Teague (drawn by D. Russell),,2-0,,
11:17.0,,,2-0,,J. Randle misses 2-pt shot from 7 ft
11:16.0,Defensive rebound by A. Horford,,2-0,,
11:02.0,J. Teague misses 3-pt shot from 23 ft,,2-0,,
11:01.0,,,2-0,,Defensive rebound by R. Hibbert
10:41.0,,,2-0,,N. Young misses 2-pt shot from 12 ft
10:40.0,,,2-0,,Offensive rebound by R. Hibbert
10:33.0,,,2-3,3,D. Russell makes 3-pt shot from 25 ft (assist by R. Hibbert)
10:15.0,P. Millsap misses 2-pt shot from 8 ft,,2-3,,
10:12.0,,,2-3,,Defensive rebound by A. Brown
10:02.0,,,2-3,,R. Hibbert misses 2-pt shot from 11 ft
9:58.0,Defensive rebound by J. Teague,,2-3,,
9:53.0,,,2-3,,Violation by D. Russell (kicked ball)
9:44.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague),3,5-3,,
9:27.0,,,5-5,2,A. Brown makes 2-pt shot from 13 ft (assist by D. Russell)
9:16.0,Shooting foul by R. Hibbert (drawn by P. Millsap),,5-5,,
9:16.0,P. Millsap makes free throw 1 of 2,1,6-5,,
9:16.0,P. Millsap misses free throw 2 of 2,,6-5,,
9:14.0,,,6-5,,Defensive rebound by J. Randle
8:57.0,,,6-5,,J. Randle misses 2-pt shot from 19 ft
8:56.0,Defensive rebound by J. Teague,,6-5,,
8:43.0,J. Teague misses 2-pt shot from 6 ft,,6-5,,
8:41.0,,,6-5,,Defensive rebound by A. Brown
8:26.0,,,6-7,2,R. Hibbert makes 2-pt shot from 7 ft
8:15.0,K. Bazemore misses 3-pt shot from 24 ft,,6-7,,
8:14.0,,,6-7,,Defensive rebound by J. Randle
8:08.0,,,6-7,,D. Russell misses 2-pt shot from 14 ft
