time,Phoenix,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,,,0-0,,E. Ilyasova misses 2-pt shot at rim
12:00.0,Jump ball: A. Drummond vs. A. Len (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. A. Len (R. Jackson gains possession)
11:42.0,Defensive rebound by A. Len,,0-0,,
11:33.0,E. Bledsoe misses 2-pt shot from 16 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by M. Morris
11:12.0,,,0-0,,Turnover by A. Drummond (bad pass; steal by J. Leuer)
10:59.0,,,0-0,,Violation by M. Morris (kicked ball)
10:53.0,E. Bledsoe misses 2-pt shot from 16 ft,,0-0,,
10:53.0,,,0-0,,Defensive rebound by M. Morris
10:45.0,,,0-0,,M. Morris misses 3-pt shot from 26 ft
10:45.0,Defensive rebound by J. Leuer,,0-0,,
10:24.0,P. Tucker misses 3-pt shot from 25 ft,,0-0,,
10:23.0,,,0-0,,Defensive rebound by K. Caldwell-Pope
10:16.0,,,0-0,,Shooting foul by A. Len (drawn by R. Jackson)
10:16.0,,,0-1,1,R. Jackson makes free throw 1 of 2
10:16.0,,,0-2,1,R. Jackson makes free throw 2 of 2
10:07.0,B. Knight misses 3-pt shot from 26 ft,,0-2,,
10:06.0,Offensive rebound by A. Len,,0-2,,
10:03.0,Turnover by P. Tucker (lost ball; steal by R. Jackson),,0-2,,
9:57.0,,,0-4,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
9:40.0,J. Leuer misses 2-pt shot from 4 ft,,0-4,,
9:37.0,,,0-4,,Defensive rebound by E. Ilyasova
9:31.0,,,0-6,2,E. Ilyasova makes 2-pt shot at rim (assist by R. Jackson)
9:31.0,,,0-6,,Shooting foul by B. Knight (drawn by E. Ilyasova)
9:31.0,,,0-7,1,E. Ilyasova makes free throw 1 of 1
9:12.0,B. Knight makes 2-pt shot from 20 ft,2,2-7,,
9:02.0,,,2-7,,Shooting foul by A. Len (drawn by A. Drummond)
9:02.0,,,2-7,,A. Drummond misses free throw 1 of 2
9:02.0,,,2-7,,Offensive rebound by Team
9:02.0,M. Teletovic enters the game for A. Len,,2-7,,
9:02.0,,,2-8,1,A. Drummond makes free throw 2 of 2
8:49.0,J. Leuer makes 2-pt shot at rim (assist by E. Bledsoe),2,4-8,,
8:34.0,,,4-8,,E. Ilyasova misses 3-pt shot from 22 ft
8:33.0,Defensive rebound by J. Leuer,,4-8,,
8:17.0,M. Teletovic misses 3-pt shot from 27 ft,,4-8,,
8:17.0,,,4-8,,Defensive rebound by R. Jackson
8:12.0,,,4-10,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by R. Jackson)
7:55.0,J. Leuer misses 2-pt shot from 22 ft,,4-10,,
7:54.0,,,4-10,,Defensive rebound by M. Morris
7:49.0,,,4-10,,A. Drummond misses 2-pt shot at rim
7:49.0,,,4-10,,Offensive rebound by E. Ilyasova
7:45.0,,,4-12,2,E. Ilyasova makes 2-pt shot at rim
7:29.0,E. Bledsoe makes 2-pt shot from 18 ft,2,6-12,,
7:02.0,,,6-12,,A. Drummond misses 2-pt shot from 8 ft
7:01.0,Defensive rebound by M. Teletovic,,6-12,,
6:54.0,M. Teletovic misses 3-pt shot from 27 ft,,6-12,,
