time,Indiana,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. N. Jokic (M. Ellis gains possession),,,,Jump ball: J. Hill vs. N. Jokic (M. Ellis gains possession)
11:45.0,J. Hill makes 2-pt shot from 3 ft (assist by M. Ellis),2,2-0,,
11:31.0,,,2-0,,G. Harris misses 3-pt shot from 22 ft
11:29.0,,,2-0,,Offensive rebound by D. Gallinari
11:23.0,,,2-2,2,D. Gallinari makes 2-pt shot at rim
11:06.0,M. Ellis misses 2-pt shot from 20 ft,,2-2,,
11:05.0,,,2-2,,Defensive rebound by E. Mudiay
10:44.0,,,2-2,,D. Gallinari misses 3-pt shot from 24 ft
10:43.0,Defensive rebound by J. Hill,,2-2,,
10:28.0,G. Robinson makes 3-pt shot from 22 ft (assist by P. George),3,5-2,,
10:13.0,,,5-4,2,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris)
9:47.0,P. George makes 3-pt shot from 25 ft,3,8-4,,
9:34.0,,,8-4,,E. Mudiay misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by L. Allen,,8-4,,
9:15.0,G. Robinson misses 2-pt shot from 21 ft,,8-4,,
9:14.0,,,8-4,,Defensive rebound by E. Mudiay
9:04.0,,,8-4,,Turnover by D. Gallinari (dbl dribble)
8:53.0,G. Robinson misses 3-pt shot from 24 ft,,8-4,,
8:52.0,Offensive rebound by L. Allen,,8-4,,
8:44.0,M. Ellis makes 2-pt shot from 21 ft,2,10-4,,
8:25.0,,,10-7,3,N. Jokic makes 3-pt shot from 24 ft (assist by E. Mudiay)
8:16.0,Turnover by J. Hill (lost ball; steal by N. Jokic),,10-7,,
8:11.0,,,10-9,2,K. Faried makes 2-pt shot at rim (assist by N. Jokic)
7:58.0,P. George makes 2-pt shot from 20 ft,2,12-9,,
7:36.0,,,12-9,,Turnover by E. Mudiay (bad pass; steal by J. Hill)
7:30.0,G. Robinson makes 2-pt shot at rim (assist by M. Ellis),2,14-9,,
7:30.0,,,14-9,,Denver full timeout
7:18.0,,,14-9,,E. Mudiay misses 2-pt shot from 4 ft
7:15.0,,,14-9,,Offensive rebound by K. Faried
7:07.0,,,14-9,,D. Gallinari misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by M. Ellis,,14-9,,
7:00.0,Offensive foul by M. Ellis,,14-9,,
7:00.0,Turnover by M. Ellis (offensive foul),,14-9,,
6:42.0,,,14-11,2,N. Jokic makes 2-pt shot from 12 ft (assist by G. Harris)
6:20.0,Turnover by M. Ellis (bad pass),,14-11,,
6:10.0,,,14-11,,Turnover by G. Harris (bad pass)
6:01.0,P. George makes 3-pt shot from 24 ft (assist by M. Ellis),3,17-11,,
5:49.0,,,17-13,2,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay)
5:34.0,Turnover by J. Hill (lost ball; steal by N. Jokic),,17-13,,
5:30.0,,,17-15,2,G. Harris makes 2-pt shot at rim
5:30.0,Indiana full timeout,,17-15,,
5:17.0,J. Hill makes 2-pt shot at rim,2,19-15,,
5:01.0,,,19-15,,Shooting foul by J. Hill (drawn by N. Jokic)
5:01.0,,,19-16,1,N. Jokic makes free throw 1 of 2
5:01.0,M. Turner enters the game for J. Hill,,19-16,,
5:01.0,C. Miles enters the game for G. Robinson,,19-16,,
5:01.0,,,19-17,1,N. Jokic makes free throw 2 of 2
4:43.0,Turnover by M. Turner (bad pass; steal by K. Faried),,19-17,,
4:35.0,,,19-17,,Turnover by D. Gallinari (bad pass; steal by P. George)
4:32.0,,,19-17,,Personal take foul by D. Gallinari (drawn by P. George)
4:25.0,L. Allen makes 2-pt shot from 4 ft (assist by M. Turner),2,21-17,,
4:14.0,,,21-17,,G. Harris misses 2-pt shot from 20 ft
4:13.0,,,21-17,,Offensive rebound by K. Faried
4:13.0,,,21-17,,K. Faried misses 2-pt shot at rim
4:13.0,,,21-17,,Offensive rebound by K. Faried
4:13.0,Personal foul by M. Turner (drawn by K. Faried),,21-17,,
4:10.0,Personal foul by L. Allen (drawn by D. Gallinari),,21-17,,
4:10.0,,,21-17,,D. Arthur enters the game for K. Faried
3:55.0,,,21-19,2,D. Arthur makes 2-pt shot from 22 ft (assist by E. Mudiay)
3:40.0,J. Young enters the game for M. Ellis,,21-19,,
3:35.0,,,21-19,,Personal foul by D. Arthur (drawn by P. George)
3:33.0,Shooting foul by E. Mudiay (drawn by C. Miles),,21-19,,
3:33.0,C. Miles makes free throw 1 of 2,1,22-19,,
3:33.0,C. Miles misses free throw 2 of 2,,22-19,,
3:32.0,,,22-19,,Defensive rebound by D. Arthur
3:18.0,,,22-19,,E. Mudiay misses 2-pt shot from 2 ft (block by M. Turner)
3:18.0,,,22-19,,Offensive rebound by Team
3:14.0,,,22-21,2,D. Gallinari makes 2-pt shot at rim (assist by D. Arthur)
2:56.0,M. Turner makes 2-pt shot from 14 ft,2,24-21,,
2:42.0,,,24-21,,D. Gallinari misses 2-pt shot from 2 ft
2:40.0,Defensive rebound by M. Turner,,24-21,,
2:37.0,Turnover by C. Miles (bad pass; steal by D. Arthur),,24-21,,
2:33.0,,,24-23,2,D. Gallinari makes 2-pt shot at rim (assist by E. Mudiay)
2:06.0,Turnover by P. George (lost ball; steal by D. Gallinari),,24-23,,
2:03.0,,,24-23,,Shooting foul by C. Miles (drawn by E. Mudiay)
2:03.0,,,24-24,1,E. Mudiay makes free throw 1 of 2
2:03.0,,,24-24,,R. Foye enters the game for G. Harris
2:03.0,,,24-24,,J. Lauvergne enters the game for N. Jokic
2:03.0,S. Hill enters the game for L. Allen,,24-24,,
2:03.0,,,24-25,1,E. Mudiay makes free throw 2 of 2
1:51.0,C. Miles misses 3-pt shot from 23 ft,,24-25,,
1:51.0,,,24-25,,Defensive rebound by D. Gallinari
1:45.0,Personal foul by P. George (drawn by D. Gallinari),,24-25,,
1:45.0,,,24-26,1,D. Gallinari makes free throw 1 of 2
1:45.0,,,24-26,,W. Barton enters the game for E. Mudiay
1:45.0,,,24-27,1,D. Gallinari makes free throw 2 of 2
1:28.0,M. Turner makes 2-pt shot from 2 ft (assist by J. Young),2,26-27,,
1:10.0,,,26-27,,J. Lauvergne misses 2-pt shot from 2 ft (block by M. Turner)
1:07.0,,,26-27,,Offensive rebound by D. Gallinari
1:04.0,,,26-30,3,D. Gallinari makes 3-pt shot from 24 ft
0:51.0,,,26-30,,Personal block foul by D. Gallinari (drawn by P. George)
0:51.0,,,26-30,,S. Kilpatrick enters the game for D. Gallinari
0:45.0,J. Young makes 2-pt shot at rim,2,28-30,,
0:31.0,,,28-30,,S. Kilpatrick misses 3-pt shot from 22 ft
0:30.0,Defensive rebound by P. George,,28-30,,
0:25.0,J. Young misses 2-pt shot from 17 ft,,28-30,,
0:24.0,,,28-30,,Defensive rebound by J. Lauvergne
0:08.0,,,28-30,,Turnover by W. Barton (bad pass; steal by C. Miles)
0:05.0,Shooting foul by S. Kilpatrick (drawn by C. Miles),,28-30,,
0:05.0,C. Miles makes free throw 1 of 2,1,29-30,,
0:05.0,C. Budinger enters the game for P. George,,29-30,,
0:05.0,C. Miles makes free throw 2 of 2,1,30-30,,
0:00.0,,,30-30,,J. Lauvergne misses 3-pt shot from 24 ft
0:00.0,,,30-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,30-32,2,D. Arthur makes 2-pt shot from 19 ft (assist by R. Foye)
11:37.0,J. Young misses 2-pt shot at rim,,30-32,,
11:34.0,,,30-32,,Defensive rebound by R. Foye
11:22.0,,,30-34,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by R. Foye)
11:08.0,Shooting foul by S. Kilpatrick (drawn by M. Turner),,30-34,,
11:08.0,M. Turner misses free throw 1 of 2,,30-34,,
11:08.0,Offensive rebound by Team,,30-34,,
11:08.0,M. Turner makes free throw 2 of 2,1,31-34,,
10:51.0,,,31-34,,R. Foye misses 2-pt shot from 3 ft
10:48.0,Defensive rebound by M. Turner,,31-34,,
10:42.0,C. Miles makes 2-pt shot from 22 ft,2,33-34,,
10:19.0,,,33-34,,J. Lauvergne misses 2-pt shot from 2 ft
10:18.0,,,33-34,,Offensive rebound by D. Arthur
10:15.0,,,33-34,,D. Arthur misses 2-pt shot at rim
10:12.0,,,33-34,,Offensive rebound by S. Kilpatrick
10:08.0,,,33-34,,S. Kilpatrick misses 3-pt shot from 25 ft
10:07.0,,,33-34,,Offensive rebound by D. Arthur
10:04.0,,,33-34,,W. Barton misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by M. Turner,,33-34,,
9:55.0,C. Miles makes 3-pt shot from 22 ft (assist by J. Young),3,36-34,,
9:36.0,,,36-34,,D. Arthur misses 2-pt shot from 22 ft
9:35.0,,,36-34,,Offensive rebound by J. Lauvergne
9:26.0,,,36-37,3,J. Lauvergne makes 3-pt shot from 24 ft (assist by R. Foye)
9:16.0,M. Turner makes 2-pt shot at rim (assist by J. Young),2,38-37,,
9:16.0,,,38-37,,Denver full timeout
9:06.0,,,38-37,,D. Arthur misses 2-pt shot from 1 ft (block by S. Hill)
9:06.0,,,38-37,,Offensive rebound by Team
8:59.0,,,38-39,2,W. Barton makes 2-pt shot from 4 ft
8:47.0,M. Turner makes 2-pt shot from 22 ft (assist by J. Young),2,40-39,,
8:32.0,,,40-39,,Turnover by S. Kilpatrick (bad pass; steal by S. Hill)
8:27.0,S. Hill misses 2-pt shot at rim,,40-39,,
8:24.0,,,40-39,,Defensive rebound by J. Lauvergne
8:13.0,,,40-42,3,D. Arthur makes 3-pt shot from 24 ft (assist by R. Foye)
8:00.0,J. Young makes 2-pt shot from 21 ft,2,42-42,,
7:50.0,,,42-42,,Shooting foul by M. Turner (drawn by R. Foye)
7:50.0,Official timeout,,42-42,,
7:50.0,,,42-42,,E. Mudiay enters the game for S. Kilpatrick
7:50.0,,,42-42,,R. Foye misses free throw 1 of 2
7:50.0,,,42-42,,Offensive rebound by Team
7:50.0,,,42-43,1,R. Foye makes free throw 2 of 2
7:29.0,J. Young misses 2-pt shot from 22 ft,,42-43,,
7:28.0,Offensive rebound by M. Turner,,42-43,,
7:26.0,M. Turner misses 2-pt shot from 1 ft,,42-43,,
7:23.0,,,42-43,,Defensive rebound by D. Arthur
7:13.0,,,42-43,,R. Foye misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by S. Hill,,42-43,,
7:01.0,J. Young makes 2-pt shot from 8 ft,2,44-43,,
