time,Cleveland,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Mozgov (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. T. Mozgov (R. Jackson gains possession)
11:45.0,,,0-0,,Shooting foul by M. Williams (drawn by E. Ilyasova)
11:45.0,,,0-1,1,E. Ilyasova makes free throw 1 of 2
11:45.0,,,0-2,1,E. Ilyasova makes free throw 2 of 2
11:31.0,Turnover by L. James (bad pass; steal by E. Ilyasova),,0-2,,
11:18.0,,,0-4,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
11:08.0,J. Smith makes 2-pt shot from 4 ft (assist by M. Williams),2,2-4,,
10:58.0,,,2-4,,Turnover by R. Jackson (bad pass; steal by J. Smith)
10:52.0,J. Smith makes 2-pt shot at rim,2,4-4,,
10:25.0,,,4-4,,A. Drummond misses 2-pt shot from 6 ft
10:24.0,Defensive rebound by L. James,,4-4,,
10:15.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Love),3,7-4,,
10:00.0,,,7-6,2,R. Jackson makes 2-pt shot from 7 ft
9:46.0,J. Smith misses 3-pt shot from 25 ft,,7-6,,
9:45.0,,,7-6,,Defensive rebound by A. Drummond
9:33.0,,,7-6,,M. Morris misses 2-pt shot from 19 ft
9:32.0,Defensive rebound by M. Williams,,7-6,,
9:17.0,K. Love makes 2-pt shot from 4 ft,2,9-6,,
8:56.0,,,9-8,2,R. Jackson makes 2-pt shot from 9 ft
8:46.0,Turnover by K. Love (lost ball),,9-8,,
8:24.0,,,9-8,,A. Drummond misses 2-pt shot from 1 ft
8:23.0,Defensive rebound by K. Love,,9-8,,
8:21.0,Turnover by L. James (bad pass; steal by M. Morris),,9-8,,
8:19.0,,,9-8,,Shooting foul by J. Smith (drawn by M. Morris)
8:19.0,,,9-8,,M. Morris misses free throw 1 of 2
8:19.0,,,9-8,,Offensive rebound by Team
8:19.0,,,9-9,1,M. Morris makes free throw 2 of 2
8:05.0,L. James makes 3-pt shot from 25 ft (assist by T. Mozgov),3,12-9,,
7:50.0,,,12-9,,Turnover by M. Morris (lost ball)
7:35.0,L. James makes 2-pt shot at rim,2,14-9,,
7:21.0,,,14-11,2,R. Jackson makes 2-pt shot at rim
7:07.0,K. Love misses 2-pt shot from 15 ft,,14-11,,
7:05.0,,,14-11,,Defensive rebound by A. Drummond
