time,Houston,pts.away,score,pts.home,Charlotte
3:48.0,Defensive rebound by T. Ariza,,10-22,,
3:39.0,M. Beasley makes 2-pt shot at rim (assist by J. Harden),2,12-22,,
3:22.0,,,12-24,2,J. Lin makes 2-pt shot from 1 ft (assist by A. Jefferson)
3:09.0,M. Beasley misses 2-pt shot from 2 ft,,12-24,,
3:07.0,,,12-24,,Defensive rebound by A. Jefferson
2:56.0,,,12-26,2,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum)
2:56.0,Houston full timeout,,12-26,,
2:56.0,,,12-26,,Charlotte full timeout
2:56.0,C. Brewer enters the game for T. Ariza,,12-26,,
2:56.0,,,12-26,,J. Lamb enters the game for N. Batum
2:41.0,J. Terry makes 3-pt shot from 25 ft (assist by J. Harden),3,15-26,,
2:34.0,Personal foul by J. Terry,,15-26,,
2:24.0,Personal foul by J. Harden,,15-26,,
2:14.0,,,15-29,3,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker)
1:58.0,Turnover by M. Beasley (lost ball; steal by M. Williams),,15-29,,
1:52.0,,,15-29,,J. Lin misses 2-pt shot from 1 ft (block by M. Beasley)
1:50.0,,,15-29,,Offensive rebound by M. Williams
1:50.0,,,15-31,2,M. Williams makes 2-pt shot at rim
1:37.0,J. Harden misses 2-pt shot from 15 ft,,15-31,,
1:35.0,Offensive rebound by M. Beasley,,15-31,,
1:29.0,J. Harden misses 3-pt shot from 23 ft,,15-31,,
1:27.0,Offensive rebound by C. Capela,,15-31,,
1:23.0,M. Beasley makes 2-pt shot from 12 ft (assist by C. Capela),2,17-31,,
1:03.0,,,17-31,,Turnover by J. Lamb (lost ball; steal by J. Terry)
1:00.0,J. Terry makes 2-pt shot from 1 ft,2,19-31,,
0:46.0,,,19-34,3,J. Lin makes 3-pt shot from 27 ft (assist by K. Walker)
0:32.0,J. Terry misses 2-pt shot from 1 ft,,19-34,,
0:30.0,Offensive rebound by J. Terry,,19-34,,
0:26.0,C. Capela misses 2-pt shot from 2 ft (block by J. Lamb),,19-34,,
0:26.0,Offensive rebound by Team,,19-34,,
0:26.0,D. Howard enters the game for C. Capela,,19-34,,
0:18.0,J. Harden misses 2-pt shot from 6 ft,,19-34,,
0:17.0,,,19-34,,Defensive rebound by J. Lamb
0:02.0,,,19-34,,J. Lin misses 3-pt shot from 25 ft
0:00.0,,,19-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,C. Brewer misses 2-pt shot from 1 ft (block by A. Jefferson),,19-34,,
11:45.0,Offensive rebound by Team,,19-34,,
11:42.0,J. Terry misses 2-pt shot from 13 ft (block by J. Lamb),,19-34,,
11:40.0,,,19-34,,Defensive rebound by N. Batum
11:31.0,,,19-34,,Shooting foul by P. Beverley (drawn by J. Lin)
11:31.0,,,19-35,1,J. Lin makes free throw 1 of 2
11:31.0,,,19-36,1,J. Lin makes free throw 2 of 2
11:14.0,Turnover by D. Howard (lost ball; steal by J. Lamb),,19-36,,
11:04.0,,,19-36,,F. Kaminsky misses 3-pt shot from 25 ft
11:01.0,,,19-36,,Offensive rebound by A. Jefferson
10:59.0,,,19-38,2,A. Jefferson makes 2-pt shot from 6 ft
10:47.0,D. Howard makes 2-pt shot from 10 ft (assist by P. Beverley),2,21-38,,
10:31.0,,,21-40,2,J. Lamb makes 2-pt shot at rim (assist by F. Kaminsky)
10:11.0,C. Brewer makes 3-pt shot from 23 ft (assist by J. Terry),3,24-40,,
9:50.0,,,24-40,,F. Kaminsky misses 3-pt shot from 23 ft
9:49.0,Defensive rebound by D. Howard,,24-40,,
9:43.0,J. Terry makes 3-pt shot from 25 ft,3,27-40,,
9:25.0,,,27-42,2,N. Batum makes 2-pt shot at rim (assist by A. Jefferson)
9:10.0,C. Brewer makes 2-pt shot from 1 ft (assist by D. Howard),2,29-42,,
8:50.0,,,29-42,,Turnover by A. Jefferson (lost ball; steal by J. Terry)
8:45.0,C. Brewer makes 2-pt shot at rim,2,31-42,,
8:28.0,,,31-42,,N. Batum misses 2-pt shot from 7 ft (block by C. Brewer)
