time,Houston,pts.away,score,pts.home,Charlotte
3:37.0,C. Capela misses free throw 1 of 2,,100-119,,
3:37.0,Offensive rebound by Team,,100-119,,
3:37.0,C. Capela misses free throw 2 of 2,,100-119,,
3:36.0,,,100-119,,Defensive rebound by Team
3:18.0,,,100-119,,Shooting foul by C. Brewer (drawn by C. Zeller)
3:18.0,,,100-120,1,C. Zeller makes free throw 1 of 2
3:18.0,,,100-120,,C. Zeller misses free throw 2 of 2
3:16.0,Defensive rebound by M. Harrell,,100-120,,
3:01.0,M. Harrell misses 2-pt shot from 1 ft (block by N. Batum),,100-120,,
2:59.0,,,100-120,,Defensive rebound by N. Batum
2:46.0,,,100-120,,Turnover by C. Zeller (traveling)
2:46.0,Official timeout,,100-120,,
2:46.0,,,100-120,,T. Daniels enters the game for N. Batum
2:46.0,,,100-120,,F. Kaminsky enters the game for M. Williams
2:46.0,,,100-120,,J. Gutierrez enters the game for C. Zeller
2:46.0,,,100-120,,T. Hansbrough enters the game for C. Lee
2:46.0,,,100-120,,A. Harrison enters the game for K. Walker
2:32.0,A. Goudelock makes 2-pt shot from 12 ft,2,102-120,,
2:12.0,,,102-122,2,T. Hansbrough makes 2-pt shot from 5 ft
2:00.0,C. Capela makes 2-pt shot from 2 ft,2,104-122,,
1:36.0,,,104-122,,Turnover by F. Kaminsky (lost ball; steal by A. Goudelock)
1:30.0,A. Goudelock misses 3-pt shot from 24 ft,,104-122,,
1:30.0,Offensive rebound by K. McDaniels,,104-122,,
1:30.0,Shooting foul by A. Harrison (drawn by K. McDaniels),,104-122,,
1:30.0,K. McDaniels makes free throw 1 of 2,1,105-122,,
1:30.0,K. McDaniels makes free throw 2 of 2,1,106-122,,
1:16.0,,,106-122,,A. Harrison misses 3-pt shot from 24 ft
1:15.0,Defensive rebound by C. Brewer,,106-122,,
1:12.0,C. Brewer makes 2-pt shot from 1 ft,2,108-122,,
1:12.0,Shooting foul by F. Kaminsky (drawn by C. Brewer),,108-122,,
1:12.0,C. Brewer misses free throw 1 of 1,,108-122,,
1:07.0,,,108-122,,Defensive rebound by T. Hansbrough
0:50.0,,,108-122,,F. Kaminsky misses 3-pt shot from 25 ft
0:49.0,Defensive rebound by K. McDaniels,,108-122,,
0:41.0,C. Capela misses 2-pt shot from 16 ft,,108-122,,
0:39.0,,,108-122,,Defensive rebound by J. Gutierrez
0:33.0,,,108-125,3,T. Daniels makes 3-pt shot from 23 ft (assist by J. Gutierrez)
0:24.0,Shooting foul by F. Kaminsky (drawn by M. Harrell),,108-125,,
0:24.0,M. Harrell misses free throw 1 of 2,,108-125,,
0:24.0,Offensive rebound by Team,,108-125,,
0:24.0,M. Harrell makes free throw 2 of 2,1,109-125,,
0:00.0,,,109-125,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
