time,Atlanta,pts.away,score,pts.home,Sacramento
1:17.0,,,18-27,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Rondo)
0:55.0,Turnover by D. Schroder (bad pass; steal by D. Cousins),,18-27,,
0:44.0,,,18-27,,D. Cousins misses 2-pt shot from 3 ft
0:43.0,Defensive rebound by K. Bazemore,,18-27,,
0:40.0,,,18-27,,W. Cauley-Stein enters the game for D. Cousins
0:40.0,M. Scott enters the game for T. Splitter,,18-27,,
0:38.0,D. Schroder makes 2-pt shot from 16 ft (assist by K. Bazemore),2,20-27,,
0:23.0,,,20-27,,K. Koufos misses 2-pt shot from 6 ft
0:22.0,,,20-27,,Offensive rebound by W. Cauley-Stein
0:03.0,,,20-27,,M. Belinelli misses 3-pt shot from 26 ft
0:01.0,,,20-27,,Offensive rebound by R. Rondo
0:00.0,,,20-27,,R. Rondo misses 2-pt shot from 14 ft
0:00.0,,,20-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,20-27,,Shooting foul by T. Sefolosha (drawn by D. Collison)
11:45.0,,,20-28,1,M. Belinelli makes free throw 1 of 2
11:45.0,,,20-29,1,M. Belinelli makes free throw 2 of 2
11:37.0,T. Hardaway misses 3-pt shot from 25 ft,,20-29,,
11:36.0,,,20-29,,Defensive rebound by M. Belinelli
11:24.0,Def 3 sec tech foul by A. Horford,,20-29,,
11:24.0,,,20-30,1,M. Belinelli makes technical free throw
11:12.0,,,20-30,,Turnover by D. Collison (bad pass; steal by A. Horford)
11:07.0,D. Schroder makes 2-pt shot from 4 ft (assist by T. Sefolosha),2,22-30,,
10:52.0,,,22-30,,Turnover by K. Koufos (bad pass; steal by T. Sefolosha)
10:49.0,Shooting foul by K. Koufos (drawn by T. Sefolosha),,22-30,,
10:49.0,T. Sefolosha makes free throw 1 of 2,1,23-30,,
10:49.0,T. Sefolosha makes free throw 2 of 2,1,24-30,,
10:30.0,,,24-30,,D. Collison misses 2-pt shot from 21 ft
10:30.0,Defensive rebound by A. Horford,,24-30,,
10:20.0,D. Schroder misses 3-pt shot from 25 ft,,24-30,,
10:20.0,Offensive rebound by Team,,24-30,,
10:10.0,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder),3,27-30,,
10:01.0,,,27-30,,D. Collison misses 2-pt shot from 20 ft
10:00.0,Defensive rebound by T. Hardaway,,27-30,,
9:53.0,T. Hardaway misses 3-pt shot from 24 ft,,27-30,,
9:52.0,Offensive rebound by A. Horford,,27-30,,
9:40.0,D. Schroder misses 2-pt shot from 11 ft,,27-30,,
9:40.0,,,27-30,,Defensive rebound by M. Belinelli
9:17.0,,,27-30,,O. Casspi misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by M. Scott,,27-30,,
8:59.0,,,27-30,,Shooting block foul by W. Cauley-Stein (drawn by T. Hardaway)
8:59.0,Official timeout,,27-30,,
8:59.0,T. Hardaway misses free throw 1 of 2,,27-30,,
8:59.0,Offensive rebound by Team,,27-30,,
8:59.0,T. Hardaway makes free throw 2 of 2,1,28-30,,
8:39.0,,,28-30,,M. Belinelli misses 3-pt shot from 25 ft
8:39.0,,,28-30,,Offensive rebound by K. Koufos
8:17.0,,,28-32,2,K. Koufos makes 2-pt shot from 2 ft (assist by O. Casspi)
8:05.0,M. Scott misses 2-pt shot from 5 ft,,28-32,,
8:05.0,,,28-32,,Defensive rebound by W. Cauley-Stein
7:55.0,,,28-32,,W. Cauley-Stein misses 2-pt shot at rim
7:55.0,Defensive rebound by Team,,28-32,,
7:55.0,,,28-32,,Loose ball foul by K. Koufos (drawn by A. Horford)
7:55.0,,,28-32,,D. Cousins enters the game for K. Koufos
7:44.0,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder),3,31-32,,
7:20.0,,,31-32,,O. Casspi misses 3-pt shot from 24 ft
7:20.0,Defensive rebound by D. Schroder,,31-32,,
