time,Atlanta,pts.away,score,pts.home,Sacramento
6:29.0,,,76-80,1,D. Cousins makes free throw 2 of 2
6:18.0,K. Bazemore makes 2-pt shot from 16 ft,2,78-80,,
6:18.0,Shooting foul by O. Casspi (drawn by K. Bazemore),,78-80,,
6:18.0,K. Bazemore misses free throw 1 of 1,,78-80,,
6:17.0,,,78-80,,Defensive rebound by D. Cousins
6:03.0,,,78-80,,Turnover by R. Rondo (lost ball)
6:03.0,A. Horford enters the game for M. Scott,,78-80,,
5:50.0,K. Bazemore makes 2-pt shot from 19 ft,2,80-80,,
5:30.0,,,80-83,3,O. Casspi makes 3-pt shot from 24 ft
5:17.0,Turnover by K. Bazemore (lost ball; steal by O. Casspi),,80-83,,
5:09.0,,,80-83,,Turnover by D. Cousins (lost ball; steal by K. Bazemore)
5:08.0,,,80-83,,Personal foul by O. Casspi (drawn by K. Bazemore)
5:08.0,,,80-83,,W. Cauley-Stein enters the game for Q. Acy
4:54.0,K. Korver misses 3-pt shot from 24 ft,,80-83,,
4:53.0,,,80-83,,Defensive rebound by O. Casspi
4:49.0,,,80-83,,R. Rondo misses 2-pt shot from 2 ft
4:48.0,,,80-83,,Offensive rebound by W. Cauley-Stein
4:41.0,,,80-83,,Turnover by O. Casspi (lost ball; steal by P. Millsap)
4:33.0,Turnover by D. Schroder (bad pass; steal by O. Casspi),,80-83,,
4:26.0,,,80-83,,B. McLemore misses 3-pt shot from 23 ft
4:24.0,Defensive rebound by P. Millsap,,80-83,,
4:15.0,A. Horford misses 3-pt shot from 25 ft,,80-83,,
4:14.0,,,80-83,,Defensive rebound by O. Casspi
3:52.0,,,80-83,,R. Rondo misses 3-pt shot from 24 ft
3:51.0,Defensive rebound by K. Korver,,80-83,,
3:39.0,D. Schroder makes 2-pt shot from 16 ft,2,82-83,,
3:22.0,,,82-83,,R. Rondo misses 2-pt shot from 16 ft
3:21.0,Defensive rebound by P. Millsap,,82-83,,
3:07.0,K. Bazemore misses 2-pt shot at rim (block by D. Cousins),,82-83,,
3:05.0,,,82-83,,Defensive rebound by R. Rondo
3:02.0,Personal foul by P. Millsap (drawn by O. Casspi),,82-83,,
3:02.0,,,82-84,1,O. Casspi makes free throw 1 of 2
3:02.0,T. Sefolosha enters the game for K. Bazemore,,82-84,,
3:02.0,,,82-84,,O. Casspi misses free throw 2 of 2
3:01.0,Defensive rebound by T. Sefolosha,,82-84,,
2:47.0,P. Millsap misses 2-pt shot from 13 ft,,82-84,,
2:46.0,,,82-84,,Defensive rebound by D. Cousins
2:30.0,,,82-84,,B. McLemore misses 2-pt shot from 19 ft
2:29.0,Defensive rebound by D. Schroder,,82-84,,
2:18.0,D. Schroder misses 3-pt shot from 24 ft,,82-84,,
2:18.0,,,82-84,,Defensive rebound by Team
2:18.0,Official timeout,,82-84,,
2:18.0,K. Bazemore enters the game for K. Korver,,82-84,,
2:18.0,,,82-84,,Violation by Team (delay of game)
2:01.0,,,82-84,,D. Cousins misses 2-pt shot from 5 ft
1:59.0,Defensive rebound by T. Sefolosha,,82-84,,
1:53.0,T. Sefolosha misses 2-pt shot from 3 ft,,82-84,,
1:52.0,,,82-84,,Defensive rebound by R. Rondo
1:46.0,,,82-86,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
1:35.0,T. Sefolosha misses 3-pt shot from 24 ft,,82-86,,
1:35.0,Offensive rebound by Team,,82-86,,
1:35.0,,,82-86,,Loose ball foul by D. Cousins (drawn by P. Millsap)
1:35.0,K. Korver enters the game for T. Sefolosha,,82-86,,
1:24.0,K. Korver makes 3-pt shot from 26 ft,3,85-86,,
1:09.0,,,85-86,,D. Cousins misses 2-pt shot from 22 ft
1:09.0,Defensive rebound by A. Horford,,85-86,,
0:59.0,P. Millsap misses 2-pt shot from 8 ft (block by R. Rondo),,85-86,,
0:59.0,,,85-86,,Defensive rebound by Team
0:59.0,T. Sefolosha enters the game for K. Korver,,85-86,,
0:41.0,Loose ball foul by P. Millsap (drawn by W. Cauley-Stein),,85-86,,
0:41.0,,,85-87,1,W. Cauley-Stein makes free throw 1 of 2
0:41.0,K. Korver enters the game for T. Sefolosha,,85-87,,
0:41.0,,,85-88,1,W. Cauley-Stein makes free throw 2 of 2
0:29.0,D. Schroder makes 3-pt shot from 25 ft (assist by K. Korver),3,88-88,,
0:29.0,,,88-88,,Sacramento full timeout
0:29.0,T. Sefolosha enters the game for K. Korver,,88-88,,
0:29.0,,,88-88,,M. Belinelli enters the game for W. Cauley-Stein
0:13.0,,,88-90,2,R. Rondo makes 2-pt shot from 3 ft (assist by D. Cousins)
0:13.0,Atlanta full timeout,,88-90,,
0:13.0,K. Korver enters the game for T. Sefolosha,,88-90,,
0:13.0,,,88-90,,W. Cauley-Stein enters the game for M. Belinelli
0:03.0,Turnover by P. Millsap (lost ball; steal by O. Casspi),,88-90,,
0:03.0,,,88-90,,Sacramento full timeout
0:03.0,T. Sefolosha enters the game for K. Korver,,88-90,,
0:03.0,,,88-90,,D. Collison enters the game for O. Casspi
0:03.0,,,88-90,,M. Belinelli enters the game for W. Cauley-Stein
0:02.0,Personal take foul by D. Schroder (drawn by D. Collison),,88-90,,
0:02.0,,,88-90,,D. Collison misses free throw 1 of 2
0:02.0,,,88-90,,Offensive rebound by Team
0:02.0,T. Splitter enters the game for D. Schroder,,88-90,,
0:02.0,,,88-91,1,D. Collison makes free throw 2 of 2
0:02.0,Atlanta full timeout,,88-91,,
0:02.0,,,88-91,,W. Cauley-Stein enters the game for B. McLemore
0:02.0,,,88-91,,O. Casspi enters the game for M. Belinelli
0:02.0,K. Korver enters the game for T. Splitter,,88-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
