time,Denver,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. N. Jokic (D. Rose gains possession),,,,Jump ball: P. Gasol vs. N. Jokic (D. Rose gains possession)
11:46.0,,,0-2,2,P. Gasol makes 2-pt shot from 2 ft (assist by D. Rose)
11:28.0,E. Mudiay misses 2-pt shot from 18 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by T. Snell
11:17.0,,,0-4,2,P. Gasol makes 2-pt shot from 18 ft (assist by D. Rose)
10:48.0,N. Jokic makes 3-pt shot from 25 ft (assist by D. Gallinari),3,3-4,,
10:33.0,,,3-7,3,N. Mirotic makes 3-pt shot from 23 ft (assist by T. Snell)
10:17.0,N. Jokic misses 2-pt shot from 20 ft,,3-7,,
10:15.0,Offensive rebound by K. Faried,,3-7,,
10:15.0,K. Faried misses 2-pt shot from 2 ft (block by P. Gasol),,3-7,,
10:13.0,Offensive rebound by K. Faried,,3-7,,
10:08.0,K. Faried makes 2-pt shot from 2 ft (assist by E. Mudiay),2,5-7,,
9:50.0,,,5-7,,D. Rose misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by N. Jokic,,5-7,,
9:33.0,K. Faried makes 2-pt shot from 2 ft (assist by R. Foye),2,7-7,,
9:33.0,Shooting foul by P. Gasol (drawn by K. Faried),,7-7,,
9:33.0,K. Faried misses free throw 1 of 1,,7-7,,
9:31.0,,,7-7,,Defensive rebound by N. Mirotic
9:22.0,,,7-7,,N. Mirotic misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by R. Foye,,7-7,,
9:09.0,D. Gallinari makes 2-pt shot from 21 ft (assist by R. Foye),2,9-7,,
8:58.0,,,9-7,,T. Snell misses 2-pt shot at rim
8:57.0,,,9-7,,Offensive rebound by P. Gasol
8:53.0,,,9-9,2,D. Rose makes 2-pt shot at rim (assist by P. Gasol)
8:33.0,N. Jokic misses 2-pt shot from 15 ft,,9-9,,
8:32.0,,,9-9,,Defensive rebound by N. Mirotic
8:22.0,,,9-11,2,P. Gasol makes 2-pt shot from 20 ft (assist by J. Butler)
8:15.0,Denver full timeout,,9-11,,
8:05.0,Turnover by E. Mudiay (bad pass; steal by N. Mirotic),,9-11,,
7:46.0,,,9-11,,J. Butler misses 3-pt shot from 24 ft
7:45.0,,,9-11,,Offensive rebound by N. Mirotic
7:39.0,,,9-11,,D. Rose misses 2-pt shot from 1 ft
7:37.0,Defensive rebound by N. Jokic,,9-11,,
7:37.0,,,9-11,,Personal foul by D. Rose (drawn by R. Foye)
7:23.0,E. Mudiay makes 2-pt shot from 3 ft,2,11-11,,
7:21.0,,,11-11,,Chicago full timeout
7:21.0,,,11-11,,J. Noah enters the game for N. Mirotic
7:04.0,,,11-11,,T. Snell misses 2-pt shot from 3 ft (block by R. Foye)
7:04.0,,,11-11,,Offensive rebound by Team
6:56.0,,,11-11,,J. Butler misses 2-pt shot from 7 ft (block by R. Foye)
6:53.0,Defensive rebound by K. Faried,,11-11,,
6:49.0,N. Jokic makes 2-pt shot from 1 ft (assist by E. Mudiay),2,13-11,,
6:36.0,,,13-11,,D. Rose misses 2-pt shot from 10 ft
6:35.0,Defensive rebound by E. Mudiay,,13-11,,
6:17.0,D. Gallinari misses 2-pt shot from 16 ft,,13-11,,
6:15.0,,,13-11,,Defensive rebound by P. Gasol
6:03.0,,,13-11,,J. Butler misses 2-pt shot from 4 ft (block by N. Jokic)
6:01.0,Defensive rebound by N. Jokic,,13-11,,
5:55.0,R. Foye misses 3-pt shot from 23 ft,,13-11,,
5:53.0,,,13-11,,Defensive rebound by P. Gasol
5:45.0,,,13-13,2,D. Rose makes 2-pt shot from 1 ft
5:34.0,D. Gallinari misses 2-pt shot from 2 ft (block by J. Noah),,13-13,,
5:34.0,Offensive rebound by Team,,13-13,,
5:34.0,,,13-13,,A. Brooks enters the game for D. Rose
5:31.0,N. Jokic makes 2-pt shot from 1 ft (assist by K. Faried),2,15-13,,
5:15.0,,,15-15,2,P. Gasol makes 2-pt shot from 2 ft
5:09.0,Offensive foul by K. Faried,,15-15,,
5:09.0,Turnover by K. Faried (offensive foul),,15-15,,
5:09.0,J. Lauvergne enters the game for N. Jokic,,15-15,,
4:58.0,,,15-15,,Turnover by P. Gasol (bad pass; steal by R. Foye)
4:52.0,K. Faried misses 2-pt shot from 1 ft (block by A. Brooks),,15-15,,
4:49.0,,,15-15,,Defensive rebound by T. Snell
4:38.0,,,15-15,,A. Brooks misses 3-pt shot from 26 ft
4:37.0,Defensive rebound by J. Lauvergne,,15-15,,
4:28.0,E. Mudiay misses 2-pt shot from 19 ft,,15-15,,
4:26.0,,,15-15,,Defensive rebound by T. Snell
4:15.0,Personal foul by J. Lauvergne (drawn by P. Gasol),,15-15,,
4:15.0,J. Nelson enters the game for K. Faried,,15-15,,
4:15.0,D. Arthur enters the game for E. Mudiay,,15-15,,
4:15.0,,,15-15,,D. McDermott enters the game for T. Snell
4:09.0,,,15-17,2,P. Gasol makes 2-pt shot at rim (assist by D. McDermott)
3:56.0,R. Foye misses 2-pt shot from 3 ft (block by J. Noah),,15-17,,
3:54.0,,,15-17,,Defensive rebound by A. Brooks
3:49.0,,,15-17,,D. McDermott misses 3-pt shot from 25 ft
3:49.0,,,15-17,,Offensive rebound by Team
3:49.0,Loose ball foul by J. Nelson (drawn by J. Noah),,15-17,,
3:49.0,W. Barton enters the game for R. Foye,,15-17,,
3:36.0,,,15-19,2,P. Gasol makes 2-pt shot from 14 ft (assist by A. Brooks)
3:21.0,J. Lauvergne misses 2-pt shot from 20 ft,,15-19,,
3:20.0,,,15-19,,Defensive rebound by J. Noah
3:03.0,,,15-19,,D. McDermott misses 2-pt shot from 20 ft
3:01.0,,,15-19,,Offensive rebound by J. Noah
3:01.0,,,15-21,2,J. Noah makes 2-pt shot at rim
2:55.0,Denver full timeout,,15-21,,
2:55.0,,,15-21,,Chicago full timeout
2:48.0,J. Lauvergne makes 2-pt shot from 2 ft (assist by J. Nelson),2,17-21,,
2:32.0,,,17-23,2,J. Butler makes 2-pt shot from 2 ft (assist by P. Gasol)
2:32.0,,,17-23,,Shooting foul by J. Nelson (drawn by J. Butler)
2:32.0,,,17-24,1,J. Butler makes free throw 1 of 1
2:19.0,D. Gallinari makes 2-pt shot from 13 ft,2,19-24,,
1:58.0,,,19-24,,P. Gasol misses 2-pt shot from 2 ft
1:58.0,,,19-24,,Offensive rebound by Team
1:54.0,,,19-26,2,D. McDermott makes 2-pt shot from 10 ft (assist by A. Brooks)
1:33.0,D. Arthur misses 2-pt shot from 21 ft,,19-26,,
1:32.0,,,19-26,,Defensive rebound by P. Gasol
1:13.0,,,19-26,,A. Brooks misses 2-pt shot from 17 ft
1:12.0,Defensive rebound by J. Lauvergne,,19-26,,
0:56.0,W. Barton misses 3-pt shot from 24 ft,,19-26,,
0:55.0,,,19-26,,Defensive rebound by P. Gasol
0:41.0,,,19-26,,P. Gasol misses 2-pt shot from 19 ft
0:40.0,Defensive rebound by J. Nelson,,19-26,,
0:35.0,W. Barton misses 2-pt shot from 1 ft (block by P. Gasol),,19-26,,
0:34.0,Offensive rebound by D. Arthur,,19-26,,
0:34.0,D. Arthur makes 2-pt shot from 2 ft,2,21-26,,
0:18.0,,,21-28,2,J. Noah makes 2-pt shot from 1 ft (assist by D. McDermott)
0:04.0,,,21-28,,Personal foul by A. Brooks (drawn by J. Nelson)
0:04.0,,,21-28,,T. Gibson enters the game for P. Gasol
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,D. Arthur makes 2-pt shot from 19 ft (assist by J. Lauvergne),2,23-28,,
11:18.0,,,23-30,2,T. Gibson makes 2-pt shot from 20 ft (assist by D. Rose)
11:00.0,D. Arthur misses 2-pt shot from 12 ft,,23-30,,
10:59.0,,,23-30,,Defensive rebound by T. Gibson
10:42.0,,,23-30,,T. Gibson misses 2-pt shot from 15 ft
10:41.0,Defensive rebound by J. Nelson,,23-30,,
10:33.0,J. Lauvergne makes 2-pt shot from 7 ft (assist by J. Nelson),2,25-30,,
10:14.0,,,25-30,,J. Noah misses 2-pt shot from 2 ft (block by J. Lauvergne)
10:12.0,Defensive rebound by J. Lauvergne,,25-30,,
10:02.0,J. Lauvergne makes 3-pt shot from 24 ft (assist by J. Nelson),3,28-30,,
9:51.0,,,28-32,2,D. Rose makes 2-pt shot from 11 ft
9:33.0,Shooting foul by J. Noah (drawn by W. Barton),,28-32,,
9:33.0,W. Barton makes free throw 1 of 2,1,29-32,,
9:33.0,W. Barton makes free throw 2 of 2,1,30-32,,
9:12.0,,,30-32,,E. Moore misses 2-pt shot from 19 ft
9:10.0,Defensive rebound by W. Barton,,30-32,,
9:08.0,,,30-32,,Personal foul by D. McDermott (drawn by W. Barton)
8:58.0,J. Lauvergne misses 2-pt shot from 19 ft,,30-32,,
8:57.0,,,30-32,,Defensive rebound by T. Gibson
8:44.0,,,30-32,,E. Moore misses 2-pt shot from 13 ft
8:43.0,,,30-32,,Offensive rebound by J. Noah
8:41.0,,,30-34,2,D. McDermott makes 2-pt shot from 8 ft
8:24.0,D. Arthur misses 2-pt shot from 10 ft,,30-34,,
8:24.0,,,30-34,,Defensive rebound by D. McDermott
8:19.0,,,30-34,,Shooting foul by D. Arthur (drawn by D. Rose)
8:19.0,,,30-34,,Chicago full timeout
8:19.0,K. Faried enters the game for D. Arthur,,30-34,,
8:19.0,,,30-34,,D. Rose misses free throw 1 of 2
8:19.0,,,30-34,,Offensive rebound by Team
8:19.0,,,30-35,1,D. Rose makes free throw 2 of 2
8:13.0,,,30-35,,Personal foul by J. Noah (drawn by K. Faried)
7:57.0,M. Miller makes 2-pt shot from 14 ft (assist by J. Lauvergne),2,32-35,,
7:41.0,,,32-37,2,D. McDermott makes 2-pt shot from 15 ft
7:25.0,J. Lauvergne misses 2-pt shot from 9 ft,,32-37,,
7:24.0,,,32-37,,Defensive rebound by T. Gibson
7:15.0,,,32-37,,D. McDermott misses 2-pt shot from 19 ft
7:14.0,Defensive rebound by W. Barton,,32-37,,
7:11.0,Turnover by K. Faried (lost ball),,32-37,,
6:47.0,,,32-37,,T. Gibson misses 2-pt shot from 9 ft
6:47.0,,,32-37,,Offensive rebound by J. Noah
6:47.0,,,32-37,,Shooting foul by J. Lauvergne (drawn by J. Noah)
6:47.0,,,32-38,1,J. Noah makes free throw 1 of 2
6:47.0,E. Mudiay enters the game for J. Nelson,,32-38,,
6:47.0,N. Jokic enters the game for J. Lauvergne,,32-38,,
6:47.0,,,32-38,,J. Butler enters the game for E. Moore
6:47.0,,,32-39,1,J. Noah makes free throw 2 of 2
6:31.0,E. Mudiay misses 2-pt shot from 17 ft,,32-39,,
6:30.0,,,32-39,,Defensive rebound by J. Butler
6:21.0,,,32-39,,T. Gibson misses 2-pt shot from 2 ft (block by M. Miller)
6:19.0,Defensive rebound by M. Miller,,32-39,,
6:13.0,W. Barton makes 3-pt shot from 23 ft (assist by K. Faried),3,35-39,,
5:57.0,,,35-39,,D. Rose misses 2-pt shot from 10 ft
5:55.0,,,35-39,,Offensive rebound by T. Gibson
5:55.0,,,35-41,2,T. Gibson makes 2-pt shot at rim
