time,Phoenix,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:37.0,D. Booker misses 3-pt shot from 24 ft,,0-0,,
12:00.0,Jump ball: T. Chandler vs. A. Stoudemire (A. Len gains possession),,,,Jump ball: T. Chandler vs. A. Stoudemire (A. Len gains possession)
11:36.0,,,0-0,,Defensive rebound by G. Dragic
11:29.0,,,0-2,2,J. Johnson makes 2-pt shot from 9 ft
11:11.0,R. Price misses 2-pt shot from 2 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by J. Johnson
10:59.0,,,0-5,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. Johnson)
10:41.0,A. Len misses 2-pt shot from 2 ft (block by A. Stoudemire),,0-5,,
10:40.0,,,0-5,,Defensive rebound by A. Stoudemire
10:38.0,,,0-5,,Turnover by A. Stoudemire (bad pass; steal by R. Price)
10:36.0,T. Chandler makes 2-pt shot at rim (assist by R. Price),2,2-5,,
10:36.0,Shooting foul by G. Dragic (drawn by T. Chandler),,2-5,,
10:36.0,T. Chandler misses free throw 1 of 1,,2-5,,
10:35.0,Offensive rebound by A. Len,,2-5,,
10:35.0,Shooting foul by A. Stoudemire (drawn by A. Len),,2-5,,
10:35.0,A. Len makes free throw 1 of 2,1,3-5,,
10:35.0,A. Len misses free throw 2 of 2,,3-5,,
10:34.0,,,3-5,,Defensive rebound by L. Deng
10:17.0,,,3-5,,G. Dragic misses 2-pt shot from 13 ft
10:12.0,Jump ball: A. Stoudemire vs. P. Tucker (D. Wade gains possession),,,,Jump ball: A. Stoudemire vs. P. Tucker (D. Wade gains possession)
10:12.0,,,3-5,,Offensive rebound by Team
10:08.0,,,3-5,,D. Wade misses 2-pt shot from 19 ft
10:07.0,Defensive rebound by T. Chandler,,3-5,,
9:57.0,A. Len misses 2-pt shot from 8 ft,,3-5,,
9:56.0,,,3-5,,Defensive rebound by L. Deng
9:52.0,Shooting block foul by R. Price (drawn by G. Dragic),,3-5,,
9:52.0,,,3-6,1,G. Dragic makes free throw 1 of 2
9:52.0,,,3-7,1,G. Dragic makes free throw 2 of 2
9:27.0,D. Booker misses 2-pt shot from 20 ft,,3-7,,
9:26.0,,,3-7,,Defensive rebound by A. Stoudemire
9:10.0,,,3-9,2,A. Stoudemire makes 2-pt shot from 4 ft
9:05.0,Phoenix full timeout,,3-9,,
8:48.0,A. Len misses 2-pt shot from 4 ft (block by A. Stoudemire),,3-9,,
8:47.0,,,3-9,,Defensive rebound by J. Johnson
8:44.0,Personal foul by R. Price (drawn by D. Wade),,3-9,,
8:44.0,A. Goodwin enters the game for R. Price,,3-9,,
8:26.0,,,3-11,2,D. Wade makes 2-pt shot at rim (assist by L. Deng)
7:59.0,Turnover by Team (shot clock),,3-11,,
7:43.0,,,3-11,,L. Deng misses 2-pt shot from 18 ft
7:42.0,Defensive rebound by D. Booker,,3-11,,
7:36.0,M. Teletovic enters the game for T. Chandler,,3-11,,
7:32.0,D. Booker makes 3-pt shot from 26 ft (assist by P. Tucker),3,6-11,,
7:11.0,,,6-11,,G. Dragic misses 3-pt shot from 24 ft
7:10.0,Defensive rebound by D. Booker,,6-11,,
7:07.0,A. Len makes 2-pt shot at rim (assist by D. Booker),2,8-11,,
6:56.0,Personal foul by M. Teletovic (drawn by L. Deng),,8-11,,
6:44.0,,,8-13,2,L. Deng makes 2-pt shot from 3 ft (assist by G. Dragic)
6:27.0,M. Teletovic makes 2-pt shot from 8 ft (assist by D. Booker),2,10-13,,
6:27.0,Loose ball foul by A. Len (drawn by D. Wade),,10-13,,
6:19.0,,,10-13,,G. Dragic misses 2-pt shot from 2 ft (block by A. Len)
6:18.0,,,10-13,,Offensive rebound by A. Stoudemire
6:15.0,,,10-13,,Turnover by A. Stoudemire (lost ball; steal by M. Teletovic)
6:09.0,P. Tucker makes 2-pt shot from 1 ft,2,12-13,,
6:00.0,,,12-15,2,L. Deng makes 2-pt shot at rim (assist by J. Johnson)
5:43.0,M. Teletovic misses 2-pt shot from 11 ft,,12-15,,
5:42.0,,,12-15,,Defensive rebound by A. Stoudemire
5:18.0,,,12-17,2,D. Wade makes 2-pt shot from 7 ft
5:10.0,A. Len makes 2-pt shot at rim (assist by A. Goodwin),2,14-17,,
4:57.0,Personal foul by D. Booker (drawn by D. Wade),,14-17,,
4:57.0,,,14-18,1,D. Wade makes free throw 1 of 2
4:57.0,J. Jenkins enters the game for P. Tucker,,14-18,,
4:57.0,,,14-18,,J. Winslow enters the game for L. Deng
4:57.0,,,14-18,,J. Richardson enters the game for G. Dragic
4:57.0,,,14-19,1,D. Wade makes free throw 2 of 2
4:44.0,A. Goodwin misses 2-pt shot from 1 ft,,14-19,,
4:43.0,Offensive rebound by A. Len,,14-19,,
4:39.0,M. Teletovic makes 3-pt shot from 24 ft (assist by A. Len),3,17-19,,
4:15.0,,,17-19,,J. Richardson misses 2-pt shot from 12 ft
4:14.0,Defensive rebound by A. Len,,17-19,,
4:05.0,A. Len misses 2-pt shot from 19 ft,,17-19,,
4:04.0,,,17-19,,Defensive rebound by D. Wade
3:44.0,,,17-21,2,D. Wade makes 2-pt shot from 16 ft
3:21.0,J. Jenkins misses 2-pt shot from 2 ft,,17-21,,
3:20.0,,,17-21,,Defensive rebound by J. Winslow
3:13.0,,,17-23,2,A. Stoudemire makes 2-pt shot at rim (assist by D. Wade)
2:51.0,Shooting foul by J. Richardson (drawn by M. Teletovic),,17-23,,
2:51.0,,,17-23,,Miami full timeout
2:51.0,,,17-23,,H. Whiteside enters the game for A. Stoudemire
