time,Phoenix,pts.away,score,pts.home,San Antonio
0:31.0,Defensive rebound by P. Tucker,,15-20,,
0:16.0,Shooting foul by B. Marjanovic (drawn by M. Morris),,15-20,,
0:16.0,M. Morris makes free throw 1 of 2,1,16-20,,
0:16.0,M. Morris makes free throw 2 of 2,1,17-20,,
0:02.0,,,17-20,,M. Ginobili misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by M. Morris,,17-20,,
0:00.0,M. Morris misses 3-pt shot from 44 ft,,17-20,,
0:00.0,,,17-20,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,17-20,,D. Green misses 3-pt shot from 25 ft
11:46.0,,,17-20,,Offensive rebound by B. Marjanovic
11:46.0,,,17-20,,Shooting foul by A. Len (drawn by B. Marjanovic)
11:46.0,,,17-20,,B. Marjanovic misses free throw 1 of 2
11:46.0,,,17-20,,Offensive rebound by Team
11:46.0,,,17-20,,B. Marjanovic misses free throw 2 of 2
11:44.0,Defensive rebound by M. Teletovic,,17-20,,
11:23.0,A. Len misses 2-pt shot from 1 ft (block by B. Marjanovic),,17-20,,
11:20.0,,,17-20,,Defensive rebound by M. Ginobili
11:18.0,,,17-20,,Turnover by P. Mills (lost ball; steal by M. Teletovic)
11:14.0,T. Warren makes 2-pt shot from 1 ft (assist by A. Len),2,19-20,,
11:08.0,Violation by T. Warren (kicked ball),,19-20,,
10:56.0,,,19-22,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by M. Ginobili)
10:33.0,M. Teletovic makes 3-pt shot from 26 ft (assist by T. Warren),3,22-22,,
10:15.0,,,22-22,,P. Mills misses 3-pt shot from 26 ft
10:13.0,,,22-22,,Offensive rebound by D. Green
10:13.0,,,22-24,2,D. Green makes 2-pt shot from 1 ft
9:59.0,T. Warren misses 2-pt shot from 2 ft,,22-24,,
9:59.0,,,22-24,,Defensive rebound by Team
9:59.0,,,22-24,,D. West enters the game for B. Marjanovic
9:48.0,,,22-24,,M. Ginobili misses 2-pt shot from 13 ft
9:45.0,,,22-24,,Offensive rebound by M. Ginobili
9:40.0,,,22-27,3,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Mills)
9:20.0,M. Teletovic misses 2-pt shot from 15 ft,,22-27,,
9:18.0,,,22-27,,Defensive rebound by B. Diaw
9:10.0,,,22-27,,D. Green misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by A. Len,,22-27,,
8:59.0,Official timeout,,22-27,,
8:59.0,J. Leuer enters the game for A. Len,,22-27,,
8:59.0,,,22-27,,T. Parker enters the game for M. Ginobili
8:47.0,T. Warren misses 2-pt shot from 20 ft,,22-27,,
8:45.0,,,22-27,,Defensive rebound by D. Green
8:33.0,,,22-27,,B. Diaw misses 2-pt shot from 6 ft
8:32.0,,,22-27,,Offensive rebound by D. West
8:25.0,,,22-29,2,D. West makes 2-pt shot from 19 ft (assist by D. Green)
8:07.0,Turnover by R. Price (lost ball; steal by T. Parker),,22-29,,
7:49.0,,,22-32,3,D. Green makes 3-pt shot from 25 ft (assist by D. West)
7:35.0,J. Leuer makes 2-pt shot from 17 ft (assist by R. Price),2,24-32,,
7:19.0,Personal foul by R. Price (drawn by P. Mills),,24-32,,
7:19.0,B. Knight enters the game for T. Warren,,24-32,,
7:10.0,,,24-32,,B. Diaw misses 2-pt shot from 1 ft (block by M. Teletovic)
7:08.0,,,24-32,,Offensive rebound by B. Diaw
7:03.0,,,24-32,,D. West misses 2-pt shot from 17 ft
7:02.0,Defensive rebound by M. Teletovic,,24-32,,
6:56.0,R. Price makes 2-pt shot from 18 ft,2,26-32,,
6:56.0,,,26-32,,San Antonio full timeout
6:56.0,,,26-32,,K. Leonard enters the game for B. Diaw
6:30.0,,,26-32,,D. Green misses 2-pt shot from 10 ft
6:29.0,Defensive rebound by B. Knight,,26-32,,
6:16.0,Turnover by M. Teletovic (lost ball; steal by K. Leonard),,26-32,,
6:11.0,Personal foul by R. Price (drawn by K. Leonard),,26-32,,
6:11.0,P. Tucker enters the game for R. Price,,26-32,,
5:58.0,,,26-32,,P. Mills misses 2-pt shot from 1 ft
5:56.0,Defensive rebound by D. Booker,,26-32,,
5:47.0,B. Knight misses 2-pt shot from 3 ft,,26-32,,
5:45.0,,,26-32,,Defensive rebound by K. Leonard
5:38.0,,,26-34,2,T. Parker makes 2-pt shot from 1 ft
5:15.0,Turnover by B. Knight (lost ball),,26-34,,
5:15.0,,,26-34,,J. Simmons enters the game for P. Mills
4:57.0,,,26-34,,Turnover by T. Parker (bad pass)
4:45.0,Turnover by J. Leuer (bad pass; steal by K. Leonard),,26-34,,
4:29.0,,,26-34,,D. West misses 2-pt shot from 9 ft
4:27.0,Defensive rebound by J. Leuer,,26-34,,
4:12.0,P. Tucker misses 3-pt shot from 23 ft,,26-34,,
4:11.0,,,26-34,,Defensive rebound by K. Leonard
4:11.0,Personal foul by P. Tucker (drawn by K. Leonard),,26-34,,
4:11.0,M. Morris enters the game for M. Teletovic,,26-34,,
4:11.0,A. Goodwin enters the game for D. Booker,,26-34,,
3:56.0,,,26-34,,D. Green misses 2-pt shot from 1 ft
3:55.0,Defensive rebound by J. Leuer,,26-34,,
3:46.0,,,26-34,,Personal foul by T. Parker (drawn by P. Tucker)
3:42.0,,,26-34,,Personal foul by J. Simmons (drawn by B. Knight)
3:42.0,,,26-34,,T. Duncan enters the game for D. West
3:35.0,Shooting foul by T. Parker (drawn by J. Leuer),,26-34,,
3:35.0,J. Leuer makes free throw 1 of 2,1,27-34,,
3:35.0,,,27-34,,P. Mills enters the game for T. Parker
3:35.0,J. Leuer makes free throw 2 of 2,1,28-34,,
3:16.0,,,28-36,2,J. Simmons makes 2-pt shot at rim (assist by D. Green)
3:03.0,M. Morris makes 2-pt shot from 3 ft (assist by P. Tucker),2,30-36,,
2:50.0,,,30-36,,K. Leonard misses 2-pt shot from 6 ft
2:49.0,Defensive rebound by J. Leuer,,30-36,,
2:44.0,Offensive charge foul by B. Knight,,30-36,,
2:44.0,Turnover by B. Knight (offensive foul),,30-36,,
2:44.0,Phoenix full timeout,,30-36,,
