time,Oklahoma City,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Duncan (T. Parker gains possession),,,,Jump ball: S. Adams vs. T. Duncan (T. Parker gains possession)
11:41.0,,,0-2,2,K. Leonard makes 2-pt shot at rim
11:31.0,K. Durant makes 2-pt shot from 18 ft (assist by R. Westbrook),2,2-2,,
11:17.0,,,2-4,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
10:54.0,R. Westbrook misses 2-pt shot from 17 ft,,2-4,,
10:53.0,,,2-4,,Defensive rebound by T. Parker
10:40.0,,,2-6,2,L. Aldridge makes 2-pt shot from 16 ft
10:28.0,K. Durant misses 2-pt shot from 1 ft,,2-6,,
10:27.0,Offensive rebound by S. Adams,,2-6,,
10:25.0,S. Adams misses 2-pt shot at rim (block by D. Green),,2-6,,
10:23.0,,,2-6,,Defensive rebound by D. Green
10:19.0,,,2-6,,Turnover by D. Green (step out of bounds)
10:00.0,S. Ibaka makes 2-pt shot from 19 ft,2,4-6,,
9:46.0,,,4-8,2,K. Leonard makes 2-pt shot from 19 ft
9:31.0,S. Ibaka misses 3-pt shot from 24 ft,,4-8,,
9:30.0,,,4-8,,Defensive rebound by K. Leonard
9:19.0,,,4-8,,L. Aldridge misses 2-pt shot from 12 ft
9:18.0,Defensive rebound by K. Durant,,4-8,,
9:12.0,R. Westbrook misses 2-pt shot from 1 ft,,4-8,,
9:11.0,,,4-8,,Defensive rebound by T. Parker
8:54.0,,,4-10,2,T. Duncan makes 2-pt shot from 2 ft (assist by T. Parker)
8:54.0,,,4-10,,Shooting foul by S. Adams (drawn by T. Duncan)
8:54.0,,,4-10,,T. Duncan misses free throw 1 of 1
8:53.0,Defensive rebound by S. Adams,,4-10,,
8:41.0,K. Durant makes 2-pt shot from 18 ft (assist by R. Westbrook),2,6-10,,
8:24.0,,,6-12,2,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Parker)
