time,Indiana,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. M. Turner (P. Millsap gains possession),,,,Jump ball: A. Horford vs. M. Turner (P. Millsap gains possession)
11:43.0,,,0-2,2,P. Millsap makes 2-pt shot from 1 ft (assist by A. Horford)
11:26.0,Turnover by M. Ellis (back court),,0-2,,
11:17.0,,,0-4,2,J. Teague makes 2-pt shot from 1 ft (assist by A. Horford)
11:02.0,Turnover by M. Ellis (bad pass; steal by K. Bazemore),,0-4,,
10:51.0,,,0-6,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver)
10:42.0,Turnover by J. Hill (bad pass; steal by K. Bazemore),,0-6,,
10:33.0,,,0-6,,P. Millsap misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by M. Ellis,,0-6,,
10:22.0,M. Turner makes 2-pt shot from 15 ft (assist by P. George),2,2-6,,
10:01.0,,,2-6,,Turnover by K. Bazemore (bad pass; steal by J. Hill)
9:55.0,G. Hill makes 2-pt shot from 1 ft,2,4-6,,
9:32.0,,,4-6,,Shooting foul by M. Turner (drawn by A. Horford)
9:32.0,,,4-7,1,A. Horford makes free throw 1 of 2
9:32.0,,,4-8,1,A. Horford makes free throw 2 of 2
9:20.0,P. George makes 2-pt shot from 20 ft (assist by J. Hill),2,6-8,,
9:06.0,Personal foul by G. Hill (drawn by K. Bazemore),,6-8,,
8:56.0,,,6-8,,A. Horford misses 2-pt shot from 19 ft
8:54.0,Defensive rebound by J. Hill,,6-8,,
8:39.0,P. George makes 3-pt shot from 22 ft (assist by G. Hill),3,9-8,,
8:32.0,,,9-8,,Atlanta full timeout
8:20.0,,,9-10,2,J. Teague makes 2-pt shot from 7 ft
8:00.0,Turnover by M. Turner (lost ball; steal by P. Millsap),,9-10,,
7:41.0,,,9-10,,K. Bazemore misses 2-pt shot from 17 ft
7:38.0,Defensive rebound by M. Turner,,9-10,,
7:30.0,P. George misses 2-pt shot from 19 ft,,9-10,,
7:29.0,,,9-10,,Defensive rebound by A. Horford
7:19.0,,,9-12,2,P. Millsap makes 2-pt shot from 1 ft (assist by A. Horford)
7:04.0,J. Hill misses 2-pt shot from 19 ft,,9-12,,
7:03.0,,,9-12,,Defensive rebound by K. Bazemore
6:58.0,,,9-14,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore)
6:58.0,Indiana full timeout,,9-14,,
6:58.0,,,9-14,,M. Muscala enters the game for A. Horford
