time,Boston,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. A. Len (P. Tucker gains possession),,,,Jump ball: A. Johnson vs. A. Len (P. Tucker gains possession)
11:40.0,,,0-0,,A. Len misses 2-pt shot from 1 ft
11:38.0,Defensive rebound by I. Thomas,,0-0,,
11:22.0,A. Bradley makes 2-pt shot from 7 ft,2,2-0,,
10:59.0,,,2-3,3,J. Jenkins makes 3-pt shot from 23 ft (assist by P. Tucker)
10:28.0,J. Sullinger misses 2-pt shot from 15 ft,,2-3,,
10:24.0,,,2-3,,Defensive rebound by J. Jenkins
10:15.0,,,2-3,,D. Booker misses 2-pt shot from 8 ft
10:11.0,Defensive rebound by A. Johnson,,2-3,,
10:05.0,E. Turner misses 2-pt shot from 15 ft,,2-3,,
10:02.0,Offensive rebound by A. Johnson,,2-3,,
9:58.0,I. Thomas misses 2-pt shot from 7 ft,,2-3,,
9:56.0,Offensive rebound by A. Johnson,,2-3,,
9:54.0,I. Thomas misses 3-pt shot from 23 ft,,2-3,,
9:52.0,,,2-3,,Defensive rebound by A. Len
9:46.0,,,2-3,,D. Booker misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by E. Turner,,2-3,,
9:38.0,A. Bradley misses 3-pt shot from 23 ft,,2-3,,
9:36.0,,,2-3,,Defensive rebound by J. Jenkins
9:21.0,,,2-3,,Turnover by A. Len (lost ball; steal by A. Johnson)
9:15.0,I. Thomas misses 2-pt shot at rim,,2-3,,
9:11.0,,,2-3,,Defensive rebound by J. Jenkins
9:09.0,,,2-3,,D. Booker misses 2-pt shot from 2 ft
9:08.0,,,2-3,,Offensive rebound by A. Len
9:08.0,,,2-3,,Shooting foul by A. Johnson (drawn by A. Len)
9:08.0,,,2-5,2,A. Len makes 2-pt shot at rim
9:08.0,Technical foul by I. Thomas,,2-5,,
9:08.0,,,2-6,1,B. Knight makes technical free throw
9:08.0,,,2-6,,A. Len misses free throw 1 of 1
9:08.0,Defensive rebound by E. Turner,,2-6,,
8:52.0,E. Turner misses 2-pt shot from 5 ft,,2-6,,
8:51.0,Offensive rebound by E. Turner,,2-6,,
8:51.0,Shooting foul by J. Jenkins (drawn by E. Turner),,2-6,,
8:51.0,E. Turner makes free throw 1 of 2,1,3-6,,
8:51.0,E. Turner makes free throw 2 of 2,1,4-6,,
8:39.0,,,4-9,3,J. Jenkins makes 3-pt shot from 24 ft
8:29.0,I. Thomas makes 2-pt shot from 1 ft,2,6-9,,
8:29.0,,,6-9,,Shooting block foul by A. Len (drawn by I. Thomas)
8:29.0,I. Thomas makes free throw 1 of 1,1,7-9,,
8:07.0,,,7-9,,P. Tucker misses 2-pt shot from 6 ft
8:05.0,Defensive rebound by A. Bradley,,7-9,,
7:59.0,Shooting foul by D. Booker (drawn by A. Bradley),,7-9,,
7:59.0,A. Bradley makes free throw 1 of 2,1,8-9,,
7:59.0,A. Bradley makes free throw 2 of 2,1,9-9,,
7:47.0,,,9-9,,A. Len misses 2-pt shot from 17 ft
7:46.0,,,9-9,,Offensive rebound by A. Len
7:45.0,Loose ball foul by E. Turner,,9-9,,
7:41.0,Violation by I. Thomas (kicked ball),,9-9,,
7:35.0,,,9-9,,B. Knight misses 3-pt shot from 25 ft
7:34.0,,,9-9,,Offensive rebound by Team
7:31.0,,,9-9,,Turnover by A. Len (offensive foul)
7:31.0,,,9-9,,Offensive foul by A. Len
7:31.0,,,9-9,,M. Teletovic enters the game for A. Len
7:21.0,,,9-9,,Personal foul by M. Teletovic
7:15.0,Shooting foul by D. Booker (drawn by A. Bradley),,9-9,,
7:15.0,A. Bradley makes free throw 1 of 2,1,10-9,,
7:15.0,,,10-9,,A. Goodwin enters the game for D. Booker
7:15.0,A. Bradley makes free throw 2 of 2,1,11-9,,
6:59.0,,,11-9,,M. Teletovic misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by E. Turner,,11-9,,
6:45.0,J. Sullinger misses 2-pt shot from 3 ft (block by J. Jenkins),,11-9,,
6:42.0,,,11-9,,Defensive rebound by M. Teletovic
6:38.0,,,11-9,,Turnover by J. Jenkins (lost ball; steal by J. Sullinger)
6:31.0,E. Turner makes 2-pt shot from 2 ft (assist by A. Johnson),2,13-9,,
6:31.0,,,13-9,,Phoenix full timeout
6:21.0,Personal foul by A. Bradley,,13-9,,
6:15.0,,,13-12,3,B. Knight makes 3-pt shot from 24 ft
5:57.0,I. Thomas makes 2-pt shot from 1 ft,2,15-12,,
5:42.0,,,15-12,,Turnover by J. Jenkins (lost ball; steal by J. Sullinger)
5:37.0,A. Bradley makes 2-pt shot from 1 ft,2,17-12,,
5:23.0,,,17-15,3,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Jenkins)
5:09.0,J. Sullinger misses 2-pt shot from 20 ft,,17-15,,
5:07.0,Offensive rebound by I. Thomas,,17-15,,
4:50.0,A. Bradley misses 3-pt shot from 24 ft,,17-15,,
4:48.0,Offensive rebound by I. Thomas,,17-15,,
4:45.0,I. Thomas misses 3-pt shot from 25 ft,,17-15,,
4:41.0,Offensive rebound by J. Sullinger,,17-15,,
4:41.0,J. Sullinger makes 2-pt shot from 1 ft,2,19-15,,
4:31.0,,,19-15,,B. Knight misses 3-pt shot from 25 ft
4:29.0,Defensive rebound by A. Johnson,,19-15,,
4:23.0,E. Turner makes 2-pt shot from 4 ft,2,21-15,,
4:13.0,,,21-15,,Turnover by P. Tucker (bad pass)
4:13.0,M. Smart enters the game for E. Turner,,21-15,,
4:13.0,K. Olynyk enters the game for J. Sullinger,,21-15,,
4:13.0,,,21-15,,R. Price enters the game for J. Jenkins
4:01.0,I. Thomas misses 2-pt shot from 2 ft,,21-15,,
3:58.0,,,21-15,,Defensive rebound by M. Teletovic
3:53.0,,,21-15,,P. Tucker misses 2-pt shot from 2 ft
3:51.0,,,21-15,,Offensive rebound by P. Tucker
3:51.0,,,21-15,,P. Tucker misses 2-pt shot from 1 ft
3:49.0,,,21-15,,Offensive rebound by P. Tucker
3:44.0,,,21-15,,M. Teletovic misses 3-pt shot from 24 ft
3:42.0,Defensive rebound by A. Bradley,,21-15,,
3:32.0,A. Bradley misses 2-pt shot from 21 ft,,21-15,,
3:29.0,,,21-15,,Defensive rebound by A. Goodwin
3:22.0,,,21-15,,B. Knight misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by M. Smart,,21-15,,
3:11.0,Shooting foul by A. Goodwin (drawn by I. Thomas),,21-15,,
3:11.0,I. Thomas makes free throw 1 of 2,1,22-15,,
3:11.0,,,22-15,,C. Budinger enters the game for P. Tucker
3:11.0,J. Jerebko enters the game for A. Johnson,,22-15,,
3:11.0,I. Thomas makes free throw 2 of 2,1,23-15,,
2:56.0,Def 3 sec tech foul by M. Smart,,23-15,,
2:56.0,Boston full timeout,,23-15,,
2:56.0,,,23-16,1,B. Knight makes technical free throw
2:47.0,,,23-16,,Turnover by C. Budinger (bad pass)
2:29.0,M. Smart misses 3-pt shot from 25 ft,,23-16,,
2:27.0,Offensive rebound by J. Jerebko,,23-16,,
2:21.0,Turnover by M. Smart (lost ball; steal by B. Knight),,23-16,,
2:18.0,,,23-16,,Shooting foul by J. Jerebko (drawn by A. Goodwin)
2:18.0,,,23-17,1,A. Goodwin makes free throw 1 of 2
2:18.0,T. Rozier enters the game for A. Bradley,,23-17,,
2:18.0,,,23-18,1,A. Goodwin makes free throw 2 of 2
2:05.0,K. Olynyk makes 2-pt shot from 2 ft,2,25-18,,
1:54.0,,,25-18,,B. Knight misses 3-pt shot from 24 ft
1:52.0,Defensive rebound by K. Olynyk,,25-18,,
1:38.0,Offensive foul by K. Olynyk,,25-18,,
1:38.0,Turnover by K. Olynyk (offensive foul),,25-18,,
1:26.0,,,25-20,2,A. Goodwin makes 2-pt shot from 1 ft
1:10.0,K. Olynyk makes 3-pt shot from 24 ft (assist by I. Thomas),3,28-20,,
0:56.0,,,28-20,,A. Goodwin misses 2-pt shot from 4 ft
0:55.0,,,28-20,,Offensive rebound by Team
0:47.0,,,28-20,,R. Price misses 2-pt shot from 17 ft
0:45.0,,,28-20,,Offensive rebound by C. Budinger
0:43.0,,,28-20,,C. Budinger misses 2-pt shot from 2 ft
0:43.0,Defensive rebound by Team,,28-20,,
0:43.0,,,28-20,,Loose ball foul by B. Knight
0:43.0,M. Smart makes free throw 1 of 2,1,29-20,,
0:43.0,M. Smart makes free throw 2 of 2,1,30-20,,
0:36.0,,,30-20,,M. Teletovic misses 2-pt shot from 2 ft
0:35.0,,,30-20,,Offensive rebound by C. Budinger
0:35.0,,,30-22,2,C. Budinger makes 2-pt shot from 1 ft
0:30.0,K. Olynyk makes 3-pt shot from 24 ft (assist by M. Smart),3,33-22,,
0:06.0,,,33-22,,M. Teletovic misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by I. Thomas,,33-22,,
0:00.0,I. Thomas makes 2-pt shot from 3 ft,2,35-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,T. Rozier misses 2-pt shot from 18 ft,,35-22,,
11:41.0,,,35-22,,Defensive rebound by A. Len
11:18.0,,,35-22,,C. Budinger misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by J. Jerebko,,35-22,,
11:07.0,E. Turner misses 2-pt shot from 17 ft,,35-22,,
11:05.0,,,35-22,,Defensive rebound by D. Booker
11:03.0,,,35-22,,Turnover by A. Goodwin (step out of bounds)
10:47.0,E. Turner makes 2-pt shot from 16 ft,2,37-22,,
10:34.0,,,37-22,,Turnover by A. Len (3 sec)
10:24.0,T. Rozier misses 2-pt shot from 4 ft,,37-22,,
10:20.0,,,37-22,,Defensive rebound by R. Price
10:18.0,,,37-24,2,A. Goodwin makes 2-pt shot at rim (assist by R. Price)
9:57.0,E. Turner misses 2-pt shot from 15 ft,,37-24,,
9:55.0,,,37-24,,Defensive rebound by C. Budinger
9:43.0,,,37-26,2,A. Goodwin makes 2-pt shot from 18 ft (assist by D. Booker)
9:28.0,K. Olynyk misses 2-pt shot from 5 ft,,37-26,,
9:24.0,,,37-26,,Defensive rebound by A. Len
9:20.0,,,37-28,2,C. Budinger makes 2-pt shot from 1 ft (assist by D. Booker)
9:03.0,J. Jerebko misses 3-pt shot from 25 ft,,37-28,,
9:01.0,Offensive rebound by E. Turner,,37-28,,
8:51.0,M. Smart makes 2-pt shot from 8 ft,2,39-28,,
8:41.0,,,39-28,,D. Booker misses 2-pt shot from 14 ft
8:38.0,Defensive rebound by E. Turner,,39-28,,
8:33.0,M. Smart misses 3-pt shot from 25 ft,,39-28,,
8:30.0,Offensive rebound by J. Jerebko,,39-28,,
8:18.0,J. Jerebko makes 3-pt shot from 24 ft (assist by E. Turner),3,42-28,,
7:59.0,,,42-30,2,A. Len makes 2-pt shot from 5 ft (assist by C. Budinger)
7:46.0,K. Olynyk misses 3-pt shot from 28 ft,,42-30,,
7:43.0,,,42-30,,Defensive rebound by A. Goodwin
7:37.0,,,42-32,2,A. Len makes 2-pt shot at rim (assist by A. Goodwin)
7:18.0,Turnover by E. Turner (lost ball; steal by A. Goodwin),,42-32,,
7:15.0,Official timeout,,42-32,,
7:13.0,,,42-32,,Turnover by D. Booker (lost ball; steal by M. Smart)
7:04.0,K. Olynyk misses 3-pt shot from 26 ft,,42-32,,
7:01.0,Offensive rebound by J. Jerebko,,42-32,,
6:49.0,T. Rozier makes 2-pt shot from 2 ft (assist by J. Jerebko),2,44-32,,
6:37.0,,,44-32,,Shooting foul by M. Smart (drawn by D. Booker)
6:37.0,,,44-33,1,D. Booker makes free throw 1 of 2
6:37.0,,,44-34,1,D. Booker makes free throw 2 of 2
6:16.0,E. Turner makes 2-pt shot from 1 ft,2,46-34,,
6:01.0,,,46-34,,Offensive foul by C. Budinger
6:01.0,,,46-34,,Turnover by C. Budinger (offensive foul)
5:45.0,K. Olynyk makes 2-pt shot from 7 ft (assist by M. Smart),2,48-34,,
5:40.0,,,48-34,,Offensive foul by D. Booker
5:40.0,,,48-34,,Turnover by D. Booker (offensive foul)
5:40.0,,,48-34,,Phoenix full timeout
5:40.0,,,48-34,,J. Jenkins enters the game for D. Booker
5:40.0,,,48-34,,P. Tucker enters the game for A. Goodwin
5:40.0,,,48-34,,B. Knight enters the game for C. Budinger
5:24.0,Turnover by J. Jerebko (3 sec),,48-34,,
5:24.0,J. Sullinger enters the game for K. Olynyk,,48-34,,
5:10.0,,,48-34,,Turnover by A. Len (traveling)
5:10.0,A. Bradley enters the game for T. Rozier,,48-34,,
4:51.0,A. Bradley misses 3-pt shot from 24 ft,,48-34,,
4:48.0,,,48-34,,Defensive rebound by R. Price
4:33.0,,,48-34,,Turnover by R. Price (bad pass)
4:19.0,E. Turner misses 2-pt shot from 13 ft,,48-34,,
4:16.0,Offensive rebound by M. Smart,,48-34,,
4:11.0,A. Bradley makes 2-pt shot from 19 ft,2,50-34,,
3:54.0,,,50-34,,P. Tucker misses 3-pt shot from 23 ft
3:52.0,Defensive rebound by E. Turner,,50-34,,
3:36.0,E. Turner makes 2-pt shot from 17 ft,2,52-34,,
3:25.0,,,52-34,,R. Price misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by A. Bradley,,52-34,,
3:11.0,A. Bradley makes 3-pt shot from 25 ft (assist by J. Sullinger),3,55-34,,
3:04.0,,,55-34,,Phoenix full timeout
3:04.0,I. Thomas enters the game for M. Smart,,55-34,,
3:04.0,A. Johnson enters the game for J. Jerebko,,55-34,,
3:04.0,,,55-34,,M. Teletovic enters the game for A. Len
2:51.0,,,55-34,,B. Knight misses 3-pt shot from 24 ft
2:48.0,,,55-34,,Offensive rebound by M. Teletovic
2:48.0,,,55-36,2,M. Teletovic makes 2-pt shot from 1 ft
2:31.0,I. Thomas misses 2-pt shot from 3 ft (block by R. Price),,55-36,,
2:31.0,Offensive rebound by Team,,55-36,,
2:31.0,Boston full timeout,,55-36,,
2:28.0,A. Bradley misses 3-pt shot from 23 ft,,55-36,,
2:27.0,,,55-36,,Defensive rebound by B. Knight
2:14.0,,,55-38,2,M. Teletovic makes 2-pt shot from 2 ft (assist by B. Knight)
1:57.0,Turnover by J. Sullinger (lost ball),,55-38,,
1:38.0,,,55-38,,M. Teletovic misses 2-pt shot from 15 ft
1:35.0,Defensive rebound by A. Johnson,,55-38,,
1:25.0,Turnover by J. Sullinger (offensive foul),,55-38,,
1:25.0,Offensive foul by J. Sullinger,,55-38,,
1:21.0,,,55-38,,Turnover by P. Tucker (offensive foul)
1:21.0,,,55-38,,Offensive foul by P. Tucker
1:08.0,,,55-38,,Personal foul by B. Knight
0:58.0,A. Bradley misses 3-pt shot from 23 ft,,55-38,,
0:56.0,Offensive rebound by J. Sullinger,,55-38,,
0:56.0,Turnover by J. Sullinger (lost ball),,55-38,,
0:41.0,,,55-38,,B. Knight misses 3-pt shot from 24 ft
0:38.0,Defensive rebound by E. Turner,,55-38,,
0:37.0,,,55-38,,Personal foul by R. Price
0:37.0,E. Turner makes free throw 1 of 2,1,56-38,,
0:37.0,M. Smart enters the game for J. Sullinger,,56-38,,
0:37.0,E. Turner misses free throw 2 of 2,,56-38,,
0:36.0,,,56-38,,Defensive rebound by M. Teletovic
0:18.0,,,56-41,3,J. Jenkins makes 3-pt shot from 24 ft (assist by P. Tucker)
0:03.0,,,56-41,,Personal foul by M. Teletovic
0:03.0,E. Turner makes free throw 1 of 2,1,57-41,,
0:03.0,E. Turner makes free throw 2 of 2,1,58-41,,
0:00.0,Personal block foul by M. Smart,,58-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Turnover by E. Turner (lost ball; steal by P. Tucker),,58-41,,
11:45.0,,,58-44,3,D. Booker makes 3-pt shot from 23 ft (assist by B. Knight)
11:31.0,J. Sullinger misses 2-pt shot from 17 ft,,58-44,,
11:29.0,,,58-44,,Defensive rebound by P. Tucker
11:21.0,,,58-44,,D. Booker misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by J. Sullinger,,58-44,,
11:14.0,I. Thomas makes 2-pt shot from 1 ft,2,60-44,,
11:03.0,,,60-44,,M. Teletovic misses 3-pt shot from 24 ft
11:01.0,Defensive rebound by J. Sullinger,,60-44,,
10:53.0,I. Thomas makes 2-pt shot from 1 ft,2,62-44,,
10:45.0,,,62-44,,Phoenix full timeout
10:40.0,Personal foul by A. Johnson,,62-44,,
10:29.0,,,62-44,,Turnover by B. Knight (lost ball; steal by J. Sullinger)
10:25.0,A. Bradley misses 2-pt shot from 1 ft,,62-44,,
10:20.0,,,62-44,,Defensive rebound by M. Teletovic
10:19.0,,,62-44,,Turnover by M. Teletovic (lost ball; steal by A. Bradley)
10:12.0,E. Turner makes 2-pt shot from 7 ft,2,64-44,,
9:58.0,,,64-44,,Turnover by A. Len (step out of bounds)
9:45.0,Turnover by A. Johnson (lost ball; steal by M. Teletovic),,64-44,,
9:40.0,,,64-46,2,P. Tucker makes 2-pt shot from 1 ft (assist by M. Teletovic)
9:40.0,,,64-46,,Shooting foul by A. Johnson (drawn by P. Tucker)
9:40.0,,,64-47,1,P. Tucker makes free throw 1 of 1
9:24.0,Shooting foul by A. Len (drawn by I. Thomas),,64-47,,
9:24.0,I. Thomas makes free throw 1 of 2,1,65-47,,
9:24.0,I. Thomas makes free throw 2 of 2,1,66-47,,
9:01.0,,,66-49,2,M. Teletovic makes 2-pt shot from 12 ft
8:39.0,J. Sullinger makes 2-pt shot from 7 ft,2,68-49,,
8:27.0,,,68-51,2,B. Knight makes 2-pt shot from 14 ft
8:27.0,,,68-51,,Shooting foul by I. Thomas (drawn by B. Knight)
8:27.0,,,68-52,1,B. Knight makes free throw 1 of 1
8:14.0,I. Thomas misses 3-pt shot from 23 ft,,68-52,,
8:12.0,,,68-52,,Defensive rebound by A. Len
8:01.0,,,68-54,2,P. Tucker makes 2-pt shot from 1 ft
7:48.0,Offensive foul by A. Johnson,,68-54,,
7:48.0,Turnover by A. Johnson (offensive foul),,68-54,,
7:42.0,Personal foul by A. Bradley,,68-54,,
7:35.0,,,68-56,2,D. Booker makes 2-pt shot from 14 ft (assist by B. Knight)
7:35.0,Boston full timeout,,68-56,,
7:22.0,Turnover by J. Sullinger (bad pass),,68-56,,
7:06.0,,,68-58,2,B. Knight makes 2-pt shot from 21 ft (assist by A. Len)
6:51.0,Offensive charge foul by I. Thomas,,68-58,,
6:51.0,Turnover by I. Thomas (offensive foul),,68-58,,
6:51.0,K. Olynyk enters the game for J. Sullinger,,68-58,,
6:51.0,M. Smart enters the game for I. Thomas,,68-58,,
6:44.0,,,68-58,,Shooting foul by A. Bradley (drawn by B. Knight)
6:44.0,,,68-59,1,B. Knight makes free throw 1 of 2
6:44.0,,,68-60,1,B. Knight makes free throw 2 of 2
6:29.0,A. Bradley misses 3-pt shot from 24 ft,,68-60,,
6:27.0,,,68-60,,Defensive rebound by P. Tucker
6:18.0,,,68-60,,B. Knight misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by A. Johnson,,68-60,,
6:04.0,A. Johnson makes 2-pt shot from 5 ft (assist by E. Turner),2,70-60,,
5:54.0,,,70-62,2,M. Teletovic makes 2-pt shot from 5 ft
5:42.0,M. Smart misses 3-pt shot from 24 ft,,70-62,,
5:40.0,,,70-62,,Defensive rebound by M. Teletovic
5:23.0,,,70-62,,A. Len misses 2-pt shot from 2 ft (block by A. Johnson)
5:21.0,Defensive rebound by M. Smart,,70-62,,
5:18.0,Turnover by M. Smart (lost ball; steal by M. Teletovic),,70-62,,
5:10.0,,,70-64,2,A. Len makes 2-pt shot at rim (assist by P. Tucker)
4:48.0,E. Turner misses 3-pt shot from 24 ft,,70-64,,
4:46.0,,,70-64,,Defensive rebound by M. Teletovic
4:40.0,,,70-64,,Shooting foul by K. Olynyk (drawn by M. Teletovic)
4:40.0,,,70-65,1,M. Teletovic makes free throw 1 of 2
4:40.0,I. Thomas enters the game for E. Turner,,70-65,,
4:40.0,,,70-65,,M. Teletovic misses free throw 2 of 2
4:39.0,Defensive rebound by Team,,70-65,,
4:28.0,Shooting foul by A. Len (drawn by I. Thomas),,70-65,,
4:28.0,I. Thomas makes free throw 1 of 2,1,71-65,,
4:28.0,,,71-65,,C. Budinger enters the game for A. Len
4:28.0,I. Thomas makes free throw 2 of 2,1,72-65,,
4:07.0,,,72-65,,D. Booker misses 2-pt shot from 10 ft
4:03.0,,,72-65,,Offensive rebound by C. Budinger
4:03.0,,,72-67,2,C. Budinger makes 2-pt shot from 1 ft
3:54.0,A. Bradley misses 2-pt shot from 2 ft,,72-67,,
3:51.0,,,72-67,,Defensive rebound by Team
3:44.0,Personal foul by A. Bradley,,72-67,,
3:44.0,,,72-68,1,B. Knight makes free throw 1 of 2
3:44.0,,,72-69,1,B. Knight makes free throw 2 of 2
3:19.0,K. Olynyk makes 2-pt shot from 10 ft (assist by A. Bradley),2,74-69,,
3:09.0,,,74-71,2,M. Teletovic makes 2-pt shot from 10 ft
2:52.0,A. Bradley misses 2-pt shot from 15 ft,,74-71,,
2:49.0,,,74-71,,Defensive rebound by P. Tucker
2:43.0,,,74-73,2,D. Booker makes 2-pt shot at rim (assist by P. Tucker)
2:21.0,I. Thomas makes 2-pt shot from 6 ft,2,76-73,,
2:07.0,,,76-73,,B. Knight misses 2-pt shot from 17 ft
2:04.0,Defensive rebound by M. Smart,,76-73,,
1:49.0,M. Smart misses 3-pt shot from 23 ft,,76-73,,
1:47.0,,,76-73,,Defensive rebound by M. Teletovic
1:35.0,,,76-73,,Turnover by C. Budinger (bad pass)
1:35.0,,,76-73,,Phoenix full timeout
1:35.0,J. Jerebko enters the game for A. Johnson,,76-73,,
1:17.0,I. Thomas makes 3-pt shot from 24 ft (assist by M. Smart),3,79-73,,
0:55.0,,,79-73,,M. Teletovic misses 2-pt shot from 7 ft (block by M. Smart)
0:46.0,,,79-73,,Offensive rebound by P. Tucker
0:32.0,,,79-73,,M. Teletovic misses 3-pt shot from 26 ft
0:30.0,Defensive rebound by I. Thomas,,79-73,,
0:14.0,I. Thomas misses 2-pt shot from 5 ft,,79-73,,
0:12.0,Offensive rebound by I. Thomas,,79-73,,
0:12.0,Shooting foul by D. Booker (drawn by I. Thomas),,79-73,,
0:12.0,I. Thomas makes free throw 1 of 2,1,80-73,,
0:12.0,T. Rozier enters the game for A. Bradley,,80-73,,
0:12.0,I. Thomas makes free throw 2 of 2,1,81-73,,
0:00.0,,,81-75,2,D. Booker makes 2-pt shot from 3 ft (assist by P. Tucker)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Personal foul by M. Smart,,81-75,,
