time,Golden State,pts.away,score,pts.home,Denver
1:54.0,,,27-21,,Turnover by W. Barton (lost ball; steal by S. Livingston)
1:31.0,Turnover by S. Curry (back court),,27-21,,
1:31.0,L. Barbosa enters the game for S. Curry,,27-21,,
1:22.0,Violation by L. Barbosa (kicked ball),,27-21,,
1:14.0,,,27-21,,J. Hickson misses 2-pt shot from 1 ft (block by F. Ezeli)
1:13.0,Defensive rebound by D. Green,,27-21,,
1:04.0,A. Iguodala makes 2-pt shot from 3 ft (assist by D. Green),2,29-21,,
0:47.0,,,29-21,,Turnover by D. Gallinari (lost ball; steal by S. Livingston)
0:43.0,Turnover by D. Green (bad pass; steal by W. Barton),,29-21,,
0:40.0,,,29-23,2,W. Barton makes 2-pt shot at rim
0:27.0,D. Green makes 3-pt shot from 23 ft (assist by L. Barbosa),3,32-23,,
0:08.0,,,32-23,,Turnover by J. Nelson (bad pass; steal by A. Iguodala)
0:04.0,S. Livingston makes 2-pt shot at rim (assist by A. Iguodala),2,34-23,,
0:01.0,,,34-23,,D. Gallinari misses 3-pt shot from 30 ft
0:00.0,,,34-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,34-25,2,J. Nelson makes 2-pt shot at rim
11:29.0,L. Barbosa misses 2-pt shot from 7 ft,,34-25,,
11:28.0,,,34-25,,Defensive rebound by J. Hickson
11:22.0,,,34-27,2,W. Barton makes 2-pt shot from 16 ft (assist by J. Hickson)
11:03.0,S. Livingston misses 2-pt shot from 17 ft,,34-27,,
11:00.0,Offensive rebound by F. Ezeli,,34-27,,
11:00.0,F. Ezeli misses 2-pt shot from 1 ft,,34-27,,
10:57.0,,,34-27,,Defensive rebound by J. Hickson
10:42.0,,,34-27,,Turnover by W. Barton (bad pass; steal by H. Barnes)
10:41.0,,,34-27,,Personal foul by R. Foye (drawn by H. Barnes)
10:24.0,H. Barnes makes 2-pt shot from 12 ft,2,36-27,,
10:14.0,,,36-27,,Shooting foul by F. Ezeli (drawn by J. Hickson)
10:14.0,,,36-27,,J. Hickson misses free throw 1 of 2
10:14.0,,,36-27,,Offensive rebound by Team
10:14.0,,,36-27,,J. Hickson misses free throw 2 of 2
10:12.0,Defensive rebound by F. Ezeli,,36-27,,
10:03.0,S. Livingston misses 2-pt shot from 9 ft,,36-27,,
10:02.0,Offensive rebound by Team,,36-27,,
10:02.0,,,36-27,,Loose ball foul by J. Nelson (drawn by H. Barnes)
9:49.0,F. Ezeli misses 2-pt shot from 6 ft,,36-27,,
9:47.0,,,36-27,,Defensive rebound by D. Arthur
9:40.0,,,36-29,2,W. Barton makes 2-pt shot from 11 ft
9:40.0,,,36-29,,Shooting foul by A. Iguodala (drawn by W. Barton)
9:40.0,,,36-30,1,W. Barton makes free throw 1 of 1
9:25.0,S. Livingston misses 3-pt shot from 22 ft,,36-30,,
9:24.0,,,36-30,,Defensive rebound by J. Hickson
9:18.0,,,36-30,,Turnover by J. Nelson (bad pass; steal by L. Barbosa)
9:03.0,Turnover by L. Barbosa (traveling),,36-30,,
9:03.0,Golden State full timeout,,36-30,,
9:01.0,J. McAdoo enters the game for F. Ezeli,,36-30,,
8:45.0,,,36-30,,Turnover by J. Nelson (lost ball; steal by H. Barnes)
8:39.0,A. Iguodala makes 2-pt shot at rim (assist by H. Barnes),2,38-30,,
8:26.0,,,38-30,,Turnover by J. Nelson (bad pass; steal by J. McAdoo)
8:21.0,L. Barbosa misses 2-pt shot at rim,,38-30,,
8:20.0,Offensive rebound by J. McAdoo,,38-30,,
8:20.0,J. McAdoo makes 2-pt shot from 1 ft,2,40-30,,
8:19.0,,,40-30,,Denver full timeout
8:19.0,,,40-30,,E. Mudiay enters the game for J. Nelson
8:00.0,,,40-32,2,J. Hickson makes 2-pt shot from 2 ft
7:49.0,S. Livingston misses 2-pt shot from 14 ft,,40-32,,
7:49.0,,,40-32,,Defensive rebound by D. Arthur
7:39.0,,,40-34,2,D. Arthur makes 2-pt shot from 17 ft (assist by R. Foye)
7:23.0,S. Livingston makes 2-pt shot from 1 ft (assist by H. Barnes),2,42-34,,
7:02.0,,,42-37,3,D. Arthur makes 3-pt shot from 24 ft (assist by W. Barton)
6:51.0,Shooting foul by J. Hickson (drawn by J. McAdoo),,42-37,,
6:51.0,J. McAdoo misses free throw 1 of 2,,42-37,,
6:51.0,Offensive rebound by Team,,42-37,,
6:51.0,S. Curry enters the game for L. Barbosa,,42-37,,
6:51.0,K. Thompson enters the game for A. Iguodala,,42-37,,
6:51.0,J. McAdoo makes free throw 2 of 2,1,43-37,,
6:41.0,,,43-37,,J. Hickson misses 2-pt shot from 1 ft
6:40.0,Defensive rebound by H. Barnes,,43-37,,
6:33.0,J. McAdoo misses 2-pt shot from 7 ft (block by W. Barton),,43-37,,
6:32.0,Offensive rebound by J. McAdoo,,43-37,,
6:31.0,Turnover by J. McAdoo (lost ball),,43-37,,
6:13.0,,,43-39,2,D. Arthur makes 2-pt shot from 18 ft (assist by E. Mudiay)
5:53.0,J. McAdoo makes 2-pt shot from 16 ft (assist by S. Livingston),2,45-39,,
5:37.0,,,45-41,2,W. Barton makes 2-pt shot at rim (assist by J. Hickson)
5:30.0,Turnover by S. Curry (turnover),,45-41,,
5:30.0,A. Bogut enters the game for J. McAdoo,,45-41,,
5:30.0,D. Green enters the game for H. Barnes,,45-41,,
5:30.0,,,45-41,,D. Gallinari enters the game for J. Hickson
5:17.0,,,45-41,,E. Mudiay misses 2-pt shot from 1 ft
5:16.0,,,45-41,,Offensive rebound by D. Arthur
5:13.0,,,45-41,,W. Barton misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by D. Green,,45-41,,
5:09.0,,,45-41,,Personal foul by D. Arthur (drawn by K. Thompson)
5:09.0,I. Clark enters the game for S. Livingston,,45-41,,
5:02.0,K. Thompson makes 2-pt shot from 12 ft (assist by S. Curry),2,47-41,,
4:48.0,,,47-41,,D. Arthur misses 2-pt shot from 2 ft
4:47.0,Defensive rebound by S. Curry,,47-41,,
4:44.0,Turnover by S. Curry (bad pass; steal by R. Foye),,47-41,,
4:38.0,,,47-43,2,D. Arthur makes 2-pt shot at rim (assist by W. Barton)
4:27.0,S. Curry makes 2-pt shot from 5 ft,2,49-43,,
4:12.0,,,49-45,2,D. Arthur makes 2-pt shot from 1 ft (assist by E. Mudiay)
3:56.0,K. Thompson misses 2-pt shot from 20 ft,,49-45,,
3:55.0,,,49-45,,Defensive rebound by D. Gallinari
3:48.0,,,49-45,,D. Gallinari misses 2-pt shot from 2 ft (block by A. Bogut)
3:48.0,,,49-45,,Offensive rebound by Team
3:48.0,,,49-45,,G. Harris enters the game for D. Arthur
3:48.0,,,49-45,,N. Jokic enters the game for R. Foye
3:42.0,,,49-45,,E. Mudiay misses 2-pt shot from 17 ft
3:42.0,,,49-45,,Offensive rebound by Team
3:42.0,Loose ball foul by D. Green (drawn by N. Jokic),,49-45,,
3:30.0,,,49-47,2,E. Mudiay makes 2-pt shot from 5 ft
3:08.0,,,49-47,,Loose ball foul by E. Mudiay (drawn by K. Thompson)
3:08.0,K. Thompson makes free throw 1 of 2,1,50-47,,
3:08.0,K. Thompson misses free throw 2 of 2,,50-47,,
3:07.0,Offensive rebound by D. Green,,50-47,,
3:03.0,K. Thompson misses 2-pt shot at rim,,50-47,,
3:02.0,,,50-47,,Defensive rebound by D. Gallinari
2:50.0,,,50-49,2,D. Gallinari makes 2-pt shot at rim (assist by E. Mudiay)
2:26.0,S. Curry misses 3-pt shot from 26 ft,,50-49,,
2:25.0,,,50-49,,Defensive rebound by W. Barton
2:19.0,,,50-51,2,W. Barton makes 2-pt shot from 1 ft
2:19.0,Golden State full timeout,,50-51,,
2:19.0,A. Iguodala enters the game for A. Bogut,,50-51,,
2:19.0,H. Barnes enters the game for I. Clark,,50-51,,
2:08.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,53-51,,
1:49.0,,,53-51,,D. Gallinari misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by S. Curry,,53-51,,
1:43.0,S. Curry misses 2-pt shot at rim,,53-51,,
1:42.0,,,53-51,,Defensive rebound by D. Gallinari
1:41.0,,,53-51,,Turnover by D. Gallinari (lost ball; steal by S. Curry)
1:39.0,,,53-51,,Personal foul by D. Gallinari (drawn by K. Thompson)
1:39.0,K. Thompson makes free throw 1 of 2,1,54-51,,
1:39.0,K. Thompson makes free throw 2 of 2,1,55-51,,
1:18.0,,,55-51,,D. Gallinari misses 3-pt shot from 26 ft
