time,Minnesota,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. K. Towns (G. Dieng gains possession),,,,Jump ball: D. Howard vs. K. Towns (G. Dieng gains possession)
11:40.0,Z. LaVine makes 3-pt shot from 23 ft (assist by A. Wiggins),3,3-0,,
11:29.0,,,3-2,2,D. Motiejunas makes 2-pt shot from 8 ft (assist by J. Harden)
11:22.0,A. Wiggins misses 2-pt shot from 2 ft (block by D. Motiejunas),,3-2,,
11:21.0,Offensive rebound by A. Wiggins,,3-2,,
11:06.0,K. Towns makes 2-pt shot at rim (assist by G. Dieng),2,5-2,,
10:53.0,,,5-5,3,P. Beverley makes 3-pt shot from 25 ft
10:38.0,Shooting foul by D. Howard (drawn by G. Dieng),,5-5,,
10:38.0,G. Dieng makes free throw 1 of 2,1,6-5,,
10:38.0,G. Dieng makes free throw 2 of 2,1,7-5,,
10:26.0,,,7-5,,Shooting foul by A. Wiggins (drawn by T. Ariza)
10:26.0,,,7-6,1,T. Ariza makes free throw 1 of 2
10:26.0,,,7-7,1,T. Ariza makes free throw 2 of 2
10:25.0,Turnover by G. Dieng (lost ball; steal by P. Beverley),,7-7,,
10:11.0,,,7-9,2,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas)
9:54.0,A. Wiggins misses 2-pt shot from 17 ft,,7-9,,
9:53.0,Offensive rebound by G. Dieng,,7-9,,
9:52.0,G. Dieng misses 2-pt shot from 1 ft,,7-9,,
9:51.0,,,7-9,,Defensive rebound by D. Howard
9:43.0,,,7-9,,D. Motiejunas misses 2-pt shot from 10 ft (block by R. Rubio)
9:40.0,Defensive rebound by R. Rubio,,7-9,,
9:37.0,Turnover by R. Rubio (lost ball; steal by J. Harden),,7-9,,
9:31.0,,,7-12,3,P. Beverley makes 3-pt shot from 23 ft (assist by T. Ariza)
9:21.0,G. Dieng misses 2-pt shot at rim (block by D. Motiejunas),,7-12,,
9:20.0,,,7-12,,Defensive rebound by P. Beverley
9:15.0,,,7-12,,T. Ariza misses 2-pt shot from 1 ft
9:14.0,,,7-12,,Offensive rebound by D. Howard
9:08.0,,,7-12,,D. Howard misses 2-pt shot at rim (block by Z. LaVine)
9:07.0,,,7-12,,Offensive rebound by D. Howard
9:03.0,,,7-12,,D. Howard misses 2-pt shot from 1 ft (block by G. Dieng)
9:03.0,Defensive rebound by G. Dieng,,7-12,,
8:51.0,K. Towns misses 2-pt shot from 2 ft,,7-12,,
8:50.0,,,7-12,,Defensive rebound by D. Howard
8:44.0,,,7-14,2,D. Motiejunas makes 2-pt shot from 8 ft (assist by J. Harden)
8:36.0,Minnesota full timeout,,7-14,,
8:22.0,K. Towns misses 2-pt shot from 6 ft,,7-14,,
8:21.0,,,7-14,,Defensive rebound by D. Motiejunas
8:09.0,,,7-14,,T. Ariza misses 3-pt shot from 24 ft
8:08.0,,,7-14,,Offensive rebound by D. Howard
8:01.0,,,7-14,,Turnover by P. Beverley (lost ball; steal by K. Towns)
7:53.0,Z. LaVine misses 2-pt shot from 19 ft,,7-14,,
7:52.0,,,7-14,,Defensive rebound by P. Beverley
7:37.0,,,7-17,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
7:29.0,,,7-17,,Personal foul by P. Beverley
7:29.0,,,7-17,,M. Beasley enters the game for D. Motiejunas
7:13.0,A. Wiggins makes 2-pt shot from 18 ft (assist by G. Dieng),2,9-17,,
6:50.0,,,9-19,2,M. Beasley makes 2-pt shot from 20 ft (assist by T. Ariza)
6:33.0,Shooting foul by M. Beasley (drawn by A. Wiggins),,9-19,,
6:33.0,A. Wiggins makes free throw 1 of 2,1,10-19,,
6:33.0,A. Wiggins makes free throw 2 of 2,1,11-19,,
6:20.0,,,11-21,2,J. Harden makes 2-pt shot from 10 ft
6:03.0,R. Rubio misses 3-pt shot from 25 ft,,11-21,,
6:03.0,,,11-21,,Defensive rebound by D. Howard
5:49.0,,,11-24,3,M. Beasley makes 3-pt shot from 24 ft (assist by D. Howard)
5:27.0,,,11-24,,C. Capela enters the game for D. Howard
5:22.0,A. Wiggins misses 2-pt shot from 2 ft,,11-24,,
5:21.0,,,11-24,,Defensive rebound by M. Beasley
5:05.0,,,11-24,,J. Harden misses 2-pt shot from 14 ft
5:04.0,,,11-24,,Offensive rebound by M. Beasley
5:00.0,,,11-24,,M. Beasley misses 2-pt shot from 14 ft
4:59.0,Defensive rebound by G. Dieng,,11-24,,
4:53.0,Z. LaVine misses 2-pt shot from 2 ft,,11-24,,
4:52.0,Offensive rebound by Z. LaVine,,11-24,,
4:52.0,Z. LaVine makes 2-pt shot from 2 ft,2,13-24,,
4:40.0,,,13-24,,Turnover by J. Harden (lost ball; steal by Z. LaVine)
4:30.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns),2,15-24,,
4:15.0,,,15-24,,M. Beasley misses 2-pt shot from 3 ft
4:15.0,,,15-24,,Offensive rebound by C. Capela
4:15.0,,,15-26,2,C. Capela makes 2-pt shot from 1 ft
3:53.0,G. Dieng misses 2-pt shot from 6 ft,,15-26,,
3:52.0,,,15-26,,Defensive rebound by Team
3:52.0,G. Smith enters the game for G. Dieng,,15-26,,
3:52.0,,,15-26,,C. Brewer enters the game for T. Ariza
3:42.0,Personal foul by Z. LaVine,,15-26,,
3:33.0,,,15-26,,P. Beverley misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by R. Rubio,,15-26,,
3:28.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,17-26,,
3:17.0,,,17-26,,C. Capela misses 2-pt shot from 2 ft
3:16.0,Defensive rebound by G. Smith,,17-26,,
3:08.0,Turnover by R. Rubio (lost ball; steal by C. Capela),,17-26,,
3:02.0,,,17-28,2,M. Beasley makes 2-pt shot at rim (assist by J. Harden)
2:51.0,,,17-28,,Personal foul by J. Harden
2:51.0,,,17-28,,Houston full timeout
2:51.0,T. Jones enters the game for R. Rubio,,17-28,,
2:51.0,,,17-28,,J. Terry enters the game for P. Beverley
2:42.0,T. Jones misses 2-pt shot from 18 ft,,17-28,,
2:41.0,,,17-28,,Defensive rebound by J. Harden
2:29.0,,,17-28,,J. Terry misses 2-pt shot from 3 ft
2:29.0,Defensive rebound by G. Smith,,17-28,,
2:29.0,,,17-28,,Personal foul by J. Terry
2:29.0,G. Smith misses free throw 1 of 2,,17-28,,
