time,Detroit,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Stoudemire (L. Deng gains possession),,,,Jump ball: A. Drummond vs. A. Stoudemire (L. Deng gains possession)
11:46.0,,,0-0,,A. Stoudemire misses 2-pt shot from 16 ft
11:45.0,Defensive rebound by M. Morris,,0-0,,
11:32.0,T. Harris makes 2-pt shot from 18 ft,2,2-0,,
11:19.0,,,2-2,2,D. Wade makes 2-pt shot from 6 ft
10:55.0,A. Drummond misses 2-pt shot from 6 ft,,2-2,,
10:54.0,,,2-2,,Defensive rebound by A. Stoudemire
10:48.0,,,2-2,,G. Dragic misses 2-pt shot at rim
10:47.0,Defensive rebound by A. Drummond,,2-2,,
10:36.0,T. Harris makes 2-pt shot at rim (assist by M. Morris),2,4-2,,
10:15.0,,,4-4,2,J. Johnson makes 2-pt shot from 1 ft
10:06.0,Offensive foul by A. Drummond,,4-4,,
10:06.0,Turnover by A. Drummond (offensive foul),,4-4,,
9:53.0,,,4-6,2,D. Wade makes 2-pt shot from 3 ft (assist by J. Johnson)
9:28.0,Turnover by M. Morris (lost ball; steal by J. Johnson),,4-6,,
9:17.0,,,4-6,,D. Wade misses 2-pt shot from 15 ft
9:16.0,Defensive rebound by A. Drummond,,4-6,,
9:08.0,R. Jackson misses 2-pt shot from 12 ft,,4-6,,
9:07.0,,,4-6,,Defensive rebound by L. Deng
9:01.0,,,4-8,2,L. Deng makes 2-pt shot from 1 ft
8:43.0,M. Morris misses 2-pt shot from 18 ft,,4-8,,
8:42.0,,,4-8,,Defensive rebound by A. Stoudemire
8:21.0,,,4-8,,A. Stoudemire misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by T. Harris,,4-8,,
8:11.0,T. Harris makes 2-pt shot from 2 ft,2,6-8,,
7:54.0,,,6-8,,Turnover by D. Wade (lost ball; steal by M. Morris)
7:47.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,6-8,,
7:46.0,,,6-8,,Defensive rebound by G. Dragic
7:37.0,,,6-10,2,J. Johnson makes 2-pt shot from 11 ft (assist by L. Deng)
7:22.0,,,6-10,,Personal foul by J. Johnson
7:06.0,R. Jackson misses 3-pt shot from 26 ft,,6-10,,
7:05.0,,,6-10,,Defensive rebound by A. Stoudemire
6:52.0,,,6-12,2,L. Deng makes 2-pt shot from 17 ft
6:40.0,Shooting foul by A. Stoudemire (drawn by R. Jackson),,6-12,,
6:40.0,R. Jackson makes free throw 1 of 2,1,7-12,,
6:40.0,R. Jackson makes free throw 2 of 2,1,8-12,,
6:21.0,,,8-12,,D. Wade misses 2-pt shot from 6 ft
6:20.0,Defensive rebound by A. Drummond,,8-12,,
6:10.0,A. Drummond makes 2-pt shot from 2 ft (assist by R. Jackson),2,10-12,,
5:58.0,,,10-14,2,G. Dragic makes 2-pt shot from 2 ft
5:48.0,,,10-14,,Personal foul by G. Dragic
5:48.0,,,10-14,,Miami full timeout
5:48.0,,,10-14,,J. Richardson enters the game for G. Dragic
5:37.0,T. Harris makes 2-pt shot from 11 ft,2,12-14,,
5:11.0,,,12-14,,L. Deng misses 3-pt shot from 23 ft
5:10.0,Defensive rebound by A. Drummond,,12-14,,
