time,Detroit,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Noel (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. N. Noel (R. Jackson gains possession)
11:41.0,M. Morris makes 2-pt shot from 17 ft,2,2-0,,
11:26.0,,,2-0,,Turnover by J. Okafor (lost ball; steal by A. Drummond)
11:14.0,Turnover by K. Caldwell-Pope (step out of bounds),,2-0,,
10:58.0,,,2-0,,N. Noel misses 2-pt shot at rim
10:55.0,Defensive rebound by E. Ilyasova,,2-0,,
10:50.0,R. Jackson makes 3-pt shot from 25 ft (assist by M. Morris),3,5-0,,
10:34.0,,,5-0,,Turnover by N. Noel (lost ball; steal by K. Caldwell-Pope)
10:24.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by M. Morris),2,7-0,,
10:05.0,,,7-0,,Turnover by N. Noel (traveling)
9:49.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,7-0,,
9:46.0,Offensive rebound by A. Drummond,,7-0,,
9:45.0,A. Drummond makes 2-pt shot from 4 ft,2,9-0,,
9:35.0,Personal foul by A. Drummond (drawn by J. Okafor),,9-0,,
9:26.0,,,9-0,,Turnover by I. Canaan (bad pass; steal by K. Caldwell-Pope)
9:19.0,E. Ilyasova makes 2-pt shot from 17 ft (assist by K. Caldwell-Pope),2,11-0,,
9:18.0,,,11-0,,Philadelphia full timeout
9:05.0,,,11-3,3,R. Covington makes 3-pt shot from 24 ft (assist by K. Marshall)
8:47.0,R. Jackson misses 3-pt shot from 25 ft,,11-3,,
8:47.0,,,11-3,,Defensive rebound by Team
8:32.0,,,11-3,,J. Okafor misses 2-pt shot from 14 ft
8:32.0,Defensive rebound by Team,,11-3,,
8:32.0,,,11-3,,T. McConnell enters the game for K. Marshall
8:11.0,A. Drummond misses 2-pt shot from 6 ft (block by J. Okafor),,11-3,,
8:09.0,,,11-3,,Defensive rebound by T. McConnell
7:57.0,,,11-3,,R. Covington misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by A. Drummond,,11-3,,
7:48.0,Turnover by M. Morris (step out of bounds),,11-3,,
7:48.0,Violation by Team (delay of game),,11-3,,
7:33.0,,,11-3,,Turnover by J. Okafor (traveling)
7:33.0,,,11-3,,N. Stauskas enters the game for I. Canaan
7:20.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by R. Jackson),2,13-3,,
6:58.0,,,13-3,,T. McConnell misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by E. Ilyasova,,13-3,,
6:47.0,A. Drummond misses 2-pt shot from 2 ft,,13-3,,
6:45.0,,,13-3,,Defensive rebound by N. Noel
6:39.0,,,13-3,,Shooting foul by E. Ilyasova (drawn by R. Covington)
6:39.0,,,13-4,1,R. Covington makes free throw 1 of 2
6:39.0,,,13-4,,J. Grant enters the game for J. Okafor
6:39.0,,,13-5,1,R. Covington makes free throw 2 of 2
6:35.0,Shooting foul by N. Noel (drawn by R. Jackson),,13-5,,
6:35.0,R. Jackson makes free throw 1 of 2,1,14-5,,
6:35.0,,,14-5,,H. Thompson enters the game for R. Covington
6:35.0,R. Jackson makes free throw 2 of 2,1,15-5,,
6:16.0,,,15-7,2,J. Grant makes 2-pt shot from 1 ft (assist by N. Stauskas)
6:09.0,A. Drummond misses 2-pt shot from 13 ft,,15-7,,
6:07.0,Offensive rebound by A. Drummond,,15-7,,
6:07.0,A. Drummond misses 2-pt shot at rim,,15-7,,
6:06.0,Offensive rebound by A. Drummond,,15-7,,
6:05.0,A. Drummond misses 2-pt shot from 3 ft (block by N. Noel),,15-7,,
6:03.0,Offensive rebound by A. Drummond,,15-7,,
6:02.0,A. Drummond misses 2-pt shot from 4 ft (block by N. Noel),,15-7,,
6:00.0,,,15-7,,Defensive rebound by T. McConnell
5:49.0,,,15-7,,N. Noel misses 2-pt shot from 1 ft (block by A. Drummond)
5:47.0,Defensive rebound by E. Ilyasova,,15-7,,
5:39.0,Turnover by R. Jackson (bad pass),,15-7,,
5:31.0,,,15-7,,T. McConnell misses 2-pt shot from 1 ft
5:31.0,Jump ball: A. Drummond vs. N. Noel (T. McConnell gains possession),,,,Jump ball: A. Drummond vs. N. Noel (T. McConnell gains possession)
5:31.0,,,15-7,,Offensive rebound by Team
5:16.0,,,15-7,,Turnover by N. Stauskas (lost ball)
5:03.0,R. Jackson makes 2-pt shot from 2 ft,2,17-7,,
