time,San Antonio,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. I. Mahinmi (T. Parker gains possession),,,,Jump ball: T. Duncan vs. I. Mahinmi (T. Parker gains possession)
11:38.0,L. Aldridge misses 2-pt shot from 17 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by G. Hill
11:18.0,,,0-0,,P. George misses 2-pt shot from 6 ft
11:17.0,Defensive rebound by T. Duncan,,0-0,,
11:06.0,K. Leonard makes 2-pt shot from 10 ft,2,2-0,,
10:53.0,,,2-0,,P. George misses 2-pt shot from 18 ft (block by K. Leonard)
10:51.0,Defensive rebound by K. Leonard,,2-0,,
10:44.0,D. Green makes 2-pt shot from 19 ft (assist by T. Duncan),2,4-0,,
10:18.0,,,4-0,,Shooting foul by K. Leonard (drawn by P. George)
10:18.0,,,4-1,1,P. George makes free throw 1 of 2
10:18.0,,,4-2,1,P. George makes free throw 2 of 2
9:54.0,D. Green misses 3-pt shot from 22 ft,,4-2,,
9:53.0,,,4-2,,Defensive rebound by M. Turner
9:31.0,,,4-5,3,P. George makes 3-pt shot from 25 ft
9:18.0,K. Leonard misses 2-pt shot at rim,,4-5,,
9:17.0,,,4-5,,Defensive rebound by G. Hill
9:12.0,,,4-7,2,P. George makes 2-pt shot at rim (assist by G. Hill)
8:56.0,T. Parker misses 2-pt shot from 15 ft,,4-7,,
8:55.0,Offensive rebound by L. Aldridge,,4-7,,
8:42.0,L. Aldridge misses 2-pt shot from 19 ft,,4-7,,
8:42.0,,,4-7,,Defensive rebound by P. George
8:29.0,,,4-9,2,I. Mahinmi makes 2-pt shot from 4 ft
8:14.0,D. Green misses 3-pt shot from 22 ft,,4-9,,
8:13.0,,,4-9,,Defensive rebound by I. Mahinmi
8:00.0,,,4-9,,M. Turner misses 2-pt shot from 19 ft
7:59.0,Defensive rebound by L. Aldridge,,4-9,,
7:42.0,T. Duncan misses 2-pt shot from 8 ft,,4-9,,
7:42.0,Offensive rebound by K. Leonard,,4-9,,
7:38.0,D. Green misses 3-pt shot from 27 ft,,4-9,,
7:37.0,,,4-9,,Defensive rebound by G. Hill
7:27.0,,,4-12,3,G. Hill makes 3-pt shot from 25 ft
7:25.0,San Antonio full timeout,,4-12,,
7:14.0,,,4-12,,Personal foul by M. Turner (drawn by L. Aldridge)
7:05.0,L. Aldridge misses 2-pt shot from 20 ft,,4-12,,
7:04.0,Offensive rebound by Team,,4-12,,
7:04.0,,,4-12,,Loose ball foul by I. Mahinmi (drawn by T. Duncan)
6:58.0,K. Leonard misses 2-pt shot from 12 ft,,4-12,,
6:57.0,,,4-12,,Defensive rebound by M. Turner
6:43.0,,,4-14,2,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis)
6:19.0,L. Aldridge misses 2-pt shot from 5 ft,,4-14,,
6:18.0,,,4-14,,Defensive rebound by G. Hill
6:11.0,,,4-14,,P. George misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by L. Aldridge,,4-14,,
6:00.0,T. Duncan misses 2-pt shot at rim,,4-14,,
5:59.0,Offensive rebound by T. Duncan,,4-14,,
5:59.0,T. Duncan misses 2-pt shot at rim,,4-14,,
5:58.0,Offensive rebound by T. Duncan,,4-14,,
5:55.0,Turnover by T. Duncan (lost ball; steal by I. Mahinmi),,4-14,,
5:46.0,,,4-14,,Turnover by P. George (bad pass)
5:46.0,M. Ginobili enters the game for D. Green,,4-14,,
5:46.0,D. West enters the game for T. Duncan,,4-14,,
5:30.0,T. Parker makes 2-pt shot at rim,2,6-14,,
5:18.0,,,6-14,,G. Hill misses 2-pt shot from 16 ft
5:17.0,Defensive rebound by D. West,,6-14,,
4:58.0,K. Leonard makes 2-pt shot from 15 ft,2,8-14,,
4:42.0,,,8-14,,P. George misses 2-pt shot from 17 ft
4:39.0,,,8-14,,Offensive rebound by G. Hill
4:27.0,,,8-14,,I. Mahinmi misses 2-pt shot from 12 ft
4:26.0,Defensive rebound by D. West,,8-14,,
4:17.0,L. Aldridge misses 2-pt shot from 1 ft,,8-14,,
4:17.0,,,8-14,,Defensive rebound by M. Turner
4:04.0,,,8-14,,P. George misses 2-pt shot from 1 ft
4:03.0,Defensive rebound by L. Aldridge,,8-14,,
3:53.0,M. Ginobili misses 2-pt shot from 8 ft,,8-14,,
3:51.0,Offensive rebound by M. Ginobili,,8-14,,
3:48.0,K. Leonard misses 3-pt shot from 24 ft,,8-14,,
3:45.0,,,8-14,,Defensive rebound by G. Hill
3:39.0,,,8-17,3,M. Ellis makes 3-pt shot from 24 ft (assist by G. Hill)
3:14.0,T. Parker misses 2-pt shot from 15 ft,,8-17,,
3:13.0,,,8-17,,Defensive rebound by P. George
3:03.0,,,8-17,,Indiana full timeout
3:03.0,,,8-17,,J. Hill enters the game for M. Turner
3:03.0,,,8-17,,R. Stuckey enters the game for M. Ellis
3:03.0,B. Diaw enters the game for L. Aldridge,,8-17,,
3:03.0,P. Mills enters the game for T. Parker,,8-17,,
2:50.0,,,8-19,2,R. Stuckey makes 2-pt shot from 19 ft (assist by J. Hill)
2:34.0,M. Ginobili misses 3-pt shot from 26 ft,,8-19,,
2:33.0,,,8-19,,Defensive rebound by I. Mahinmi
2:24.0,,,8-19,,Shooting foul by B. Diaw (drawn by I. Mahinmi)
2:24.0,,,8-19,,I. Mahinmi misses free throw 1 of 2
2:24.0,,,8-19,,Offensive rebound by Team
2:24.0,,,8-19,,T. Lawson enters the game for G. Hill
2:24.0,,,8-20,1,I. Mahinmi makes free throw 2 of 2
2:09.0,K. Leonard misses 2-pt shot from 10 ft,,8-20,,
2:08.0,Offensive rebound by P. Mills,,8-20,,
2:03.0,K. Leonard misses 3-pt shot from 25 ft,,8-20,,
2:03.0,,,8-20,,Defensive rebound by I. Mahinmi
1:46.0,,,8-20,,Turnover by I. Mahinmi (bad pass; steal by D. West)
1:27.0,K. Leonard makes 2-pt shot at rim,2,10-20,,
1:12.0,,,10-20,,Shooting foul by D. West (drawn by R. Stuckey)
1:12.0,,,10-21,1,R. Stuckey makes free throw 1 of 2
1:12.0,,,10-22,1,R. Stuckey makes free throw 2 of 2
0:58.0,Turnover by M. Ginobili (lost ball),,10-22,,
0:49.0,,,10-22,,J. Hill misses 2-pt shot from 20 ft
0:48.0,Defensive rebound by D. West,,10-22,,
0:36.0,K. Leonard makes 3-pt shot from 24 ft (assist by P. Mills),3,13-22,,
0:25.0,,,13-25,3,R. Stuckey makes 3-pt shot from 26 ft (assist by T. Lawson)
0:00.0,M. Ginobili misses 3-pt shot from 26 ft,,13-25,,
0:00.0,,,13-25,,Defensive rebound by P. George
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,13-25,,R. Stuckey misses 2-pt shot from 18 ft
11:38.0,Defensive rebound by D. Green,,13-25,,
11:28.0,D. Green misses 2-pt shot from 16 ft (block by M. Turner),,13-25,,
11:26.0,,,13-25,,Defensive rebound by T. Lawson
11:09.0,,,13-27,2,J. Hill makes 2-pt shot at rim (assist by T. Lawson)
10:49.0,P. Mills misses 3-pt shot from 26 ft,,13-27,,
10:48.0,Offensive rebound by D. Green,,13-27,,
10:29.0,K. Anderson misses 2-pt shot from 1 ft,,13-27,,
10:27.0,,,13-27,,Defensive rebound by M. Turner
10:11.0,,,13-27,,T. Lawson misses 2-pt shot from 1 ft (block by D. West)
10:08.0,Defensive rebound by K. Anderson,,13-27,,
10:02.0,P. Mills misses 3-pt shot from 22 ft,,13-27,,
10:01.0,Offensive rebound by Team,,13-27,,
9:55.0,P. Mills makes 2-pt shot from 19 ft,2,15-27,,
9:37.0,,,15-29,2,M. Turner makes 2-pt shot from 19 ft (assist by R. Stuckey)
9:24.0,P. Mills misses 3-pt shot from 26 ft,,15-29,,
9:22.0,Offensive rebound by K. Anderson,,15-29,,
9:19.0,Shooting foul by J. Hill (drawn by K. Anderson),,15-29,,
9:19.0,K. Anderson makes free throw 1 of 2,1,16-29,,
9:19.0,L. Aldridge enters the game for D. West,,16-29,,
9:19.0,,,16-29,,M. Ellis enters the game for T. Lawson
9:19.0,K. Anderson misses free throw 2 of 2,,16-29,,
9:19.0,,,16-29,,Defensive rebound by J. Hill
9:03.0,,,16-29,,M. Turner misses 2-pt shot from 1 ft
9:02.0,Defensive rebound by L. Aldridge,,16-29,,
8:54.0,P. Mills makes 2-pt shot from 19 ft,2,18-29,,
8:34.0,,,18-29,,Shooting foul by B. Diaw (drawn by R. Stuckey)
8:34.0,Official timeout,,18-29,,
8:34.0,T. Duncan enters the game for B. Diaw,,18-29,,
8:34.0,,,18-30,1,R. Stuckey makes free throw 1 of 2
8:34.0,,,18-31,1,R. Stuckey makes free throw 2 of 2
8:21.0,P. Mills misses 3-pt shot from 26 ft,,18-31,,
8:20.0,,,18-31,,Defensive rebound by M. Turner
8:02.0,,,18-33,2,R. Stuckey makes 2-pt shot from 10 ft
8:02.0,,,18-33,,Shooting foul by D. Green (drawn by R. Stuckey)
8:02.0,,,18-34,1,R. Stuckey makes free throw 1 of 1
7:48.0,,,18-34,,Shooting block foul by S. Hill (drawn by K. Anderson)
7:48.0,K. Anderson makes free throw 1 of 2,1,19-34,,
7:48.0,K. Anderson makes free throw 2 of 2,1,20-34,,
7:40.0,,,20-34,,M. Turner misses 2-pt shot from 20 ft
7:38.0,Defensive rebound by K. Anderson,,20-34,,
