time,Philadelphia,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Grant vs. N. Jokic (D. Arthur gains possession),,,,Jump ball: J. Grant vs. N. Jokic (D. Arthur gains possession)
11:38.0,,,0-2,2,N. Jokic makes 2-pt shot from 3 ft
11:28.0,Turnover by I. Canaan (back court),,0-2,,
11:08.0,,,0-4,2,J. Sampson makes 2-pt shot at rim (assist by N. Jokic)
10:56.0,I. Smith misses 2-pt shot from 13 ft,,0-4,,
10:55.0,,,0-4,,Defensive rebound by E. Mudiay
10:49.0,,,0-4,,E. Mudiay misses 2-pt shot from 12 ft
10:48.0,Defensive rebound by C. Landry,,0-4,,
10:26.0,I. Smith misses 2-pt shot from 13 ft,,0-4,,
10:25.0,,,0-4,,Defensive rebound by J. Sampson
10:14.0,,,0-6,2,E. Mudiay makes 2-pt shot from 1 ft (assist by N. Jokic)
9:56.0,H. Thompson misses 3-pt shot from 24 ft,,0-6,,
9:55.0,,,0-6,,Defensive rebound by N. Jokic
9:35.0,,,0-8,2,E. Mudiay makes 2-pt shot from 14 ft
9:26.0,Shooting foul by J. Sampson (drawn by C. Landry),,0-8,,
9:26.0,C. Landry makes free throw 1 of 2,1,1-8,,
9:26.0,C. Landry makes free throw 2 of 2,1,2-8,,
9:13.0,,,2-8,,G. Harris misses 2-pt shot from 7 ft
9:13.0,,,2-8,,Offensive rebound by G. Harris
9:10.0,,,2-10,2,G. Harris makes 2-pt shot from 1 ft
8:55.0,I. Canaan makes 3-pt shot from 23 ft (assist by I. Smith),3,5-10,,
8:38.0,,,5-12,2,J. Sampson makes 2-pt shot from 1 ft
8:28.0,H. Thompson misses 3-pt shot from 24 ft,,5-12,,
8:27.0,Offensive rebound by H. Thompson,,5-12,,
8:23.0,H. Thompson makes 2-pt shot from 1 ft,2,7-12,,
8:11.0,,,7-12,,G. Harris misses 3-pt shot from 23 ft
8:10.0,Defensive rebound by J. Grant,,7-12,,
8:02.0,Turnover by I. Smith (lost ball; steal by D. Arthur),,7-12,,
7:56.0,,,7-14,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
7:56.0,Philadelphia full timeout,,7-14,,
7:38.0,I. Smith makes 3-pt shot from 27 ft (assist by I. Canaan),3,10-14,,
7:16.0,,,10-14,,D. Arthur misses 3-pt shot from 23 ft
7:16.0,Defensive rebound by I. Smith,,10-14,,
6:59.0,C. Landry misses 2-pt shot from 8 ft,,10-14,,
6:58.0,,,10-14,,Defensive rebound by D. Arthur
6:54.0,,,10-14,,Turnover by E. Mudiay (dbl dribble)
6:43.0,H. Thompson misses 2-pt shot from 4 ft,,10-14,,
6:42.0,,,10-14,,Defensive rebound by E. Mudiay
6:36.0,,,10-14,,J. Sampson misses 2-pt shot from 3 ft
6:35.0,Defensive rebound by C. Landry,,10-14,,
