time,Toronto,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. T. Thompson (J. Smith gains possession),,,,Jump ball: B. Biyombo vs. T. Thompson (J. Smith gains possession)
11:38.0,,,0-0,,K. Irving misses 2-pt shot from 23 ft
11:37.0,Defensive rebound by P. Patterson,,0-0,,
11:20.0,P. Patterson makes 3-pt shot from 25 ft (assist by D. DeRozan),3,3-0,,
10:54.0,,,3-0,,Turnover by T. Thompson (lost ball; steal by D. Carroll)
10:40.0,K. Lowry makes 2-pt shot from 9 ft (assist by P. Patterson),2,5-0,,
10:28.0,,,5-0,,Turnover by L. James (lost ball; steal by D. Carroll)
10:16.0,P. Patterson misses 3-pt shot from 23 ft,,5-0,,
10:15.0,Offensive rebound by B. Biyombo,,5-0,,
10:11.0,B. Biyombo makes 2-pt shot from 1 ft,2,7-0,,
9:52.0,,,7-2,2,L. James makes 2-pt shot from 3 ft
9:39.0,B. Biyombo makes 2-pt shot at rim (assist by D. DeRozan),2,9-2,,
9:25.0,,,9-4,2,K. Irving makes 2-pt shot from 19 ft
9:09.0,D. Carroll misses 3-pt shot from 25 ft,,9-4,,
9:08.0,,,9-4,,Defensive rebound by L. James
9:06.0,,,9-4,,Shooting foul by D. Carroll (drawn by J. Smith)
9:06.0,,,9-4,,J. Smith misses free throw 1 of 2
9:06.0,,,9-4,,Offensive rebound by Team
9:06.0,,,9-5,1,J. Smith makes free throw 2 of 2
8:42.0,Turnover by K. Lowry (lost ball; steal by J. Smith),,9-5,,
8:37.0,,,9-7,2,L. James makes 2-pt shot from 1 ft (assist by J. Smith)
8:24.0,D. DeRozan makes 2-pt shot from 2 ft (assist by D. Carroll),2,11-7,,
8:16.0,,,11-9,2,K. Irving makes 2-pt shot from 1 ft
8:00.0,D. DeRozan makes 2-pt shot from 19 ft,2,13-9,,
7:42.0,,,13-9,,K. Love misses 3-pt shot from 24 ft
7:42.0,Defensive rebound by Team,,13-9,,
7:27.0,D. DeRozan makes 2-pt shot from 15 ft,2,15-9,,
7:10.0,,,15-11,2,L. James makes 2-pt shot from 1 ft
6:53.0,K. Lowry misses 2-pt shot from 23 ft,,15-11,,
6:51.0,,,15-11,,Defensive rebound by L. James
6:43.0,,,15-11,,K. Love misses 2-pt shot from 7 ft
6:43.0,,,15-11,,Offensive rebound by T. Thompson
6:41.0,,,15-11,,T. Thompson misses 2-pt shot from 9 ft
6:41.0,Defensive rebound by Team,,15-11,,
6:41.0,,,15-11,,Loose ball foul by T. Thompson
6:41.0,,,15-11,,Cleveland full timeout
6:20.0,D. Carroll makes 2-pt shot from 1 ft (assist by D. DeRozan),2,17-11,,
6:03.0,,,17-13,2,L. James makes 2-pt shot at rim (assist by K. Love)
5:46.0,P. Patterson misses 3-pt shot from 24 ft,,17-13,,
5:46.0,,,17-13,,Defensive rebound by K. Love
5:29.0,,,17-16,3,K. Love makes 3-pt shot from 24 ft (assist by J. Smith)
5:09.0,K. Lowry misses 3-pt shot from 27 ft,,17-16,,
5:09.0,,,17-16,,Defensive rebound by J. Smith
5:01.0,,,17-16,,I. Shumpert enters the game for T. Thompson
5:00.0,,,17-16,,Shooting foul by P. Patterson (drawn by K. Love)
5:00.0,,,17-17,1,K. Love makes free throw 1 of 2
5:00.0,,,17-18,1,K. Love makes free throw 2 of 2
4:38.0,D. DeRozan makes 2-pt shot from 17 ft,2,19-18,,
4:28.0,,,19-18,,Turnover by K. Love (lost ball; steal by B. Biyombo)
4:17.0,P. Patterson misses 3-pt shot from 24 ft,,19-18,,
4:17.0,Offensive rebound by B. Biyombo,,19-18,,
4:17.0,,,19-18,,Personal foul by K. Love
4:10.0,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry),2,21-18,,
3:48.0,,,21-21,3,K. Love makes 3-pt shot from 26 ft (assist by K. Irving)
3:32.0,D. DeRozan misses 2-pt shot from 3 ft (block by L. James),,21-21,,
3:31.0,,,21-21,,Defensive rebound by K. Irving
3:27.0,,,21-23,2,K. Irving makes 2-pt shot at rim
3:22.0,Toronto full timeout,,21-23,,
3:22.0,J. Johnson enters the game for D. Carroll,,21-23,,
3:22.0,T. Ross enters the game for B. Biyombo,,21-23,,
3:08.0,T. Ross makes 3-pt shot from 26 ft (assist by K. Lowry),3,24-23,,
2:52.0,,,24-25,2,J. Smith makes 2-pt shot at rim (assist by L. James)
2:40.0,D. DeRozan misses 2-pt shot from 5 ft,,24-25,,
2:36.0,,,24-25,,Defensive rebound by L. James
2:27.0,,,24-25,,K. Irving misses 2-pt shot from 8 ft
2:27.0,Defensive rebound by Team,,24-25,,
2:27.0,,,24-25,,R. Jefferson enters the game for L. James
2:06.0,D. DeRozan makes 2-pt shot from 12 ft,2,26-25,,
1:49.0,,,26-25,,J. Smith misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by J. Johnson,,26-25,,
1:42.0,Turnover by K. Lowry (lost ball; steal by K. Irving),,26-25,,
1:35.0,,,26-27,2,K. Irving makes 2-pt shot at rim
1:18.0,J. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry),2,28-27,,
1:07.0,,,28-29,2,I. Shumpert makes 2-pt shot at rim (assist by K. Irving)
0:45.0,P. Patterson misses 2-pt shot from 7 ft,,28-29,,
0:43.0,,,28-29,,Defensive rebound by R. Jefferson
0:39.0,,,28-31,2,K. Irving makes 2-pt shot from 1 ft
0:28.0,K. Lowry misses 3-pt shot from 27 ft,,28-31,,
0:28.0,Offensive rebound by J. Johnson,,28-31,,
0:15.0,D. DeRozan misses 2-pt shot from 14 ft,,28-31,,
0:13.0,,,28-31,,Defensive rebound by K. Love
0:02.0,,,28-31,,Shooting foul by J. Johnson (drawn by K. Irving)
0:02.0,,,28-32,1,K. Irving makes free throw 1 of 2
0:02.0,,,28-32,,M. Dellavedova enters the game for K. Love
0:02.0,B. Biyombo enters the game for P. Patterson,,28-32,,
0:02.0,C. Joseph enters the game for D. DeRozan,,28-32,,
0:02.0,,,28-33,1,K. Irving makes free throw 2 of 2
0:00.0,C. Joseph misses 3-pt shot from 42 ft (block by K. Irving),,28-33,,
0:00.0,Offensive rebound by Team,,28-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,28-33,,Personal foul by I. Shumpert
11:47.0,Turnover by T. Ross (bad pass),,28-33,,
11:38.0,,,28-33,,Turnover by M. Dellavedova (lost ball; steal by T. Ross)
11:32.0,Turnover by B. Biyombo (offensive foul),,28-33,,
11:32.0,Offensive foul by B. Biyombo,,28-33,,
11:14.0,,,28-36,3,C. Frye makes 3-pt shot from 26 ft (assist by M. Dellavedova)
10:56.0,C. Joseph misses 2-pt shot from 20 ft,,28-36,,
10:54.0,,,28-36,,Defensive rebound by M. Dellavedova
10:38.0,,,28-39,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by I. Shumpert)
10:38.0,Toronto full timeout,,28-39,,
10:38.0,D. DeRozan enters the game for J. Johnson,,28-39,,
10:16.0,D. DeRozan misses 2-pt shot from 17 ft,,28-39,,
10:16.0,,,28-39,,Defensive rebound by L. James
10:10.0,Personal foul by T. Ross,,28-39,,
10:06.0,,,28-39,,Offensive foul by L. James
10:06.0,,,28-39,,Turnover by L. James (offensive foul)
9:39.0,T. Ross misses 3-pt shot from 24 ft,,28-39,,
9:39.0,,,28-39,,Defensive rebound by C. Frye
9:26.0,,,28-41,2,M. Dellavedova makes 2-pt shot at rim (assist by C. Frye)
9:26.0,,,28-41,,Shooting foul by C. Joseph (drawn by M. Dellavedova)
9:26.0,K. Lowry enters the game for C. Joseph,,28-41,,
9:26.0,,,28-42,1,M. Dellavedova makes free throw 1 of 1
9:06.0,Shooting foul by R. Jefferson (drawn by B. Biyombo),,28-42,,
9:06.0,B. Biyombo makes free throw 1 of 2,1,29-42,,
9:06.0,B. Biyombo makes free throw 2 of 2,1,30-42,,
8:51.0,,,30-44,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
8:29.0,D. Carroll misses 3-pt shot from 24 ft,,30-44,,
8:29.0,Offensive rebound by D. Carroll,,30-44,,
8:26.0,D. Carroll misses 2-pt shot from 2 ft,,30-44,,
8:25.0,,,30-44,,Defensive rebound by I. Shumpert
8:18.0,,,30-44,,C. Frye misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by T. Ross,,30-44,,
8:11.0,Turnover by D. Carroll (step out of bounds),,30-44,,
7:58.0,,,30-44,,Shooting foul by K. Lowry (drawn by M. Dellavedova)
7:58.0,,,30-44,,M. Dellavedova misses free throw 1 of 2
7:58.0,,,30-44,,Offensive rebound by Team
7:58.0,P. Patterson enters the game for B. Biyombo,,30-44,,
7:58.0,,,30-45,1,M. Dellavedova makes free throw 2 of 2
7:42.0,K. Lowry misses 3-pt shot from 26 ft,,30-45,,
7:41.0,,,30-45,,Defensive rebound by R. Jefferson
7:26.0,,,30-47,2,L. James makes 2-pt shot at rim
7:26.0,,,30-47,,Shooting foul by D. Carroll (drawn by L. James)
7:26.0,,,30-47,,L. James misses free throw 1 of 1
7:25.0,Defensive rebound by K. Lowry,,30-47,,
7:07.0,K. Lowry misses 2-pt shot from 6 ft,,30-47,,
7:07.0,,,30-47,,Defensive rebound by C. Frye
6:55.0,,,30-49,2,I. Shumpert makes 2-pt shot at rim
6:53.0,Toronto full timeout,,30-49,,
6:53.0,J. Johnson enters the game for D. Carroll,,30-49,,
6:28.0,P. Patterson makes 2-pt shot from 5 ft (assist by D. DeRozan),2,32-49,,
6:07.0,,,32-49,,Shooting foul by J. Johnson (drawn by R. Jefferson)
6:07.0,,,32-50,1,R. Jefferson makes free throw 1 of 2
6:07.0,,,32-50,,K. Irving enters the game for I. Shumpert
6:07.0,,,32-50,,J. Smith enters the game for M. Dellavedova
6:07.0,,,32-50,,T. Thompson enters the game for C. Frye
6:07.0,B. Biyombo enters the game for T. Ross,,32-50,,
6:07.0,,,32-50,,R. Jefferson misses free throw 2 of 2
6:06.0,Defensive rebound by B. Biyombo,,32-50,,
5:48.0,D. DeRozan misses 3-pt shot from 23 ft,,32-50,,
5:48.0,,,32-50,,Defensive rebound by R. Jefferson
5:37.0,,,32-52,2,K. Irving makes 2-pt shot from 19 ft (assist by L. James)
5:19.0,K. Lowry makes 2-pt shot from 10 ft,2,34-52,,
