time,Cleveland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. T. Mozgov (L. Allen gains possession),,,,Jump ball: I. Mahinmi vs. T. Mozgov (L. Allen gains possession)
11:46.0,,,0-0,,I. Mahinmi misses 2-pt shot from 1 ft
11:46.0,Defensive rebound by T. Mozgov,,0-0,,
11:33.0,K. Love misses 3-pt shot from 26 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by I. Mahinmi
11:20.0,,,0-0,,L. Allen misses 2-pt shot from 7 ft
11:18.0,,,0-0,,Offensive rebound by G. Hill
11:18.0,,,0-0,,G. Hill misses 2-pt shot from 1 ft
11:17.0,,,0-0,,Offensive rebound by G. Hill
11:17.0,,,0-2,2,G. Hill makes 2-pt shot from 1 ft
11:02.0,K. Love makes 2-pt shot from 18 ft (assist by K. Irving),2,2-2,,
10:48.0,,,2-5,3,M. Ellis makes 3-pt shot from 25 ft (assist by G. Hill)
10:25.0,K. Love makes 2-pt shot from 18 ft (assist by K. Irving),2,4-5,,
10:14.0,,,4-7,2,G. Hill makes 2-pt shot from 9 ft
9:51.0,Shooting foul by I. Mahinmi (drawn by T. Mozgov),,4-7,,
9:51.0,T. Mozgov makes free throw 1 of 2,1,5-7,,
9:51.0,T. Mozgov makes free throw 2 of 2,1,6-7,,
9:31.0,,,6-9,2,L. Allen makes 2-pt shot from 2 ft (assist by M. Ellis)
9:17.0,K. Love makes 3-pt shot from 24 ft (assist by K. Irving),3,9-9,,
9:06.0,Shooting block foul by T. Mozgov (drawn by I. Mahinmi),,9-9,,
9:06.0,,,9-10,1,I. Mahinmi makes free throw 1 of 2
9:06.0,,,9-10,,I. Mahinmi misses free throw 2 of 2
9:06.0,Defensive rebound by K. Love,,9-10,,
8:53.0,J. Smith makes 2-pt shot from 17 ft,2,11-10,,
8:37.0,,,11-10,,P. George misses 3-pt shot from 22 ft
8:36.0,,,11-10,,Offensive rebound by I. Mahinmi
8:36.0,,,11-12,2,I. Mahinmi makes 2-pt shot from 1 ft
8:27.0,Turnover by K. Irving (step out of bounds),,11-12,,
8:14.0,,,11-14,2,P. George makes 2-pt shot from 4 ft
7:57.0,K. Love misses 2-pt shot from 14 ft,,11-14,,
7:56.0,Offensive rebound by T. Mozgov,,11-14,,
7:45.0,Shooting foul by I. Mahinmi (drawn by K. Love),,11-14,,
7:45.0,K. Love makes free throw 1 of 2,1,12-14,,
7:45.0,,,12-14,,M. Turner enters the game for I. Mahinmi
7:45.0,K. Love makes free throw 2 of 2,1,13-14,,
7:31.0,,,13-16,2,P. George makes 2-pt shot from 18 ft
7:19.0,Shooting foul by M. Turner (drawn by K. Love),,13-16,,
7:19.0,K. Love makes free throw 1 of 2,1,14-16,,
7:19.0,K. Love makes free throw 2 of 2,1,15-16,,
7:04.0,,,15-18,2,P. George makes 2-pt shot from 18 ft
6:38.0,K. Love makes 3-pt shot from 26 ft (assist by K. Irving),3,18-18,,
6:22.0,,,18-18,,Shooting foul by K. Love (drawn by M. Ellis)
6:22.0,,,18-18,,M. Ellis misses free throw 1 of 2
6:22.0,,,18-18,,Offensive rebound by Team
6:22.0,,,18-18,,S. Hill enters the game for L. Allen
6:22.0,,,18-19,1,M. Ellis makes free throw 2 of 2
6:08.0,Shooting foul by M. Turner (drawn by T. Mozgov),,18-19,,
6:08.0,T. Mozgov makes free throw 1 of 2,1,19-19,,
6:08.0,,,19-19,,L. Allen enters the game for M. Turner
6:08.0,T. Mozgov makes free throw 2 of 2,1,20-19,,
5:53.0,,,20-19,,Turnover by M. Ellis (lost ball; steal by I. Shumpert)
5:48.0,Turnover by I. Shumpert (lost ball; steal by G. Hill),,20-19,,
5:42.0,,,20-19,,Shooting foul by T. Mozgov (drawn by L. Allen)
5:42.0,,,20-19,,Indiana full timeout
5:42.0,T. Thompson enters the game for T. Mozgov,,20-19,,
5:42.0,,,20-20,1,L. Allen makes free throw 1 of 2
5:42.0,,,20-20,,L. Allen misses free throw 2 of 2
5:42.0,Defensive rebound by T. Thompson,,20-20,,
5:22.0,K. Love misses 2-pt shot from 13 ft,,20-20,,
5:21.0,,,20-20,,Defensive rebound by G. Hill
5:12.0,,,20-20,,P. George misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by I. Shumpert,,20-20,,
5:05.0,K. Irving misses 2-pt shot at rim,,20-20,,
5:04.0,,,20-20,,Defensive rebound by P. George
4:52.0,,,20-20,,P. George misses 2-pt shot from 2 ft (block by K. Irving)
4:51.0,Defensive rebound by K. Love,,20-20,,
4:38.0,Turnover by K. Love (lost ball; steal by M. Ellis),,20-20,,
4:32.0,,,20-22,2,M. Ellis makes 2-pt shot at rim
4:32.0,,,20-22,,Shooting foul by J. Smith (drawn by M. Ellis)
4:32.0,C. Frye enters the game for K. Love,,20-22,,
4:32.0,,,20-23,1,M. Ellis makes free throw 1 of 1
4:18.0,T. Thompson makes 2-pt shot from 4 ft (assist by K. Irving),2,22-23,,
3:59.0,,,22-25,2,S. Hill makes 2-pt shot from 16 ft (assist by G. Hill)
3:38.0,J. Smith makes 2-pt shot from 18 ft,2,24-25,,
3:24.0,,,24-27,2,P. George makes 2-pt shot from 5 ft
3:24.0,,,24-27,,Shooting foul by T. Thompson (drawn by P. George)
3:24.0,M. Dellavedova enters the game for I. Shumpert,,24-27,,
3:24.0,,,24-27,,R. Stuckey enters the game for M. Ellis
3:24.0,,,24-28,1,P. George makes free throw 1 of 1
3:07.0,Turnover by T. Thompson (lost ball; steal by P. George),,24-28,,
3:05.0,,,24-28,,Shooting foul by C. Frye (drawn by P. George)
3:05.0,,,24-29,1,P. George makes free throw 1 of 2
3:05.0,,,24-30,1,P. George makes free throw 2 of 2
2:51.0,K. Irving misses 3-pt shot from 27 ft,,24-30,,
2:50.0,,,24-30,,Defensive rebound by P. George
2:40.0,,,24-32,2,L. Allen makes 2-pt shot from 1 ft
2:38.0,Cleveland full timeout,,24-32,,
2:22.0,J. Smith makes 2-pt shot from 16 ft,2,26-32,,
2:09.0,,,26-32,,Turnover by P. George (lost ball; steal by K. Irving)
1:55.0,M. Dellavedova makes 2-pt shot from 10 ft,2,28-32,,
1:41.0,Personal foul by J. Smith,,28-32,,
1:41.0,,,28-32,,P. George misses free throw 1 of 2
1:41.0,,,28-32,,Offensive rebound by Team
1:41.0,R. Jefferson enters the game for J. Smith,,28-32,,
1:41.0,,,28-33,1,P. George makes free throw 2 of 2
1:31.0,K. Irving makes 2-pt shot from 1 ft,2,30-33,,
1:15.0,,,30-33,,Turnover by S. Hill (bad pass)
1:02.0,Turnover by K. Irving (lost ball; steal by S. Hill),,30-33,,
0:58.0,,,30-33,,R. Stuckey misses 2-pt shot from 1 ft
0:57.0,Defensive rebound by T. Thompson,,30-33,,
0:49.0,Shooting foul by L. Allen (drawn by T. Thompson),,30-33,,
0:49.0,T. Thompson misses free throw 1 of 2,,30-33,,
0:49.0,Offensive rebound by Team,,30-33,,
0:49.0,,,30-33,,J. Hill enters the game for L. Allen
0:49.0,T. Thompson makes free throw 2 of 2,1,31-33,,
0:34.0,,,31-33,,Offensive charge foul by R. Stuckey
0:34.0,,,31-33,,Turnover by R. Stuckey (offensive foul)
0:17.0,K. Irving makes 2-pt shot from 17 ft,2,33-33,,
0:00.0,,,33-36,3,S. Hill makes 3-pt shot from 23 ft (assist by J. Hill)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,M. Williams misses 3-pt shot from 26 ft,,33-36,,
11:43.0,,,33-36,,Defensive rebound by S. Hill
11:26.0,,,33-36,,C. Miles misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by R. Jefferson,,33-36,,
11:16.0,T. Thompson makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,35-36,,
10:52.0,,,35-38,2,J. Hill makes 2-pt shot from 16 ft
10:35.0,M. Dellavedova misses 2-pt shot from 11 ft,,35-38,,
10:34.0,Offensive rebound by T. Thompson,,35-38,,
10:34.0,T. Thompson misses 2-pt shot from 1 ft,,35-38,,
10:32.0,Offensive rebound by T. Thompson,,35-38,,
10:32.0,T. Thompson makes 2-pt shot from 1 ft,2,37-38,,
10:18.0,,,37-38,,M. Ellis misses 2-pt shot from 17 ft
10:17.0,Defensive rebound by M. Williams,,37-38,,
10:14.0,,,37-38,,Violation by S. Hill (def goaltending)
10:14.0,M. Williams makes 2-pt shot from 1 ft,2,39-38,,
9:49.0,,,39-41,3,C. Miles makes 3-pt shot from 25 ft
9:31.0,M. Williams misses 3-pt shot from 26 ft,,39-41,,
9:30.0,,,39-41,,Defensive rebound by M. Ellis
9:26.0,,,39-41,,R. Stuckey misses 2-pt shot from 5 ft
9:25.0,Defensive rebound by C. Frye,,39-41,,
9:12.0,R. Jefferson misses 3-pt shot from 25 ft,,39-41,,
9:10.0,Offensive rebound by M. Dellavedova,,39-41,,
9:01.0,Shooting foul by S. Hill (drawn by C. Frye),,39-41,,
9:01.0,C. Frye makes free throw 1 of 2,1,40-41,,
9:01.0,C. Frye makes free throw 2 of 2,1,41-41,,
8:42.0,,,41-43,2,J. Hill makes 2-pt shot from 3 ft (assist by M. Ellis)
8:28.0,R. Jefferson misses 3-pt shot from 25 ft,,41-43,,
8:28.0,,,41-43,,Defensive rebound by S. Hill
8:20.0,,,41-46,3,S. Hill makes 3-pt shot from 25 ft (assist by M. Ellis)
7:58.0,M. Williams misses 3-pt shot from 23 ft,,41-46,,
7:57.0,,,41-46,,Defensive rebound by S. Hill
7:44.0,,,41-49,3,C. Miles makes 3-pt shot from 25 ft (assist by M. Ellis)
7:44.0,Cleveland full timeout,,41-49,,
7:30.0,,,41-49,,Personal foul by M. Ellis
7:22.0,Turnover by T. Thompson (lost ball; steal by C. Miles),,41-49,,
7:14.0,,,41-52,3,S. Hill makes 3-pt shot from 24 ft (assist by M. Ellis)
6:55.0,M. Williams misses 2-pt shot from 18 ft,,41-52,,
6:54.0,,,41-52,,Defensive rebound by S. Hill
6:46.0,,,41-54,2,R. Stuckey makes 2-pt shot from 1 ft
6:46.0,,,41-54,,Shooting foul by C. Frye (drawn by R. Stuckey)
6:46.0,K. Love enters the game for C. Frye,,41-54,,
6:46.0,K. Irving enters the game for M. Dellavedova,,41-54,,
6:46.0,I. Shumpert enters the game for M. Williams,,41-54,,
6:46.0,,,41-55,1,R. Stuckey makes free throw 1 of 1
6:30.0,Turnover by K. Irving (lost ball; steal by J. Hill),,41-55,,
6:20.0,,,41-55,,M. Ellis misses 2-pt shot from 20 ft
6:19.0,Defensive rebound by T. Thompson,,41-55,,
6:10.0,K. Irving makes 2-pt shot from 17 ft,2,43-55,,
6:01.0,,,43-55,,Turnover by R. Stuckey (lost ball; steal by K. Irving)
5:56.0,K. Irving makes 2-pt shot from 1 ft,2,45-55,,
5:48.0,,,45-55,,Indiana full timeout
5:33.0,Personal foul by K. Irving,,45-55,,
5:33.0,,,45-56,1,R. Stuckey makes free throw 1 of 2
5:33.0,,,45-57,1,R. Stuckey makes free throw 2 of 2
5:16.0,K. Love misses 2-pt shot from 6 ft,,45-57,,
5:16.0,,,45-57,,Defensive rebound by S. Hill
5:06.0,J. Smith enters the game for T. Thompson,,45-57,,
5:01.0,,,45-57,,Turnover by M. Ellis (lost ball; steal by K. Irving)
4:56.0,K. Irving makes 2-pt shot from 2 ft,2,47-57,,
4:36.0,,,47-57,,J. Hill misses 2-pt shot from 3 ft
4:35.0,Defensive rebound by K. Love,,47-57,,
4:29.0,K. Irving misses 3-pt shot from 24 ft,,47-57,,
4:27.0,,,47-57,,Defensive rebound by J. Hill
4:17.0,,,47-57,,R. Stuckey misses 3-pt shot from 23 ft
4:16.0,,,47-57,,Offensive rebound by J. Hill
4:15.0,,,47-59,2,J. Hill makes 2-pt shot from 1 ft
3:55.0,Shooting foul by J. Hill (drawn by J. Smith),,47-59,,
3:55.0,J. Smith makes free throw 1 of 2,1,48-59,,
3:55.0,,,48-59,,G. Hill enters the game for R. Stuckey
3:55.0,,,48-59,,P. George enters the game for J. Hill
3:55.0,,,48-59,,I. Mahinmi enters the game for C. Miles
3:55.0,J. Smith makes free throw 2 of 2,1,49-59,,
3:43.0,,,49-59,,M. Ellis misses 2-pt shot from 1 ft
3:42.0,,,49-59,,Offensive rebound by M. Ellis
3:42.0,,,49-61,2,M. Ellis makes 2-pt shot from 1 ft
3:30.0,Shooting foul by G. Hill (drawn by K. Love),,49-61,,
3:30.0,K. Love makes free throw 1 of 2,1,50-61,,
3:30.0,,,50-61,,C. Miles enters the game for S. Hill
3:30.0,M. Dellavedova enters the game for R. Jefferson,,50-61,,
3:30.0,K. Love makes free throw 2 of 2,1,51-61,,
3:16.0,,,51-63,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by M. Ellis)
3:03.0,K. Irving makes 2-pt shot from 2 ft,2,53-63,,
2:54.0,Personal foul by K. Love,,53-63,,
2:54.0,Official timeout,,53-63,,
2:40.0,,,53-63,,Turnover by G. Hill (step out of bounds)
2:29.0,K. Love makes 3-pt shot from 25 ft (assist by K. Irving),3,56-63,,
2:15.0,,,56-65,2,M. Ellis makes 2-pt shot from 1 ft
2:08.0,K. Irving misses 2-pt shot from 1 ft,,56-65,,
2:08.0,,,56-65,,Defensive rebound by C. Miles
2:01.0,,,56-65,,P. George misses 3-pt shot from 24 ft
2:00.0,Defensive rebound by K. Irving,,56-65,,
1:49.0,Shooting foul by C. Miles (drawn by K. Love),,56-65,,
1:49.0,K. Love makes free throw 1 of 2,1,57-65,,
1:49.0,R. Jefferson enters the game for J. Smith,,57-65,,
