time,Cleveland,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Lauvergne vs. T. Thompson (K. Faried gains possession),,,,Jump ball: J. Lauvergne vs. T. Thompson (K. Faried gains possession)
11:37.0,,,0-0,,J. Nelson misses 2-pt shot from 20 ft
11:36.0,Defensive rebound by K. Love,,0-0,,
11:24.0,L. James misses 2-pt shot from 8 ft,,0-0,,
11:24.0,Offensive rebound by Team,,0-0,,
11:20.0,J. Smith misses 2-pt shot from 20 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by K. Faried
11:05.0,,,0-0,,J. Lauvergne misses 2-pt shot from 2 ft
11:02.0,Defensive rebound by K. Love,,0-0,,
10:59.0,Turnover by L. James (bad pass; steal by G. Harris),,0-0,,
10:49.0,,,0-0,,K. Papanikolaou misses 3-pt shot from 23 ft
10:47.0,Defensive rebound by M. Dellavedova,,0-0,,
10:30.0,L. James makes 2-pt shot from 4 ft,2,2-0,,
10:19.0,Violation by K. Love (kicked ball),,2-0,,
10:05.0,,,2-2,2,J. Lauvergne makes 2-pt shot from 1 ft
9:45.0,K. Love misses 2-pt shot from 16 ft,,2-2,,
9:44.0,,,2-2,,Defensive rebound by J. Nelson
9:39.0,Personal foul by T. Thompson (drawn by K. Faried),,2-2,,
9:28.0,,,2-4,2,J. Lauvergne makes 2-pt shot at rim (assist by J. Nelson)
9:12.0,L. James makes 2-pt shot from 21 ft (assist by J. Smith),2,4-4,,
8:58.0,,,4-4,,G. Harris misses 3-pt shot from 24 ft
8:57.0,Defensive rebound by M. Dellavedova,,4-4,,
8:50.0,J. Smith makes 3-pt shot from 27 ft (assist by M. Dellavedova),3,7-4,,
8:21.0,,,7-4,,K. Faried misses 2-pt shot from 3 ft
8:20.0,Defensive rebound by K. Love,,7-4,,
8:11.0,L. James misses 2-pt shot from 9 ft,,7-4,,
8:09.0,Offensive rebound by K. Love,,7-4,,
8:07.0,K. Love makes 2-pt shot from 4 ft,2,9-4,,
7:54.0,,,9-4,,J. Nelson misses 2-pt shot from 20 ft
7:53.0,,,9-4,,Offensive rebound by K. Faried
7:44.0,,,9-4,,J. Lauvergne misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by K. Love,,9-4,,
7:29.0,J. Smith misses 3-pt shot from 23 ft,,9-4,,
7:28.0,,,9-4,,Defensive rebound by K. Papanikolaou
7:21.0,,,9-4,,Turnover by K. Papanikolaou (bad pass)
7:21.0,Cleveland full timeout,,9-4,,
7:06.0,L. James makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,12-4,,
6:48.0,,,12-6,2,J. Lauvergne makes 2-pt shot from 2 ft
6:31.0,K. Love misses 3-pt shot from 25 ft,,12-6,,
6:30.0,Offensive rebound by M. Dellavedova,,12-6,,
6:26.0,L. James misses 3-pt shot from 24 ft,,12-6,,
6:25.0,,,12-6,,Defensive rebound by K. Faried
6:17.0,,,12-8,2,G. Harris makes 2-pt shot from 2 ft
5:56.0,K. Love misses 3-pt shot from 25 ft,,12-8,,
5:55.0,Offensive rebound by T. Thompson,,12-8,,
5:51.0,T. Thompson makes 2-pt shot from 3 ft,2,14-8,,
5:30.0,,,14-8,,Turnover by J. Lauvergne (bad pass; steal by M. Dellavedova)
5:29.0,,,14-8,,Personal foul by J. Nelson (drawn by L. James)
5:29.0,M. Williams enters the game for M. Dellavedova,,14-8,,
5:29.0,R. Jefferson enters the game for L. James,,14-8,,
5:29.0,,,14-8,,W. Barton enters the game for K. Papanikolaou
5:18.0,K. Love misses 2-pt shot from 5 ft,,14-8,,
5:17.0,Offensive rebound by T. Thompson,,14-8,,
4:56.0,T. Thompson makes 2-pt shot from 5 ft,2,16-8,,
4:42.0,,,16-10,2,K. Faried makes 2-pt shot from 1 ft (assist by G. Harris)
4:23.0,K. Love makes 2-pt shot from 4 ft,2,18-10,,
4:09.0,,,18-12,2,K. Faried makes 2-pt shot from 4 ft (assist by J. Lauvergne)
3:51.0,K. Love misses 2-pt shot from 9 ft,,18-12,,
3:51.0,,,18-12,,Defensive rebound by J. Lauvergne
3:41.0,,,18-12,,J. Nelson misses 2-pt shot from 20 ft
3:39.0,Defensive rebound by M. Williams,,18-12,,
3:31.0,K. Love misses 3-pt shot from 24 ft,,18-12,,
3:28.0,,,18-12,,Defensive rebound by K. Faried
3:17.0,,,18-12,,J. Lauvergne misses 3-pt shot from 22 ft
3:16.0,Defensive rebound by K. Love,,18-12,,
3:04.0,T. Thompson misses 2-pt shot from 2 ft,,18-12,,
3:02.0,,,18-12,,Defensive rebound by J. Nelson
2:59.0,,,18-14,2,W. Barton makes 2-pt shot at rim (assist by J. Nelson)
2:45.0,M. Williams makes 2-pt shot from 2 ft,2,20-14,,
2:45.0,,,20-14,,Denver full timeout
2:45.0,I. Shumpert enters the game for K. Love,,20-14,,
2:45.0,T. Mozgov enters the game for T. Thompson,,20-14,,
2:45.0,J. Cunningham enters the game for J. Smith,,20-14,,
2:45.0,,,20-14,,D. Arthur enters the game for K. Faried
2:45.0,,,20-14,,N. Jokic enters the game for J. Lauvergne
2:34.0,,,20-16,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
