time,Portland,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. M. Plumlee (N. Vonleh gains possession),,,,Jump ball: Z. Pachulia vs. M. Plumlee (N. Vonleh gains possession)
11:43.0,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum),3,3-0,,
11:17.0,,,3-3,3,R. Felton makes 3-pt shot from 23 ft (assist by D. Nowitzki)
10:57.0,N. Vonleh misses 2-pt shot from 22 ft,,3-3,,
10:56.0,,,3-3,,Defensive rebound by R. Felton
10:49.0,Personal block foul by A. Aminu,,3-3,,
10:43.0,Personal foul by A. Aminu,,3-3,,
10:43.0,G. Henderson enters the game for A. Aminu,,3-3,,
10:42.0,,,3-3,,Turnover by D. Nowitzki (lost ball; steal by M. Plumlee)
10:39.0,M. Plumlee makes 2-pt shot at rim,2,5-3,,
10:25.0,,,5-3,,R. Felton misses 2-pt shot from 7 ft
10:24.0,,,5-3,,Offensive rebound by Z. Pachulia
10:21.0,,,5-3,,Z. Pachulia misses 2-pt shot from 4 ft
10:20.0,Defensive rebound by M. Plumlee,,5-3,,
10:05.0,,,5-3,,Violation by Z. Pachulia (kicked ball)
9:57.0,D. Lillard makes 3-pt shot from 27 ft (assist by C. McCollum),3,8-3,,
9:43.0,,,8-3,,Z. Pachulia misses 2-pt shot from 7 ft
9:42.0,Defensive rebound by M. Plumlee,,8-3,,
9:35.0,G. Henderson makes 3-pt shot from 23 ft (assist by M. Plumlee),3,11-3,,
9:34.0,,,11-3,,Dallas full timeout
9:26.0,,,11-3,,Shooting foul by N. Vonleh (drawn by D. Nowitzki)
9:26.0,,,11-4,1,D. Nowitzki makes free throw 1 of 2
9:26.0,,,11-5,1,D. Nowitzki makes free throw 2 of 2
9:09.0,Shooting foul by R. Felton (drawn by C. McCollum),,11-5,,
9:09.0,C. McCollum misses free throw 1 of 2,,11-5,,
9:09.0,Offensive rebound by Team,,11-5,,
9:09.0,C. McCollum makes free throw 2 of 2,1,12-5,,
9:02.0,Personal foul by C. McCollum,,12-5,,
8:51.0,,,12-5,,W. Matthews misses 2-pt shot from 6 ft (block by C. McCollum)
8:49.0,Defensive rebound by N. Vonleh,,12-5,,
8:43.0,C. McCollum misses 3-pt shot from 22 ft,,12-5,,
8:42.0,,,12-5,,Defensive rebound by Z. Pachulia
8:33.0,,,12-5,,Turnover by R. Felton (lost ball; steal by C. McCollum)
8:31.0,,,12-5,,Personal take foul by D. Nowitzki
8:09.0,C. McCollum misses 3-pt shot from 25 ft,,12-5,,
8:09.0,,,12-5,,Defensive rebound by D. Nowitzki
8:09.0,Loose ball foul by M. Plumlee,,12-5,,
8:09.0,,,12-6,1,D. Nowitzki makes free throw 1 of 2
8:09.0,,,12-7,1,D. Nowitzki makes free throw 2 of 2
7:53.0,Turnover by D. Lillard (bad pass),,12-7,,
7:37.0,,,12-9,2,D. Nowitzki makes 2-pt shot from 11 ft (assist by W. Matthews)
7:22.0,G. Henderson makes 2-pt shot from 9 ft,2,14-9,,
7:14.0,,,14-9,,Turnover by W. Matthews (lost ball; steal by G. Henderson)
7:09.0,,,14-9,,Personal foul by W. Matthews
7:09.0,,,14-9,,J. Anderson enters the game for W. Matthews
7:09.0,,,14-9,,D. Lee enters the game for Z. Pachulia
6:55.0,M. Plumlee makes 2-pt shot from 4 ft (assist by D. Lillard),2,16-9,,
6:55.0,Shooting foul by D. Lee (drawn by M. Plumlee),,16-9,,
6:55.0,M. Plumlee misses free throw 1 of 1,,16-9,,
6:54.0,,,16-9,,Defensive rebound by D. Lee
6:43.0,,,16-9,,D. Nowitzki misses 2-pt shot from 18 ft
6:42.0,Defensive rebound by M. Plumlee,,16-9,,
6:35.0,G. Henderson misses 3-pt shot from 22 ft,,16-9,,
6:34.0,,,16-9,,Defensive rebound by D. Nowitzki
6:26.0,,,16-9,,D. Nowitzki misses 3-pt shot from 24 ft
6:25.0,,,16-9,,Offensive rebound by D. Lee
6:15.0,Shooting block foul by M. Plumlee (drawn by D. Williams),,16-9,,
6:15.0,,,16-10,1,D. Williams makes free throw 1 of 2
6:15.0,,,16-10,,D. Harris enters the game for D. Nowitzki
6:15.0,M. Harkless enters the game for N. Vonleh,,16-10,,
6:15.0,,,16-11,1,D. Williams makes free throw 2 of 2
6:00.0,G. Henderson misses 3-pt shot from 23 ft,,16-11,,
6:00.0,Offensive rebound by M. Plumlee,,16-11,,
6:00.0,,,16-11,,Loose ball foul by R. Felton
6:00.0,M. Plumlee makes free throw 1 of 2,1,17-11,,
6:00.0,,,17-11,,C. Villanueva enters the game for R. Felton
6:00.0,M. Plumlee misses free throw 2 of 2,,17-11,,
5:59.0,,,17-11,,Defensive rebound by D. Lee
5:48.0,,,17-13,2,D. Williams makes 2-pt shot from 5 ft
5:40.0,G. Henderson misses 3-pt shot from 23 ft,,17-13,,
5:39.0,,,17-13,,Defensive rebound by C. Villanueva
5:26.0,,,17-15,2,D. Lee makes 2-pt shot from 5 ft (assist by D. Williams)
5:15.0,D. Lillard makes 2-pt shot from 1 ft,2,19-15,,
5:03.0,,,19-17,2,D. Williams makes 2-pt shot from 19 ft (assist by D. Lee)
5:02.0,Portland full timeout,,19-17,,
5:02.0,E. Davis enters the game for M. Plumlee,,19-17,,
5:02.0,A. Crabbe enters the game for C. McCollum,,19-17,,
4:49.0,M. Harkless misses 3-pt shot from 22 ft,,19-17,,
4:48.0,Offensive rebound by Team,,19-17,,
4:31.0,M. Harkless makes 2-pt shot at rim (assist by D. Lillard),2,21-17,,
4:24.0,,,21-17,,C. Villanueva misses 2-pt shot from 1 ft (block by G. Henderson)
4:23.0,Defensive rebound by A. Crabbe,,21-17,,
4:17.0,D. Lillard misses 2-pt shot from 16 ft,,21-17,,
4:16.0,,,21-17,,Defensive rebound by D. Lee
4:13.0,,,21-17,,Turnover by D. Lee (lost ball; steal by M. Harkless)
4:03.0,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard),3,24-17,,
3:54.0,,,24-20,3,D. Williams makes 3-pt shot from 25 ft
3:54.0,,,24-20,,Shooting foul by A. Crabbe (drawn by D. Williams)
3:54.0,,,24-21,1,D. Williams makes free throw 1 of 1
3:43.0,Turnover by D. Lillard (lost ball; steal by D. Williams),,24-21,,
3:32.0,Personal foul by D. Lillard,,24-21,,
3:32.0,,,24-22,1,D. Williams makes free throw 1 of 2
3:32.0,,,24-23,1,D. Williams makes free throw 2 of 2
3:18.0,Turnover by D. Lillard (bad pass),,24-23,,
3:07.0,,,24-23,,D. Williams misses 2-pt shot from 10 ft
3:06.0,Defensive rebound by E. Davis,,24-23,,
2:53.0,Turnover by E. Davis (lost ball; steal by D. Williams),,24-23,,
2:45.0,,,24-23,,J. Anderson misses 2-pt shot at rim
2:44.0,Defensive rebound by E. Davis,,24-23,,
2:39.0,Turnover by D. Lillard (lost ball; steal by D. Williams),,24-23,,
2:33.0,,,24-23,,C. Villanueva misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by G. Henderson,,24-23,,
2:25.0,Shooting foul by D. Harris (drawn by E. Davis),,24-23,,
2:25.0,E. Davis misses free throw 1 of 2,,24-23,,
2:25.0,Offensive rebound by Team,,24-23,,
2:25.0,,,24-23,,D. Nowitzki enters the game for C. Villanueva
2:25.0,,,24-23,,J. Barea enters the game for D. Williams
2:25.0,A. Aminu enters the game for G. Henderson,,24-23,,
2:25.0,E. Davis misses free throw 2 of 2,,24-23,,
2:25.0,,,24-23,,Defensive rebound by J. Barea
2:10.0,,,24-23,,Turnover by D. Harris (lost ball; steal by E. Davis)
2:10.0,Jump ball: E. Davis vs. D. Harris (M. Harkless gains possession),,,,Jump ball: E. Davis vs. D. Harris (M. Harkless gains possession)
2:01.0,A. Crabbe makes 3-pt shot from 23 ft (assist by D. Lillard),3,27-23,,
1:43.0,,,27-23,,J. Barea misses 2-pt shot from 3 ft
1:41.0,,,27-23,,Offensive rebound by D. Lee
1:41.0,,,27-23,,D. Lee misses 2-pt shot from 1 ft
1:40.0,Defensive rebound by D. Lillard,,27-23,,
1:33.0,D. Lillard makes 2-pt shot from 7 ft,2,29-23,,
1:31.0,,,29-23,,Dallas full timeout
1:31.0,,,29-23,,W. Matthews enters the game for J. Anderson
1:21.0,,,29-23,,D. Nowitzki misses 2-pt shot from 9 ft
1:20.0,Defensive rebound by Team,,29-23,,
1:06.0,A. Crabbe misses 2-pt shot from 13 ft,,29-23,,
1:05.0,Offensive rebound by E. Davis,,29-23,,
1:03.0,E. Davis makes 2-pt shot at rim,2,31-23,,
0:44.0,,,31-23,,Turnover by D. Nowitzki (bad pass)
0:44.0,,,31-23,,S. Mejri enters the game for D. Lee
0:44.0,C. McCollum enters the game for E. Davis,,31-23,,
0:34.0,D. Lillard makes 3-pt shot from 25 ft,3,34-23,,
0:18.0,,,34-25,2,D. Harris makes 2-pt shot from 1 ft
0:03.0,M. Harkless makes 2-pt shot at rim,2,36-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,36-27,2,D. Nowitzki makes 2-pt shot from 1 ft
11:29.0,A. Aminu misses 3-pt shot from 25 ft,,36-27,,
11:28.0,,,36-27,,Defensive rebound by D. Harris
11:20.0,,,36-27,,J. Barea misses 2-pt shot from 3 ft
11:19.0,Defensive rebound by A. Crabbe,,36-27,,
11:09.0,A. Aminu misses 3-pt shot from 24 ft,,36-27,,
11:08.0,Offensive rebound by E. Davis,,36-27,,
10:59.0,C. McCollum misses 2-pt shot from 3 ft (block by S. Mejri),,36-27,,
10:59.0,Offensive rebound by Team,,36-27,,
10:52.0,A. Crabbe misses 3-pt shot from 23 ft,,36-27,,
10:51.0,,,36-27,,Defensive rebound by S. Mejri
10:36.0,,,36-27,,D. Nowitzki misses 2-pt shot from 14 ft
10:35.0,,,36-27,,Offensive rebound by S. Mejri
10:34.0,,,36-29,2,S. Mejri makes 2-pt shot at rim
10:34.0,,,36-29,,Shooting foul by M. Harkless (drawn by S. Mejri)
10:34.0,,,36-30,1,S. Mejri makes free throw 1 of 1
10:25.0,Offensive foul by C. McCollum,,36-30,,
10:25.0,Turnover by C. McCollum (offensive foul),,36-30,,
10:14.0,,,36-33,3,D. Harris makes 3-pt shot from 23 ft (assist by D. Nowitzki)
9:46.0,C. McCollum makes 2-pt shot from 7 ft,2,38-33,,
9:34.0,,,38-33,,Shooting foul by E. Davis (drawn by S. Mejri)
9:34.0,,,38-34,1,S. Mejri makes free throw 1 of 2
9:34.0,G. Henderson enters the game for M. Harkless,,38-34,,
