time,Milwaukee,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:47.0,,,0-0,,T. Gibson misses 2-pt shot at rim (block by O. Mayo)
12:00.0,Jump ball: P. Gasol vs. M. Plumlee (T. Gibson gains possession),,,,Jump ball: P. Gasol vs. M. Plumlee (T. Gibson gains possession)
11:44.0,,,0-0,,Offensive rebound by Team
11:39.0,,,0-2,2,P. Gasol makes 2-pt shot from 11 ft
11:26.0,Offensive foul by O. Mayo,,0-2,,
11:26.0,Turnover by O. Mayo (offensive foul),,0-2,,
11:09.0,,,0-2,,D. Rose misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by M. Plumlee,,0-2,,
10:52.0,M. Plumlee misses 2-pt shot from 2 ft,,0-2,,
10:52.0,,,0-2,,Defensive rebound by P. Gasol
10:44.0,,,0-4,2,D. Rose makes 2-pt shot from 2 ft (assist by M. Dunleavy)
10:33.0,J. Parker misses 2-pt shot from 21 ft,,0-4,,
10:33.0,Offensive rebound by M. Plumlee,,0-4,,
10:23.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by P. Gasol),,0-4,,
10:21.0,,,0-4,,Defensive rebound by M. Dunleavy
10:12.0,,,0-4,,P. Gasol misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by J. Parker,,0-4,,
9:46.0,K. Middleton misses 2-pt shot from 2 ft,,0-4,,
9:43.0,Offensive rebound by J. Parker,,0-4,,
9:43.0,J. Parker misses 2-pt shot from 1 ft,,0-4,,
9:43.0,Offensive rebound by M. Plumlee,,0-4,,
9:34.0,K. Middleton misses 2-pt shot from 12 ft,,0-4,,
9:33.0,,,0-4,,Defensive rebound by P. Gasol
9:28.0,,,0-7,3,E. Moore makes 3-pt shot from 24 ft (assist by D. Rose)
9:09.0,J. Parker makes 2-pt shot from 6 ft (assist by G. Antetokounmpo),2,2-7,,
8:54.0,,,2-7,,Turnover by T. Gibson (traveling)
8:38.0,G. Antetokounmpo makes 2-pt shot at rim,2,4-7,,
8:23.0,,,4-7,,E. Moore misses 3-pt shot from 22 ft
8:22.0,Defensive rebound by G. Antetokounmpo,,4-7,,
