time,Utah,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. R. Gobert (D. Favors gains possession),,,,Jump ball: D. Cousins vs. R. Gobert (D. Favors gains possession)
11:43.0,Turnover by S. Mack (lost ball; steal by D. Cousins),,0-0,,
11:38.0,Personal foul by D. Favors,,0-0,,
11:24.0,,,0-0,,D. Cousins misses 2-pt shot from 18 ft
11:23.0,Defensive rebound by S. Mack,,0-0,,
10:59.0,S. Mack misses 3-pt shot from 26 ft,,0-0,,
10:57.0,Offensive rebound by G. Hayward,,0-0,,
10:51.0,G. Hayward misses 3-pt shot from 26 ft,,0-0,,
10:50.0,Offensive rebound by D. Favors,,0-0,,
10:42.0,R. Hood makes 2-pt shot from 19 ft (assist by S. Mack),2,2-0,,
10:19.0,,,2-0,,R. Gay misses 2-pt shot from 14 ft
10:17.0,Defensive rebound by S. Mack,,2-0,,
10:00.0,D. Favors misses 2-pt shot from 18 ft,,2-0,,
10:00.0,,,2-0,,Defensive rebound by D. Collison
9:53.0,,,2-0,,Turnover by D. Collison (lost ball; steal by S. Mack)
9:49.0,,,2-0,,Personal foul by Q. Acy
9:28.0,S. Mack makes 3-pt shot from 23 ft,3,5-0,,
9:01.0,,,5-3,3,D. Cousins makes 3-pt shot from 23 ft (assist by R. Rondo)
8:43.0,D. Favors makes 2-pt shot from 10 ft,2,7-3,,
8:31.0,,,7-3,,D. Cousins misses 2-pt shot from 7 ft
8:31.0,Defensive rebound by R. Gobert,,7-3,,
8:29.0,Shooting foul by R. Gay (drawn by G. Hayward),,7-3,,
8:29.0,G. Hayward makes free throw 1 of 2,1,8-3,,
8:29.0,G. Hayward makes free throw 2 of 2,1,9-3,,
8:15.0,,,9-5,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
7:51.0,D. Favors makes 2-pt shot from 17 ft (assist by S. Mack),2,11-5,,
7:38.0,,,11-7,2,R. Rondo makes 2-pt shot from 7 ft
7:21.0,G. Hayward misses 2-pt shot from 22 ft,,11-7,,
7:20.0,,,11-7,,Defensive rebound by Q. Acy
7:11.0,,,11-7,,D. Cousins misses 2-pt shot from 3 ft
7:10.0,Defensive rebound by S. Mack,,11-7,,
7:00.0,G. Hayward makes 3-pt shot from 23 ft (assist by R. Hood),3,14-7,,
6:33.0,,,14-7,,R. Rondo misses 2-pt shot from 19 ft
6:33.0,Defensive rebound by R. Gobert,,14-7,,
6:17.0,G. Hayward makes 3-pt shot from 25 ft (assist by D. Favors),3,17-7,,
6:17.0,,,17-7,,Sacramento full timeout
6:06.0,Personal foul by G. Hayward,,17-7,,
5:58.0,,,17-7,,R. Gay misses 2-pt shot from 7 ft
5:57.0,Defensive rebound by D. Favors,,17-7,,
5:39.0,D. Favors makes 2-pt shot from 18 ft (assist by S. Mack),2,19-7,,
5:26.0,,,19-7,,D. Collison misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by D. Favors,,19-7,,
5:10.0,D. Favors makes 2-pt shot from 12 ft (assist by G. Hayward),2,21-7,,
4:53.0,,,21-9,2,Q. Acy makes 2-pt shot from 4 ft (assist by D. Collison)
4:34.0,G. Hayward misses 3-pt shot from 24 ft,,21-9,,
4:33.0,,,21-9,,Defensive rebound by R. Gay
4:22.0,,,21-9,,Shooting foul by D. Favors (drawn by D. Cousins)
4:22.0,,,21-10,1,D. Cousins makes free throw 1 of 2
4:22.0,C. Johnson enters the game for D. Favors,,21-10,,
4:22.0,T. Booker enters the game for R. Hood,,21-10,,
4:22.0,,,21-10,,W. Cauley-Stein enters the game for Q. Acy
4:22.0,,,21-10,,M. Belinelli enters the game for R. Gay
4:22.0,,,21-10,,O. Casspi enters the game for D. Collison
4:22.0,,,21-10,,D. Cousins misses free throw 2 of 2
4:21.0,Defensive rebound by R. Gobert,,21-10,,
4:05.0,G. Hayward misses 2-pt shot from 9 ft,,21-10,,
4:03.0,,,21-10,,Defensive rebound by W. Cauley-Stein
3:56.0,,,21-12,2,D. Cousins makes 2-pt shot from 2 ft
3:35.0,R. Gobert misses 2-pt shot from 7 ft,,21-12,,
3:34.0,Offensive rebound by C. Johnson,,21-12,,
3:28.0,,,21-12,,Violation by D. Cousins (kicked ball)
3:14.0,Shooting foul by D. Cousins (drawn by T. Booker),,21-12,,
3:14.0,T. Booker makes free throw 1 of 2,1,22-12,,
3:14.0,T. Booker makes free throw 2 of 2,1,23-12,,
2:56.0,,,23-12,,R. Rondo misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by R. Gobert,,23-12,,
2:49.0,S. Mack makes 3-pt shot from 25 ft,3,26-12,,
2:31.0,,,26-15,3,O. Casspi makes 3-pt shot from 24 ft (assist by R. Rondo)
2:31.0,Utah full timeout,,26-15,,
2:11.0,T. Booker misses 3-pt shot from 22 ft,,26-15,,
2:10.0,,,26-15,,Defensive rebound by R. Rondo
1:57.0,Personal foul by S. Mack,,26-15,,
1:57.0,R. Neto enters the game for S. Mack,,26-15,,
1:47.0,,,26-15,,Turnover by R. Rondo (lost ball; steal by T. Booker)
1:32.0,C. Johnson makes 3-pt shot from 25 ft (assist by T. Booker),3,29-15,,
1:20.0,,,29-15,,D. Cousins misses 3-pt shot from 24 ft
1:20.0,Defensive rebound by T. Booker,,29-15,,
1:06.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Gobert),3,32-15,,
0:53.0,,,32-15,,R. Rondo misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by G. Hayward,,32-15,,
0:41.0,R. Gobert misses 2-pt shot from 4 ft,,32-15,,
0:41.0,Offensive rebound by T. Booker,,32-15,,
0:41.0,T. Booker makes 2-pt shot from 1 ft,2,34-15,,
0:33.0,,,34-15,,Shooting foul by R. Gobert (drawn by D. Cousins)
0:33.0,,,34-15,,D. Cousins misses free throw 1 of 2
0:33.0,,,34-15,,Offensive rebound by Team
0:33.0,,,34-16,1,D. Cousins makes free throw 2 of 2
0:20.0,T. Booker makes 2-pt shot from 1 ft (assist by R. Neto),2,36-16,,
0:03.0,,,36-18,2,D. Cousins makes 2-pt shot from 8 ft (assist by R. Rondo)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,36-18,,K. Koufos misses 2-pt shot from 9 ft
11:39.0,Defensive rebound by T. Booker,,36-18,,
11:15.0,J. Ingles misses 2-pt shot from 11 ft,,36-18,,
11:14.0,,,36-18,,Defensive rebound by K. Koufos
10:55.0,,,36-18,,Turnover by D. Collison (lost ball; steal by J. Ingles)
10:51.0,R. Neto makes 2-pt shot from 2 ft (assist by J. Ingles),2,38-18,,
10:51.0,Shooting foul by O. Casspi (drawn by R. Neto),,38-18,,
10:51.0,R. Neto makes free throw 1 of 1,1,39-18,,
10:38.0,,,39-18,,M. Belinelli misses 2-pt shot from 19 ft
10:38.0,Defensive rebound by J. Ingles,,39-18,,
10:26.0,D. Favors makes 2-pt shot from 10 ft (assist by J. Ingles),2,41-18,,
10:13.0,,,41-20,2,D. Collison makes 2-pt shot from 17 ft
10:08.0,,,41-20,,R. Gay enters the game for W. Cauley-Stein
10:01.0,,,41-20,,Personal foul by D. Collison
9:53.0,R. Hood misses 2-pt shot from 18 ft,,41-20,,
9:52.0,,,41-20,,Defensive rebound by O. Casspi
9:33.0,,,41-20,,K. Koufos misses 2-pt shot from 9 ft (block by T. Booker)
9:31.0,Defensive rebound by J. Ingles,,41-20,,
9:15.0,T. Booker makes 2-pt shot from 2 ft (assist by R. Neto),2,43-20,,
9:00.0,,,43-22,2,R. Gay makes 2-pt shot from 22 ft
8:45.0,Official timeout,,43-22,,
8:45.0,T. Lyles enters the game for T. Booker,,43-22,,
8:38.0,R. Hood misses 2-pt shot from 5 ft,,43-22,,
8:36.0,Offensive rebound by R. Hood,,43-22,,
8:21.0,R. Neto misses 3-pt shot from 25 ft,,43-22,,
8:21.0,,,43-22,,Defensive rebound by K. Koufos
8:09.0,,,43-22,,R. Gay misses 2-pt shot from 4 ft
8:08.0,Defensive rebound by J. Ingles,,43-22,,
7:51.0,D. Favors makes 2-pt shot from 7 ft,2,45-22,,
7:27.0,,,45-24,2,O. Casspi makes 2-pt shot from 2 ft
7:18.0,Turnover by J. Ingles (lost ball; steal by O. Casspi),,45-24,,
7:16.0,,,45-26,2,O. Casspi makes 2-pt shot at rim (assist by M. Belinelli)
6:48.0,Turnover by R. Hood (lost ball; steal by M. Belinelli),,45-26,,
6:37.0,,,45-28,2,D. Collison makes 2-pt shot from 7 ft
6:18.0,Shooting foul by D. Collison (drawn by D. Favors),,45-28,,
6:18.0,D. Favors makes free throw 1 of 2,1,46-28,,
6:18.0,S. Mack enters the game for R. Hood,,46-28,,
6:18.0,G. Hayward enters the game for R. Neto,,46-28,,
6:18.0,C. Johnson enters the game for J. Ingles,,46-28,,
6:18.0,,,46-28,,D. Cousins enters the game for K. Koufos
6:18.0,D. Favors makes free throw 2 of 2,1,47-28,,
6:03.0,,,47-30,2,D. Collison makes 2-pt shot from 2 ft (assist by M. Belinelli)
5:56.0,Turnover by S. Mack (bad pass),,47-30,,
5:56.0,,,47-30,,Sacramento full timeout
5:56.0,R. Gobert enters the game for D. Favors,,47-30,,
5:46.0,,,47-30,,Turnover by R. Gay (3 sec)
5:46.0,,,47-30,,Violation by Team (jump ball)
5:26.0,T. Lyles makes 3-pt shot from 22 ft (assist by G. Hayward),3,50-30,,
5:12.0,,,50-30,,Shooting foul by T. Lyles (drawn by D. Cousins)
5:12.0,,,50-31,1,D. Cousins makes free throw 1 of 2
5:12.0,,,50-31,,R. Rondo enters the game for M. Belinelli
5:12.0,,,50-32,1,D. Cousins makes free throw 2 of 2
5:00.0,T. Lyles misses 2-pt shot from 20 ft,,50-32,,
5:00.0,,,50-32,,Defensive rebound by R. Gay
4:44.0,,,50-32,,O. Casspi misses 2-pt shot from 8 ft
4:44.0,Defensive rebound by R. Gobert,,50-32,,
4:34.0,Turnover by C. Johnson (lost ball; steal by D. Collison),,50-32,,
4:31.0,,,50-34,2,D. Cousins makes 2-pt shot at rim
4:17.0,G. Hayward makes 3-pt shot from 25 ft (assist by C. Johnson),3,53-34,,
3:59.0,,,53-34,,D. Cousins misses 2-pt shot from 21 ft
3:57.0,Defensive rebound by S. Mack,,53-34,,
3:50.0,S. Mack makes 2-pt shot from 7 ft,2,55-34,,
3:29.0,Personal foul by S. Mack,,55-34,,
3:29.0,,,55-34,,W. Cauley-Stein enters the game for O. Casspi
3:29.0,,,55-34,,S. Curry enters the game for D. Collison
3:29.0,T. Burke enters the game for S. Mack,,55-34,,
3:29.0,R. Hood enters the game for C. Johnson,,55-34,,
3:29.0,Violation by Team (jump ball),,55-34,,
3:14.0,,,55-37,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Cousins)
3:00.0,Turnover by R. Gobert (dbl dribble),,55-37,,
2:38.0,,,55-37,,D. Cousins misses 2-pt shot from 3 ft
2:37.0,,,55-37,,Offensive rebound by R. Rondo
2:36.0,,,55-37,,Turnover by Team (shot clock)
2:36.0,Utah full timeout,,55-37,,
2:36.0,D. Favors enters the game for T. Lyles,,55-37,,
2:20.0,Shooting foul by D. Cousins (drawn by R. Gobert),,55-37,,
2:20.0,R. Gobert misses free throw 1 of 2,,55-37,,
2:20.0,Offensive rebound by Team,,55-37,,
2:20.0,R. Gobert misses free throw 2 of 2,,55-37,,
2:20.0,,,55-37,,Defensive rebound by D. Cousins
2:09.0,Personal foul by G. Hayward,,55-37,,
2:09.0,,,55-37,,O. Casspi enters the game for R. Gay
2:00.0,,,55-37,,D. Cousins misses 2-pt shot from 5 ft
1:59.0,Defensive rebound by R. Gobert,,55-37,,
1:55.0,G. Hayward makes 2-pt shot at rim (assist by R. Gobert),2,57-37,,
1:38.0,,,57-37,,Shooting foul by R. Gobert (drawn by W. Cauley-Stein)
1:38.0,,,57-38,1,W. Cauley-Stein makes free throw 1 of 2
1:38.0,,,57-39,1,W. Cauley-Stein makes free throw 2 of 2
1:21.0,D. Favors makes 2-pt shot from 14 ft (assist by G. Hayward),2,59-39,,
1:15.0,,,59-41,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by R. Rondo)
1:00.0,G. Hayward makes 2-pt shot from 7 ft,2,61-41,,
0:46.0,,,61-41,,Shooting foul by R. Gobert (drawn by D. Cousins)
0:46.0,,,61-41,,D. Cousins misses free throw 1 of 2
0:46.0,,,61-41,,Offensive rebound by Team
0:46.0,T. Booker enters the game for R. Gobert,,61-41,,
0:46.0,,,61-42,1,D. Cousins makes free throw 2 of 2
0:32.0,T. Burke misses 3-pt shot from 24 ft,,61-42,,
0:31.0,,,61-42,,Defensive rebound by D. Cousins
0:14.0,,,61-45,3,O. Casspi makes 3-pt shot from 23 ft (assist by D. Cousins)
