time,Washington,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Jokic (G. Temple gains possession),,,,Jump ball: M. Gortat vs. N. Jokic (G. Temple gains possession)
11:42.0,M. Morris misses 2-pt shot from 18 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by G. Harris
11:26.0,Personal foul by O. Porter,,0-0,,
11:17.0,,,0-2,2,G. Harris makes 2-pt shot from 2 ft
11:11.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,2-2,,
10:49.0,,,2-4,2,E. Mudiay makes 2-pt shot from 15 ft
10:35.0,,,2-4,,Personal foul by J. Sampson
10:29.0,O. Porter misses 2-pt shot from 21 ft,,2-4,,
10:28.0,,,2-4,,Defensive rebound by K. Faried
10:13.0,,,2-4,,Shooting foul by M. Gortat (drawn by E. Mudiay)
10:13.0,,,2-5,1,E. Mudiay makes free throw 1 of 2
10:13.0,,,2-6,1,E. Mudiay makes free throw 2 of 2
10:00.0,M. Gortat misses 2-pt shot from 2 ft (block by J. Sampson),,2-6,,
9:59.0,,,2-6,,Defensive rebound by N. Jokic
9:52.0,,,2-6,,Turnover by G. Harris (lost ball; steal by O. Porter)
9:43.0,J. Wall makes 3-pt shot from 24 ft (assist by M. Morris),3,5-6,,
9:26.0,,,5-6,,E. Mudiay misses 2-pt shot from 14 ft
9:25.0,Defensive rebound by M. Gortat,,5-6,,
9:23.0,,,5-6,,Personal foul by N. Jokic
9:20.0,O. Porter misses 2-pt shot from 1 ft,,5-6,,
9:19.0,,,5-6,,Defensive rebound by K. Faried
9:07.0,,,5-8,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
8:52.0,,,5-8,,Personal foul by E. Mudiay
8:45.0,J. Wall misses 2-pt shot from 19 ft,,5-8,,
8:43.0,,,5-8,,Defensive rebound by K. Faried
8:32.0,,,5-8,,Shooting foul by M. Gortat (drawn by K. Faried)
