time,Detroit,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. G. Monroe (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. G. Monroe (R. Jackson gains possession)
11:42.0,A. Drummond makes 2-pt shot from 5 ft (assist by R. Jackson),2,2-0,,
11:23.0,,,2-2,2,J. Parker makes 2-pt shot from 5 ft (assist by K. Middleton)
11:09.0,E. Ilyasova misses 3-pt shot from 27 ft,,2-2,,
11:07.0,,,2-2,,Defensive rebound by M. Carter-Williams
11:01.0,,,2-2,,J. Parker misses 2-pt shot from 2 ft
11:00.0,Defensive rebound by A. Drummond,,2-2,,
10:41.0,Turnover by M. Morris (bad pass; steal by K. Middleton),,2-2,,
10:37.0,,,2-4,2,K. Middleton makes 2-pt shot from 2 ft
10:08.0,R. Jackson makes 2-pt shot from 14 ft,2,4-4,,
10:08.0,Violation by Team (delay of game),,4-4,,
9:52.0,,,4-6,2,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo)
9:38.0,E. Ilyasova misses 2-pt shot from 19 ft,,4-6,,
9:36.0,Offensive rebound by A. Drummond,,4-6,,
9:34.0,A. Drummond misses 2-pt shot from 2 ft (block by J. Parker),,4-6,,
9:34.0,Offensive rebound by Team,,4-6,,
9:30.0,R. Jackson misses 2-pt shot from 1 ft,,4-6,,
9:29.0,Offensive rebound by A. Drummond,,4-6,,
9:14.0,A. Drummond makes 2-pt shot from 10 ft (assist by R. Jackson),2,6-6,,
8:56.0,,,6-6,,G. Antetokounmpo misses 2-pt shot from 18 ft
8:55.0,,,6-6,,Offensive rebound by M. Carter-Williams
8:51.0,,,6-6,,M. Carter-Williams misses 2-pt shot from 1 ft
8:48.0,,,6-6,,Offensive rebound by M. Carter-Williams
8:48.0,,,6-6,,M. Carter-Williams misses 2-pt shot at rim
8:47.0,,,6-6,,Offensive rebound by G. Monroe
8:47.0,,,6-8,2,G. Monroe makes 2-pt shot from 1 ft
8:34.0,A. Drummond makes 2-pt shot at rim (assist by M. Morris),2,8-8,,
8:17.0,,,8-8,,G. Antetokounmpo misses 2-pt shot from 5 ft
8:16.0,Defensive rebound by M. Morris,,8-8,,
7:55.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,10-8,,
7:42.0,,,10-8,,G. Monroe misses 2-pt shot from 17 ft
7:41.0,Defensive rebound by M. Morris,,10-8,,
7:35.0,Turnover by R. Jackson (bad pass; steal by G. Monroe),,10-8,,
7:27.0,,,10-10,2,M. Carter-Williams makes 2-pt shot from 14 ft (assist by G. Antetokounmpo)
6:54.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by E. Ilyasova),3,13-10,,
6:41.0,,,13-12,2,M. Carter-Williams makes 2-pt shot at rim (assist by G. Antetokounmpo)
6:34.0,Detroit full timeout,,13-12,,
6:34.0,,,13-12,,J. O'Bryant enters the game for J. Parker
6:17.0,R. Jackson misses 3-pt shot from 26 ft,,13-12,,
6:16.0,,,13-12,,Defensive rebound by G. Antetokounmpo
5:56.0,,,13-14,2,M. Carter-Williams makes 2-pt shot from 7 ft
5:44.0,Shooting foul by G. Antetokounmpo (drawn by A. Drummond),,13-14,,
5:44.0,A. Drummond misses free throw 1 of 2,,13-14,,
5:44.0,Offensive rebound by Team,,13-14,,
5:44.0,A. Drummond makes free throw 2 of 2,1,14-14,,
5:28.0,,,14-14,,M. Carter-Williams misses 2-pt shot from 6 ft
5:26.0,Defensive rebound by A. Drummond,,14-14,,
5:18.0,Turnover by M. Morris (bad pass),,14-14,,
4:59.0,,,14-14,,G. Monroe misses 2-pt shot from 4 ft
4:58.0,Defensive rebound by A. Drummond,,14-14,,
4:49.0,E. Ilyasova misses 3-pt shot from 23 ft,,14-14,,
