time,Toronto,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,,,0-0,,S. Vujacic misses 3-pt shot from 24 ft
12:00.0,Jump ball: R. Lopez vs. J. Valanciunas (J. Grant gains possession),,,,Jump ball: R. Lopez vs. J. Valanciunas (J. Grant gains possession)
11:40.0,Defensive rebound by J. Thompson,,0-0,,
11:19.0,J. Valanciunas makes 2-pt shot from 6 ft (assist by N. Powell),2,2-0,,
11:01.0,,,2-0,,C. Anthony misses 2-pt shot from 12 ft
10:59.0,Defensive rebound by J. Thompson,,2-0,,
10:44.0,K. Lowry misses 2-pt shot from 15 ft,,2-0,,
10:42.0,,,2-0,,Defensive rebound by J. Grant
10:33.0,,,2-0,,C. Anthony misses 2-pt shot from 17 ft
10:31.0,,,2-0,,Offensive rebound by Team
10:24.0,,,2-2,2,J. Grant makes 2-pt shot from 4 ft
10:06.0,N. Powell misses 2-pt shot from 15 ft,,2-2,,
10:04.0,Offensive rebound by J. Thompson,,2-2,,
9:53.0,Turnover by D. DeRozan (lost ball; steal by J. Grant),,2-2,,
9:41.0,,,2-2,,R. Lopez misses 2-pt shot from 1 ft (block by J. Valanciunas)
9:39.0,Defensive rebound by D. DeRozan,,2-2,,
9:28.0,D. DeRozan misses 2-pt shot from 1 ft,,2-2,,
9:26.0,Offensive rebound by J. Valanciunas,,2-2,,
9:25.0,J. Valanciunas makes 2-pt shot from 1 ft,2,4-2,,
9:04.0,,,4-4,2,J. Grant makes 2-pt shot from 2 ft
8:37.0,J. Thompson makes 2-pt shot from 2 ft (assist by K. Lowry),2,6-4,,
8:18.0,,,6-4,,Shooting foul by J. Valanciunas (drawn by C. Anthony)
8:18.0,,,6-5,1,C. Anthony makes free throw 1 of 2
8:18.0,,,6-6,1,C. Anthony makes free throw 2 of 2
7:56.0,J. Thompson makes 2-pt shot from 4 ft,2,8-6,,
7:50.0,,,8-6,,Turnover by C. Anthony (back court)
7:41.0,D. DeRozan misses 2-pt shot from 4 ft,,8-6,,
7:39.0,,,8-6,,Defensive rebound by S. Vujacic
7:31.0,,,8-9,3,C. Anthony makes 3-pt shot from 24 ft
7:06.0,K. Lowry misses 2-pt shot from 4 ft,,8-9,,
7:05.0,,,8-9,,Defensive rebound by D. Williams
6:56.0,,,8-9,,R. Lopez misses 2-pt shot from 12 ft
6:54.0,Defensive rebound by J. Thompson,,8-9,,
6:46.0,,,8-9,,Personal foul by S. Vujacic
6:39.0,D. DeRozan makes 2-pt shot from 1 ft,2,10-9,,
6:25.0,,,10-9,,R. Lopez misses 2-pt shot from 3 ft
6:23.0,Defensive rebound by J. Valanciunas,,10-9,,
6:06.0,J. Thompson misses 3-pt shot from 23 ft,,10-9,,
6:04.0,,,10-9,,Defensive rebound by R. Lopez
5:55.0,,,10-12,3,J. Grant makes 3-pt shot from 24 ft (assist by S. Vujacic)
5:33.0,N. Powell misses 3-pt shot from 25 ft,,10-12,,
5:31.0,,,10-12,,Defensive rebound by C. Anthony
