time,Charlotte,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. C. Zeller (J. Grant gains possession),,,,Jump ball: R. Lopez vs. C. Zeller (J. Grant gains possession)
11:43.0,,,0-2,2,D. Williams makes 2-pt shot from 2 ft (assist by C. Anthony)
11:30.0,M. Williams makes 2-pt shot from 22 ft (assist by K. Walker),2,2-2,,
11:12.0,,,2-2,,S. Vujacic misses 2-pt shot from 2 ft
11:10.0,Defensive rebound by C. Lee,,2-2,,
11:03.0,M. Williams makes 3-pt shot from 24 ft (assist by C. Lee),3,5-2,,
10:40.0,,,5-4,2,J. Grant makes 2-pt shot from 13 ft
10:18.0,F. Kaminsky misses 2-pt shot from 2 ft,,5-4,,
10:16.0,,,5-4,,Defensive rebound by R. Lopez
10:10.0,,,5-4,,S. Vujacic misses 3-pt shot from 23 ft
10:08.0,,,5-4,,Offensive rebound by R. Lopez
9:57.0,,,5-4,,Turnover by S. Vujacic (traveling)
9:40.0,F. Kaminsky misses 2-pt shot from 2 ft,,5-4,,
9:39.0,,,5-4,,Defensive rebound by S. Vujacic
9:33.0,Personal foul by C. Zeller,,5-4,,
9:24.0,,,5-6,2,D. Williams makes 2-pt shot at rim (assist by S. Vujacic)
9:09.0,K. Walker makes 2-pt shot from 18 ft (assist by F. Kaminsky),2,7-6,,
8:50.0,,,7-6,,Turnover by R. Lopez (3 sec)
8:39.0,C. Lee misses 3-pt shot from 23 ft,,7-6,,
8:36.0,Offensive rebound by M. Williams,,7-6,,
8:36.0,M. Williams misses 2-pt shot from 1 ft,,7-6,,
8:35.0,Offensive rebound by C. Zeller,,7-6,,
8:31.0,K. Walker makes 3-pt shot from 25 ft (assist by C. Zeller),3,10-6,,
8:16.0,,,10-6,,Shooting foul by C. Zeller (drawn by R. Lopez)
8:16.0,,,10-7,1,R. Lopez makes free throw 1 of 2
8:16.0,,,10-8,1,R. Lopez makes free throw 2 of 2
8:06.0,K. Walker makes 2-pt shot from 17 ft (assist by C. Lee),2,12-8,,
7:47.0,,,12-11,3,S. Vujacic makes 3-pt shot from 25 ft (assist by C. Anthony)
7:35.0,K. Walker makes 3-pt shot from 25 ft,3,15-11,,
7:19.0,,,15-11,,C. Anthony misses 3-pt shot from 25 ft
7:17.0,,,15-11,,Offensive rebound by J. Grant
7:05.0,,,15-11,,J. Grant misses 2-pt shot from 6 ft
7:04.0,Defensive rebound by K. Walker,,15-11,,
6:57.0,K. Walker misses 2-pt shot from 13 ft,,15-11,,
6:56.0,,,15-11,,Defensive rebound by D. Williams
6:47.0,,,15-13,2,D. Williams makes 2-pt shot from 5 ft
6:36.0,M. Williams misses 3-pt shot from 25 ft,,15-13,,
6:35.0,Offensive rebound by Team,,15-13,,
6:35.0,,,15-13,,L. Galloway enters the game for J. Grant
6:35.0,A. Jefferson enters the game for C. Zeller,,15-13,,
6:32.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by M. Williams),3,18-13,,
6:23.0,,,18-13,,New York full timeout
6:11.0,,,18-13,,Turnover by L. Galloway (bad pass)
5:55.0,F. Kaminsky misses 3-pt shot from 25 ft,,18-13,,
5:52.0,,,18-13,,Defensive rebound by C. Anthony
5:48.0,,,18-13,,Offensive foul by R. Lopez
5:48.0,,,18-13,,Turnover by R. Lopez (offensive foul)
5:28.0,C. Lee misses 2-pt shot from 20 ft,,18-13,,
5:26.0,,,18-13,,Defensive rebound by D. Williams
5:21.0,,,18-13,,D. Williams misses 2-pt shot from 2 ft
5:19.0,,,18-13,,Offensive rebound by R. Lopez
5:17.0,,,18-13,,R. Lopez misses 2-pt shot from 2 ft (block by C. Lee)
5:15.0,Defensive rebound by A. Jefferson,,18-13,,
5:05.0,M. Williams misses 3-pt shot from 25 ft,,18-13,,
5:03.0,,,18-13,,Defensive rebound by Team
5:03.0,Loose ball foul by F. Kaminsky,,18-13,,
5:03.0,J. Lin enters the game for C. Lee,,18-13,,
5:03.0,,,18-13,,A. Afflalo enters the game for S. Vujacic
4:52.0,,,18-15,2,A. Afflalo makes 2-pt shot from 17 ft (assist by R. Lopez)
4:32.0,A. Jefferson misses 2-pt shot from 2 ft,,18-15,,
4:30.0,,,18-15,,Defensive rebound by C. Anthony
4:23.0,,,18-17,2,R. Lopez makes 2-pt shot from 1 ft (assist by C. Anthony)
4:14.0,A. Jefferson makes 2-pt shot at rim (assist by F. Kaminsky),2,20-17,,
4:08.0,,,20-17,,New York full timeout
4:08.0,C. Lee enters the game for M. Williams,,20-17,,
4:08.0,,,20-17,,C. Early enters the game for C. Anthony
4:00.0,,,20-17,,A. Afflalo misses 2-pt shot from 3 ft
3:58.0,Defensive rebound by C. Lee,,20-17,,
3:45.0,K. Walker makes 3-pt shot from 25 ft,3,23-17,,
3:27.0,,,23-17,,D. Williams misses 2-pt shot from 6 ft
3:25.0,Defensive rebound by K. Walker,,23-17,,
3:15.0,A. Jefferson makes 2-pt shot from 1 ft (assist by K. Walker),2,25-17,,
2:55.0,,,25-17,,C. Early misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by A. Jefferson,,25-17,,
2:43.0,,,25-17,,Personal foul by L. Galloway
2:43.0,Charlotte full timeout,,25-17,,
2:43.0,S. Hawes enters the game for F. Kaminsky,,25-17,,
2:31.0,S. Hawes makes 2-pt shot from 6 ft,2,27-17,,
2:31.0,Shooting foul by A. Afflalo (drawn by S. Hawes),,27-17,,
2:31.0,S. Hawes makes free throw 1 of 1,1,28-17,,
2:13.0,,,28-19,2,A. Afflalo makes 2-pt shot from 9 ft (assist by R. Lopez)
2:13.0,,,28-19,,Shooting foul by J. Lin (drawn by A. Afflalo)
2:13.0,,,28-20,1,A. Afflalo makes free throw 1 of 1
1:57.0,S. Hawes misses 2-pt shot from 15 ft,,28-20,,
1:55.0,,,28-20,,Defensive rebound by C. Early
1:42.0,,,28-20,,D. Williams misses 3-pt shot from 23 ft
1:41.0,,,28-20,,Offensive rebound by C. Early
1:31.0,,,28-20,,A. Afflalo misses 2-pt shot from 18 ft
1:29.0,Defensive rebound by A. Jefferson,,28-20,,
1:19.0,A. Jefferson makes 2-pt shot from 14 ft (assist by C. Lee),2,30-20,,
1:04.0,,,30-20,,D. Williams misses 2-pt shot at rim
1:02.0,Defensive rebound by A. Jefferson,,30-20,,
0:52.0,A. Jefferson misses 2-pt shot from 12 ft,,30-20,,
0:50.0,,,30-20,,Defensive rebound by C. Early
0:39.0,,,30-23,3,L. Galloway makes 3-pt shot from 23 ft
0:30.0,Turnover by A. Jefferson (lost ball; steal by R. Lopez),,30-23,,
0:10.0,,,30-23,,L. Galloway misses 2-pt shot from 16 ft
0:09.0,,,30-23,,Offensive rebound by R. Lopez
0:09.0,,,30-25,2,R. Lopez makes 2-pt shot from 1 ft
0:01.0,K. Walker misses 2-pt shot from 7 ft,,30-25,,
0:00.0,Offensive rebound by Team,,30-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,A. Jefferson misses 2-pt shot from 3 ft,,30-25,,
11:40.0,,,30-25,,Defensive rebound by K. O'Quinn
11:23.0,,,30-27,2,C. Anthony makes 2-pt shot from 12 ft (assist by A. Afflalo)
11:04.0,J. Lin misses 2-pt shot from 3 ft,,30-27,,
11:02.0,,,30-27,,Defensive rebound by K. Seraphin
10:53.0,,,30-27,,K. Seraphin misses 2-pt shot from 16 ft
10:51.0,Defensive rebound by A. Jefferson,,30-27,,
10:41.0,J. Lin misses 3-pt shot from 24 ft,,30-27,,
10:39.0,,,30-27,,Defensive rebound by L. Galloway
10:34.0,,,30-27,,A. Afflalo misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by Team,,30-27,,
10:32.0,M. Williams enters the game for C. Lee,,30-27,,
10:13.0,A. Jefferson misses 2-pt shot from 2 ft (block by K. O'Quinn),,30-27,,
10:11.0,,,30-27,,Defensive rebound by K. O'Quinn
10:09.0,,,30-27,,L. Galloway misses 2-pt shot from 2 ft (block by J. Lamb)
10:08.0,,,30-27,,Offensive rebound by Team
10:04.0,,,30-27,,K. O'Quinn misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by M. Williams,,30-27,,
9:39.0,M. Williams makes 2-pt shot from 1 ft,2,32-27,,
9:21.0,,,32-27,,Turnover by C. Anthony (bad pass)
9:07.0,S. Hawes misses 2-pt shot from 1 ft,,32-27,,
9:05.0,Offensive rebound by S. Hawes,,32-27,,
9:02.0,S. Hawes misses 2-pt shot from 1 ft,,32-27,,
9:01.0,,,32-27,,Defensive rebound by K. O'Quinn
8:58.0,,,32-27,,Turnover by A. Afflalo (lost ball; steal by M. Williams)
8:56.0,Shooting foul by K. O'Quinn (drawn by M. Williams),,32-27,,
8:56.0,Official timeout,,32-27,,
8:56.0,,,32-27,,D. Williams enters the game for K. Seraphin
8:56.0,M. Williams makes free throw 1 of 2,1,33-27,,
8:56.0,M. Williams makes free throw 2 of 2,1,34-27,,
8:42.0,Personal foul by M. Williams,,34-27,,
8:29.0,,,34-30,3,A. Afflalo makes 3-pt shot from 24 ft (assist by C. Anthony)
8:05.0,J. Lamb misses 2-pt shot from 15 ft,,34-30,,
8:04.0,,,34-30,,Defensive rebound by D. Williams
7:57.0,,,34-30,,A. Afflalo misses 3-pt shot from 24 ft
7:55.0,,,34-30,,Offensive rebound by D. Williams
7:55.0,,,34-32,2,D. Williams makes 2-pt shot from 1 ft
7:49.0,Charlotte full timeout,,34-32,,
7:49.0,C. Zeller enters the game for A. Jefferson,,34-32,,
7:49.0,,,34-32,,J. Grant enters the game for L. Galloway
7:42.0,Turnover by J. Lin (bad pass),,34-32,,
7:32.0,,,34-32,,C. Anthony misses 2-pt shot from 21 ft
7:30.0,Defensive rebound by J. Lin,,34-32,,
7:23.0,J. Lin misses 2-pt shot from 9 ft,,34-32,,
7:21.0,,,34-32,,Defensive rebound by K. O'Quinn
7:10.0,,,34-34,2,K. O'Quinn makes 2-pt shot from 3 ft (assist by D. Williams)
6:52.0,Shooting foul by K. O'Quinn (drawn by J. Lamb),,34-34,,
6:52.0,J. Lamb makes free throw 1 of 2,1,35-34,,
6:52.0,,,35-34,,R. Lopez enters the game for K. O'Quinn
6:52.0,,,35-34,,S. Vujacic enters the game for A. Afflalo
6:52.0,J. Lamb makes free throw 2 of 2,1,36-34,,
6:41.0,,,36-34,,R. Lopez misses 2-pt shot from 14 ft
6:39.0,Defensive rebound by M. Williams,,36-34,,
6:31.0,M. Williams misses 2-pt shot at rim,,36-34,,
6:29.0,Offensive rebound by C. Zeller,,36-34,,
6:29.0,C. Zeller makes 2-pt shot at rim,2,38-34,,
6:13.0,,,38-34,,Shooting foul by M. Williams (drawn by C. Anthony)
6:13.0,,,38-34,,C. Anthony misses free throw 1 of 2
6:13.0,,,38-34,,Offensive rebound by Team
6:13.0,,,38-35,1,C. Anthony makes free throw 2 of 2
5:56.0,J. Lamb misses 2-pt shot from 2 ft,,38-35,,
5:54.0,Offensive rebound by C. Zeller,,38-35,,
5:53.0,C. Zeller misses 2-pt shot from 2 ft,,38-35,,
5:51.0,Offensive rebound by C. Zeller,,38-35,,
5:51.0,C. Zeller makes 2-pt shot from 2 ft,2,40-35,,
5:39.0,,,40-37,2,D. Williams makes 2-pt shot at rim (assist by C. Anthony)
5:27.0,J. Lin makes 3-pt shot from 24 ft,3,43-37,,
5:12.0,,,43-37,,Offensive foul by C. Anthony
5:12.0,,,43-37,,Turnover by C. Anthony (offensive foul)
5:12.0,K. Walker enters the game for M. Williams,,43-37,,
5:12.0,C. Lee enters the game for J. Lamb,,43-37,,
4:54.0,,,43-37,,Personal foul by S. Vujacic
4:54.0,F. Kaminsky enters the game for S. Hawes,,43-37,,
4:46.0,C. Lee makes 2-pt shot from 17 ft (assist by J. Lin),2,45-37,,
4:30.0,,,45-39,2,C. Anthony makes 2-pt shot from 2 ft
4:04.0,F. Kaminsky misses 3-pt shot from 24 ft,,45-39,,
4:02.0,,,45-39,,Defensive rebound by J. Grant
3:56.0,,,45-42,3,S. Vujacic makes 3-pt shot from 25 ft (assist by J. Grant)
3:38.0,C. Zeller misses 2-pt shot from 2 ft (block by R. Lopez),,45-42,,
3:36.0,,,45-42,,Defensive rebound by S. Vujacic
3:27.0,,,45-42,,D. Williams misses 2-pt shot from 2 ft
3:25.0,,,45-42,,Offensive rebound by D. Williams
3:16.0,,,45-42,,C. Anthony misses 2-pt shot from 8 ft
3:14.0,Defensive rebound by K. Walker,,45-42,,
3:09.0,J. Lin misses 2-pt shot from 2 ft (block by R. Lopez),,45-42,,
3:08.0,Offensive rebound by C. Zeller,,45-42,,
3:07.0,,,45-42,,Personal foul by S. Vujacic
3:00.0,K. Walker misses 3-pt shot from 25 ft,,45-42,,
2:58.0,,,45-42,,Defensive rebound by C. Anthony
2:55.0,,,45-44,2,J. Grant makes 2-pt shot from 2 ft (assist by C. Anthony)
2:55.0,,,45-44,,Shooting foul by C. Zeller (drawn by J. Grant)
2:55.0,,,45-44,,New York full timeout
2:55.0,A. Jefferson enters the game for C. Zeller,,45-44,,
2:55.0,,,45-44,,A. Afflalo enters the game for S. Vujacic
2:55.0,,,45-45,1,J. Grant makes free throw 1 of 1
2:39.0,J. Lin misses 3-pt shot from 24 ft,,45-45,,
2:36.0,,,45-45,,Defensive rebound by D. Williams
2:26.0,,,45-45,,R. Lopez misses 2-pt shot from 1 ft
2:24.0,Defensive rebound by A. Jefferson,,45-45,,
2:17.0,F. Kaminsky misses 2-pt shot at rim (block by C. Anthony),,45-45,,
2:16.0,Offensive rebound by F. Kaminsky,,45-45,,
2:15.0,F. Kaminsky makes 2-pt shot from 1 ft,2,47-45,,
2:00.0,,,47-45,,J. Grant misses 3-pt shot from 24 ft
1:58.0,Defensive rebound by J. Lin,,47-45,,
1:37.0,A. Jefferson misses 2-pt shot from 13 ft,,47-45,,
1:35.0,,,47-45,,Defensive rebound by D. Williams
1:24.0,,,47-45,,D. Williams misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by C. Lee,,47-45,,
1:14.0,C. Lee makes 2-pt shot from 17 ft,2,49-45,,
1:00.0,,,49-45,,Shooting foul by A. Jefferson (drawn by C. Anthony)
1:00.0,,,49-46,1,C. Anthony makes free throw 1 of 2
1:00.0,,,49-47,1,C. Anthony makes free throw 2 of 2
0:49.0,Charlotte full timeout,,49-47,,
0:41.0,J. Lin misses 2-pt shot from 1 ft,,49-47,,
0:39.0,Offensive rebound by F. Kaminsky,,49-47,,
0:39.0,F. Kaminsky makes 2-pt shot from 1 ft,2,51-47,,
0:21.0,Personal foul by A. Jefferson,,51-47,,
0:21.0,,,51-48,1,C. Anthony makes free throw 1 of 2
0:21.0,,,51-49,1,C. Anthony makes free throw 2 of 2
0:04.0,K. Walker makes 2-pt shot from 1 ft,2,53-49,,
0:00.0,,,53-52,3,D. Williams makes 3-pt shot from 24 ft (assist by A. Afflalo)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,F. Kaminsky makes 2-pt shot from 6 ft,2,55-52,,
11:12.0,,,55-52,,D. Williams misses 3-pt shot from 27 ft
11:10.0,Defensive rebound by K. Walker,,55-52,,
10:58.0,Shooting foul by C. Anthony (drawn by M. Williams),,55-52,,
10:58.0,M. Williams makes free throw 1 of 2,1,56-52,,
10:58.0,M. Williams makes free throw 2 of 2,1,57-52,,
10:49.0,,,57-54,2,J. Grant makes 2-pt shot from 1 ft
10:49.0,,,57-54,,Shooting foul by K. Walker (drawn by J. Grant)
10:49.0,,,57-54,,J. Grant misses free throw 1 of 1
10:48.0,Defensive rebound by F. Kaminsky,,57-54,,
10:26.0,K. Walker makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,60-54,,
10:00.0,,,60-54,,C. Anthony misses 2-pt shot from 15 ft
9:58.0,Defensive rebound by C. Lee,,60-54,,
9:37.0,C. Zeller makes 2-pt shot from 1 ft (assist by C. Lee),2,62-54,,
9:36.0,,,62-54,,New York full timeout
9:14.0,,,62-56,2,J. Grant makes 2-pt shot from 9 ft
8:57.0,K. Walker misses 3-pt shot from 25 ft,,62-56,,
8:55.0,,,62-56,,Defensive rebound by R. Lopez
8:47.0,,,62-56,,Turnover by D. Williams (lost ball; steal by F. Kaminsky)
8:42.0,Turnover by C. Zeller (lost ball; steal by J. Grant),,62-56,,
8:40.0,,,62-58,2,D. Williams makes 2-pt shot at rim (assist by J. Grant)
8:19.0,Shooting foul by D. Williams (drawn by K. Walker),,62-58,,
8:19.0,K. Walker makes free throw 1 of 2,1,63-58,,
8:19.0,K. Walker makes free throw 2 of 2,1,64-58,,
8:01.0,,,64-58,,C. Anthony misses 3-pt shot from 24 ft
7:59.0,,,64-58,,Offensive rebound by D. Williams
7:51.0,,,64-61,3,S. Vujacic makes 3-pt shot from 24 ft (assist by J. Grant)
7:32.0,F. Kaminsky makes 2-pt shot from 6 ft (assist by M. Williams),2,66-61,,
7:09.0,,,66-61,,Turnover by J. Grant (bad pass)
6:54.0,F. Kaminsky misses 3-pt shot from 24 ft,,66-61,,
6:53.0,,,66-61,,Defensive rebound by Team
6:38.0,,,66-61,,Shooting foul by K. Walker (drawn by J. Grant)
6:38.0,,,66-62,1,J. Grant makes free throw 1 of 2
6:38.0,,,66-63,1,J. Grant makes free throw 2 of 2
6:25.0,M. Williams misses 2-pt shot from 21 ft,,66-63,,
6:23.0,,,66-63,,Defensive rebound by S. Vujacic
6:09.0,,,66-63,,Shooting foul by M. Williams (drawn by D. Williams)
6:09.0,,,66-64,1,D. Williams makes free throw 1 of 2
6:09.0,,,66-65,1,D. Williams makes free throw 2 of 2
5:58.0,F. Kaminsky makes 3-pt shot from 23 ft (assist by C. Lee),3,69-65,,
5:32.0,,,69-65,,S. Vujacic misses 2-pt shot from 13 ft
5:31.0,Defensive rebound by Team,,69-65,,
5:31.0,A. Jefferson enters the game for C. Zeller,,69-65,,
5:15.0,A. Jefferson misses 2-pt shot from 8 ft,,69-65,,
5:13.0,,,69-65,,Defensive rebound by C. Anthony
5:04.0,,,69-67,2,C. Anthony makes 2-pt shot from 20 ft
4:47.0,F. Kaminsky makes 2-pt shot from 1 ft,2,71-67,,
4:47.0,Shooting foul by J. Grant (drawn by F. Kaminsky),,71-67,,
4:47.0,,,71-67,,A. Afflalo enters the game for S. Vujacic
4:47.0,F. Kaminsky misses free throw 1 of 1,,71-67,,
4:45.0,,,71-67,,Defensive rebound by R. Lopez
4:23.0,,,71-67,,C. Anthony misses 3-pt shot from 24 ft
4:21.0,Defensive rebound by F. Kaminsky,,71-67,,
4:14.0,K. Walker makes 3-pt shot from 24 ft,3,74-67,,
3:59.0,,,74-67,,Turnover by J. Grant (lost ball; steal by K. Walker)
3:57.0,Turnover by K. Walker (bad pass),,74-67,,
3:57.0,J. Lin enters the game for C. Lee,,74-67,,
3:41.0,,,74-70,3,J. Grant makes 3-pt shot from 24 ft (assist by A. Afflalo)
3:26.0,J. Lin misses 3-pt shot from 24 ft,,74-70,,
3:24.0,,,74-70,,Defensive rebound by D. Williams
3:01.0,,,74-70,,C. Anthony misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by A. Jefferson,,74-70,,
2:44.0,K. Walker misses 3-pt shot from 22 ft,,74-70,,
2:43.0,,,74-70,,Defensive rebound by D. Williams
2:29.0,,,74-70,,Turnover by D. Williams (lost ball; steal by K. Walker)
2:23.0,,,74-70,,Personal foul by C. Anthony
2:23.0,Charlotte full timeout,,74-70,,
2:23.0,,,74-70,,C. Early enters the game for C. Anthony
2:23.0,,,74-70,,L. Galloway enters the game for J. Grant
2:23.0,S. Hawes enters the game for F. Kaminsky,,74-70,,
2:23.0,J. Lamb enters the game for M. Williams,,74-70,,
2:07.0,A. Jefferson makes 2-pt shot at rim (assist by S. Hawes),2,76-70,,
1:41.0,,,76-70,,D. Williams misses 2-pt shot from 12 ft
1:39.0,Defensive rebound by K. Walker,,76-70,,
1:34.0,K. Walker makes 3-pt shot from 25 ft,3,79-70,,
1:14.0,,,79-70,,L. Galloway misses 2-pt shot from 1 ft
1:12.0,Defensive rebound by A. Jefferson,,79-70,,
1:00.0,A. Jefferson makes 2-pt shot from 5 ft,2,81-70,,
0:47.0,,,81-72,2,R. Lopez makes 2-pt shot at rim (assist by L. Galloway)
0:34.0,Turnover by S. Hawes (3 sec),,81-72,,
0:34.0,,,81-72,,K. O'Quinn enters the game for R. Lopez
0:34.0,,,81-72,,L. Amundson enters the game for D. Williams
0:16.0,,,81-72,,Turnover by L. Amundson (lost ball; steal by J. Lamb)
0:02.0,S. Hawes misses 3-pt shot from 22 ft,,81-72,,
0:01.0,Offensive rebound by J. Lin,,81-72,,
0:00.0,K. Walker misses 2-pt shot from 3 ft,,81-72,,
0:00.0,Offensive rebound by Team,,81-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,81-72,,L. Galloway misses 2-pt shot from 1 ft (block by S. Hawes)
11:50.0,Defensive rebound by Team,,81-72,,
11:31.0,A. Jefferson makes 2-pt shot from 5 ft,2,83-72,,
11:17.0,,,83-72,,Turnover by L. Amundson (lost ball; steal by A. Jefferson)
11:06.0,A. Jefferson misses 2-pt shot from 12 ft,,83-72,,
11:05.0,,,83-72,,Defensive rebound by L. Galloway
11:00.0,,,83-74,2,C. Early makes 2-pt shot at rim (assist by L. Galloway)
11:00.0,Charlotte full timeout,,83-74,,
10:37.0,A. Jefferson makes 2-pt shot from 12 ft (assist by C. Lee),2,85-74,,
10:21.0,,,85-74,,Turnover by L. Amundson (bad pass)
10:05.0,J. Lamb misses 3-pt shot from 22 ft,,85-74,,
10:03.0,,,85-74,,Defensive rebound by C. Early
9:54.0,,,85-76,2,C. Early makes 2-pt shot from 1 ft (assist by A. Afflalo)
9:41.0,A. Jefferson makes 2-pt shot from 7 ft (assist by J. Lin),2,87-76,,
9:40.0,,,87-76,,New York full timeout
9:27.0,,,87-76,,L. Amundson misses 2-pt shot from 17 ft
9:26.0,Defensive rebound by S. Hawes,,87-76,,
9:09.0,A. Jefferson misses 2-pt shot from 3 ft,,87-76,,
9:07.0,,,87-76,,Defensive rebound by L. Amundson
8:54.0,,,87-76,,L. Amundson misses 2-pt shot from 4 ft
8:53.0,Defensive rebound by J. Lin,,87-76,,
8:42.0,A. Jefferson makes 2-pt shot from 1 ft,2,89-76,,
8:21.0,,,89-76,,Turnover by L. Amundson (offensive foul)
8:21.0,,,89-76,,Offensive foul by L. Amundson
8:21.0,,,89-76,,C. Anthony enters the game for K. O'Quinn
8:21.0,,,89-76,,R. Lopez enters the game for L. Amundson
8:21.0,M. Williams enters the game for C. Lee,,89-76,,
8:05.0,A. Jefferson makes 2-pt shot from 4 ft,2,91-76,,
7:42.0,,,91-76,,A. Afflalo misses 2-pt shot from 18 ft
7:41.0,Defensive rebound by Team,,91-76,,
7:23.0,A. Jefferson misses 2-pt shot from 9 ft,,91-76,,
7:21.0,Offensive rebound by J. Lin,,91-76,,
7:17.0,M. Williams misses 2-pt shot from 1 ft (block by C. Anthony),,91-76,,
7:15.0,,,91-76,,Defensive rebound by L. Galloway
7:09.0,,,91-76,,Turnover by C. Early (lost ball; steal by M. Williams)
7:06.0,Shooting foul by C. Anthony (drawn by S. Hawes),,91-76,,
7:06.0,S. Hawes makes free throw 1 of 2,1,92-76,,
7:06.0,,,92-76,,S. Vujacic enters the game for C. Early
