time,Indiana,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. J. Hill (P. George gains possession),,,,Jump ball: A. Bogut vs. J. Hill (P. George gains possession)
11:48.0,Turnover by P. George (lost ball; steal by D. Green),,0-0,,
11:41.0,,,0-2,2,D. Green makes 2-pt shot at rim
11:23.0,J. Hill misses 2-pt shot from 15 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by D. Green
11:09.0,Personal foul by M. Ellis (drawn by K. Thompson),,0-2,,
11:03.0,,,0-4,2,K. Thompson makes 2-pt shot from 14 ft (assist by S. Curry)
10:46.0,J. Hill makes 2-pt shot from 6 ft (assist by G. Robinson),2,2-4,,
10:37.0,,,2-7,3,S. Curry makes 3-pt shot from 24 ft
10:16.0,J. Hill misses 2-pt shot from 5 ft (block by A. Bogut),,2-7,,
10:15.0,Offensive rebound by S. Hill,,2-7,,
10:14.0,S. Hill makes 2-pt shot from 8 ft,2,4-7,,
9:57.0,,,4-7,,K. Thompson misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by P. George,,4-7,,
9:47.0,P. George misses 2-pt shot from 18 ft,,4-7,,
9:46.0,,,4-7,,Defensive rebound by S. Curry
9:42.0,,,4-7,,S. Curry misses 3-pt shot from 26 ft
9:42.0,Defensive rebound by S. Hill,,4-7,,
9:27.0,S. Hill misses 2-pt shot from 2 ft,,4-7,,
9:26.0,,,4-7,,Defensive rebound by S. Curry
9:20.0,,,4-9,2,D. Green makes 2-pt shot at rim (assist by K. Thompson)
9:06.0,J. Hill makes 2-pt shot from 7 ft (assist by G. Robinson),2,6-9,,
8:56.0,,,6-9,,D. Green misses 3-pt shot from 26 ft
8:55.0,,,6-9,,Offensive rebound by S. Curry
8:45.0,,,6-12,3,K. Thompson makes 3-pt shot from 25 ft (assist by H. Barnes)
8:44.0,Indiana full timeout,,6-12,,
8:25.0,G. Robinson misses 2-pt shot from 18 ft,,6-12,,
8:25.0,,,6-12,,Defensive rebound by H. Barnes
8:13.0,,,6-12,,H. Barnes misses 2-pt shot at rim
8:11.0,,,6-12,,Offensive rebound by H. Barnes
8:10.0,,,6-14,2,H. Barnes makes 2-pt shot at rim
7:50.0,P. George misses 2-pt shot from 14 ft,,6-14,,
7:48.0,Offensive rebound by G. Robinson,,6-14,,
7:39.0,M. Ellis misses 3-pt shot from 26 ft,,6-14,,
7:38.0,,,6-14,,Defensive rebound by A. Bogut
7:34.0,,,6-14,,Shooting foul by M. Ellis (drawn by D. Green)
7:34.0,,,6-16,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
7:34.0,,,6-17,1,D. Green makes free throw 1 of 1
7:13.0,S. Hill misses 2-pt shot at rim,,6-17,,
7:12.0,,,6-17,,Defensive rebound by H. Barnes
7:00.0,,,6-17,,Turnover by K. Thompson (bad pass)
7:00.0,J. Young enters the game for M. Ellis,,6-17,,
6:43.0,P. George makes 2-pt shot at rim,2,8-17,,
6:29.0,Personal foul by P. George (drawn by D. Green),,8-17,,
6:23.0,,,8-20,3,S. Curry makes 3-pt shot from 25 ft (assist by H. Barnes)
6:04.0,S. Hill misses 3-pt shot from 24 ft,,8-20,,
6:03.0,,,8-20,,Defensive rebound by S. Curry
5:59.0,,,8-22,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
5:59.0,Indiana full timeout,,8-22,,
5:59.0,C. Miles enters the game for S. Hill,,8-22,,
5:59.0,,,8-22,,A. Iguodala enters the game for H. Barnes
5:55.0,Technical foul by S. Hill,,8-22,,
5:55.0,,,8-23,1,S. Curry makes technical free throw
5:46.0,Turnover by P. George (bad pass; steal by D. Green),,8-23,,
5:41.0,,,8-25,2,A. Iguodala makes 2-pt shot at rim (assist by K. Thompson)
5:20.0,C. Miles misses 2-pt shot from 1 ft (block by A. Bogut),,8-25,,
5:18.0,,,8-25,,Defensive rebound by S. Curry
5:12.0,,,8-25,,K. Thompson misses 2-pt shot from 5 ft
5:10.0,Defensive rebound by G. Robinson,,8-25,,
5:00.0,J. Hill misses 2-pt shot from 17 ft,,8-25,,
5:00.0,Offensive rebound by J. Young,,8-25,,
4:51.0,J. Young makes 3-pt shot from 26 ft (assist by P. George),3,11-25,,
4:32.0,,,11-25,,A. Bogut misses 2-pt shot from 5 ft
4:30.0,Defensive rebound by G. Robinson,,11-25,,
4:18.0,Turnover by C. Miles (lost ball),,11-25,,
4:18.0,,,11-25,,F. Ezeli enters the game for A. Bogut
4:18.0,,,11-25,,L. Barbosa enters the game for K. Thompson
4:10.0,,,11-27,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
3:52.0,J. Hill makes 2-pt shot from 1 ft (assist by C. Miles),2,13-27,,
