time,Denver,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. J. Lauvergne (K. Lowry gains possession),,,,Jump ball: B. Biyombo vs. J. Lauvergne (K. Lowry gains possession)
11:34.0,,,0-0,,L. Scola misses 2-pt shot from 11 ft
11:34.0,Defensive rebound by D. Gallinari,,0-0,,
11:14.0,J. Lauvergne makes 2-pt shot from 6 ft (assist by D. Arthur),2,2-0,,
10:59.0,,,2-0,,K. Lowry misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by J. Lauvergne,,2-0,,
10:47.0,R. Foye misses 2-pt shot from 20 ft,,2-0,,
10:46.0,,,2-0,,Defensive rebound by K. Lowry
10:41.0,,,2-2,2,L. Scola makes 2-pt shot at rim (assist by K. Lowry)
10:19.0,D. Gallinari makes 2-pt shot from 17 ft,2,4-2,,
10:13.0,,,4-2,,Turnover by K. Lowry (bad pass; steal by D. Arthur)
9:51.0,D. Arthur makes 3-pt shot from 24 ft (assist by E. Mudiay),3,7-2,,
9:31.0,,,7-4,2,B. Biyombo makes 2-pt shot at rim (assist by D. DeRozan)
9:12.0,J. Lauvergne makes 2-pt shot from 9 ft (assist by R. Foye),2,9-4,,
9:00.0,,,9-4,,D. DeRozan misses 2-pt shot from 18 ft
8:59.0,Defensive rebound by J. Lauvergne,,9-4,,
8:50.0,E. Mudiay misses 2-pt shot from 10 ft,,9-4,,
8:50.0,,,9-4,,Defensive rebound by B. Biyombo
8:43.0,,,9-4,,Turnover by K. Lowry (bad pass; steal by D. Arthur)
8:35.0,D. Arthur makes 2-pt shot from 19 ft (assist by D. Gallinari),2,11-4,,
8:25.0,,,11-4,,Toronto full timeout
8:16.0,,,11-4,,K. Lowry misses 2-pt shot from 4 ft
8:15.0,Defensive rebound by J. Lauvergne,,11-4,,
8:07.0,D. Arthur makes 2-pt shot from 11 ft (assist by E. Mudiay),2,13-4,,
7:49.0,,,13-4,,L. Scola misses 3-pt shot from 24 ft
7:49.0,,,13-4,,Offensive rebound by Team
7:39.0,,,13-4,,D. Carroll misses 2-pt shot from 11 ft
7:38.0,,,13-4,,Offensive rebound by B. Biyombo
7:36.0,,,13-4,,B. Biyombo misses 2-pt shot at rim
7:35.0,Defensive rebound by D. Arthur,,13-4,,
7:31.0,J. Lauvergne makes 2-pt shot from 3 ft (assist by R. Foye),2,15-4,,
7:13.0,,,15-4,,D. DeRozan misses 2-pt shot from 2 ft
