time,Philadelphia,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Noel (R. Covington gains possession),,,,Jump ball: A. Drummond vs. N. Noel (R. Covington gains possession)
11:35.0,N. Noel misses 2-pt shot from 12 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by E. Ilyasova
11:11.0,,,0-0,,K. Caldwell-Pope misses 2-pt shot from 19 ft
11:11.0,,,0-0,,Offensive rebound by E. Ilyasova
11:11.0,,,0-0,,Turnover by Team (shot clock)
11:00.0,Turnover by N. Noel (lost ball),,0-0,,
10:38.0,,,0-3,3,R. Jackson makes 3-pt shot from 26 ft
10:25.0,J. Grant misses 3-pt shot from 22 ft,,0-3,,
10:25.0,Offensive rebound by Team,,0-3,,
10:05.0,Shooting foul by A. Drummond (drawn by N. Noel),,0-3,,
10:05.0,N. Noel makes free throw 1 of 2,1,1-3,,
10:05.0,N. Noel makes free throw 2 of 2,1,2-3,,
9:47.0,,,2-3,,M. Morris misses 2-pt shot at rim (block by R. Covington)
9:46.0,Defensive rebound by J. Grant,,2-3,,
9:36.0,J. Grant makes 2-pt shot at rim (assist by I. Smith),2,4-3,,
9:22.0,,,4-3,,K. Caldwell-Pope misses 2-pt shot from 17 ft
9:22.0,,,4-3,,Offensive rebound by A. Drummond
9:18.0,,,4-3,,A. Drummond misses 2-pt shot at rim
9:18.0,Defensive rebound by N. Noel,,4-3,,
8:59.0,J. Grant makes 2-pt shot at rim (assist by N. Stauskas),2,6-3,,
8:40.0,,,6-3,,Shooting foul by N. Noel (drawn by A. Drummond)
8:40.0,,,6-3,,A. Drummond misses free throw 1 of 2
8:40.0,,,6-3,,Offensive rebound by Team
8:40.0,,,6-4,1,A. Drummond makes free throw 2 of 2
8:30.0,R. Covington misses 2-pt shot at rim,,6-4,,
8:30.0,,,6-4,,Defensive rebound by E. Ilyasova
8:24.0,,,6-4,,Turnover by R. Jackson (bad pass; steal by J. Grant)
8:21.0,,,6-4,,Personal foul by E. Ilyasova (drawn by J. Grant)
8:16.0,,,6-4,,Personal foul by M. Morris (drawn by R. Covington)
7:59.0,R. Covington misses 2-pt shot from 7 ft,,6-4,,
7:58.0,Offensive rebound by J. Grant,,6-4,,
7:55.0,J. Grant makes 2-pt shot at rim,2,8-4,,
7:46.0,,,8-4,,E. Ilyasova misses 2-pt shot from 6 ft
7:45.0,,,8-4,,Offensive rebound by E. Ilyasova
7:43.0,,,8-4,,E. Ilyasova misses 2-pt shot from 1 ft
7:41.0,Defensive rebound by N. Noel,,8-4,,
7:28.0,I. Smith misses 2-pt shot from 5 ft,,8-4,,
7:27.0,,,8-4,,Defensive rebound by M. Morris
7:14.0,,,8-4,,A. Drummond misses 2-pt shot at rim
7:12.0,Defensive rebound by R. Covington,,8-4,,
7:07.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,10-4,,
7:00.0,,,10-4,,Detroit full timeout
6:48.0,,,10-4,,E. Ilyasova misses 3-pt shot from 26 ft
6:48.0,,,10-4,,Offensive rebound by A. Drummond
6:45.0,,,10-4,,Turnover by A. Drummond (lost ball; steal by R. Covington)
6:34.0,N. Noel makes 2-pt shot from 7 ft (assist by J. Grant),2,12-4,,
6:08.0,,,12-4,,R. Jackson misses 2-pt shot from 17 ft
6:08.0,,,12-4,,Offensive rebound by M. Morris
6:07.0,Violation by J. Grant (def goaltending),,12-4,,
6:07.0,,,12-6,2,M. Morris makes 2-pt shot at rim
5:50.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,14-6,,
5:35.0,,,14-8,2,R. Jackson makes 2-pt shot from 15 ft
5:31.0,Philadelphia full timeout,,14-8,,
5:31.0,I. Canaan enters the game for J. Grant,,14-8,,
5:31.0,H. Thompson enters the game for N. Stauskas,,14-8,,
5:14.0,I. Canaan misses 3-pt shot from 27 ft,,14-8,,
5:14.0,,,14-8,,Defensive rebound by E. Ilyasova
5:01.0,,,14-10,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
4:47.0,H. Thompson misses 2-pt shot from 20 ft,,14-10,,
4:46.0,,,14-10,,Defensive rebound by A. Drummond
4:31.0,,,14-10,,Turnover by M. Morris (lost ball; steal by N. Noel)
4:24.0,R. Covington misses 3-pt shot from 25 ft,,14-10,,
4:24.0,Offensive rebound by H. Thompson,,14-10,,
4:18.0,I. Canaan misses 3-pt shot from 25 ft,,14-10,,
4:17.0,,,14-10,,Defensive rebound by A. Drummond
3:52.0,,,14-10,,A. Drummond misses 2-pt shot from 13 ft
3:52.0,,,14-10,,Offensive rebound by Team
3:52.0,,,14-10,,Turnover by Team (shot clock)
3:52.0,,,14-10,,A. Tolliver enters the game for E. Ilyasova
3:52.0,,,14-10,,S. Johnson enters the game for M. Morris
3:52.0,T. McConnell enters the game for I. Smith,,14-10,,
3:37.0,I. Canaan misses 2-pt shot from 5 ft (block by K. Caldwell-Pope),,14-10,,
3:37.0,Offensive rebound by Team,,14-10,,
3:37.0,R. Holmes enters the game for N. Noel,,14-10,,
3:33.0,R. Covington makes 2-pt shot at rim (assist by T. McConnell),2,16-10,,
3:14.0,,,16-12,2,R. Jackson makes 2-pt shot at rim
2:50.0,R. Holmes makes 2-pt shot from 6 ft (assist by T. McConnell),2,18-12,,
2:31.0,,,18-12,,R. Jackson misses 2-pt shot from 7 ft
2:31.0,Defensive rebound by H. Thompson,,18-12,,
2:24.0,Turnover by T. McConnell (lost ball; steal by R. Jackson),,18-12,,
2:24.0,Personal foul by T. McConnell (drawn by R. Jackson),,18-12,,
2:24.0,J. Grant enters the game for R. Covington,,18-12,,
2:24.0,,,18-12,,B. Jennings enters the game for R. Jackson
2:07.0,,,18-12,,S. Johnson misses 3-pt shot from 23 ft
2:07.0,Defensive rebound by I. Canaan,,18-12,,
1:56.0,T. McConnell misses 2-pt shot from 7 ft,,18-12,,
1:56.0,,,18-12,,Defensive rebound by A. Drummond
1:48.0,,,18-12,,B. Jennings misses 2-pt shot from 7 ft
1:47.0,,,18-12,,Offensive rebound by A. Drummond
1:46.0,,,18-12,,A. Drummond misses 2-pt shot at rim
1:44.0,Defensive rebound by R. Holmes,,18-12,,
1:31.0,,,18-12,,Personal foul by S. Johnson (drawn by I. Canaan)
1:20.0,R. Holmes makes 2-pt shot at rim (assist by I. Canaan),2,20-12,,
0:57.0,,,20-12,,Turnover by S. Johnson (lost ball; steal by J. Grant)
0:37.0,R. Holmes misses 2-pt shot from 16 ft,,20-12,,
0:36.0,,,20-12,,Defensive rebound by A. Tolliver
0:29.0,,,20-12,,A. Tolliver misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by H. Thompson,,20-12,,
0:03.0,H. Thompson misses 2-pt shot from 12 ft,,20-12,,
0:02.0,Offensive rebound by Team,,20-12,,
0:02.0,R. Covington enters the game for J. Grant,,20-12,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,20-12,,A. Baynes misses 2-pt shot from 10 ft
11:41.0,Defensive rebound by T. McConnell,,20-12,,
11:34.0,Shooting foul by A. Tolliver (drawn by J. Grant),,20-12,,
11:34.0,J. Grant misses free throw 1 of 2,,20-12,,
11:34.0,Offensive rebound by Team,,20-12,,
11:34.0,J. Grant makes free throw 2 of 2,1,21-12,,
11:16.0,,,21-14,2,S. Johnson makes 2-pt shot at rim
11:02.0,R. Holmes misses 2-pt shot from 4 ft,,21-14,,
11:01.0,,,21-14,,Defensive rebound by B. Jennings
10:52.0,,,21-16,2,A. Baynes makes 2-pt shot from 7 ft (assist by B. Jennings)
10:32.0,J. Grant misses 2-pt shot at rim,,21-16,,
10:31.0,Offensive rebound by H. Thompson,,21-16,,
10:28.0,H. Thompson misses 2-pt shot from 3 ft,,21-16,,
10:27.0,,,21-16,,Defensive rebound by A. Baynes
10:24.0,,,21-16,,Turnover by B. Jennings (lost ball; steal by H. Thompson)
10:18.0,H. Thompson makes 2-pt shot at rim,2,23-16,,
9:57.0,,,23-16,,S. Johnson misses 2-pt shot from 8 ft
9:55.0,Defensive rebound by J. Grant,,23-16,,
9:45.0,I. Canaan misses 2-pt shot from 17 ft,,23-16,,
9:44.0,Offensive rebound by J. Grant,,23-16,,
9:32.0,J. Grant misses 2-pt shot from 3 ft,,23-16,,
9:30.0,,,23-16,,Defensive rebound by A. Tolliver
9:28.0,,,23-16,,Offensive charge foul by A. Tolliver
9:28.0,,,23-16,,Turnover by A. Tolliver (offensive foul)
9:28.0,,,23-16,,E. Ilyasova enters the game for A. Tolliver
9:05.0,J. Grant makes 2-pt shot at rim,2,25-16,,
8:43.0,,,25-16,,B. Jennings misses 2-pt shot from 16 ft
8:42.0,Defensive rebound by H. Thompson,,25-16,,
8:39.0,Philadelphia full timeout,,25-16,,
8:39.0,N. Stauskas enters the game for I. Canaan,,25-16,,
8:39.0,R. Covington enters the game for H. Thompson,,25-16,,
8:26.0,Turnover by N. Stauskas (bad pass; steal by B. Jennings),,25-16,,
8:25.0,Personal foul by T. McConnell (drawn by B. Jennings),,25-16,,
8:15.0,,,25-16,,Shooting foul by J. Grant (drawn by A. Baynes)
8:15.0,,,25-17,1,A. Baynes makes free throw 1 of 2
8:15.0,I. Smith enters the game for T. McConnell,,25-17,,
8:15.0,N. Noel enters the game for J. Grant,,25-17,,
8:15.0,H. Thompson enters the game for R. Holmes,,25-17,,
8:15.0,,,25-18,1,A. Baynes makes free throw 2 of 2
7:52.0,I. Smith misses 2-pt shot from 7 ft,,25-18,,
7:51.0,,,25-18,,Defensive rebound by M. Morris
7:45.0,,,25-18,,Shooting foul by N. Stauskas (drawn by A. Baynes)
7:45.0,,,25-19,1,A. Baynes makes free throw 1 of 2
7:45.0,,,25-20,1,A. Baynes makes free throw 2 of 2
7:34.0,H. Thompson makes 3-pt shot from 25 ft (assist by N. Noel),3,28-20,,
7:21.0,,,28-20,,Shooting foul by H. Thompson (drawn by E. Ilyasova)
7:21.0,,,28-21,1,E. Ilyasova makes free throw 1 of 2
7:21.0,,,28-21,,E. Ilyasova misses free throw 2 of 2
7:20.0,Defensive rebound by I. Smith,,28-21,,
7:07.0,,,28-21,,Personal foul by A. Baynes (drawn by N. Noel)
7:07.0,,,28-21,,K. Caldwell-Pope enters the game for E. Ilyasova
7:00.0,Turnover by R. Covington (bad pass),,28-21,,
6:46.0,,,28-23,2,M. Morris makes 2-pt shot from 8 ft (assist by B. Jennings)
6:36.0,Turnover by I. Smith (bad pass; steal by A. Baynes),,28-23,,
6:27.0,,,28-23,,M. Morris misses 3-pt shot from 24 ft
6:26.0,,,28-23,,Offensive rebound by K. Caldwell-Pope
6:21.0,,,28-23,,K. Caldwell-Pope misses 2-pt shot at rim
6:20.0,,,28-23,,Offensive rebound by M. Morris
6:11.0,,,28-25,2,A. Baynes makes 2-pt shot from 17 ft (assist by S. Johnson)
5:58.0,N. Noel misses 2-pt shot at rim,,28-25,,
5:58.0,Offensive rebound by N. Noel,,28-25,,
5:46.0,I. Smith misses 2-pt shot from 2 ft,,28-25,,
5:45.0,,,28-25,,Defensive rebound by A. Baynes
5:38.0,,,28-25,,S. Johnson misses 3-pt shot from 25 ft
