time,Indiana,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,,,0-0,,L. Scola misses 3-pt shot from 26 ft
12:00.0,Jump ball: I. Mahinmi vs. J. Valanciunas (D. Carroll gains possession),,,,Jump ball: I. Mahinmi vs. J. Valanciunas (D. Carroll gains possession)
11:42.0,,,0-0,,Offensive rebound by J. Valanciunas
11:41.0,,,0-0,,J. Valanciunas misses 2-pt shot from 2 ft
11:41.0,,,0-0,,Offensive rebound by J. Valanciunas
11:41.0,Loose ball foul by I. Mahinmi,,0-0,,
11:17.0,,,0-0,,D. DeRozan misses 2-pt shot from 21 ft
11:17.0,Defensive rebound by I. Mahinmi,,0-0,,
10:58.0,I. Mahinmi misses 2-pt shot from 11 ft,,0-0,,
10:58.0,,,0-0,,Defensive rebound by Team
10:58.0,Loose ball foul by L. Allen,,0-0,,
10:46.0,,,0-0,,D. Carroll misses 2-pt shot from 1 ft
10:45.0,,,0-0,,Offensive rebound by D. Carroll
10:40.0,,,0-0,,K. Lowry misses 3-pt shot from 27 ft
10:40.0,Defensive rebound by M. Ellis,,0-0,,
10:31.0,G. Hill makes 2-pt shot from 16 ft (assist by M. Ellis),2,2-0,,
10:21.0,Personal block foul by G. Hill,,2-0,,
10:04.0,,,2-2,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. DeRozan)
9:51.0,P. George misses 2-pt shot from 18 ft,,2-2,,
9:50.0,,,2-2,,Defensive rebound by L. Scola
9:30.0,,,2-2,,D. Carroll misses 2-pt shot from 5 ft
9:30.0,Defensive rebound by L. Allen,,2-2,,
9:17.0,,,2-2,,Personal foul by D. Carroll
9:16.0,Shooting foul by D. Carroll (drawn by P. George),,2-2,,
9:16.0,P. George makes free throw 1 of 2,1,3-2,,
9:16.0,,,3-2,,N. Powell enters the game for D. Carroll
9:16.0,P. George makes free throw 2 of 2,1,4-2,,
9:04.0,,,4-4,2,J. Valanciunas makes 2-pt shot from 13 ft (assist by N. Powell)
8:54.0,M. Ellis makes 2-pt shot from 17 ft,2,6-4,,
8:41.0,,,6-7,3,N. Powell makes 3-pt shot from 26 ft (assist by K. Lowry)
8:30.0,,,6-7,,Personal foul by K. Lowry
8:26.0,P. George misses 2-pt shot from 14 ft,,6-7,,
8:25.0,,,6-7,,Defensive rebound by D. DeRozan
