time,LA Clippers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. D. Jordan (J. Green gains possession),,,,Jump ball: D. Cousins vs. D. Jordan (J. Green gains possession)
11:39.0,J. Redick makes 2-pt shot from 8 ft,2,2-0,,
11:25.0,,,2-2,2,D. Collison makes 2-pt shot from 15 ft
11:04.0,J. Green misses 2-pt shot from 10 ft,,2-2,,
11:03.0,,,2-2,,Defensive rebound by D. Cousins
10:58.0,,,2-2,,Shooting foul by D. Jordan (drawn by D. Cousins)
10:58.0,,,2-3,1,D. Cousins makes free throw 1 of 2
10:58.0,,,2-3,,D. Cousins misses free throw 2 of 2
10:57.0,Defensive rebound by D. Jordan,,2-3,,
10:41.0,J. Redick misses 2-pt shot from 13 ft,,2-3,,
10:40.0,,,2-3,,Defensive rebound by D. Cousins
10:30.0,,,2-5,2,B. McLemore makes 2-pt shot from 1 ft (assist by D. Cousins)
10:18.0,J. Green misses 2-pt shot from 8 ft,,2-5,,
10:17.0,Offensive rebound by J. Green,,2-5,,
10:16.0,J. Green makes 2-pt shot from 2 ft,2,4-5,,
10:05.0,,,4-5,,Turnover by D. Cousins (traveling)
9:56.0,C. Paul makes 2-pt shot from 19 ft,2,6-5,,
9:44.0,,,6-7,2,R. Gay makes 2-pt shot from 15 ft
9:30.0,J. Green misses 3-pt shot from 23 ft,,6-7,,
9:29.0,,,6-7,,Defensive rebound by D. Collison
9:24.0,,,6-7,,Shooting foul by J. Green (drawn by Q. Acy)
9:24.0,,,6-7,,Q. Acy misses free throw 1 of 2
9:24.0,,,6-7,,Offensive rebound by Team
9:24.0,,,6-8,1,Q. Acy makes free throw 2 of 2
9:10.0,J. Green makes 2-pt shot from 3 ft,2,8-8,,
9:10.0,,,8-8,,Away from play foul by Q. Acy (drawn by D. Jordan)
9:10.0,D. Jordan makes free throw 1 of 1,1,9-8,,
8:57.0,,,9-11,3,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison)
8:33.0,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by C. Paul),2,11-11,,
8:24.0,,,11-14,3,R. Gay makes 3-pt shot from 25 ft (assist by D. Collison)
8:15.0,C. Paul makes 2-pt shot from 3 ft,2,13-14,,
8:03.0,,,13-14,,R. Gay misses 3-pt shot from 23 ft
8:02.0,Defensive rebound by J. Redick,,13-14,,
7:59.0,J. Redick makes 2-pt shot from 3 ft,2,15-14,,
7:59.0,Shooting foul by B. McLemore (drawn by J. Redick),,15-14,,
7:59.0,J. Redick makes free throw 1 of 1,1,16-14,,
7:47.0,,,16-14,,Turnover by D. Cousins (bad pass)
7:36.0,C. Paul makes 2-pt shot from 16 ft,2,18-14,,
7:24.0,,,18-17,3,D. Collison makes 3-pt shot from 25 ft (assist by D. Cousins)
7:07.0,J. Redick misses 2-pt shot from 4 ft (block by Q. Acy),,18-17,,
7:05.0,,,18-17,,Defensive rebound by D. Cousins
6:57.0,,,18-17,,Turnover by D. Cousins (bad pass; steal by J. Redick)
6:39.0,J. Redick makes 2-pt shot from 18 ft,2,20-17,,
6:21.0,,,20-17,,D. Cousins misses 2-pt shot from 1 ft
6:20.0,,,20-17,,Offensive rebound by D. Cousins
6:20.0,,,20-19,2,D. Cousins makes 2-pt shot from 1 ft
6:02.0,,,20-19,,Def 3 sec tech foul by D. Cousins
6:02.0,C. Paul makes technical free throw,1,21-19,,
6:02.0,,,21-19,,Sacramento full timeout
5:51.0,J. Redick misses 2-pt shot from 17 ft,,21-19,,
5:50.0,,,21-19,,Defensive rebound by R. Gay
5:25.0,,,21-22,3,D. Cousins makes 3-pt shot from 25 ft (assist by B. McLemore)
5:12.0,,,21-22,,Personal foul by D. Cousins (drawn by C. Paul)
5:03.0,J. Redick misses 3-pt shot from 25 ft,,21-22,,
5:02.0,Offensive rebound by D. Jordan,,21-22,,
4:58.0,J. Redick misses 3-pt shot from 25 ft,,21-22,,
4:58.0,,,21-22,,Defensive rebound by R. Gay
4:44.0,,,21-22,,B. McLemore misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by J. Redick,,21-22,,
4:25.0,C. Paul makes 2-pt shot from 8 ft,2,23-22,,
