time,Milwaukee,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,,,0-0,,J. Butler misses 2-pt shot from 15 ft
12:00.0,Jump ball: P. Gasol vs. G. Monroe (N. Mirotic gains possession),,,,Jump ball: P. Gasol vs. G. Monroe (N. Mirotic gains possession)
11:41.0,Defensive rebound by K. Middleton,,0-0,,
11:21.0,G. Monroe misses 2-pt shot from 1 ft (block by P. Gasol),,0-0,,
11:19.0,,,0-0,,Defensive rebound by N. Mirotic
11:08.0,,,0-0,,D. Rose misses 2-pt shot from 18 ft
11:06.0,,,0-0,,Offensive rebound by T. Gibson
11:06.0,,,0-2,2,T. Gibson makes 2-pt shot from 1 ft
10:54.0,J. Parker misses 2-pt shot from 14 ft,,0-2,,
10:53.0,,,0-2,,Defensive rebound by J. Butler
10:33.0,,,0-2,,Turnover by D. Rose (lost ball; steal by G. Antetokounmpo)
10:29.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,0-2,,
10:28.0,,,0-2,,Defensive rebound by D. Rose
10:10.0,,,0-2,,N. Mirotic misses 2-pt shot from 17 ft
10:09.0,,,0-2,,Offensive rebound by P. Gasol
10:06.0,,,0-5,3,J. Butler makes 3-pt shot from 25 ft (assist by P. Gasol)
9:48.0,G. Antetokounmpo misses 3-pt shot from 23 ft,,0-5,,
9:47.0,,,0-5,,Defensive rebound by P. Gasol
9:36.0,,,0-7,2,T. Gibson makes 2-pt shot from 1 ft (assist by P. Gasol)
9:36.0,,,0-7,,Shooting foul by G. Monroe (drawn by T. Gibson)
9:36.0,,,0-8,1,T. Gibson makes free throw 1 of 1
9:20.0,K. Middleton misses 3-pt shot from 23 ft,,0-8,,
9:19.0,,,0-8,,Defensive rebound by N. Mirotic
9:11.0,,,0-10,2,T. Gibson makes 2-pt shot from 4 ft (assist by J. Butler)
9:11.0,Milwaukee full timeout,,0-10,,
8:48.0,G. Monroe misses 2-pt shot from 2 ft,,0-10,,
8:45.0,,,0-10,,Defensive rebound by P. Gasol
8:37.0,,,0-10,,D. Rose misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by Team,,0-10,,
8:25.0,G. Monroe makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,2-10,,
8:10.0,,,2-10,,Turnover by D. Rose (bad pass; steal by M. Carter-Williams)
8:05.0,J. Parker makes 2-pt shot from 3 ft (assist by M. Carter-Williams),2,4-10,,
7:42.0,,,4-12,2,P. Gasol makes 2-pt shot from 19 ft
7:25.0,Turnover by G. Monroe (bad pass; steal by J. Butler),,4-12,,
7:22.0,,,4-14,2,J. Butler makes 2-pt shot at rim
7:01.0,J. Parker misses 2-pt shot from 19 ft,,4-14,,
7:00.0,,,4-14,,Defensive rebound by N. Mirotic
6:51.0,,,4-14,,N. Mirotic misses 3-pt shot from 26 ft
6:50.0,Defensive rebound by G. Antetokounmpo,,4-14,,
6:45.0,Shooting foul by P. Gasol (drawn by G. Antetokounmpo),,4-14,,
6:45.0,G. Antetokounmpo misses free throw 1 of 2,,4-14,,
6:45.0,Offensive rebound by Team,,4-14,,
6:45.0,G. Antetokounmpo misses free throw 2 of 2,,4-14,,
6:43.0,,,4-14,,Defensive rebound by N. Mirotic
6:30.0,,,4-16,2,J. Butler makes 2-pt shot from 3 ft
6:13.0,M. Carter-Williams makes 2-pt shot from 18 ft (assist by K. Middleton),2,6-16,,
5:57.0,,,6-16,,D. Rose misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by G. Antetokounmpo,,6-16,,
5:53.0,M. Carter-Williams makes 2-pt shot at rim (assist by G. Antetokounmpo),2,8-16,,
5:43.0,,,8-16,,P. Gasol misses 2-pt shot from 18 ft
5:42.0,Defensive rebound by J. Parker,,8-16,,
5:35.0,K. Middleton misses 2-pt shot from 10 ft,,8-16,,
5:33.0,,,8-16,,Defensive rebound by T. Gibson
5:28.0,,,8-18,2,D. Rose makes 2-pt shot from 3 ft
5:17.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,11-18,,
5:01.0,,,11-18,,Turnover by J. Butler (lost ball; steal by K. Middleton)
4:58.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,13-18,,
4:58.0,,,13-18,,Chicago full timeout
4:58.0,,,13-18,,B. Portis enters the game for T. Gibson
4:58.0,,,13-18,,K. Hinrich enters the game for D. Rose
4:58.0,J. O'Bryant enters the game for G. Antetokounmpo,,13-18,,
4:58.0,J. Henson enters the game for G. Monroe,,13-18,,
4:49.0,,,13-20,2,J. Butler makes 2-pt shot from 1 ft (assist by K. Hinrich)
4:49.0,,,13-20,,Shooting foul by J. Parker (drawn by J. Butler)
4:49.0,,,13-21,1,J. Butler makes free throw 1 of 1
4:30.0,Shooting foul by P. Gasol (drawn by J. Parker),,13-21,,
4:30.0,J. Parker misses free throw 1 of 2,,13-21,,
4:30.0,Offensive rebound by Team,,13-21,,
4:30.0,,,13-21,,T. Gibson enters the game for P. Gasol
4:30.0,J. Parker makes free throw 2 of 2,1,14-21,,
4:11.0,,,14-23,2,K. Hinrich makes 2-pt shot from 17 ft
3:56.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,17-23,,
3:25.0,,,17-25,2,J. Butler makes 2-pt shot from 12 ft
3:17.0,K. Middleton misses 3-pt shot from 25 ft,,17-25,,
3:16.0,Offensive rebound by Team,,17-25,,
3:13.0,J. O'Bryant makes 2-pt shot from 15 ft (assist by M. Carter-Williams),2,19-25,,
2:57.0,,,19-25,,B. Portis misses 2-pt shot from 14 ft
2:56.0,,,19-25,,Offensive rebound by T. Gibson
2:51.0,,,19-25,,Shooting foul by K. Middleton (drawn by N. Mirotic)
2:51.0,,,19-26,1,N. Mirotic makes free throw 1 of 2
2:51.0,O. Mayo enters the game for J. Parker,,19-26,,
2:51.0,,,19-27,1,N. Mirotic makes free throw 2 of 2
2:28.0,O. Mayo misses 3-pt shot from 23 ft,,19-27,,
2:27.0,,,19-27,,Defensive rebound by K. Hinrich
2:21.0,,,19-29,2,N. Mirotic makes 2-pt shot from 2 ft (assist by K. Hinrich)
2:10.0,K. Middleton makes 2-pt shot from 5 ft,2,21-29,,
2:01.0,,,21-29,,Turnover by J. Butler (bad pass; steal by J. O'Bryant)
