time,Charlotte,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,,,0-0,,T. Lyles misses 3-pt shot from 23 ft
12:00.0,Jump ball: R. Gobert vs. S. Hawes (T. Lyles gains possession),,,,Jump ball: R. Gobert vs. S. Hawes (T. Lyles gains possession)
11:44.0,Defensive rebound by P. Hairston,,0-0,,
11:29.0,M. Williams misses 2-pt shot from 4 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by R. Neto
11:23.0,,,0-0,,Shooting foul by S. Hawes (drawn by R. Gobert)
11:23.0,,,0-0,,R. Gobert misses free throw 1 of 2
11:23.0,,,0-0,,Offensive rebound by Team
11:23.0,,,0-1,1,R. Gobert makes free throw 2 of 2
11:10.0,P. Hairston misses 2-pt shot from 20 ft,,0-1,,
11:09.0,,,0-1,,Defensive rebound by R. Gobert
10:53.0,,,0-1,,R. Neto misses 2-pt shot from 2 ft
10:53.0,Defensive rebound by S. Hawes,,0-1,,
10:40.0,M. Williams misses 2-pt shot from 21 ft,,0-1,,
10:39.0,,,0-1,,Defensive rebound by R. Gobert
10:22.0,,,0-4,3,R. Hood makes 3-pt shot from 25 ft (assist by R. Neto)
10:07.0,P. Hairston makes 2-pt shot from 1 ft (assist by S. Hawes),2,2-4,,
9:45.0,,,2-7,3,R. Hood makes 3-pt shot from 25 ft (assist by R. Neto)
9:29.0,Turnover by K. Walker (bad pass; steal by G. Hayward),,2-7,,
9:21.0,,,2-7,,R. Neto misses 3-pt shot from 23 ft
9:20.0,Defensive rebound by S. Hawes,,2-7,,
9:03.0,N. Batum misses 3-pt shot from 23 ft,,2-7,,
9:03.0,,,2-7,,Defensive rebound by T. Lyles
8:47.0,,,2-7,,Offensive foul by R. Gobert
8:47.0,,,2-7,,Turnover by R. Gobert (offensive foul)
8:25.0,S. Hawes misses 2-pt shot from 14 ft,,2-7,,
8:25.0,,,2-7,,Defensive rebound by R. Hood
8:09.0,,,2-9,2,G. Hayward makes 2-pt shot from 3 ft
7:54.0,M. Williams misses 3-pt shot from 24 ft,,2-9,,
7:52.0,Offensive rebound by S. Hawes,,2-9,,
7:41.0,K. Walker makes 2-pt shot from 8 ft,2,4-9,,
7:27.0,,,4-9,,R. Hood misses 2-pt shot from 18 ft
7:27.0,Defensive rebound by Team,,4-9,,
7:13.0,Offensive foul by M. Williams,,4-9,,
7:13.0,Turnover by M. Williams (offensive foul),,4-9,,
7:13.0,,,4-9,,D. Favors enters the game for R. Gobert
6:55.0,,,4-9,,G. Hayward misses 2-pt shot from 9 ft
6:55.0,Defensive rebound by N. Batum,,4-9,,
6:47.0,Turnover by N. Batum (lost ball; steal by D. Favors),,4-9,,
6:39.0,,,4-9,,R. Neto misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by N. Batum,,4-9,,
6:31.0,,,4-9,,Personal foul by R. Neto (drawn by N. Batum)
6:19.0,P. Hairston misses 3-pt shot from 24 ft,,4-9,,
6:19.0,,,4-9,,Defensive rebound by T. Lyles
6:08.0,,,4-9,,Utah full timeout
6:01.0,,,4-9,,R. Hood misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by M. Williams,,4-9,,
5:44.0,N. Batum misses 2-pt shot from 10 ft,,4-9,,
5:43.0,,,4-9,,Defensive rebound by G. Hayward
5:32.0,,,4-9,,Turnover by T. Lyles (lost ball; steal by M. Williams)
5:28.0,Shooting foul by R. Hood (drawn by N. Batum),,4-9,,
5:28.0,N. Batum makes free throw 1 of 2,1,5-9,,
5:28.0,,,5-9,,C. Johnson enters the game for R. Hood
5:28.0,N. Batum misses free throw 2 of 2,,5-9,,
5:28.0,,,5-9,,Defensive rebound by C. Johnson
5:11.0,,,5-9,,G. Hayward misses 2-pt shot from 18 ft
5:11.0,Defensive rebound by Team,,5-9,,
5:00.0,K. Walker makes 2-pt shot from 3 ft,2,7-9,,
4:48.0,,,7-9,,C. Johnson misses 2-pt shot from 6 ft
4:48.0,Defensive rebound by K. Walker,,7-9,,
4:39.0,K. Walker misses 2-pt shot from 17 ft,,7-9,,
4:39.0,,,7-9,,Defensive rebound by G. Hayward
4:28.0,,,7-9,,D. Favors misses 2-pt shot from 17 ft
4:27.0,Defensive rebound by N. Batum,,7-9,,
4:11.0,M. Williams makes 2-pt shot at rim (assist by S. Hawes),2,9-9,,
3:51.0,,,9-9,,T. Lyles misses 3-pt shot from 23 ft
3:51.0,Defensive rebound by N. Batum,,9-9,,
3:41.0,N. Batum makes 2-pt shot from 8 ft,2,11-9,,
3:25.0,,,11-11,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
3:16.0,Charlotte full timeout,,11-11,,
3:16.0,F. Kaminsky enters the game for M. Williams,,11-11,,
3:16.0,J. Lin enters the game for N. Batum,,11-11,,
3:16.0,,,11-11,,R. Gobert enters the game for T. Lyles
3:16.0,,,11-11,,T. Burke enters the game for R. Neto
3:08.0,K. Walker makes 3-pt shot from 24 ft (assist by J. Lin),3,14-11,,
2:54.0,Personal foul by P. Hairston (drawn by G. Hayward),,14-11,,
2:39.0,,,14-11,,R. Gobert misses 2-pt shot from 2 ft
2:39.0,,,14-11,,Offensive rebound by R. Gobert
2:39.0,,,14-11,,R. Gobert misses 2-pt shot from 2 ft
2:39.0,Defensive rebound by Team,,14-11,,
2:25.0,S. Hawes misses 3-pt shot from 24 ft,,14-11,,
2:25.0,,,14-11,,Defensive rebound by Team
2:25.0,T. Hansbrough enters the game for S. Hawes,,14-11,,
2:09.0,,,14-14,3,G. Hayward makes 3-pt shot from 23 ft (assist by C. Johnson)
1:43.0,J. Lin makes 2-pt shot from 8 ft,2,16-14,,
1:26.0,,,16-16,2,D. Favors makes 2-pt shot from 1 ft (assist by G. Hayward)
1:10.0,J. Lin misses 2-pt shot from 2 ft,,16-16,,
1:09.0,,,16-16,,Defensive rebound by C. Johnson
0:59.0,,,16-18,2,C. Johnson makes 2-pt shot from 2 ft
0:45.0,Turnover by K. Walker (bad pass),,16-18,,
0:45.0,,,16-18,,T. Booker enters the game for D. Favors
