time,Denver,pts.away,score,pts.home,Atlanta
3:24.0,E. Mudiay misses 2-pt shot from 18 ft,,94-109,,
3:22.0,,,94-109,,Defensive rebound by T. Hardaway
3:05.0,,,94-111,2,T. Sefolosha makes 2-pt shot from 17 ft (assist by J. Teague)
2:47.0,J. Lauvergne misses 3-pt shot from 24 ft,,94-111,,
2:46.0,,,94-111,,Defensive rebound by T. Hardaway
2:35.0,,,94-111,,K. Humphries misses 3-pt shot from 24 ft
2:34.0,Defensive rebound by Team,,94-111,,
2:34.0,,,94-111,,Loose ball foul by M. Scott
2:34.0,,,94-111,,K. Hinrich enters the game for J. Teague
2:34.0,Denver full timeout,,94-111,,
2:34.0,,,94-111,,M. Muscala enters the game for M. Scott
2:34.0,A. Toupane enters the game for G. Harris,,94-111,,
2:34.0,J. Sampson enters the game for E. Mudiay,,94-111,,
2:34.0,J. Lauvergne makes free throw 1 of 2,1,95-111,,
2:34.0,J. Lauvergne makes free throw 2 of 2,1,96-111,,
2:12.0,,,96-111,,M. Muscala misses 2-pt shot from 15 ft
2:10.0,,,96-111,,Offensive rebound by T. Sefolosha
2:05.0,,,96-111,,Shooting foul by A. Toupane (drawn by M. Muscala)
2:05.0,,,96-112,1,M. Muscala makes free throw 1 of 2
2:05.0,,,96-112,,M. Scott enters the game for T. Sefolosha
2:05.0,,,96-112,,M. Muscala misses free throw 2 of 2
2:04.0,Defensive rebound by J. Sampson,,96-112,,
1:51.0,Turnover by N. Jokic (bad pass),,96-112,,
1:33.0,,,96-112,,K. Humphries misses 3-pt shot from 23 ft
1:31.0,,,96-112,,Offensive rebound by M. Muscala
1:29.0,,,96-114,2,K. Humphries makes 2-pt shot from 5 ft (assist by M. Muscala)
1:13.0,J. Sampson makes 2-pt shot from 15 ft,2,98-114,,
1:06.0,Flagrant foul type 1 by J. Sampson,,98-114,,
1:06.0,,,98-115,1,K. Humphries makes flagrant free throw 1 of 2
1:06.0,,,98-116,1,K. Humphries makes flagrant free throw 2 of 2
1:01.0,,,98-116,,Offensive foul by K. Humphries
1:01.0,,,98-116,,Turnover by K. Humphries (offensive foul)
0:47.0,D. Augustin misses 3-pt shot from 24 ft,,98-116,,
0:44.0,,,98-116,,Defensive rebound by M. Scott
0:24.0,,,98-116,,T. Hardaway misses 3-pt shot from 25 ft
0:21.0,,,98-116,,Offensive rebound by M. Scott
0:00.0,End of 4th quarter,,,,End of 4th quarter
