time,Denver,pts.away,score,pts.home,Atlanta
1:38.0,,,19-31,,K. Humphries misses 2-pt shot from 19 ft
1:37.0,Defensive rebound by J. Nurkic,,19-31,,
1:26.0,D. Augustin makes 2-pt shot from 1 ft,2,21-31,,
1:09.0,,,21-33,2,K. Humphries makes 2-pt shot at rim (assist by K. Hinrich)
0:54.0,J. Lauvergne makes 2-pt shot from 9 ft (assist by D. Augustin),2,23-33,,
0:34.0,,,23-33,,D. Schroder misses 2-pt shot from 17 ft
0:31.0,Defensive rebound by W. Barton,,23-33,,
0:13.0,W. Barton misses 2-pt shot from 3 ft (block by K. Hinrich),,23-33,,
0:10.0,,,23-33,,Defensive rebound by D. Schroder
0:06.0,Personal take foul by D. Augustin,,23-33,,
0:06.0,,,23-33,,A. Horford enters the game for K. Humphries
0:06.0,,,23-33,,K. Korver enters the game for T. Sefolosha
0:02.0,,,23-33,,D. Schroder misses 2-pt shot from 1 ft (block by D. Augustin)
0:02.0,Defensive rebound by J. Nurkic,,23-33,,
0:02.0,Turnover by J. Nurkic (traveling),,23-33,,
0:00.0,,,23-33,,A. Horford misses 2-pt shot from 18 ft
0:00.0,,,23-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,23-33,,Violation by Team (delay of game)
11:43.0,,,23-33,,A. Horford misses 2-pt shot from 16 ft
11:41.0,Defensive rebound by A. Toupane,,23-33,,
11:25.0,J. Nurkic misses 2-pt shot from 6 ft,,23-33,,
11:23.0,Offensive rebound by J. Nurkic,,23-33,,
11:23.0,J. Nurkic makes 2-pt shot at rim,2,25-33,,
11:02.0,,,25-33,,Turnover by D. Schroder (lost ball; steal by J. Nurkic)
11:02.0,Offensive charge foul by W. Barton,,25-33,,
11:02.0,Turnover by W. Barton (offensive foul),,25-33,,
11:02.0,,,25-33,,K. Korver enters the game for T. Sefolosha
10:48.0,,,25-33,,A. Horford misses 2-pt shot from 18 ft
10:46.0,Defensive rebound by J. Lauvergne,,25-33,,
10:34.0,W. Barton misses 2-pt shot from 16 ft,,25-33,,
10:34.0,Offensive rebound by Team,,25-33,,
10:34.0,,,25-33,,Loose ball foul by M. Scott
10:31.0,D. Augustin makes 3-pt shot from 24 ft (assist by W. Barton),3,28-33,,
10:14.0,,,28-33,,D. Schroder misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by A. Toupane,,28-33,,
10:04.0,D. Augustin makes 2-pt shot from 16 ft,2,30-33,,
9:57.0,,,30-33,,Atlanta full timeout
9:57.0,,,30-33,,T. Hardaway enters the game for K. Hinrich
9:48.0,,,30-33,,T. Hardaway misses 2-pt shot from 20 ft
9:46.0,Defensive rebound by J. Lauvergne,,30-33,,
9:41.0,A. Toupane misses 2-pt shot at rim,,30-33,,
9:40.0,,,30-33,,Defensive rebound by D. Schroder
9:22.0,,,30-33,,M. Scott misses 2-pt shot from 7 ft
9:20.0,Defensive rebound by J. Nurkic,,30-33,,
9:03.0,Turnover by A. Toupane (lost ball; steal by M. Scott),,30-33,,
9:00.0,,,30-33,,Shooting foul by J. Nurkic (drawn by T. Hardaway)
9:00.0,,,30-34,1,T. Hardaway makes free throw 1 of 2
9:00.0,,,30-35,1,T. Hardaway makes free throw 2 of 2
8:40.0,J. Lauvergne misses 2-pt shot from 1 ft,,30-35,,
8:39.0,,,30-35,,Defensive rebound by M. Scott
8:23.0,,,30-37,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
7:56.0,D. Augustin makes 2-pt shot from 2 ft,2,32-37,,
7:46.0,,,32-39,2,M. Scott makes 2-pt shot from 1 ft (assist by D. Schroder)
7:46.0,,,32-39,,Shooting foul by D. Augustin (drawn by M. Scott)
7:46.0,,,32-40,1,M. Scott makes free throw 1 of 1
7:27.0,A. Toupane misses 3-pt shot from 22 ft,,32-40,,
7:26.0,,,32-40,,Defensive rebound by T. Hardaway
7:21.0,,,32-40,,J. Teague enters the game for D. Schroder
7:09.0,,,32-40,,M. Scott misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by J. Lauvergne,,32-40,,
6:57.0,W. Barton makes 3-pt shot from 25 ft (assist by D. Augustin),3,35-40,,
6:29.0,,,35-40,,Shooting foul by D. Augustin (drawn by M. Scott)
6:29.0,,,35-40,,M. Scott misses free throw 1 of 2
6:29.0,,,35-40,,Offensive rebound by Team
6:29.0,,,35-40,,P. Millsap enters the game for A. Horford
6:29.0,E. Mudiay enters the game for D. Augustin,,35-40,,
6:29.0,,,35-41,1,M. Scott makes free throw 2 of 2
6:16.0,A. Toupane misses 3-pt shot from 22 ft,,35-41,,
6:15.0,,,35-41,,Defensive rebound by T. Hardaway
6:08.0,,,35-41,,T. Hardaway misses 2-pt shot at rim
6:05.0,Defensive rebound by W. Barton,,35-41,,
6:02.0,J. Lauvergne makes 2-pt shot at rim (assist by W. Barton),2,37-41,,
5:48.0,Official timeout,,37-41,,
5:48.0,G. Harris enters the game for A. Toupane,,37-41,,
5:40.0,,,37-43,2,P. Millsap makes 2-pt shot at rim (assist by T. Hardaway)
5:26.0,J. Nurkic misses 2-pt shot from 5 ft (block by P. Millsap),,37-43,,
5:26.0,,,37-43,,T. Sefolosha enters the game for K. Korver
5:26.0,Jump ball: P. Millsap vs. J. Nurkic,,,,Jump ball: P. Millsap vs. J. Nurkic
5:26.0,Offensive rebound by Team,,37-43,,
