time,Atlanta,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Johnson (J. Jerebko gains possession),,,,Jump ball: A. Horford vs. A. Johnson (J. Jerebko gains possession)
11:45.0,,,0-3,3,J. Crowder makes 3-pt shot from 24 ft (assist by J. Jerebko)
11:31.0,K. Bazemore misses 2-pt shot from 2 ft (block by A. Johnson),,0-3,,
11:30.0,Offensive rebound by Team,,0-3,,
11:23.0,K. Korver misses 3-pt shot from 27 ft,,0-3,,
11:21.0,,,0-3,,Defensive rebound by Team
11:01.0,,,0-5,2,I. Thomas makes 2-pt shot from 15 ft
10:48.0,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague),2,2-5,,
10:27.0,,,2-5,,E. Turner misses 2-pt shot from 14 ft
10:26.0,Defensive rebound by P. Millsap,,2-5,,
10:10.0,Turnover by J. Teague (lost ball; steal by A. Johnson),,2-5,,
10:05.0,Personal foul by J. Teague,,2-5,,
9:57.0,,,2-5,,E. Turner misses 2-pt shot from 6 ft
9:56.0,,,2-5,,Offensive rebound by A. Johnson
9:56.0,,,2-5,,A. Johnson misses 2-pt shot at rim
9:55.0,,,2-5,,Offensive rebound by J. Crowder
9:54.0,,,2-7,2,J. Crowder makes 2-pt shot from 2 ft
9:44.0,K. Korver misses 3-pt shot from 23 ft,,2-7,,
9:43.0,,,2-7,,Defensive rebound by A. Johnson
9:37.0,,,2-7,,I. Thomas misses 3-pt shot from 26 ft
9:35.0,Defensive rebound by P. Millsap,,2-7,,
9:26.0,P. Millsap misses 2-pt shot from 5 ft,,2-7,,
9:25.0,Offensive rebound by P. Millsap,,2-7,,
9:24.0,P. Millsap makes 2-pt shot from 2 ft,2,4-7,,
8:59.0,,,4-7,,J. Jerebko misses 3-pt shot from 25 ft
8:58.0,Defensive rebound by K. Korver,,4-7,,
8:53.0,,,4-7,,Personal foul by J. Jerebko
8:41.0,P. Millsap makes 2-pt shot from 2 ft,2,6-7,,
8:20.0,,,6-7,,Shooting foul by A. Horford (drawn by E. Turner)
8:20.0,,,6-7,,E. Turner misses free throw 1 of 2
8:20.0,,,6-7,,Offensive rebound by Team
8:20.0,,,6-7,,E. Turner misses free throw 2 of 2
8:19.0,Defensive rebound by A. Horford,,6-7,,
8:06.0,A. Horford misses 2-pt shot from 15 ft,,6-7,,
8:06.0,,,6-7,,Defensive rebound by E. Turner
7:55.0,,,6-9,2,A. Johnson makes 2-pt shot from 1 ft (assist by E. Turner)
7:46.0,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford),3,9-9,,
7:20.0,,,9-9,,A. Johnson misses 2-pt shot from 3 ft (block by A. Horford)
7:19.0,,,9-9,,Offensive rebound by E. Turner
7:18.0,,,9-9,,Shooting foul by J. Teague (drawn by E. Turner)
7:18.0,,,9-10,1,E. Turner makes free throw 1 of 2
7:18.0,D. Schroder enters the game for J. Teague,,9-10,,
7:18.0,M. Scott enters the game for A. Horford,,9-10,,
7:18.0,,,9-11,1,E. Turner makes free throw 2 of 2
7:04.0,K. Korver makes 3-pt shot from 25 ft (assist by M. Scott),3,12-11,,
6:43.0,,,12-11,,J. Jerebko misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by K. Bazemore,,12-11,,
6:22.0,P. Millsap misses 2-pt shot from 1 ft,,12-11,,
6:21.0,Offensive rebound by P. Millsap,,12-11,,
6:21.0,P. Millsap misses 2-pt shot from 1 ft,,12-11,,
6:16.0,,,12-11,,Defensive rebound by I. Thomas
6:14.0,,,12-11,,I. Thomas misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by P. Millsap,,12-11,,
6:02.0,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder),3,15-11,,
6:02.0,,,15-11,,Boston full timeout
6:02.0,,,15-11,,M. Smart enters the game for J. Jerebko
6:02.0,T. Sefolosha enters the game for K. Bazemore,,15-11,,
5:47.0,,,15-14,3,J. Crowder makes 3-pt shot from 25 ft (assist by M. Smart)
5:29.0,Turnover by P. Millsap (bad pass),,15-14,,
5:04.0,,,15-16,2,E. Turner makes 2-pt shot from 16 ft (assist by I. Thomas)
4:52.0,Turnover by D. Schroder (lost ball; steal by J. Crowder),,15-16,,
4:47.0,,,15-18,2,E. Turner makes 2-pt shot from 2 ft (assist by J. Crowder)
4:30.0,Turnover by P. Millsap (bad pass),,15-18,,
4:17.0,,,15-20,2,I. Thomas makes 2-pt shot from 3 ft
4:17.0,Atlanta full timeout,,15-20,,
4:17.0,,,15-20,,T. Rozier enters the game for E. Turner
4:01.0,M. Scott misses 3-pt shot from 25 ft,,15-20,,
4:00.0,,,15-20,,Defensive rebound by Team
3:46.0,,,15-20,,J. Crowder misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by K. Korver,,15-20,,
3:27.0,Turnover by M. Scott (lost ball; steal by J. Crowder),,15-20,,
3:14.0,,,15-22,2,I. Thomas makes 2-pt shot from 2 ft
2:57.0,D. Schroder misses 3-pt shot from 25 ft,,15-22,,
2:57.0,,,15-22,,Defensive rebound by A. Johnson
2:36.0,,,15-22,,Turnover by A. Johnson (lost ball; steal by P. Millsap)
2:29.0,D. Schroder misses 2-pt shot from 3 ft (block by I. Thomas),,15-22,,
2:28.0,Offensive rebound by D. Schroder,,15-22,,
2:24.0,T. Sefolosha misses 3-pt shot from 24 ft,,15-22,,
2:24.0,,,15-22,,Defensive rebound by J. Crowder
2:06.0,,,15-22,,J. Crowder misses 3-pt shot from 25 ft
2:04.0,,,15-22,,Offensive rebound by Team
2:04.0,Loose ball foul by T. Sefolosha,,15-22,,
2:04.0,,,15-22,,J. Sullinger enters the game for A. Johnson
2:04.0,A. Horford enters the game for K. Korver,,15-22,,
2:04.0,,,15-22,,J. Jerebko enters the game for I. Thomas
2:04.0,K. Bazemore enters the game for P. Millsap,,15-22,,
1:59.0,,,15-22,,J. Sullinger misses 2-pt shot from 20 ft
1:58.0,Defensive rebound by K. Bazemore,,15-22,,
1:47.0,A. Horford makes 2-pt shot from 9 ft,2,17-22,,
1:27.0,,,17-22,,Turnover by J. Sullinger (lost ball; steal by D. Schroder)
1:21.0,D. Schroder makes 2-pt shot from 2 ft,2,19-22,,
1:01.0,,,19-22,,M. Smart misses 2-pt shot from 1 ft (block by K. Bazemore)
1:00.0,,,19-22,,Offensive rebound by Team
1:00.0,,,19-22,,K. Olynyk enters the game for J. Crowder
0:58.0,,,19-22,,M. Smart misses 3-pt shot from 24 ft
0:56.0,,,19-22,,Offensive rebound by T. Rozier
0:49.0,,,19-22,,T. Rozier misses 2-pt shot from 15 ft
0:48.0,Defensive rebound by A. Horford,,19-22,,
0:38.0,T. Sefolosha misses 2-pt shot from 21 ft,,19-22,,
0:37.0,,,19-22,,Defensive rebound by K. Olynyk
0:15.0,,,19-22,,M. Smart misses 3-pt shot from 25 ft
0:15.0,,,19-22,,Offensive rebound by K. Olynyk
0:11.0,Personal foul by A. Horford,,19-22,,
0:11.0,,,19-23,1,M. Smart makes free throw 1 of 2
0:11.0,,,19-23,,E. Turner enters the game for J. Sullinger
0:11.0,P. Millsap enters the game for A. Horford,,19-23,,
0:11.0,,,19-23,,J. Crowder enters the game for K. Olynyk
0:11.0,,,19-24,1,M. Smart makes free throw 2 of 2
0:04.0,,,19-24,,Personal foul by E. Turner
0:04.0,K. Korver enters the game for T. Sefolosha,,19-24,,
0:04.0,T. Hardaway enters the game for D. Schroder,,19-24,,
0:01.0,P. Millsap makes 2-pt shot from 13 ft (assist by K. Bazemore),2,21-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,Turnover by M. Scott (lost ball; steal by E. Turner),,21-24,,
11:34.0,,,21-24,,E. Turner misses 2-pt shot from 1 ft
11:33.0,,,21-24,,Offensive rebound by M. Smart
11:32.0,,,21-26,2,M. Smart makes 2-pt shot from 2 ft
11:17.0,J. Teague misses 2-pt shot from 20 ft,,21-26,,
11:16.0,,,21-26,,Defensive rebound by J. Jerebko
11:06.0,,,21-26,,T. Rozier misses 3-pt shot from 24 ft
11:05.0,Defensive rebound by P. Millsap,,21-26,,
10:54.0,P. Millsap misses 3-pt shot from 25 ft,,21-26,,
10:53.0,Offensive rebound by M. Scott,,21-26,,
10:53.0,M. Scott makes 2-pt shot from 2 ft,2,23-26,,
10:53.0,Shooting foul by K. Olynyk (drawn by M. Scott),,23-26,,
10:53.0,M. Scott makes free throw 1 of 1,1,24-26,,
10:38.0,,,24-26,,E. Turner misses 2-pt shot from 16 ft
10:37.0,Defensive rebound by K. Korver,,24-26,,
10:28.0,J. Teague makes 2-pt shot from 6 ft,2,26-26,,
10:12.0,Personal foul by K. Korver,,26-26,,
10:12.0,M. Muscala enters the game for M. Scott,,26-26,,
10:06.0,,,26-26,,K. Olynyk misses 2-pt shot from 17 ft
10:05.0,Defensive rebound by K. Korver,,26-26,,
9:51.0,M. Muscala makes 2-pt shot from 15 ft (assist by J. Teague),2,28-26,,
9:29.0,,,28-26,,E. Turner misses 2-pt shot from 4 ft
9:28.0,,,28-26,,Offensive rebound by M. Smart
9:28.0,,,28-26,,M. Smart misses 2-pt shot from 3 ft
9:26.0,Defensive rebound by K. Korver,,28-26,,
9:15.0,J. Teague misses 2-pt shot from 2 ft,,28-26,,
9:14.0,Offensive rebound by M. Muscala,,28-26,,
9:14.0,M. Muscala makes 2-pt shot from 2 ft,2,30-26,,
9:14.0,,,30-26,,Boston full timeout
9:14.0,,,30-26,,J. Sullinger enters the game for K. Olynyk
9:14.0,T. Sefolosha enters the game for K. Bazemore,,30-26,,
8:55.0,,,30-26,,J. Sullinger misses 2-pt shot from 3 ft
8:55.0,Defensive rebound by Team,,30-26,,
8:36.0,J. Teague misses 2-pt shot from 1 ft,,30-26,,
8:35.0,,,30-26,,Defensive rebound by E. Turner
8:27.0,Violation by T. Sefolosha (kicked ball),,30-26,,
8:14.0,,,30-26,,E. Turner misses 2-pt shot from 7 ft
8:13.0,,,30-26,,Offensive rebound by J. Sullinger
