time,LA Lakers,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. Z. Pachulia (J. Randle gains possession),,,,Jump ball: R. Hibbert vs. Z. Pachulia (J. Randle gains possession)
11:41.0,D. Russell misses 2-pt shot from 18 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by W. Matthews
11:24.0,,,0-0,,D. Nowitzki misses 2-pt shot from 15 ft
11:24.0,,,0-0,,Offensive rebound by Team
11:22.0,,,0-0,,W. Matthews misses 2-pt shot from 2 ft
11:21.0,Defensive rebound by D. Russell,,0-0,,
11:07.0,J. Randle misses 2-pt shot from 18 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by C. Parsons
10:58.0,,,0-0,,Turnover by C. Parsons (turnover)
10:38.0,K. Bryant makes 2-pt shot from 17 ft (assist by D. Russell),2,2-0,,
10:25.0,,,2-0,,C. Parsons misses 2-pt shot from 10 ft
10:24.0,Defensive rebound by R. Hibbert,,2-0,,
10:14.0,K. Bryant makes 2-pt shot from 17 ft,2,4-0,,
10:06.0,,,4-0,,D. Williams misses 2-pt shot from 1 ft (block by R. Hibbert)
10:06.0,,,4-0,,Offensive rebound by Team
10:06.0,,,4-0,,Dallas full timeout
9:59.0,,,4-2,2,D. Williams makes 2-pt shot from 18 ft (assist by Z. Pachulia)
9:45.0,J. Clarkson makes 3-pt shot from 24 ft (assist by D. Russell),3,7-2,,
9:35.0,,,7-2,,Turnover by D. Williams (bad pass; steal by J. Clarkson)
9:31.0,J. Clarkson makes 2-pt shot at rim,2,9-2,,
9:20.0,,,9-4,2,Z. Pachulia makes 2-pt shot at rim (assist by D. Williams)
9:06.0,Turnover by J. Randle (lost ball; steal by D. Williams),,9-4,,
9:01.0,,,9-4,,Turnover by D. Williams (bad pass; steal by J. Randle)
8:55.0,K. Bryant makes 3-pt shot from 23 ft (assist by D. Russell),3,12-4,,
8:39.0,,,12-4,,D. Williams misses 2-pt shot from 15 ft
8:38.0,Defensive rebound by K. Bryant,,12-4,,
8:29.0,Turnover by K. Bryant (bad pass; steal by D. Williams),,12-4,,
8:09.0,,,12-4,,W. Matthews misses 3-pt shot from 23 ft
8:08.0,,,12-4,,Offensive rebound by Z. Pachulia
8:05.0,,,12-4,,D. Nowitzki misses 2-pt shot from 18 ft
