time,Utah,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Felicio vs. R. Gobert (D. Favors gains possession),,,,Jump ball: C. Felicio vs. R. Gobert (D. Favors gains possession)
11:40.0,R. Hood misses 3-pt shot from 25 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by T. Gibson
11:22.0,,,0-2,2,J. Butler makes 2-pt shot from 19 ft (assist by D. Rose)
11:09.0,G. Hayward misses 3-pt shot from 23 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by Team
10:48.0,,,0-5,3,D. Rose makes 3-pt shot from 24 ft (assist by J. Butler)
10:21.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Gobert),2,2-5,,
9:57.0,,,2-7,2,T. Gibson makes 2-pt shot from 1 ft
9:41.0,S. Mack makes 2-pt shot from 7 ft,2,4-7,,
9:25.0,,,4-9,2,D. Rose makes 2-pt shot from 10 ft
9:06.0,D. Favors makes 2-pt shot at rim (assist by S. Mack),2,6-9,,
8:54.0,,,6-11,2,C. Felicio makes 2-pt shot from 19 ft (assist by J. Butler)
8:35.0,R. Gobert misses 2-pt shot from 6 ft,,6-11,,
8:34.0,,,6-11,,Defensive rebound by C. Felicio
8:29.0,,,6-13,2,T. Gibson makes 2-pt shot at rim (assist by D. Rose)
8:09.0,G. Hayward misses 2-pt shot from 2 ft,,6-13,,
8:08.0,,,6-13,,Defensive rebound by J. Butler
7:59.0,,,6-15,2,J. Butler makes 2-pt shot at rim
7:58.0,Utah full timeout,,6-15,,
7:43.0,D. Favors misses 2-pt shot from 9 ft,,6-15,,
7:42.0,,,6-15,,Defensive rebound by M. Dunleavy
7:28.0,,,6-15,,J. Butler misses 2-pt shot from 7 ft
7:28.0,Defensive rebound by Team,,6-15,,
7:11.0,S. Mack misses 2-pt shot from 6 ft,,6-15,,
7:09.0,Offensive rebound by S. Mack,,6-15,,
7:09.0,S. Mack misses 2-pt shot at rim,,6-15,,
7:08.0,,,6-15,,Defensive rebound by D. Rose
6:58.0,,,6-15,,D. Rose misses 2-pt shot from 4 ft
6:57.0,,,6-15,,Offensive rebound by T. Gibson
6:43.0,,,6-17,2,D. Rose makes 2-pt shot from 15 ft (assist by J. Butler)
6:29.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Hood),2,8-17,,
6:05.0,,,8-17,,Turnover by C. Felicio (traveling)
5:48.0,Shooting foul by T. Gibson (drawn by D. Favors),,8-17,,
5:48.0,D. Favors misses free throw 1 of 2,,8-17,,
5:48.0,Offensive rebound by Team,,8-17,,
5:48.0,T. Booker enters the game for R. Gobert,,8-17,,
5:48.0,,,8-17,,N. Mirotic enters the game for C. Felicio
5:48.0,D. Favors makes free throw 2 of 2,1,9-17,,
5:28.0,,,9-17,,J. Butler misses 2-pt shot from 10 ft
5:27.0,Defensive rebound by T. Booker,,9-17,,
5:07.0,Turnover by D. Favors (3 sec),,9-17,,
4:49.0,,,9-17,,D. Rose misses 2-pt shot from 2 ft (block by D. Favors)
4:47.0,Defensive rebound by S. Mack,,9-17,,
4:41.0,R. Hood makes 3-pt shot from 23 ft (assist by S. Mack),3,12-17,,
4:39.0,,,12-17,,Chicago full timeout
4:39.0,,,12-17,,A. Brooks enters the game for D. Rose
4:39.0,,,12-17,,D. McDermott enters the game for M. Dunleavy
4:39.0,J. Ingles enters the game for G. Hayward,,12-17,,
4:22.0,,,12-17,,J. Butler misses 2-pt shot from 17 ft
4:21.0,Defensive rebound by D. Favors,,12-17,,
4:04.0,R. Hood misses 2-pt shot from 1 ft,,12-17,,
4:03.0,,,12-17,,Defensive rebound by N. Mirotic
3:54.0,,,12-17,,Turnover by A. Brooks (bad pass)
3:54.0,,,12-17,,J. Holiday enters the game for J. Butler
3:38.0,Turnover by J. Ingles (lost ball; steal by T. Gibson),,12-17,,
3:25.0,,,12-20,3,D. McDermott makes 3-pt shot from 24 ft (assist by N. Mirotic)
3:15.0,,,12-20,,Personal foul by A. Brooks
